,unix,low,high,open,close,volume,vol_fiat,date
0,1651521600,1.193,1.215,1.203,1.196,37913.31,45344.318759999995,2022-05-02 20:00:00
1,1651518000,1.173,1.211,1.178,1.201,121041.56,145370.91356000002,2022-05-02 19:00:00
2,1651514400,1.16,1.183,1.166,1.177,50234.73,59126.27721000001,2022-05-02 18:00:00
3,1651510800,1.15,1.166,1.163,1.165,15157.41,17658.38265,2022-05-02 17:00:00
4,1651507200,1.163,1.181,1.177,1.163,16075.1,18695.3413,2022-05-02 16:00:00
5,1651503600,1.159,1.186,1.159,1.174,212957.62,250012.24587999997,2022-05-02 15:00:00
6,1651500000,1.135,1.161,1.149,1.159,67213.73,77900.71307,2022-05-02 14:00:00
7,1651496400,1.123,1.158,1.133,1.151,42420.53,48826.03003,2022-05-02 13:00:00
8,1651492800,1.123,1.143,1.124,1.132,10437.94,11815.74808,2022-05-02 12:00:00
9,1651489200,1.123,1.14,1.14,1.125,11374.2,12795.975,2022-05-02 11:00:00
10,1651485600,1.136,1.147,1.145,1.142,3551.79,4056.14418,2022-05-02 10:00:00
11,1651482000,1.146,1.167,1.156,1.147,5226.3,5994.5661,2022-05-02 09:00:00
12,1651478400,1.155,1.172,1.172,1.157,6755.37,7815.96309,2022-05-02 08:00:00
13,1651474800,1.171,1.18,1.171,1.172,791.02,927.07544,2022-05-02 07:00:00
14,1651471200,1.171,1.179,1.175,1.174,7306.78,8578.15972,2022-05-02 06:00:00
15,1651467600,1.167,1.176,1.171,1.176,1274.94,1499.32944,2022-05-02 05:00:00
16,1651464000,1.156,1.172,1.163,1.17,5318.49,6222.6332999999995,2022-05-02 04:00:00
17,1651460400,1.156,1.168,1.159,1.164,5240.54,6099.98856,2022-05-02 03:00:00
18,1651456800,1.149,1.161,1.153,1.161,3061.75,3554.69175,2022-05-02 02:00:00
19,1651453200,1.153,1.173,1.172,1.153,5581.2,6435.1236,2022-05-02 01:00:00
20,1651449600,1.158,1.174,1.159,1.17,12116.98,14176.8666,2022-05-02 00:00:00
21,1651446000,1.135,1.163,1.138,1.159,12883.51,14931.98809,2022-05-01 23:00:00
22,1651442400,1.138,1.153,1.149,1.138,25812.12,29374.192559999996,2022-05-01 22:00:00
23,1651438800,1.14,1.155,1.155,1.149,10767.65,12372.029849999999,2022-05-01 21:00:00
24,1651435200,1.137,1.157,1.143,1.154,5655.56,6526.51624,2022-05-01 20:00:00
25,1651431600,1.127,1.152,1.143,1.141,15831.56,18063.80996,2022-05-01 19:00:00
26,1651428000,1.143,1.162,1.159,1.143,13415.78,15334.236540000002,2022-05-01 18:00:00
27,1651424400,1.162,1.178,1.168,1.164,11077.47,12894.175079999999,2022-05-01 17:00:00
28,1651420800,1.16,1.175,1.162,1.168,20665.91,24137.78288,2022-05-01 16:00:00
29,1651417200,1.129,1.164,1.13,1.158,60761.09,70361.34221999999,2022-05-01 15:00:00
30,1651413600,1.121,1.136,1.133,1.129,52890.22,59713.05838,2022-05-01 14:00:00
31,1651410000,1.127,1.138,1.135,1.133,32714.03,37064.995989999996,2022-05-01 13:00:00
32,1651406400,1.12,1.138,1.128,1.133,35665.3,40408.784900000006,2022-05-01 12:00:00
33,1651402800,1.123,1.142,1.142,1.124,61271.18,68868.80632,2022-05-01 11:00:00
34,1651399200,1.138,1.151,1.138,1.142,14585.2,16656.2984,2022-05-01 10:00:00
35,1651395600,1.132,1.148,1.148,1.138,21699.46,24693.985479999996,2022-05-01 09:00:00
36,1651392000,1.126,1.147,1.127,1.147,30962.14,35513.57458,2022-05-01 08:00:00
