,unix,low,high,open,close,volume,vol_fiat,date
0,1651521600,143.4,145.94,144.55,143.69,1045.577,150238.95913,2022-05-02 20:00:00
1,1651518000,141.6,144.79,142.03,144.33,2574.613,371593.89429,2022-05-02 19:00:00
2,1651514400,138.81,142.27,139.54,141.9,1974.477,280178.28630000004,2022-05-02 18:00:00
3,1651510800,139.03,141.98,141.98,139.54,4346.743,606544.51822,2022-05-02 17:00:00
4,1651507200,141.91,145.14,144.65,141.99,2229.016,316497.98184,2022-05-02 16:00:00
5,1651503600,143.73,146.12,144.98,144.7,1775.016,256844.81519999998,2022-05-02 15:00:00
6,1651500000,142.82,146.33,144.68,144.99,1820.941,264018.23559,2022-05-02 14:00:00
7,1651496400,140.5,145.44,141.97,144.56,3029.254,437908.95824,2022-05-02 13:00:00
8,1651492800,140.53,143.16,140.83,142.07,1273.007,180856.10449,2022-05-02 12:00:00
9,1651489200,140.0,143.27,142.96,140.91,10588.031,1491959.44821,2022-05-02 11:00:00
10,1651485600,142.69,144.72,143.44,143.02,622.589,89042.67878000002,2022-05-02 10:00:00
11,1651482000,143.31,145.77,144.2,143.61,1503.858,215969.04738,2022-05-02 09:00:00
12,1651478400,143.56,146.13,145.61,144.18,2249.073,324271.34514,2022-05-02 08:00:00
13,1651474800,145.56,148.41,147.98,145.56,1061.111,154455.31716,2022-05-02 07:00:00
14,1651471200,147.21,148.94,147.6,147.91,803.894,118903.96154,2022-05-02 06:00:00
15,1651467600,146.45,147.9,147.71,147.64,591.292,87298.35088,2022-05-02 05:00:00
16,1651464000,145.33,147.73,146.33,147.73,673.67,99521.26909999999,2022-05-02 04:00:00
17,1651460400,145.8,146.74,146.06,146.36,276.836,40517.716960000005,2022-05-02 03:00:00
18,1651456800,144.77,146.02,145.32,146.01,238.057,34758.702569999994,2022-05-02 02:00:00
19,1651453200,145.41,147.89,147.64,145.41,346.951,50450.14491,2022-05-02 01:00:00
20,1651449600,146.36,148.68,146.53,147.65,1071.272,158173.3108,2022-05-02 00:00:00
21,1651446000,143.2,147.22,143.79,146.6,1870.886,274271.88759999996,2022-05-01 23:00:00
22,1651442400,143.4,146.0,144.21,143.67,1589.505,228364.18335,2022-05-01 22:00:00
23,1651438800,143.3,145.71,145.05,144.33,1178.907,170151.64731,2022-05-01 21:00:00
24,1651435200,141.68,145.25,143.01,145.25,1171.855,170211.93875,2022-05-01 20:00:00
25,1651431600,141.41,144.17,143.58,142.83,1144.767,163507.07061000002,2022-05-01 19:00:00
26,1651428000,143.49,146.66,146.64,143.49,2548.532,365688.85668,2022-05-01 18:00:00
27,1651424400,146.52,148.5,147.78,146.94,1264.857,185858.08758,2022-05-01 17:00:00
28,1651420800,146.34,148.72,146.52,147.66,2631.82,388614.54120000004,2022-05-01 16:00:00
29,1651417200,141.54,147.37,141.58,146.39,1868.362,273509.51318,2022-05-01 15:00:00
30,1651413600,139.99,141.97,140.67,141.47,785.104,111068.66288,2022-05-01 14:00:00
31,1651410000,140.66,142.77,142.6,141.07,746.974,105375.62218,2022-05-01 13:00:00
32,1651406400,141.52,144.2,142.11,142.57,8199.41,1168989.8837,2022-05-01 12:00:00
33,1651402800,141.68,143.68,143.23,142.09,3473.984,493618.38656,2022-05-01 11:00:00
34,1651399200,142.43,144.08,143.11,143.22,705.481,101038.98882,2022-05-01 10:00:00
