,unix,low,high,open,close,volume,vol_fiat,date
0,1651521600,0.7735,0.779,0.7775,0.7743,1515294.03,1173292.167429,2022-05-02 20:00:00
1,1651518000,0.7693,0.7795,0.771,0.7776,2078781.36,1616460.385536,2022-05-02 19:00:00
2,1651514400,0.7636,0.7738,0.7703,0.7709,3986020.47,3072823.180323,2022-05-02 18:00:00
3,1651510800,0.7661,0.7799,0.7746,0.7703,3625584.52,2792787.755756,2022-05-02 17:00:00
4,1651507200,0.7722,0.7797,0.776,0.7746,2780064.57,2153438.0159219997,2022-05-02 16:00:00
5,1651503600,0.7737,0.7832,0.7788,0.776,3306336.88,2565717.41888,2022-05-02 15:00:00
6,1651500000,0.7728,0.7852,0.7805,0.7788,3565192.96,2776572.2772480003,2022-05-02 14:00:00
7,1651496400,0.7677,0.786,0.7721,0.7805,3520378.15,2747655.146075,2022-05-02 13:00:00
8,1651492800,0.7704,0.7794,0.7713,0.7722,1970286.45,1521455.19669,2022-05-02 12:00:00
9,1651489200,0.7694,0.7795,0.7787,0.7716,2191386.76,1690874.0240159996,2022-05-02 11:00:00
10,1651485600,0.7766,0.7826,0.7789,0.7787,1324678.01,1031526.766387,2022-05-02 10:00:00
11,1651482000,0.7789,0.79,0.7862,0.7792,891216.65,694436.01368,2022-05-02 09:00:00
12,1651478400,0.7833,0.7925,0.7879,0.7864,1386892.16,1090651.9946239998,2022-05-02 08:00:00
13,1651474800,0.786,0.7941,0.7893,0.7876,1160627.27,914110.037852,2022-05-02 07:00:00
14,1651471200,0.7887,0.7965,0.7933,0.7891,998041.35,787554.429285,2022-05-02 06:00:00
15,1651467600,0.7864,0.7938,0.7883,0.7934,1717926.73,1363003.067582,2022-05-02 05:00:00
16,1651464000,0.7817,0.7906,0.784,0.7884,1890621.53,1490566.014252,2022-05-02 04:00:00
17,1651460400,0.7828,0.7883,0.786,0.784,1264225.78,991153.0115200001,2022-05-02 03:00:00
18,1651456800,0.7797,0.7871,0.7807,0.786,2328737.99,1830388.0601400002,2022-05-02 02:00:00
19,1651453200,0.7801,0.7971,0.791,0.7808,2223807.44,1736348.8491520002,2022-05-02 01:00:00
20,1651449600,0.7881,0.7965,0.7895,0.7908,3040221.87,2404207.454796,2022-05-02 00:00:00
21,1651446000,0.7806,0.7935,0.7842,0.7896,2421216.64,1911792.658944,2022-05-01 23:00:00
22,1651442400,0.777,0.7921,0.7793,0.784,4349537.0,3410037.008,2022-05-01 22:00:00
23,1651438800,0.7736,0.7876,0.7826,0.7792,1667027.51,1298947.835792,2022-05-01 21:00:00
24,1651435200,0.768,0.7837,0.7705,0.7826,1935304.71,1514569.466046,2022-05-01 20:00:00
25,1651431600,0.7683,0.7789,0.7761,0.7705,2774990.38,2138130.08779,2022-05-01 19:00:00
26,1651428000,0.776,0.7932,0.7927,0.7764,3870698.27,3005210.1368279997,2022-05-01 18:00:00
27,1651424400,0.7918,0.7994,0.7955,0.7925,1983575.37,1571983.4807250001,2022-05-01 17:00:00
28,1651420800,0.7872,0.8002,0.7913,0.7953,3649732.04,2902631.891412,2022-05-01 16:00:00
29,1651417200,0.7708,0.7927,0.7711,0.791,2662112.66,2105731.11406,2022-05-01 15:00:00
30,1651413600,0.7686,0.7763,0.7725,0.7709,1563289.92,1205140.199328,2022-05-01 14:00:00
31,1651410000,0.7712,0.7769,0.7736,0.7722,1607321.04,1241173.307088,2022-05-01 13:00:00
32,1651406400,0.7668,0.7752,0.7705,0.7736,1406241.27,1087868.246472,2022-05-01 12:00:00
33,1651402800,0.7701,0.7762,0.7731,0.7705,1282359.36,988057.88688,2022-05-01 11:00:00
34,1651399200,0.7697,0.776,0.7718,0.773,929817.98,718749.29854,2022-05-01 10:00:00
35,1651395600,0.7681,0.7767,0.7754,0.7718,937725.19,723736.301642,2022-05-01 09:00:00
36,1651392000,0.7674,0.777,0.768,0.7753,1244327.32,964726.971196,2022-05-01 08:00:00
37,1651388400,0.7661,0.7717,0.7695,0.7681,940116.47,722103.4606069999,2022-05-01 07:00:00
38,1651384800,0.7694,0.7769,0.7737,0.7696,1233896.02,949606.3769919999,2022-05-01 06:00:00
39,1651381200,0.7642,0.7789,0.7646,0.7739,2234571.98,1729335.255322,2022-05-01 05:00:00
40,1651377600,0.7582,0.7677,0.7647,0.7646,3215811.63,2458809.5722979996,2022-05-01 04:00:00
