,unix,low,high,open,close,volume,vol_fiat,date
0,1651521600,0.2017,0.2039,0.2039,0.2017,182.5,36.810249999999996,2022-05-02 20:00:00
1,1651518000,0.2014,0.2043,0.2019,0.2043,669.1,136.69713000000002,2022-05-02 19:00:00
2,1651514400,0.2007,0.2024,0.2024,0.2017,3739.2,754.1966399999999,2022-05-02 18:00:00
3,1651510800,0.2018,0.2039,0.2028,0.2018,3604.3,727.34774,2022-05-02 17:00:00
4,1651507200,0.2035,0.2052,0.2041,0.2035,2082.6,423.80909999999994,2022-05-02 16:00:00
5,1651503600,0.2039,0.2057,0.2049,0.2039,5230.9,1066.58051,2022-05-02 15:00:00
6,1651500000,0.2021,0.2051,0.204,0.205,5769.2,1182.686,2022-05-02 14:00:00
7,1651496400,0.199,0.2043,0.2017,0.2043,15644.9,3196.25307,2022-05-02 13:00:00
8,1651492800,0.1994,0.2031,0.1994,0.2015,5647.5,1137.97125,2022-05-02 12:00:00
9,1651489200,0.1989,0.201,0.201,0.1997,7388.5,1475.48345,2022-05-02 11:00:00
10,1651485600,0.2001,0.2028,0.2028,0.2002,4013.8,803.56276,2022-05-02 10:00:00
11,1651482000,0.2028,0.2056,0.2056,0.2028,762.5,154.63500000000002,2022-05-02 09:00:00
12,1651478400,0.2056,0.2066,0.2066,0.2056,510.8,105.02048,2022-05-02 08:00:00
13,1651474800,0.2067,0.2095,0.2095,0.2067,117.1,24.204569999999997,2022-05-02 07:00:00
14,1651471200,0.2082,0.2093,0.2092,0.2093,21708.8,4543.65184,2022-05-02 06:00:00
15,1651467600,0.2081,0.2094,0.2083,0.209,16617.5,3473.0575,2022-05-02 05:00:00
16,1651464000,0.2077,0.2091,0.2081,0.2091,259.2,54.19872,2022-05-02 04:00:00
17,1651460400,0.2079,0.2089,0.2079,0.2088,231.0,48.232800000000005,2022-05-02 03:00:00
18,1651456800,0.2072,0.2081,0.2076,0.2078,87.6,18.20328,2022-05-02 02:00:00
19,1651453200,0.207,0.2083,0.207,0.2078,463.3,96.27374,2022-05-02 01:00:00
20,1651449600,0.2079,0.2095,0.208,0.2083,7804.8,1625.7398400000002,2022-05-02 00:00:00
21,1651446000,0.2068,0.21,0.208,0.2072,21039.9,4359.46728,2022-05-01 23:00:00
22,1651442400,0.2072,0.2087,0.2083,0.2075,99.7,20.68775,2022-05-01 22:00:00
23,1651438800,0.2072,0.2087,0.2082,0.2083,6351.8,1323.07994,2022-05-01 21:00:00
24,1651435200,0.2053,0.2094,0.206,0.2094,4733.2,991.13208,2022-05-01 20:00:00
25,1651431600,0.2051,0.2069,0.2069,0.2051,10399.6,2132.95796,2022-05-01 19:00:00
26,1651428000,0.2069,0.2091,0.2091,0.2069,647.7,134.00913,2022-05-01 18:00:00
27,1651424400,0.2091,0.2098,0.2094,0.2091,530.0,110.82300000000001,2022-05-01 17:00:00
28,1651420800,0.2076,0.2104,0.2086,0.2099,21961.8,4609.78182,2022-05-01 16:00:00
29,1651417200,0.2024,0.209,0.203,0.2083,17804.9,3708.7606700000006,2022-05-01 15:00:00
30,1651413600,0.2006,0.2026,0.202,0.2022,16170.7,3269.71554,2022-05-01 14:00:00
31,1651410000,0.2026,0.204,0.2037,0.2026,4390.9,889.5963399999999,2022-05-01 13:00:00
32,1651406400,0.2021,0.2087,0.2027,0.2036,32483.4,6613.62024,2022-05-01 12:00:00
33,1651402800,0.2034,0.2053,0.205,0.2039,8874.5,1809.51055,2022-05-01 11:00:00
34,1651399200,0.2044,0.2053,0.2051,0.2046,346.4,70.87344,2022-05-01 10:00:00
35,1651395600,0.2043,0.2064,0.2063,0.2043,3722.1,760.42503,2022-05-01 09:00:00
36,1651392000,0.2031,0.2067,0.2031,0.2062,20965.8,4323.147959999999,2022-05-01 08:00:00
37,1651388400,0.2024,0.2033,0.2027,0.2032,963.9,195.86448,2022-05-01 07:00:00
38,1651384800,0.2031,0.2072,0.2063,0.2042,2763.3,564.26586,2022-05-01 06:00:00
39,1651381200,0.2051,0.207,0.2051,0.2063,2020.0,416.726,2022-05-01 05:00:00
40,1651377600,0.2056,0.2093,0.2081,0.2058,2942.3,605.52534,2022-05-01 04:00:00
41,1651374000,0.2006,0.2097,0.2008,0.2085,19169.2,3996.7782,2022-05-01 03:00:00
42,1651370400,0.1985,0.2029,0.1996,0.2,4051.2,810.24,2022-05-01 02:00:00
43,1651366800,0.1915,0.2,0.1972,0.1992,16610.2,3308.75184,2022-05-01 01:00:00
44,1651363200,0.1948,0.2019,0.2013,0.1973,49677.5,9801.37075,2022-05-01 00:00:00
45,1651359600,0.1982,0.2135,0.2135,0.2017,195291.9,39390.376229999994,2022-04-30 23:00:00
46,1651356000,0.2135,0.2161,0.2158,0.2135,21675.3,4627.67655,2022-04-30 22:00:00
47,1651352400,0.216,0.2194,0.2192,0.216,2348.9,507.36240000000004,2022-04-30 21:00:00
48,1651348800,0.219,0.22,0.2197,0.2193,443.4,97.23761999999999,2022-04-30 20:00:00
49,1651345200,0.2178,0.2199,0.2178,0.2199,3997.7,879.09423,2022-04-30 19:00:00
50,1651341600,0.2165,0.2181,0.2165,0.2177,600.3,130.68531,2022-04-30 18:00:00
51,1651338000,0.2165,0.2179,0.217,0.2165,6027.8,1305.0187,2022-04-30 17:00:00
52,1651334400,0.217,0.2197,0.2187,0.217,2935.4,636.9818,2022-04-30 16:00:00
53,1651330800,0.2161,0.2194,0.2178,0.2191,3736.3,818.62333,2022-04-30 15:00:00
54,1651327200,0.2173,0.2211,0.2211,0.2178,6484.6,1412.34588,2022-04-30 14:00:00
55,1651323600,0.2211,0.2233,0.2228,0.2211,5383.7,1190.3360699999998,2022-04-30 13:00:00
56,1651320000,0.2228,0.2233,0.2233,0.2229,2482.3,553.30467,2022-04-30 12:00:00
57,1651316400,0.2226,0.2235,0.2226,0.2228,1336.4,297.74992000000003,2022-04-30 11:00:00
58,1651312800,0.2226,0.224,0.2229,0.2226,4942.7,1100.2450199999998,2022-04-30 10:00:00
59,1651309200,0.2227,0.2235,0.223,0.2229,7578.0,1689.1362,2022-04-30 09:00:00
60,1651305600,0.223,0.2253,0.2253,0.223,2613.2,582.7436,2022-04-30 08:00:00
61,1651302000,0.2245,0.2259,0.2258,0.225,1174.9,264.3525,2022-04-30 07:00:00
62,1651298400,0.225,0.2259,0.225,0.2257,4680.2,1056.32114,2022-04-30 06:00:00
63,1651294800,0.2235,0.225,0.2235,0.2249,6140.4,1380.9759599999998,2022-04-30 05:00:00
64,1651291200,0.2231,0.2254,0.2254,0.2237,2563.2,573.38784,2022-04-30 04:00:00
65,1651287600,0.225,0.2264,0.2264,0.2253,1930.1,434.85152999999997,2022-04-30 03:00:00
66,1651284000,0.2264,0.2272,0.2272,0.2264,1354.3,306.61352,2022-04-30 02:00:00
67,1651280400,0.2252,0.2269,0.2269,0.2267,3062.8,694.33676,2022-04-30 01:00:00
68,1651276800,0.2253,0.2284,0.2273,0.2269,11146.1,2529.05009,2022-04-30 00:00:00
69,1651273200,0.2264,0.2283,0.2276,0.2264,5560.6,1258.91984,2022-04-29 23:00:00
70,1651269600,0.2272,0.2288,0.228,0.2281,4397.0,1002.9557,2022-04-29 22:00:00
71,1651266000,0.227,0.229,0.2274,0.2282,28122.7,6417.60014,2022-04-29 21:00:00
72,1651262400,0.2266,0.228,0.2273,0.2266,18794.0,4258.7204,2022-04-29 20:00:00
73,1651258800,0.2273,0.2295,0.2295,0.2273,5418.6,1231.64778,2022-04-29 19:00:00
74,1651255200,0.2288,0.2307,0.2303,0.2288,2838.9,649.5403200000001,2022-04-29 18:00:00
75,1651251600,0.2302,0.2316,0.2306,0.2302,4068.2,936.4996399999999,2022-04-29 17:00:00
76,1651248000,0.2285,0.2319,0.2315,0.2298,13574.8,3119.48904,2022-04-29 16:00:00
77,1651244400,0.2297,0.2323,0.2316,0.231,14726.1,3401.7291000000005,2022-04-29 15:00:00
