,unix,low,high,open,close,volume,vol_fiat,date
0,1651521600,0.935,0.948,0.947,0.939,13359.55,12544.617449999998,2022-05-02 20:00:00
1,1651518000,0.928,0.948,0.93,0.947,21892.19,20731.903929999997,2022-05-02 19:00:00
2,1651514400,0.92,0.938,0.931,0.931,19823.21,18455.40851,2022-05-02 18:00:00
3,1651510800,0.925,0.947,0.943,0.932,39592.59,36900.29388,2022-05-02 17:00:00
4,1651507200,0.944,0.955,0.951,0.946,13757.64,13014.727439999999,2022-05-02 16:00:00
5,1651503600,0.946,0.964,0.963,0.952,47113.14,44851.709279999995,2022-05-02 15:00:00
6,1651500000,0.959,0.976,0.964,0.966,40370.6,38997.999599999996,2022-05-02 14:00:00
7,1651496400,0.925,0.966,0.935,0.957,81114.35,77626.43295,2022-05-02 13:00:00
8,1651492800,0.931,0.947,0.939,0.934,10334.26,9652.198840000001,2022-05-02 12:00:00
9,1651489200,0.933,0.948,0.948,0.937,27940.25,26180.01425,2022-05-02 11:00:00
10,1651485600,0.946,0.957,0.957,0.949,12550.51,11910.43399,2022-05-02 10:00:00
11,1651482000,0.951,0.977,0.966,0.956,19210.61,18365.34316,2022-05-02 09:00:00
12,1651478400,0.961,0.983,0.981,0.968,44830.1,43395.536799999994,2022-05-02 08:00:00
13,1651474800,0.978,0.988,0.98,0.978,4184.69,4092.6268199999995,2022-05-02 07:00:00
14,1651471200,0.977,1.007,1.005,0.977,18239.29,17819.78633,2022-05-02 06:00:00
15,1651467600,0.981,1.011,1.007,1.003,66454.64,66654.00391999999,2022-05-02 05:00:00
16,1651464000,0.979,1.007,0.988,1.004,29512.27,29630.31908,2022-05-02 04:00:00
17,1651460400,0.982,1.008,1.0,0.987,238981.71,235874.94777,2022-05-02 03:00:00
18,1651456800,0.974,1.002,0.984,0.999,41182.12,41140.937880000005,2022-05-02 02:00:00
19,1651453200,0.961,0.992,0.966,0.984,33085.7,32556.328799999996,2022-05-02 01:00:00
20,1651449600,0.943,0.965,0.946,0.965,24568.43,23708.53495,2022-05-02 00:00:00
21,1651446000,0.939,0.955,0.942,0.943,28530.47,26904.23321,2022-05-01 23:00:00
22,1651442400,0.931,0.948,0.944,0.943,8325.14,7850.6070199999995,2022-05-01 22:00:00
23,1651438800,0.926,0.943,0.937,0.943,6332.63,5971.67009,2022-05-01 21:00:00
24,1651435200,0.922,0.944,0.929,0.937,25308.03,23713.62411,2022-05-01 20:00:00
25,1651431600,0.919,0.935,0.929,0.929,50279.3,46709.46970000001,2022-05-01 19:00:00
26,1651428000,0.922,0.941,0.94,0.925,26161.83,24199.692750000002,2022-05-01 18:00:00
27,1651424400,0.939,0.952,0.95,0.942,20222.25,19049.3595,2022-05-01 17:00:00
28,1651420800,0.943,0.958,0.949,0.945,35518.7,33565.1715,2022-05-01 16:00:00
29,1651417200,0.913,0.951,0.914,0.949,65357.68,62024.438319999994,2022-05-01 15:00:00
30,1651413600,0.909,0.919,0.918,0.912,31622.13,28839.382560000002,2022-05-01 14:00:00
31,1651410000,0.916,0.926,0.926,0.92,23998.12,22078.2704,2022-05-01 13:00:00
32,1651406400,0.91,0.926,0.923,0.925,16926.97,15657.447250000001,2022-05-01 12:00:00
33,1651402800,0.921,0.932,0.932,0.923,4759.27,4392.806210000001,2022-05-01 11:00:00
34,1651399200,0.925,0.937,0.927,0.934,35621.88,33270.83592,2022-05-01 10:00:00
35,1651395600,0.921,0.936,0.935,0.928,21222.87,19694.82336,2022-05-01 09:00:00
36,1651392000,0.92,0.934,0.925,0.934,27463.33,25650.75022,2022-05-01 08:00:00
37,1651388400,0.917,0.926,0.922,0.926,7726.91,7155.11866,2022-05-01 07:00:00
38,1651384800,0.922,0.932,0.927,0.922,9091.85,8382.6857,2022-05-01 06:00:00
39,1651381200,0.907,0.929,0.908,0.927,37674.62,34924.372740000006,2022-05-01 05:00:00
40,1651377600,0.904,0.917,0.914,0.907,35248.87,31970.725090000004,2022-05-01 04:00:00
41,1651374000,0.911,0.924,0.917,0.914,11606.64,10608.46896,2022-05-01 03:00:00
42,1651370400,0.916,0.928,0.923,0.917,7357.93,6747.221810000001,2022-05-01 02:00:00
43,1651366800,0.888,0.929,0.901,0.922,91745.42,84589.27724,2022-05-01 01:00:00
44,1651363200,0.882,0.907,0.905,0.899,32238.45,28982.366550000002,2022-05-01 00:00:00
45,1651359600,0.843,0.963,0.963,0.904,279132.35,252335.6444,2022-04-30 23:00:00
46,1651356000,0.96,0.995,0.995,0.963,21788.8,20982.6144,2022-04-30 22:00:00
47,1651352400,0.993,1.009,1.009,0.995,16768.41,16684.56795,2022-04-30 21:00:00
48,1651348800,1.004,1.022,1.017,1.008,24580.05,24776.6904,2022-04-30 20:00:00
49,1651345200,1.002,1.033,1.008,1.015,88516.11,89843.85165,2022-04-30 19:00:00
50,1651341600,0.986,1.013,0.996,1.011,39385.71,39818.952809999995,2022-04-30 18:00:00
51,1651338000,0.985,1.004,0.996,0.997,55379.66,55213.52102,2022-04-30 17:00:00
52,1651334400,0.993,1.006,1.003,0.997,58644.4,58468.4668,2022-04-30 16:00:00
53,1651330800,0.977,1.022,0.983,1.0,93113.96,93113.96,2022-04-30 15:00:00
54,1651327200,0.978,1.056,0.997,0.981,253356.61,248542.83440999998,2022-04-30 14:00:00
55,1651323600,0.986,0.999,0.992,0.999,23642.97,23619.32703,2022-04-30 13:00:00
56,1651320000,0.987,0.998,0.987,0.99,19595.16,19399.2084,2022-04-30 12:00:00
57,1651316400,0.982,0.996,0.987,0.984,9986.09,9826.31256,2022-04-30 11:00:00
58,1651312800,0.982,0.994,0.987,0.985,24110.36,23748.7046,2022-04-30 10:00:00
59,1651309200,0.967,0.986,0.967,0.986,5806.85,5725.5541,2022-04-30 09:00:00
60,1651305600,0.964,0.975,0.973,0.969,24742.86,23975.83134,2022-04-30 08:00:00
61,1651302000,0.974,0.98,0.977,0.974,2816.53,2743.30022,2022-04-30 07:00:00
62,1651298400,0.975,0.989,0.989,0.98,12245.03,12000.1294,2022-04-30 06:00:00
63,1651294800,0.985,0.995,0.993,0.992,12574.99,12474.39008,2022-04-30 05:00:00
64,1651291200,0.985,0.999,0.996,0.992,11776.14,11681.93088,2022-04-30 04:00:00
65,1651287600,0.995,1.007,1.003,0.996,27892.14,27780.57144,2022-04-30 03:00:00
66,1651284000,0.991,1.005,0.993,1.005,17325.89,17412.519449999996,2022-04-30 02:00:00
67,1651280400,0.986,1.0,1.0,0.997,16212.29,16163.65313,2022-04-30 01:00:00
68,1651276800,0.974,0.999,0.976,0.999,17580.07,17562.48993,2022-04-30 00:00:00
69,1651273200,0.964,0.977,0.967,0.977,42670.95,41689.518149999996,2022-04-29 23:00:00
70,1651269600,0.954,0.966,0.966,0.964,27245.1,26264.2764,2022-04-29 22:00:00
71,1651266000,0.963,0.978,0.97,0.963,9268.85,8925.90255,2022-04-29 21:00:00
72,1651262400,0.965,0.981,0.969,0.974,26986.36,26284.71464,2022-04-29 20:00:00
73,1651258800,0.96,0.984,0.978,0.964,21389.2,20619.1888,2022-04-29 19:00:00
74,1651255200,0.966,0.989,0.988,0.976,26465.61,25830.43536,2022-04-29 18:00:00
75,1651251600,0.979,0.994,0.979,0.992,24374.07,24179.07744,2022-04-29 17:00:00
76,1651248000,0.976,0.998,0.997,0.98,33008.54,32348.3692,2022-04-29 16:00:00
77,1651244400,0.993,1.005,0.999,0.996,9580.8,9542.476799999999,2022-04-29 15:00:00
78,1651240800,0.992,1.007,1.007,1.002,7227.05,7241.5041,2022-04-29 14:00:00
79,1651237200,0.995,1.007,1.001,1.004,40411.77,40573.41708,2022-04-29 13:00:00
80,1651233600,0.987,1.003,0.993,0.999,22779.41,22756.63059,2022-04-29 12:00:00
