,unix,low,high,open,close,volume,vol_fiat,date
0,1651521600,0.1423,0.1473,0.1424,0.1467,42357.2,6213.80124,2022-05-02 20:00:00
1,1651518000,0.1396,0.1434,0.1396,0.1422,27263.0,3876.7985999999996,2022-05-02 19:00:00
2,1651514400,0.1387,0.1413,0.1388,0.1396,45629.0,6369.8084,2022-05-02 18:00:00
3,1651510800,0.138,0.1421,0.1421,0.1389,70826.8,9837.84252,2022-05-02 17:00:00
4,1651507200,0.1421,0.1451,0.1429,0.1421,36829.0,5233.400900000001,2022-05-02 16:00:00
5,1651503600,0.1427,0.145,0.1437,0.1429,13562.6,1938.09554,2022-05-02 15:00:00
6,1651500000,0.1416,0.1456,0.1431,0.1444,36856.6,5322.09304,2022-05-02 14:00:00
7,1651496400,0.1391,0.1436,0.1395,0.1423,79285.6,11282.340880000002,2022-05-02 13:00:00
8,1651492800,0.138,0.1418,0.1388,0.1403,65004.9,9120.18747,2022-05-02 12:00:00
9,1651489200,0.1388,0.1426,0.1424,0.1388,28430.1,3946.09788,2022-05-02 11:00:00
10,1651485600,0.141,0.145,0.145,0.1414,76606.8,10832.20152,2022-05-02 10:00:00
11,1651482000,0.1433,0.1461,0.144,0.1453,32090.2,4662.70606,2022-05-02 09:00:00
12,1651478400,0.1435,0.151,0.1502,0.144,204672.2,29472.7968,2022-05-02 08:00:00
13,1651474800,0.1477,0.1514,0.1478,0.1512,76421.7,11554.96104,2022-05-02 07:00:00
14,1651471200,0.1462,0.1485,0.1475,0.1474,20876.0,3077.1224,2022-05-02 06:00:00
15,1651467600,0.1459,0.1489,0.1489,0.1473,31635.9,4659.96807,2022-05-02 05:00:00
16,1651464000,0.1456,0.1489,0.1484,0.1489,34128.1,5081.6740899999995,2022-05-02 04:00:00
17,1651460400,0.1466,0.1483,0.1473,0.148,6373.9,943.3371999999999,2022-05-02 03:00:00
18,1651456800,0.1461,0.1487,0.1482,0.147,25067.5,3684.9224999999997,2022-05-02 02:00:00
19,1651453200,0.1468,0.1494,0.148,0.1478,18791.2,2777.33936,2022-05-02 01:00:00
20,1651449600,0.1459,0.1485,0.1477,0.148,47790.5,7072.994,2022-05-02 00:00:00
21,1651446000,0.1473,0.1523,0.1497,0.1489,144964.1,21585.15449,2022-05-01 23:00:00
22,1651442400,0.1465,0.1517,0.1465,0.1517,90916.2,13791.98754,2022-05-01 22:00:00
23,1651438800,0.1439,0.1468,0.1447,0.1464,28982.9,4243.09656,2022-05-01 21:00:00
24,1651435200,0.1434,0.1457,0.1442,0.1447,30763.0,4451.4061,2022-05-01 20:00:00
25,1651431600,0.1441,0.1466,0.1466,0.1444,33320.2,4811.436879999999,2022-05-01 19:00:00
26,1651428000,0.1454,0.1493,0.1486,0.1454,46603.4,6776.13436,2022-05-01 18:00:00
27,1651424400,0.1462,0.15,0.1482,0.1497,81532.9,12205.475129999999,2022-05-01 17:00:00
28,1651420800,0.1471,0.1517,0.1507,0.1483,91738.8,13604.864039999999,2022-05-01 16:00:00
29,1651417200,0.1477,0.1523,0.1503,0.1516,173896.4,26362.69424,2022-05-01 15:00:00
30,1651413600,0.1498,0.1608,0.1542,0.1515,581131.0,88041.3465,2022-05-01 14:00:00
31,1651410000,0.1465,0.1563,0.1523,0.1542,324943.6,50106.30312,2022-05-01 13:00:00
32,1651406400,0.1413,0.1556,0.1426,0.1523,497873.0,75826.0579,2022-05-01 12:00:00
33,1651402800,0.1419,0.1432,0.1422,0.143,3846.6,550.0637999999999,2022-05-01 11:00:00
34,1651399200,0.142,0.1435,0.1429,0.1429,5989.1,855.84239,2022-05-01 10:00:00
35,1651395600,0.1422,0.1453,0.1453,0.1422,9156.5,1302.0543,2022-05-01 09:00:00
36,1651392000,0.1412,0.1454,0.1428,0.1445,27934.9,4036.59305,2022-05-01 08:00:00
37,1651388400,0.1413,0.1427,0.1419,0.1424,8489.0,1208.8336,2022-05-01 07:00:00
38,1651384800,0.1416,0.1446,0.1424,0.1419,41188.1,5844.59139,2022-05-01 06:00:00
39,1651381200,0.1393,0.144,0.1394,0.1425,57023.1,8125.791749999999,2022-05-01 05:00:00
40,1651377600,0.1386,0.1421,0.1414,0.1394,23832.0,3322.1808,2022-05-01 04:00:00
41,1651374000,0.1374,0.1433,0.1381,0.1411,63416.7,8948.09637,2022-05-01 03:00:00
