,unix,low,high,open,close,volume,vol_fiat,date
0,1651521600,63.34,63.95,63.78,63.39,121.9498,7730.397822,2022-05-02 20:00:00
1,1651518000,63.3,63.93,63.3,63.78,370.0676,23602.911528,2022-05-02 19:00:00
2,1651514400,61.82,63.34,63.22,63.33,558.1558,35348.006814,2022-05-02 18:00:00
3,1651510800,62.99,63.83,63.8,63.09,210.9225,13307.100525000002,2022-05-02 17:00:00
4,1651507200,63.68,64.28,64.18,63.79,58.3106,3719.633174,2022-05-02 16:00:00
5,1651503600,63.7,64.12,63.82,64.09,86.2469,5527.563821,2022-05-02 15:00:00
6,1651500000,63.21,64.22,63.65,63.78,550.8548,35133.519144,2022-05-02 14:00:00
7,1651496400,63.07,64.29,64.11,63.78,1052.9784,67158.962352,2022-05-02 13:00:00
8,1651492800,64.0,64.63,64.18,64.21,215.0534,13808.578813999999,2022-05-02 12:00:00
9,1651489200,64.05,64.75,64.59,64.16,65.2339,4185.407024,2022-05-02 11:00:00
10,1651485600,64.43,64.8,64.69,64.59,44.5933,2880.281247,2022-05-02 10:00:00
11,1651482000,64.61,65.16,64.66,64.63,7.0023,452.55864899999995,2022-05-02 09:00:00
12,1651478400,64.59,64.94,64.72,64.62,56.5843,3656.4774660000003,2022-05-02 08:00:00
13,1651474800,64.55,64.83,64.7,64.72,14.3373,927.910056,2022-05-02 07:00:00
14,1651471200,64.59,65.1,64.91,64.6,29.8337,1927.2570199999998,2022-05-02 06:00:00
15,1651467600,64.52,65.13,65.12,64.7,101.214,6548.5458,2022-05-02 05:00:00
16,1651464000,64.44,65.12,64.5,65.12,133.4629,8691.104048,2022-05-02 04:00:00
17,1651460400,64.5,64.73,64.64,64.5,28.3724,1830.0198,2022-05-02 03:00:00
18,1651456800,64.3,64.7,64.54,64.67,237.4319,15354.720973000001,2022-05-02 02:00:00
19,1651453200,64.54,65.84,65.1,64.54,650.866,42006.89164,2022-05-02 01:00:00
20,1651449600,64.37,65.55,64.65,65.27,495.1331,32317.337437,2022-05-02 00:00:00
21,1651446000,63.18,64.95,63.21,64.66,289.8779,18743.505014,2022-05-01 23:00:00
22,1651442400,62.56,63.37,62.78,63.23,1224.9971,77456.566633,2022-05-01 22:00:00
23,1651438800,62.63,64.09,64.05,62.73,1504.1678,94356.44609399998,2022-05-01 21:00:00
24,1651435200,62.42,63.97,62.52,63.97,258.98,16566.9506,2022-05-01 20:00:00
25,1651431600,62.54,63.1,63.1,62.65,377.6645,23660.680924999997,2022-05-01 19:00:00
26,1651428000,62.95,64.23,64.23,63.03,215.6741,13593.938523,2022-05-01 18:00:00
27,1651424400,63.84,64.32,64.17,64.09,235.0009,15061.207681000002,2022-05-01 17:00:00
28,1651420800,63.2,64.39,63.47,64.17,338.7082,21734.905194,2022-05-01 16:00:00
29,1651417200,62.17,63.57,62.47,63.48,1033.6024,65613.08035199999,2022-05-01 15:00:00
30,1651413600,62.36,62.79,62.67,62.36,320.2084,19968.195824,2022-05-01 14:00:00
31,1651410000,62.57,62.83,62.61,62.67,45.7825,2869.189275,2022-05-01 13:00:00
32,1651406400,62.27,62.78,62.34,62.71,289.4109,18148.957539000003,2022-05-01 12:00:00
