,unix,low,high,open,close,volume,vol_fiat,date
0,1651521600,0.602,0.609,0.6069,0.6036,893882.1,539547.2355600001,2022-05-02 20:00:00
1,1651518000,0.588,0.6099,0.5889,0.6062,1058221.2,641493.69144,2022-05-02 19:00:00
2,1651514400,0.5809,0.5907,0.5836,0.5887,932946.5,549225.60455,2022-05-02 18:00:00
3,1651510800,0.58,0.5956,0.5954,0.5837,1305239.4,761868.23778,2022-05-02 17:00:00
4,1651507200,0.595,0.5999,0.5973,0.5954,1410477.1,839798.0653400001,2022-05-02 16:00:00
5,1651503600,0.595,0.5993,0.5976,0.5973,2397061.5,1431764.8339500001,2022-05-02 15:00:00
6,1651500000,0.5863,0.5984,0.5939,0.5975,1553076.9,927963.44775,2022-05-02 14:00:00
7,1651496400,0.5815,0.5993,0.5832,0.5942,1411815.8,838900.9483599999,2022-05-02 13:00:00
8,1651492800,0.5808,0.5872,0.5835,0.5833,974673.7,568527.16921,2022-05-02 12:00:00
9,1651489200,0.5822,0.5888,0.5879,0.5834,605189.9,353067.78766000003,2022-05-02 11:00:00
10,1651485600,0.5839,0.5904,0.588,0.5879,394410.9,231874.16811,2022-05-02 10:00:00
11,1651482000,0.5871,0.5944,0.5925,0.5883,310479.1,182654.85453,2022-05-02 09:00:00
12,1651478400,0.5899,0.599,0.5959,0.5931,371625.7,220411.20267,2022-05-02 08:00:00
13,1651474800,0.5947,0.6019,0.6009,0.5957,233704.7,139217.88979000002,2022-05-02 07:00:00
14,1651471200,0.6003,0.6059,0.6032,0.6005,168670.3,101286.51514999999,2022-05-02 06:00:00
15,1651467600,0.6009,0.6073,0.6067,0.6032,351146.7,211811.68944,2022-05-02 05:00:00
16,1651464000,0.5969,0.609,0.5989,0.6065,477246.0,289449.699,2022-05-02 04:00:00
17,1651460400,0.5984,0.6014,0.599,0.5988,293321.8,175641.09384,2022-05-02 03:00:00
18,1651456800,0.5947,0.5994,0.5979,0.5993,343405.6,205802.97608,2022-05-02 02:00:00
19,1651453200,0.5975,0.6076,0.6061,0.598,457965.6,273863.4288,2022-05-02 01:00:00
20,1651449600,0.6007,0.6072,0.6015,0.6061,636096.3,385537.96743,2022-05-02 00:00:00
21,1651446000,0.5934,0.605,0.5965,0.602,536014.0,322680.428,2022-05-01 23:00:00
22,1651442400,0.5926,0.6013,0.5926,0.5962,506602.3,302036.29125999997,2022-05-01 22:00:00
23,1651438800,0.5891,0.5989,0.5978,0.5928,422376.6,250384.84848,2022-05-01 21:00:00
24,1651435200,0.5853,0.5986,0.5874,0.5981,741157.0,443286.00169999996,2022-05-01 20:00:00
25,1651431600,0.5796,0.5894,0.5884,0.5872,1121265.8,658407.2777600001,2022-05-01 19:00:00
26,1651428000,0.5881,0.6004,0.6001,0.5888,970495.3,571427.63264,2022-05-01 18:00:00
27,1651424400,0.599,0.6054,0.6017,0.5998,712116.7,427127.59666,2022-05-01 17:00:00
28,1651420800,0.5985,0.6053,0.6007,0.6016,1219190.8,733465.1852800001,2022-05-01 16:00:00
29,1651417200,0.5818,0.6023,0.582,0.6004,1344979.2,807525.51168,2022-05-01 15:00:00
30,1651413600,0.5801,0.5874,0.5829,0.582,815860.8,474830.9856,2022-05-01 14:00:00
31,1651410000,0.5827,0.5876,0.5855,0.5829,645591.5,376315.28534999996,2022-05-01 13:00:00
32,1651406400,0.5806,0.5891,0.5838,0.5853,703582.5,411806.83725000004,2022-05-01 12:00:00
33,1651402800,0.5836,0.5887,0.5874,0.584,452397.3,264200.0232,2022-05-01 11:00:00
34,1651399200,0.5853,0.5908,0.5859,0.5873,327889.7,192569.62081000002,2022-05-01 10:00:00
35,1651395600,0.5847,0.5914,0.5901,0.5859,482792.9,282868.36011,2022-05-01 09:00:00
36,1651392000,0.5822,0.5903,0.583,0.5897,572591.4,337657.14858000004,2022-05-01 08:00:00
37,1651388400,0.5819,0.5885,0.5838,0.5829,504178.2,293885.47278,2022-05-01 07:00:00
38,1651384800,0.5828,0.5885,0.5859,0.5838,476545.8,278207.43804,2022-05-01 06:00:00
39,1651381200,0.5727,0.5873,0.5744,0.586,863463.1,505989.37659999996,2022-05-01 05:00:00
40,1651377600,0.571,0.577,0.5768,0.5744,876462.7,503440.17488,2022-05-01 04:00:00
41,1651374000,0.5723,0.5793,0.5733,0.5769,931163.1,537187.9923899999,2022-05-01 03:00:00
42,1651370400,0.5725,0.5817,0.5775,0.573,1386722.9,794592.2216999999,2022-05-01 02:00:00
43,1651366800,0.5644,0.5799,0.5711,0.5772,1721932.5,993899.4390000001,2022-05-01 01:00:00
44,1651363200,0.5641,0.5773,0.5675,0.5715,2206067.6,1260767.6334000002,2022-05-01 00:00:00
45,1651359600,0.538,0.5931,0.5895,0.5676,5268895.2,2990624.9155200003,2022-04-30 23:00:00
46,1651356000,0.5885,0.6032,0.6032,0.5897,3768339.6,2222189.86212,2022-04-30 22:00:00
47,1651352400,0.6008,0.6051,0.6034,0.6034,852426.2,514353.96908,2022-04-30 21:00:00
48,1651348800,0.6027,0.6117,0.6103,0.6032,1048016.3,632163.43216,2022-04-30 20:00:00
49,1651345200,0.6061,0.614,0.6087,0.611,848234.9,518271.52390000003,2022-04-30 19:00:00
50,1651341600,0.6044,0.6099,0.6054,0.6092,1110867.1,676740.2373200001,2022-04-30 18:00:00
51,1651338000,0.6022,0.6156,0.6152,0.6052,1835359.0,1110759.2667999999,2022-04-30 17:00:00
52,1651334400,0.6146,0.6233,0.6202,0.6152,577850.1,355493.38152,2022-04-30 16:00:00
53,1651330800,0.6125,0.6223,0.614,0.6202,844839.9,523969.70597999997,2022-04-30 15:00:00
54,1651327200,0.6133,0.6302,0.6268,0.614,1167416.0,716793.424,2022-04-30 14:00:00
55,1651323600,0.6253,0.6344,0.6327,0.627,431243.2,270389.4864,2022-04-30 13:00:00
56,1651320000,0.632,0.6378,0.6351,0.6324,588587.5,372222.735,2022-04-30 12:00:00
57,1651316400,0.633,0.6374,0.633,0.6351,250735.6,159242.17956,2022-04-30 11:00:00
58,1651312800,0.6313,0.6358,0.6341,0.6329,285592.8,180751.68312,2022-04-30 10:00:00
59,1651309200,0.6304,0.6349,0.6325,0.6341,243034.1,154107.92281,2022-04-30 09:00:00
60,1651305600,0.6279,0.6361,0.6361,0.6325,380459.0,240640.31749999998,2022-04-30 08:00:00
61,1651302000,0.6343,0.6394,0.6387,0.636,210748.5,134036.046,2022-04-30 07:00:00
62,1651298400,0.6354,0.6396,0.6379,0.6384,151267.3,96569.04431999999,2022-04-30 06:00:00
63,1651294800,0.6335,0.6392,0.6354,0.6381,179813.1,114738.73911000001,2022-04-30 05:00:00
64,1651291200,0.6316,0.637,0.6341,0.6352,422212.0,268189.0624,2022-04-30 04:00:00
65,1651287600,0.6309,0.637,0.6365,0.634,673991.4,427310.54760000005,2022-04-30 03:00:00
66,1651284000,0.6344,0.6402,0.6376,0.6364,450874.3,286936.40452,2022-04-30 02:00:00
67,1651280400,0.6339,0.6389,0.6366,0.638,306001.0,195228.638,2022-04-30 01:00:00
68,1651276800,0.6324,0.6393,0.638,0.6368,513460.9,326971.90112000005,2022-04-30 00:00:00
69,1651273200,0.6334,0.6386,0.6355,0.6379,487533.5,310997.61965,2022-04-29 23:00:00
70,1651269600,0.6282,0.6367,0.6328,0.6353,551691.6,350489.67348,2022-04-29 22:00:00
71,1651266000,0.6281,0.6353,0.6297,0.6326,1463934.7,926085.0912200001,2022-04-29 21:00:00
72,1651262400,0.6254,0.632,0.6261,0.6299,1214651.3,765108.85387,2022-04-29 20:00:00
73,1651258800,0.6192,0.639,0.6371,0.6261,2513532.2,1573722.5104200002,2022-04-29 19:00:00
74,1651255200,0.6319,0.6528,0.651,0.6372,1809988.6,1153324.7359200001,2022-04-29 18:00:00
75,1651251600,0.6474,0.6539,0.6494,0.6508,570766.9,371455.09852000006,2022-04-29 17:00:00
76,1651248000,0.6471,0.6578,0.6558,0.6499,731618.6,475478.92814000003,2022-04-29 16:00:00
77,1651244400,0.654,0.6601,0.656,0.656,563765.3,369830.03680000006,2022-04-29 15:00:00
78,1651240800,0.654,0.6669,0.665,0.656,1216988.2,798344.2592,2022-04-29 14:00:00
79,1651237200,0.6568,0.6673,0.6587,0.6652,535919.5,356493.65140000003,2022-04-29 13:00:00
80,1651233600,0.6541,0.6615,0.656,0.6591,409055.0,269608.1505,2022-04-29 12:00:00
81,1651230000,0.653,0.6603,0.6587,0.6561,765570.3,502290.67383000004,2022-04-29 11:00:00
82,1651226400,0.6558,0.6675,0.6669,0.6585,610517.1,402025.51035,2022-04-29 10:00:00
83,1651222800,0.6657,0.6714,0.6714,0.6667,496478.0,331001.88259999995,2022-04-29 09:00:00
84,1651219200,0.6709,0.6768,0.673,0.6714,647293.0,434592.52019999997,2022-04-29 08:00:00
85,1651215600,0.6707,0.6877,0.686,0.6729,1143924.7,769746.9306300001,2022-04-29 07:00:00
86,1651212000,0.6806,0.6887,0.6838,0.6863,295339.7,202691.63611000002,2022-04-29 06:00:00
87,1651208400,0.6818,0.6863,0.6823,0.6841,204219.0,139706.21790000002,2022-04-29 05:00:00
88,1651204800,0.6815,0.6884,0.6871,0.6823,496654.1,338867.09243,2022-04-29 04:00:00
89,1651201200,0.6849,0.6939,0.691,0.6871,625770.7,429967.04797,2022-04-29 03:00:00
90,1651197600,0.6874,0.7037,0.7037,0.6912,481020.2,332481.16224000003,2022-04-29 02:00:00
91,1651194000,0.6984,0.7098,0.7041,0.704,1073544.8,755775.5392,2022-04-29 01:00:00
92,1651190400,0.694,0.7047,0.6983,0.7043,673664.6,474461.97778,2022-04-29 00:00:00
93,1651186800,0.6901,0.7021,0.6961,0.6983,1076060.5,751413.04715,2022-04-28 23:00:00
94,1651183200,0.6869,0.7074,0.7072,0.6962,1221313.1,850278.1802200001,2022-04-28 22:00:00
95,1651179600,0.6792,0.7155,0.6801,0.7075,3151352.6,2229581.9645000002,2022-04-28 21:00:00
0,1651176000,0.6769,0.6855,0.6828,0.6799,522493.1,355243.05869,2022-04-28 20:00:00
1,1651172400,0.6819,0.6907,0.6863,0.683,550611.6,376067.7228,2022-04-28 19:00:00
