,unix,low,high,open,close,volume,vol_fiat,date
0,1651521600,4.834,4.901,4.896,4.849,1029.357,4991.352093,2022-05-02 20:00:00
1,1651518000,4.846,4.91,4.85,4.889,2886.853,14113.824317,2022-05-02 19:00:00
2,1651514400,4.76,4.839,4.817,4.822,1174.133,5661.669326,2022-05-02 18:00:00
3,1651510800,4.738,4.908,4.908,4.781,1680.399,8033.987618999999,2022-05-02 17:00:00
4,1651507200,4.909,4.982,4.954,4.909,2540.523,12471.427407000001,2022-05-02 16:00:00
5,1651503600,4.955,5.029,4.993,4.955,1015.845,5033.511975,2022-05-02 15:00:00
6,1651500000,4.931,5.067,5.016,4.987,5195.519,25910.053253000002,2022-05-02 14:00:00
7,1651496400,4.869,5.038,4.943,5.0,5593.739,27968.695,2022-05-02 13:00:00
8,1651492800,4.895,4.982,4.895,4.92,1017.226,5004.75192,2022-05-02 12:00:00
9,1651489200,4.869,4.93,4.912,4.921,796.578,3919.960338,2022-05-02 11:00:00
10,1651485600,4.885,4.975,4.971,4.908,712.516,3497.0285280000003,2022-05-02 10:00:00
11,1651482000,4.963,5.058,5.002,4.977,826.709,4114.530693,2022-05-02 09:00:00
12,1651478400,4.978,5.103,5.102,5.008,1074.635,5381.77208,2022-05-02 08:00:00
13,1651474800,5.056,5.152,5.124,5.089,911.827,4640.287603000001,2022-05-02 07:00:00
14,1651471200,5.125,5.195,5.174,5.125,425.666,2181.53825,2022-05-02 06:00:00
15,1651467600,5.115,5.173,5.126,5.173,594.995,3077.909135,2022-05-02 05:00:00
16,1651464000,5.064,5.143,5.122,5.13,416.723,2137.78899,2022-05-02 04:00:00
17,1651460400,5.087,5.116,5.106,5.108,91.078,465.226424,2022-05-02 03:00:00
18,1651456800,5.043,5.102,5.099,5.102,832.91,4249.5068200000005,2022-05-02 02:00:00
19,1651453200,5.106,5.182,5.169,5.106,1721.519,8790.076014,2022-05-02 01:00:00
20,1651449600,5.077,5.223,5.09,5.173,2225.863,11514.389298999999,2022-05-02 00:00:00
21,1651446000,5.02,5.152,5.023,5.091,2006.337,10214.261667,2022-05-01 23:00:00
22,1651442400,5.026,5.101,5.054,5.026,1941.171,9756.325446,2022-05-01 22:00:00
23,1651438800,4.982,5.075,5.047,5.053,817.063,4128.619339,2022-05-01 21:00:00
24,1651435200,4.951,5.066,4.964,5.052,1400.814,7076.912327999999,2022-05-01 20:00:00
25,1651431600,4.913,5.055,4.95,4.979,619.077,3082.384383,2022-05-01 19:00:00
26,1651428000,4.952,5.071,5.058,4.952,238.369,1180.403288,2022-05-01 18:00:00
27,1651424400,5.08,5.179,5.145,5.087,1680.944,8550.962128,2022-05-01 17:00:00
28,1651420800,5.11,5.181,5.133,5.148,1050.106,5405.945688,2022-05-01 16:00:00
29,1651417200,4.913,5.161,4.913,5.13,4663.25,23922.4725,2022-05-01 15:00:00
30,1651413600,4.863,4.939,4.934,4.914,2327.208,11435.900112,2022-05-01 14:00:00
31,1651410000,4.918,4.978,4.97,4.934,1019.027,5027.879218,2022-05-01 13:00:00
32,1651406400,4.88,4.995,4.95,4.98,632.519,3149.94462,2022-05-01 12:00:00
33,1651402800,4.942,5.02,5.02,4.974,561.828,2794.532472,2022-05-01 11:00:00
34,1651399200,4.964,5.034,5.005,5.015,1351.83,6779.427449999999,2022-05-01 10:00:00
35,1651395600,4.974,5.08,5.08,5.005,760.755,3807.578775,2022-05-01 09:00:00
36,1651392000,5.032,5.09,5.048,5.084,922.585,4690.42214,2022-05-01 08:00:00
37,1651388400,4.994,5.053,5.013,5.021,1441.414,7237.339694,2022-05-01 07:00:00
38,1651384800,5.024,5.108,5.065,5.024,869.334,4367.534016,2022-05-01 06:00:00
39,1651381200,4.989,5.11,4.989,5.08,2352.741,11951.92428,2022-05-01 05:00:00
40,1651377600,4.958,5.021,4.993,4.989,5225.796,26071.496244,2022-05-01 04:00:00
41,1651374000,4.941,4.992,4.941,4.989,703.837,3511.4427929999997,2022-05-01 03:00:00
42,1651370400,4.932,5.038,4.97,4.94,2665.543,13167.782420000001,2022-05-01 02:00:00
43,1651366800,4.824,5.007,4.934,4.967,2291.568,11382.218256,2022-05-01 01:00:00
44,1651363200,4.823,5.004,4.927,4.932,2098.957,10352.055924,2022-05-01 00:00:00
45,1651359600,4.471,5.276,5.276,4.928,35217.541,173552.04204799997,2022-04-30 23:00:00
46,1651356000,5.218,5.461,5.461,5.265,6429.617,33851.933505,2022-04-30 22:00:00
47,1651352400,5.462,5.514,5.514,5.464,108.948,595.291872,2022-04-30 21:00:00
