,unix,low,high,open,close,volume,vol_fiat,date
0,1651521600,0.01846,0.01872,0.01871,0.01849,6252203,115603.23346999999,2022-05-02 20:00:00
1,1651518000,0.01857,0.01874,0.01859,0.01868,2406060,44945.2008,2022-05-02 19:00:00
2,1651514400,0.01852,0.01878,0.0187,0.01858,6573148,122129.08984,2022-05-02 18:00:00
3,1651510800,0.01859,0.01892,0.01881,0.01873,5272692,98757.52116,2022-05-02 17:00:00
4,1651507200,0.0188,0.01908,0.01903,0.01881,4545423,85499.40663,2022-05-02 16:00:00
5,1651503600,0.01901,0.01914,0.01909,0.01903,1131764,21537.46892,2022-05-02 15:00:00
6,1651500000,0.0189,0.01924,0.01895,0.01908,4073283,77718.23964,2022-05-02 14:00:00
7,1651496400,0.01882,0.01926,0.01888,0.01897,8976770,170289.32690000001,2022-05-02 13:00:00
8,1651492800,0.0187,0.01893,0.01877,0.01888,1786387,33726.986560000005,2022-05-02 12:00:00
9,1651489200,0.01874,0.01889,0.01876,0.01877,6030463,113191.79050999999,2022-05-02 11:00:00
10,1651485600,0.01874,0.01893,0.0189,0.01876,2185665,41003.075399999994,2022-05-02 10:00:00
11,1651482000,0.01887,0.01907,0.01902,0.0189,1987656,37566.6984,2022-05-02 09:00:00
12,1651478400,0.01901,0.01917,0.01911,0.01902,3998495,76051.3749,2022-05-02 08:00:00
13,1651474800,0.01911,0.01935,0.01931,0.01911,1402602,26803.724219999996,2022-05-02 07:00:00
14,1651471200,0.01925,0.01937,0.01927,0.01933,1818015,35142.22995,2022-05-02 06:00:00
15,1651467600,0.01915,0.01933,0.01931,0.01927,2047660,39458.4082,2022-05-02 05:00:00
16,1651464000,0.01912,0.01935,0.01922,0.0193,1893791,36550.166300000004,2022-05-02 04:00:00
17,1651460400,0.01922,0.01933,0.01923,0.01922,1416357,27222.381540000002,2022-05-02 03:00:00
18,1651456800,0.01909,0.01926,0.01926,0.01923,2732597,52547.84031,2022-05-02 02:00:00
19,1651453200,0.01923,0.01946,0.01941,0.01923,1971542,37912.75266,2022-05-02 01:00:00
20,1651449600,0.01919,0.01951,0.01924,0.01939,5428990,105268.1161,2022-05-02 00:00:00
21,1651446000,0.01901,0.01937,0.01903,0.01921,3686377,70815.30217000001,2022-05-01 23:00:00
22,1651442400,0.01902,0.01918,0.01904,0.01903,3341439,63587.584169999995,2022-05-01 22:00:00
23,1651438800,0.01901,0.01936,0.01932,0.01904,2306602,43917.70208,2022-05-01 21:00:00
24,1651435200,0.01901,0.01936,0.01928,0.01932,2705462,52269.52584,2022-05-01 20:00:00
25,1651431600,0.01907,0.0193,0.01918,0.01928,3616972,69735.22016,2022-05-01 19:00:00
26,1651428000,0.01912,0.0195,0.0195,0.01918,4431875,85003.3625,2022-05-01 18:00:00
27,1651424400,0.01941,0.01965,0.01949,0.0195,2962105,57761.0475,2022-05-01 17:00:00
28,1651420800,0.01947,0.01973,0.01953,0.01952,4357778,85063.82656,2022-05-01 16:00:00
29,1651417200,0.01907,0.01978,0.01907,0.01953,13368364,261084.14891999998,2022-05-01 15:00:00
30,1651413600,0.01889,0.01917,0.01891,0.01908,6269662,119625.15096,2022-05-01 14:00:00
31,1651410000,0.01885,0.01903,0.01885,0.01891,5910561,111768.70851,2022-05-01 13:00:00
32,1651406400,0.01883,0.01902,0.01895,0.01886,6307215,118954.07489999999,2022-05-01 12:00:00
33,1651402800,0.01891,0.01908,0.01903,0.01895,3705541,70220.00195,2022-05-01 11:00:00
34,1651399200,0.01901,0.01921,0.01919,0.01905,2257800,43011.090000000004,2022-05-01 10:00:00
35,1651395600,0.01907,0.01927,0.01922,0.01919,3044514,58424.223659999996,2022-05-01 09:00:00
36,1651392000,0.0189,0.01922,0.01901,0.01922,10095628,194037.97016,2022-05-01 08:00:00
37,1651388400,0.01895,0.01911,0.01909,0.019,5161276,98064.24399999999,2022-05-01 07:00:00
38,1651384800,0.01895,0.0192,0.01914,0.01908,11135017,212456.12436,2022-05-01 06:00:00
39,1651381200,0.01904,0.01923,0.01912,0.01915,5712041,109385.58515,2022-05-01 05:00:00
40,1651377600,0.019,0.01932,0.01918,0.01912,9058306,173194.81072,2022-05-01 04:00:00
41,1651374000,0.01912,0.01922,0.01913,0.01921,3036603,58333.143630000006,2022-05-01 03:00:00
42,1651370400,0.01912,0.01945,0.01934,0.01913,5582055,106784.71215,2022-05-01 02:00:00
43,1651366800,0.01909,0.01943,0.01935,0.01932,7710338,148963.73016,2022-05-01 01:00:00
44,1651363200,0.01929,0.0195,0.01933,0.01935,6532784,126409.3704,2022-05-01 00:00:00
45,1651359600,0.01925,0.02002,0.02002,0.01933,12145708,234776.53564,2022-04-30 23:00:00
46,1651356000,0.01966,0.02038,0.01968,0.02,13395451,267909.02,2022-04-30 22:00:00
47,1651352400,0.01964,0.01994,0.01973,0.01971,6403778,126218.46437999999,2022-04-30 21:00:00
48,1651348800,0.01968,0.02,0.01996,0.01973,11338065,223700.02245000002,2022-04-30 20:00:00
49,1651345200,0.01986,0.01999,0.01994,0.01999,3239811,64763.82189,2022-04-30 19:00:00
50,1651341600,0.01977,0.01997,0.01984,0.01994,4175265,83254.7841,2022-04-30 18:00:00
51,1651338000,0.01972,0.01991,0.01978,0.01984,3056397,60638.91648,2022-04-30 17:00:00
52,1651334400,0.01973,0.01984,0.01978,0.01978,2979659,58937.65502,2022-04-30 16:00:00
53,1651330800,0.01964,0.01985,0.01972,0.01976,5473990,108166.0424,2022-04-30 15:00:00
54,1651327200,0.01967,0.01991,0.01982,0.01972,5565659,109754.79548,2022-04-30 14:00:00
55,1651323600,0.01968,0.0199,0.01982,0.01982,8059602,159741.31164,2022-04-30 13:00:00
56,1651320000,0.01978,0.02024,0.02011,0.01978,5902913,116759.61914,2022-04-30 12:00:00
57,1651316400,0.01997,0.02015,0.02001,0.02011,3064194,61620.94134,2022-04-30 11:00:00
58,1651312800,0.01975,0.02005,0.0198,0.02001,3439900,68832.399,2022-04-30 10:00:00
59,1651309200,0.01963,0.01982,0.01966,0.0198,1570827,31102.374600000003,2022-04-30 09:00:00
60,1651305600,0.01953,0.01976,0.01972,0.01969,5791499,114034.61531,2022-04-30 08:00:00
61,1651302000,0.01948,0.01981,0.01981,0.01971,7949931,156693.14000999997,2022-04-30 07:00:00
62,1651298400,0.0197,0.02,0.01983,0.0198,5870254,116231.0292,2022-04-30 06:00:00
63,1651294800,0.0198,0.02003,0.01995,0.01982,4060481,80478.73342,2022-04-30 05:00:00
64,1651291200,0.0199,0.02008,0.01994,0.01994,4500349,89736.95906,2022-04-30 04:00:00
65,1651287600,0.01987,0.02031,0.02017,0.01994,6135931,122350.46414,2022-04-30 03:00:00
66,1651284000,0.02011,0.02028,0.0202,0.02017,1333909,26904.94453,2022-04-30 02:00:00
67,1651280400,0.02018,0.0203,0.02021,0.0202,4312603,87114.5806,2022-04-30 01:00:00
68,1651276800,0.02017,0.02074,0.0206,0.02021,10370999,209597.88979,2022-04-30 00:00:00
69,1651273200,0.02003,0.02066,0.02004,0.02062,7999035,164940.1017,2022-04-29 23:00:00
70,1651269600,0.02,0.02013,0.02013,0.02003,2116474,42392.97422,2022-04-29 22:00:00
71,1651266000,0.02009,0.02045,0.02015,0.02013,5471054,110132.31701999999,2022-04-29 21:00:00
72,1651262400,0.02003,0.02019,0.02013,0.02013,6387417,128578.70421,2022-04-29 20:00:00
73,1651258800,0.01994,0.02027,0.02021,0.02017,7828353,157897.88001,2022-04-29 19:00:00
74,1651255200,0.02003,0.0203,0.02021,0.02021,11241471,227190.12891,2022-04-29 18:00:00
75,1651251600,0.02003,0.0205,0.02005,0.02018,13712959,276727.51262,2022-04-29 17:00:00
76,1651248000,0.01996,0.02023,0.02023,0.02003,18832248,377209.92744,2022-04-29 16:00:00
77,1651244400,0.0201,0.02031,0.02016,0.02023,8067539,163206.31397000002,2022-04-29 15:00:00
78,1651240800,0.0201,0.02031,0.02017,0.02016,9222536,185926.32576,2022-04-29 14:00:00
79,1651237200,0.02011,0.02035,0.02029,0.02018,11650125,235099.5225,2022-04-29 13:00:00
80,1651233600,0.02015,0.0204,0.02019,0.02029,4605182,93439.14278,2022-04-29 12:00:00
81,1651230000,0.02013,0.02033,0.02023,0.02019,4717855,95253.49245,2022-04-29 11:00:00
82,1651226400,0.02011,0.02049,0.02042,0.02025,7828124,158519.511,2022-04-29 10:00:00
83,1651222800,0.02038,0.0206,0.02059,0.02045,3945347,80682.34615,2022-04-29 09:00:00
84,1651219200,0.02056,0.02071,0.02063,0.02059,4188035,86231.64065,2022-04-29 08:00:00
85,1651215600,0.02054,0.02069,0.02061,0.02063,2572613,53073.00619,2022-04-29 07:00:00
86,1651212000,0.02056,0.02081,0.02067,0.02059,5614716,115607.00244,2022-04-29 06:00:00
87,1651208400,0.02057,0.02083,0.0206,0.02069,5640289,116697.57941,2022-04-29 05:00:00
88,1651204800,0.02051,0.02084,0.0208,0.02061,9010102,185698.20222,2022-04-29 04:00:00
89,1651201200,0.0206,0.0211,0.0206,0.0208,11289686,234825.4688,2022-04-29 03:00:00
90,1651197600,0.0206,0.02096,0.02084,0.02062,11387682,234814.00284,2022-04-29 02:00:00
91,1651194000,0.02072,0.02109,0.0209,0.02084,11078363,230873.08492000002,2022-04-29 01:00:00
92,1651190400,0.02074,0.02106,0.02082,0.0209,12844900,268458.41,2022-04-29 00:00:00
