,unix,low,high,open,close,volume,vol_fiat,date
0,1651525200,0.0613,0.06249,0.06143,0.06249,552885,34549.78365,2022-05-02 21:00:00
1,1651521600,0.06122,0.06187,0.06181,0.06148,539972,33197.47856,2022-05-02 20:00:00
2,1651518000,0.06088,0.06201,0.061,0.06177,893044,55163.32788,2022-05-02 19:00:00
3,1651514400,0.06028,0.06132,0.06117,0.06102,5211954,318033.43308,2022-05-02 18:00:00
4,1651510800,0.06041,0.06223,0.06206,0.06121,3069613,187891.01173,2022-05-02 17:00:00
5,1651507200,0.06188,0.06276,0.06276,0.06205,499151,30972.31955,2022-05-02 16:00:00
6,1651503600,0.06241,0.06321,0.06286,0.06267,362878,22741.564260000003,2022-05-02 15:00:00
7,1651500000,0.06188,0.0633,0.06238,0.0628,1011694,63534.3832,2022-05-02 14:00:00
8,1651496400,0.06127,0.06289,0.06186,0.0624,1855079,115756.92959999999,2022-05-02 13:00:00
9,1651492800,0.06126,0.06225,0.06134,0.06168,798080,49225.5744,2022-05-02 12:00:00
10,1651489200,0.06118,0.06196,0.06182,0.06131,550295,33738.58645,2022-05-02 11:00:00
11,1651485600,0.06163,0.06245,0.06245,0.06183,578895,35793.07785,2022-05-02 10:00:00
12,1651482000,0.06243,0.06336,0.06322,0.06246,519988,32478.45048,2022-05-02 09:00:00
13,1651478400,0.06271,0.06369,0.06364,0.06319,606687,38336.55153,2022-05-02 08:00:00
14,1651474800,0.06348,0.06427,0.06386,0.06365,104881,6675.67565,2022-05-02 07:00:00
15,1651471200,0.06384,0.06468,0.06433,0.06389,309905,19799.83045,2022-05-02 06:00:00
16,1651467600,0.06387,0.06446,0.06433,0.06434,214120,13776.4808,2022-05-02 05:00:00
17,1651464000,0.06368,0.06441,0.06381,0.06432,355708,22879.13856,2022-05-02 04:00:00
18,1651460400,0.06374,0.06425,0.0641,0.06379,587921,37503.48059,2022-05-02 03:00:00
19,1651456800,0.06331,0.06405,0.0637,0.06402,816146,52249.666919999996,2022-05-02 02:00:00
20,1651453200,0.06364,0.06439,0.06382,0.0637,681161,43389.955700000006,2022-05-02 01:00:00
21,1651449600,0.0633,0.06412,0.06341,0.06382,1059465,67615.0563,2022-05-02 00:00:00
22,1651446000,0.06203,0.06399,0.06215,0.06347,985955,62578.56385,2022-05-01 23:00:00
23,1651442400,0.06205,0.0629,0.06228,0.06216,628495,39067.2492,2022-05-01 22:00:00
24,1651438800,0.06198,0.06327,0.06304,0.06228,784423,48853.864440000005,2022-05-01 21:00:00
25,1651435200,0.06151,0.06309,0.06185,0.06301,927391,58434.90691,2022-05-01 20:00:00
26,1651431600,0.06088,0.0619,0.06143,0.06185,827762,51197.0797,2022-05-01 19:00:00
27,1651428000,0.06144,0.06321,0.06321,0.06146,908757,55852.20522,2022-05-01 18:00:00
28,1651424400,0.06313,0.06411,0.06389,0.06323,743962,47040.71726,2022-05-01 17:00:00
