,unix,low,high,open,close,volume,vol_fiat,date
0,1651525200,14.4,15.147,14.536,14.926,471950.96,7044340.028960001,2022-05-02 21:00:00
1,1651521600,14.398,14.808,14.764,14.536,258550.8,3758294.4288,2022-05-02 20:00:00
2,1651518000,14.376,14.778,14.483,14.762,360061.96,5315234.65352,2022-05-02 19:00:00
3,1651514400,14.205,14.649,14.439,14.481,556982.04,8065656.92124,2022-05-02 18:00:00
4,1651510800,14.301,14.761,14.714,14.446,524191.34,7572468.09764,2022-05-02 17:00:00
5,1651507200,14.624,15.247,15.011,14.725,377802.61,5563143.43225,2022-05-02 16:00:00
6,1651503600,14.887,15.37,15.366,15.012,348142.4,5226313.7088,2022-05-02 15:00:00
7,1651500000,15.137,15.6,15.378,15.365,487436.11,7489455.83015,2022-05-02 14:00:00
8,1651496400,14.787,15.489,15.017,15.39,614282.0,9453799.98,2022-05-02 13:00:00
9,1651492800,14.906,15.633,15.407,15.022,528414.33,7937840.06526,2022-05-02 12:00:00
10,1651489200,15.111,15.49,15.378,15.417,236706.33,3649301.4896099996,2022-05-02 11:00:00
11,1651485600,15.191,15.822,15.714,15.381,322219.94,4956064.89714,2022-05-02 10:00:00
12,1651482000,15.715,16.334,16.26,15.721,224114.89,3523310.18569,2022-05-02 09:00:00
13,1651478400,16.008,16.485,16.24,16.254,224679.42,3651939.2926800004,2022-05-02 08:00:00
14,1651474800,16.11,16.596,16.457,16.245,235834.33,3831128.69085,2022-05-02 07:00:00
15,1651471200,16.326,17.189,16.938,16.453,252982.34,4162318.4400199996,2022-05-02 06:00:00
16,1651467600,16.829,17.227,17.088,16.946,231645.01,3925456.3394600004,2022-05-02 05:00:00
17,1651464000,16.361,17.344,16.619,17.076,305747.17,5220938.67492,2022-05-02 04:00:00
18,1651460400,16.249,16.639,16.398,16.623,187643.17,3119192.4149100003,2022-05-02 03:00:00
19,1651456800,16.144,16.429,16.265,16.397,172569.64,2829624.38708,2022-05-02 02:00:00
20,1651453200,16.113,16.809,16.537,16.275,365959.05,5955983.538749999,2022-05-02 01:00:00
21,1651449600,15.858,16.594,15.865,16.535,552346.17,9133043.920950001,2022-05-02 00:00:00
22,1651446000,15.513,16.15,15.832,15.865,704425.74,11175714.3651,2022-05-01 23:00:00
23,1651442400,15.621,16.474,16.256,15.841,607869.76,9629264.86816,2022-05-01 22:00:00
24,1651438800,16.155,16.916,16.835,16.259,392594.34,6383191.37406,2022-05-01 21:00:00
25,1651435200,16.215,16.85,16.716,16.826,510099.21,8582929.30746,2022-05-01 20:00:00
26,1651431600,16.396,16.876,16.561,16.718,421309.99,7043460.41282,2022-05-01 19:00:00
27,1651428000,16.53,17.321,17.149,16.554,495332.91,8199740.992139999,2022-05-01 18:00:00
28,1651424400,17.021,17.652,17.299,17.148,519429.05,8907169.349399999,2022-05-01 17:00:00
29,1651420800,16.374,17.523,16.464,17.299,814963.49,14098053.41351,2022-05-01 16:00:00
30,1651417200,16.134,16.645,16.192,16.47,578636.59,9530144.6373,2022-05-01 15:00:00
31,1651413600,16.051,17.18,17.075,16.193,698066.95,11303798.12135,2022-05-01 14:00:00
32,1651410000,16.995,17.345,17.175,17.082,204012.06,3484934.00892,2022-05-01 13:00:00
33,1651406400,16.808,17.28,17.093,17.189,331060.03,5690590.85567,2022-05-01 12:00:00
34,1651402800,16.787,17.481,17.413,17.099,456891.52,7812388.1004800005,2022-05-01 11:00:00
35,1651399200,17.25,17.915,17.643,17.421,183385.29,3194755.13709,2022-05-01 10:00:00
36,1651395600,17.228,17.867,17.757,17.652,235245.83,4152559.39116,2022-05-01 09:00:00
37,1651392000,17.344,18.111,17.475,17.765,519960.99,9237106.98735,2022-05-01 08:00:00
38,1651388400,16.965,17.484,17.386,17.479,423532.16,7402918.624639999,2022-05-01 07:00:00
39,1651384800,17.172,17.693,17.402,17.383,504686.76,8772969.94908,2022-05-01 06:00:00
40,1651381200,16.814,17.693,16.885,17.399,856719.38,14906060.49262,2022-05-01 05:00:00
41,1651377600,16.611,18.756,18.25,16.855,2174575.17,36652464.49035,2022-05-01 04:00:00
42,1651374000,18.2,19.121,18.631,18.269,954628.93,17440115.92217,2022-05-01 03:00:00
43,1651370400,18.602,19.237,18.841,18.631,680697.35,12682072.32785,2022-05-01 02:00:00
44,1651366800,18.372,19.665,18.952,18.831,1198713.34,22572970.90554,2022-05-01 01:00:00
45,1651363200,18.759,20.367,19.998,18.963,1533833.6,29086086.556800004,2022-05-01 00:00:00
46,1651359600,19.35,20.615,20.108,19.987,1098138.86,21948501.39482,2022-04-30 23:00:00
47,1651356000,19.93,21.49,20.332,20.1,843953.02,16963455.702000003,2022-04-30 22:00:00
