,unix,low,high,open,close,volume,vol_fiat,date
0,1651525200,3.177,3.234,3.177,3.234,3841.49,12423.378659999998,2022-05-02 21:00:00
1,1651521600,3.174,3.21,3.208,3.178,20914.51,66466.31278,2022-05-02 20:00:00
2,1651518000,3.151,3.207,3.152,3.203,9791.15,31361.053449999996,2022-05-02 19:00:00
3,1651514400,3.133,3.182,3.175,3.161,19384.48,61274.34128,2022-05-02 18:00:00
4,1651510800,3.146,3.197,3.19,3.167,22545.46,71401.47181999999,2022-05-02 17:00:00
5,1651507200,3.185,3.229,3.229,3.188,10971.82,34978.16216,2022-05-02 16:00:00
6,1651503600,3.215,3.262,3.232,3.229,12605.09,40701.83561,2022-05-02 15:00:00
7,1651500000,3.196,3.26,3.231,3.234,39166.84,126665.56055999998,2022-05-02 14:00:00
8,1651496400,3.143,3.259,3.2,3.232,57290.39,185162.54048,2022-05-02 13:00:00
9,1651492800,3.183,3.244,3.189,3.196,22082.53,70575.76588,2022-05-02 12:00:00
10,1651489200,3.185,3.217,3.193,3.19,30029.09,95792.7971,2022-05-02 11:00:00
11,1651485600,3.184,3.252,3.239,3.189,21159.75,67478.44275,2022-05-02 10:00:00
12,1651482000,3.237,3.305,3.277,3.242,12761.24,41371.94008,2022-05-02 09:00:00
13,1651478400,3.253,3.326,3.318,3.275,13959.66,45717.8865,2022-05-02 08:00:00
14,1651474800,3.313,3.357,3.314,3.32,10795.71,35841.75719999999,2022-05-02 07:00:00
15,1651471200,3.308,3.362,3.343,3.308,9563.56,31636.256479999996,2022-05-02 06:00:00
16,1651467600,3.322,3.349,3.349,3.34,6156.16,20561.574399999998,2022-05-02 05:00:00
17,1651464000,3.298,3.356,3.313,3.346,15410.27,51562.76342,2022-05-02 04:00:00
18,1651460400,3.3,3.351,3.338,3.31,31087.66,102900.1546,2022-05-02 03:00:00
19,1651456800,3.298,3.339,3.301,3.339,17583.1,58709.97089999999,2022-05-02 02:00:00
20,1651453200,3.307,3.422,3.414,3.307,40363.24,133481.23468,2022-05-02 01:00:00
21,1651449600,3.294,3.411,3.295,3.406,76250.64,259709.67984,2022-05-02 00:00:00
22,1651446000,3.244,3.322,3.251,3.295,37665.2,124106.83399999999,2022-05-01 23:00:00
23,1651442400,3.232,3.289,3.259,3.255,12404.49,40376.614949999996,2022-05-01 22:00:00
24,1651438800,3.229,3.299,3.279,3.258,18655.44,60779.42352,2022-05-01 21:00:00
25,1651435200,3.19,3.289,3.228,3.27,66735.74,218225.86980000001,2022-05-01 20:00:00
26,1651431600,3.154,3.242,3.21,3.228,67211.1,216957.43080000003,2022-05-01 19:00:00
27,1651428000,3.211,3.313,3.313,3.211,36328.55,116650.97405,2022-05-01 18:00:00
28,1651424400,3.287,3.351,3.337,3.316,47775.05,158422.0658,2022-05-01 17:00:00
29,1651420800,3.292,3.372,3.299,3.337,77224.85,257699.32445000004,2022-05-01 16:00:00
30,1651417200,3.154,3.345,3.16,3.291,105699.98,347858.63418,2022-05-01 15:00:00
31,1651413600,3.146,3.192,3.161,3.161,48279.99,152613.04838999998,2022-05-01 14:00:00
32,1651410000,3.149,3.186,3.17,3.159,34818.06,109990.25153999998,2022-05-01 13:00:00
33,1651406400,3.115,3.188,3.164,3.164,46027.21,145630.09244,2022-05-01 12:00:00
34,1651402800,3.147,3.188,3.183,3.166,32659.69,103400.57853999999,2022-05-01 11:00:00
35,1651399200,3.174,3.214,3.188,3.185,20930.87,66664.82095,2022-05-01 10:00:00
36,1651395600,3.165,3.219,3.213,3.191,19362.73,61786.47143,2022-05-01 09:00:00
37,1651392000,3.155,3.222,3.162,3.214,68432.64,219942.50496,2022-05-01 08:00:00
38,1651388400,3.148,3.193,3.184,3.157,88461.57,279273.17649000004,2022-05-01 07:00:00
39,1651384800,3.173,3.242,3.209,3.186,52011.14,165707.49203999998,2022-05-01 06:00:00
40,1651381200,3.14,3.23,3.145,3.205,74646.08,239240.6864,2022-05-01 05:00:00
41,1651377600,3.125,3.192,3.182,3.143,30602.83,96184.69469,2022-05-01 04:00:00
42,1651374000,3.146,3.197,3.185,3.181,55253.27,175760.65187,2022-05-01 03:00:00
43,1651370400,3.172,3.226,3.176,3.182,83824.87,266730.73634,2022-05-01 02:00:00
44,1651366800,3.075,3.197,3.151,3.181,97104.95,308890.84595,2022-05-01 01:00:00
45,1651363200,3.107,3.217,3.188,3.164,63158.47,199833.39908,2022-05-01 00:00:00
46,1651359600,3.037,3.452,3.42,3.179,264952.68,842284.5697199999,2022-04-30 23:00:00
47,1651356000,3.394,3.554,3.554,3.421,67535.19,231037.88499,2022-04-30 22:00:00
48,1651352400,3.554,3.588,3.588,3.558,3107.1,11055.0618,2022-04-30 21:00:00
49,1651348800,3.562,3.601,3.589,3.577,5916.53,21163.427809999997,2022-04-30 20:00:00
50,1651345200,3.541,3.611,3.545,3.588,19062.4,68395.89120000001,2022-04-30 19:00:00
51,1651341600,3.515,3.586,3.562,3.542,22353.35,79175.56569999999,2022-04-30 18:00:00
52,1651338000,3.531,3.679,3.669,3.567,38446.71,137139.41457,2022-04-30 17:00:00
53,1651334400,3.669,3.728,3.724,3.676,23011.09,84588.76684000001,2022-04-30 16:00:00
54,1651330800,3.673,3.751,3.708,3.718,18824.96,69991.20128,2022-04-30 15:00:00
55,1651327200,3.688,3.799,3.779,3.695,19220.47,71019.63665,2022-04-30 14:00:00
56,1651323600,3.775,3.846,3.834,3.78,12945.88,48935.4264,2022-04-30 13:00:00
57,1651320000,3.804,3.861,3.828,3.839,9963.07,38248.22573,2022-04-30 12:00:00
58,1651316400,3.784,3.831,3.784,3.827,3190.64,12210.57928,2022-04-30 11:00:00
59,1651312800,3.778,3.818,3.778,3.784,5711.41,21611.97544,2022-04-30 10:00:00
60,1651309200,3.765,3.785,3.768,3.778,2407.93,9097.159539999999,2022-04-30 09:00:00
61,1651305600,3.742,3.792,3.775,3.784,5541.86,20970.39824,2022-04-30 08:00:00
62,1651302000,3.774,3.817,3.817,3.778,4872.94,18409.96732,2022-04-30 07:00:00
63,1651298400,3.796,3.841,3.841,3.823,2463.53,9418.075190000001,2022-04-30 06:00:00
64,1651294800,3.805,3.846,3.806,3.843,15760.03,60565.79529,2022-04-30 05:00:00
65,1651291200,3.762,3.803,3.778,3.803,7198.0,27373.994,2022-04-30 04:00:00
66,1651287600,3.747,3.78,3.78,3.778,9549.95,36079.7111,2022-04-30 03:00:00
67,1651284000,3.772,3.8,3.776,3.78,9973.81,37701.0018,2022-04-30 02:00:00
68,1651280400,3.752,3.776,3.768,3.772,3151.22,11886.401839999999,2022-04-30 01:00:00
