,unix,low,high,open,close,volume,vol_fiat,date
0,1651525200,0.0519,0.0532,0.052,0.0532,30282.4,1611.02368,2022-05-02 21:00:00
1,1651521600,0.052,0.0525,0.0525,0.0521,34049.5,1773.97895,2022-05-02 20:00:00
2,1651518000,0.0516,0.0528,0.0516,0.0525,63838.2,3351.5054999999998,2022-05-02 19:00:00
3,1651514400,0.0508,0.052,0.0515,0.0519,58519.1,3037.14129,2022-05-02 18:00:00
4,1651510800,0.0511,0.0526,0.0526,0.0513,72074.0,3697.3961999999997,2022-05-02 17:00:00
5,1651507200,0.0525,0.0531,0.053,0.0526,64483.7,3391.84262,2022-05-02 16:00:00
6,1651503600,0.0528,0.0539,0.0528,0.053,134842.3,7146.6419,2022-05-02 15:00:00
7,1651500000,0.0522,0.0532,0.0526,0.0528,98545.1,5203.181280000001,2022-05-02 14:00:00
8,1651496400,0.0516,0.0531,0.0517,0.0526,124603.3,6554.133580000001,2022-05-02 13:00:00
9,1651492800,0.0516,0.0523,0.0518,0.0518,109621.7,5678.40406,2022-05-02 12:00:00
10,1651489200,0.0517,0.0521,0.052,0.0518,37380.1,1936.28918,2022-05-02 11:00:00
11,1651485600,0.052,0.0525,0.0524,0.0521,15732.4,819.65804,2022-05-02 10:00:00
12,1651482000,0.0525,0.0531,0.0529,0.0526,45196.1,2377.31486,2022-05-02 09:00:00
13,1651478400,0.0527,0.0536,0.0533,0.0528,45994.2,2428.49376,2022-05-02 08:00:00
14,1651474800,0.0534,0.0537,0.0534,0.0534,14773.9,788.9262600000001,2022-05-02 07:00:00
15,1651471200,0.0534,0.0539,0.0537,0.0535,15933.5,852.44225,2022-05-02 06:00:00
16,1651467600,0.0533,0.0538,0.0534,0.0537,42089.3,2260.1954100000003,2022-05-02 05:00:00
17,1651464000,0.0527,0.0535,0.0531,0.0534,31290.1,1670.8913400000001,2022-05-02 04:00:00
18,1651460400,0.0529,0.0532,0.0532,0.0532,80707.8,4293.65496,2022-05-02 03:00:00
19,1651456800,0.0527,0.0533,0.053,0.0533,25964.8,1383.92384,2022-05-02 02:00:00
20,1651453200,0.053,0.0538,0.0535,0.053,193545.3,10257.900899999999,2022-05-02 01:00:00
