,unix,low,high,open,close,volume,vol_fiat,date
0,1651525200,17.62,18.03,17.64,18.01,11769.35,211965.9935,2022-05-02 21:00:00
1,1651521600,17.61,17.83,17.8,17.65,24150.26,426252.0889999999,2022-05-02 20:00:00
2,1651518000,17.33,17.92,17.38,17.79,35176.84,625795.9835999999,2022-05-02 19:00:00
3,1651514400,17.21,17.54,17.44,17.39,92122.89,1602017.0571,2022-05-02 18:00:00
4,1651510800,17.35,17.82,17.73,17.45,46608.67,813321.2914999999,2022-05-02 17:00:00
5,1651507200,17.67,18.07,17.96,17.73,113750.28,2016792.4644,2022-05-02 16:00:00
6,1651503600,17.72,17.99,17.82,17.96,30005.05,538890.698,2022-05-02 15:00:00
7,1651500000,17.51,17.97,17.72,17.83,91434.15,1630270.8944999997,2022-05-02 14:00:00
8,1651496400,17.27,17.85,17.4,17.72,101888.86,1805470.5991999998,2022-05-02 13:00:00
9,1651492800,17.33,17.64,17.36,17.39,34572.53,601216.2967,2022-05-02 12:00:00
10,1651489200,17.3,17.68,17.67,17.36,105447.52,1830568.9472,2022-05-02 11:00:00
11,1651485600,17.58,17.85,17.81,17.66,32953.82,581964.4612,2022-05-02 10:00:00
12,1651482000,17.79,18.06,17.88,17.81,20016.99,356502.5919,2022-05-02 09:00:00
13,1651478400,17.83,18.14,18.11,17.89,22334.59,399565.8151,2022-05-02 08:00:00
14,1651474800,18.06,18.29,18.14,18.11,24908.87,451099.6357,2022-05-02 07:00:00
15,1651471200,18.13,18.36,18.21,18.14,21155.01,383751.88139999995,2022-05-02 06:00:00
16,1651467600,18.1,18.25,18.25,18.22,34740.53,632972.4565999999,2022-05-02 05:00:00
17,1651464000,17.92,18.25,18.01,18.25,30337.92,553667.0399999999,2022-05-02 04:00:00
18,1651460400,17.99,18.12,18.05,18.01,19636.82,353659.12820000004,2022-05-02 03:00:00
19,1651456800,17.87,18.08,18.04,18.06,26608.81,480555.1086,2022-05-02 02:00:00
20,1651453200,18.02,18.34,18.19,18.03,32802.55,591429.9765000001,2022-05-02 01:00:00
21,1651449600,17.98,18.31,17.99,18.18,39400.99,716309.9981999999,2022-05-02 00:00:00
22,1651446000,17.7,18.13,17.79,18.0,29284.68,527124.24,2022-05-01 23:00:00
23,1651442400,17.68,18.17,17.99,17.77,51222.88,910230.5776,2022-05-01 22:00:00
24,1651438800,17.74,18.06,18.01,17.98,34451.92,619445.5216,2022-05-01 21:00:00
25,1651435200,17.66,18.02,17.72,18.0,31066.74,559201.3200000001,2022-05-01 20:00:00
26,1651431600,17.57,17.94,17.92,17.73,51336.51,910196.3223,2022-05-01 19:00:00
27,1651428000,17.92,18.41,18.36,17.92,44198.53,792037.6576,2022-05-01 18:00:00
28,1651424400,18.34,18.68,18.51,18.36,33104.16,607792.3776,2022-05-01 17:00:00
29,1651420800,18.19,18.65,18.25,18.5,61999.64,1146993.34,2022-05-01 16:00:00
30,1651417200,17.65,18.3,17.67,18.25,82799.23,1511085.9475,2022-05-01 15:00:00
31,1651413600,17.64,17.97,17.91,17.67,45649.72,806630.5524,2022-05-01 14:00:00
32,1651410000,17.86,18.07,18.04,17.91,45785.17,820012.3947,2022-05-01 13:00:00
33,1651406400,17.96,18.25,18.2,18.04,82395.48,1486414.4592,2022-05-01 12:00:00
34,1651402800,18.18,18.36,18.36,18.21,44080.11,802698.8031,2022-05-01 11:00:00
35,1651399200,18.28,18.46,18.32,18.35,13172.8,241720.88,2022-05-01 10:00:00
36,1651395600,18.26,18.5,18.47,18.32,14710.53,269496.9096,2022-05-01 09:00:00
37,1651392000,18.26,18.53,18.3,18.47,20262.17,374242.27989999996,2022-05-01 08:00:00
38,1651388400,18.22,18.46,18.43,18.31,18840.37,344967.1747,2022-05-01 07:00:00
39,1651384800,18.38,18.68,18.52,18.42,23825.45,438864.78900000005,2022-05-01 06:00:00
40,1651381200,18.14,18.62,18.15,18.53,68399.07,1267434.7671000003,2022-05-01 05:00:00
41,1651377600,18.07,18.39,18.32,18.16,32842.79,596425.0664,2022-05-01 04:00:00
