,unix,low,high,open,close,volume,vol_fiat,date
0,1651525200,11.14,11.4,11.24,11.37,3063.454,34831.47198,2022-05-02 21:00:00
1,1651521600,11.18,11.36,11.33,11.21,951.159,10662.492390000001,2022-05-02 20:00:00
2,1651518000,11.15,11.35,11.16,11.35,3568.763,40505.460049999994,2022-05-02 19:00:00
3,1651514400,11.12,11.28,11.22,11.16,4750.759,53018.47044,2022-05-02 18:00:00
4,1651510800,11.16,11.32,11.26,11.22,3068.76,34431.4872,2022-05-02 17:00:00
5,1651507200,11.21,11.4,11.29,11.26,7370.114,82987.48363999999,2022-05-02 16:00:00
6,1651503600,11.25,11.5,11.43,11.29,8596.393,97053.27696999999,2022-05-02 15:00:00
7,1651500000,11.42,11.81,11.81,11.47,6439.05,73855.9035,2022-05-02 14:00:00
8,1651496400,11.5,12.78,12.6,11.82,29997.928,354575.50896,2022-05-02 13:00:00
9,1651492800,11.41,13.7,11.45,12.52,41246.658,516408.15816000005,2022-05-02 12:00:00
10,1651489200,11.41,11.46,11.46,11.41,714.149,8148.44009,2022-05-02 11:00:00
11,1651485600,11.42,11.47,11.46,11.43,98.868,1130.06124,2022-05-02 10:00:00
12,1651482000,11.43,11.56,11.5,11.43,298.773,3414.97539,2022-05-02 09:00:00
13,1651478400,11.45,11.62,11.53,11.51,354.956,4085.54356,2022-05-02 08:00:00
14,1651474800,11.49,11.6,11.55,11.5,141.153,1623.2595,2022-05-02 07:00:00
15,1651471200,11.52,11.66,11.61,11.52,118.884,1369.54368,2022-05-02 06:00:00
16,1651467600,11.52,11.64,11.56,11.61,95.728,1111.4020799999998,2022-05-02 05:00:00
17,1651464000,11.48,11.59,11.52,11.56,80.52,930.8112,2022-05-02 04:00:00
18,1651460400,11.48,11.57,11.54,11.52,421.688,4857.845759999999,2022-05-02 03:00:00
19,1651456800,11.44,11.53,11.52,11.49,1463.341,16813.78809,2022-05-02 02:00:00
20,1651453200,11.53,11.76,11.73,11.53,256.185,2953.8130499999997,2022-05-02 01:00:00
21,1651449600,11.62,11.85,11.66,11.73,1231.924,14450.46852,2022-05-02 00:00:00
22,1651446000,11.6,11.97,11.77,11.7,8429.664,98627.06880000001,2022-05-01 23:00:00
23,1651442400,11.46,11.76,11.51,11.75,2639.392,31012.856,2022-05-01 22:00:00
