,unix,low,high,open,close,volume,vol_fiat,date
0,1651525200,59.06,60.97,59.52,60.79,72063.109,4380716.39611,2022-05-02 21:00:00
1,1651521600,59.06,59.78,59.71,59.52,80563.137,4795117.914240001,2022-05-02 20:00:00
2,1651518000,59.43,60.45,59.78,59.69,90550.629,5404967.04501,2022-05-02 19:00:00
3,1651514400,59.55,60.98,60.29,59.75,48868.556,2919896.221,2022-05-02 18:00:00
4,1651510800,59.67,61.65,61.55,60.31,105023.279,6333953.95649,2022-05-02 17:00:00
5,1651507200,60.7,62.51,61.36,61.57,71155.487,4381043.334589999,2022-05-02 16:00:00
6,1651503600,59.15,61.63,59.52,61.35,66757.657,4095582.2569500003,2022-05-02 15:00:00
7,1651500000,57.5,60.48,58.16,59.51,59093.546,3516656.92246,2022-05-02 14:00:00
8,1651496400,56.79,58.35,57.17,58.15,54508.893,3169692.1279499996,2022-05-02 13:00:00
9,1651492800,56.76,57.87,56.99,57.17,28261.813,1615727.84921,2022-05-02 12:00:00
10,1651489200,56.72,57.76,57.66,57.0,73162.332,4170252.9239999996,2022-05-02 11:00:00
11,1651485600,57.43,58.19,57.97,57.66,26861.76,1548849.0816,2022-05-02 10:00:00
12,1651482000,57.91,59.58,59.05,57.96,27228.537,1578166.00452,2022-05-02 09:00:00
13,1651478400,58.82,59.75,59.47,59.11,15528.419,917884.8470899999,2022-05-02 08:00:00
14,1651474800,59.32,60.13,59.56,59.44,6842.333,406708.27352,2022-05-02 07:00:00
15,1651471200,59.53,60.63,59.99,59.54,14989.71,892487.3333999999,2022-05-02 06:00:00
16,1651467600,59.38,60.07,59.96,60.01,9802.576,588252.5857599999,2022-05-02 05:00:00
17,1651464000,58.67,60.0,58.78,59.93,21977.126,1317089.16118,2022-05-02 04:00:00
18,1651460400,58.73,59.49,59.35,58.79,37464.553,2202541.07087,2022-05-02 03:00:00
19,1651456800,58.52,59.37,59.01,59.37,23144.607,1374095.3175899999,2022-05-02 02:00:00
20,1651453200,59.02,60.26,60.05,59.02,25804.423,1522977.04546,2022-05-02 01:00:00
21,1651449600,58.65,60.37,58.76,60.02,58302.459,3499313.58918,2022-05-02 00:00:00
22,1651446000,57.92,59.29,58.23,58.76,36339.443,2135305.67068,2022-05-01 23:00:00
23,1651442400,57.88,59.08,58.71,58.22,37471.419,2181586.01418,2022-05-01 22:00:00
24,1651438800,58.07,59.48,59.17,58.69,49457.4,2902654.806,2022-05-01 21:00:00
25,1651435200,57.39,59.25,57.6,59.18,35906.45,2124943.7109999997,2022-05-01 20:00:00
26,1651431600,56.87,58.07,57.91,57.6,39912.392,2298953.7792,2022-05-01 19:00:00
27,1651428000,57.93,59.8,59.71,57.95,38984.666,2259161.3947,2022-05-01 18:00:00
28,1651424400,59.71,61.0,60.52,59.71,28765.289,1717575.40619,2022-05-01 17:00:00
29,1651420800,60.26,61.14,60.45,60.5,47040.501,2845950.3104999997,2022-05-01 16:00:00
30,1651417200,57.91,60.54,57.91,60.45,57304.446,3464053.7607000005,2022-05-01 15:00:00
