,unix,low,high,open,close,volume,vol_fiat,date
0,1651525200,2.0,2.07,2.04,2.04,3585.81,7315.0524,2022-05-02 21:00:00
1,1651521600,2.0,2.08,2.01,2.04,3154.01,6434.1804,2022-05-02 20:00:00
2,1651518000,2.0,2.03,2.0,2.01,636.22,1278.8021999999999,2022-05-02 19:00:00
3,1651514400,1.98,2.01,1.98,2.01,1441.25,2896.9125,2022-05-02 18:00:00
4,1651510800,1.98,2.04,2.01,1.98,3191.79,6319.7442,2022-05-02 17:00:00
5,1651507200,1.94,2.01,2.01,2.01,6759.64,13586.8764,2022-05-02 16:00:00
6,1651503600,1.97,2.04,2.03,2.01,3012.59,6055.305899999999,2022-05-02 15:00:00
7,1651500000,1.97,2.04,1.99,2.04,3983.83,8127.0132,2022-05-02 14:00:00
8,1651496400,1.94,2.07,1.94,2.0,6575.92,13151.84,2022-05-02 13:00:00
9,1651492800,1.93,1.97,1.96,1.96,1880.77,3686.3091999999997,2022-05-02 12:00:00
10,1651489200,1.94,1.99,1.94,1.94,2506.36,4862.338400000001,2022-05-02 11:00:00
11,1651485600,1.94,2.02,2.0,1.94,3461.5,6715.3099999999995,2022-05-02 10:00:00
12,1651482000,1.97,2.0,1.97,2.0,868.68,1737.36,2022-05-02 09:00:00
13,1651478400,1.93,1.98,1.97,1.98,2701.09,5348.1582,2022-05-02 08:00:00
14,1651474800,1.97,2.01,2.01,1.98,1378.7,2729.826,2022-05-02 07:00:00
15,1651471200,1.94,2.02,1.94,2.01,2729.77,5486.837699999999,2022-05-02 06:00:00
16,1651467600,1.94,1.96,1.96,1.94,1683.13,3265.2722000000003,2022-05-02 05:00:00
17,1651464000,1.93,1.96,1.93,1.94,418.9,812.6659999999999,2022-05-02 04:00:00
18,1651460400,1.93,2.01,1.99,1.95,2389.52,4659.564,2022-05-02 03:00:00
19,1651456800,1.93,1.99,1.94,1.98,1776.21,3516.8958000000002,2022-05-02 02:00:00
20,1651453200,1.9,1.98,1.97,1.92,19516.97,37472.5824,2022-05-02 01:00:00
21,1651449600,1.96,2.02,2.02,1.96,9242.79,18115.868400000003,2022-05-02 00:00:00
22,1651446000,1.98,2.08,2.08,2.0,3830.88,7661.76,2022-05-01 23:00:00
23,1651442400,1.95,2.15,2.06,2.09,37849.51,79105.4759,2022-05-01 22:00:00
24,1651438800,1.97,2.13,1.99,2.06,10134.01,20876.0606,2022-05-01 21:00:00
25,1651435200,1.95,2.02,2.01,1.97,3651.44,7193.3368,2022-05-01 20:00:00
26,1651431600,1.98,2.05,2.0,2.02,4135.85,8354.417000000001,2022-05-01 19:00:00
27,1651428000,1.99,2.09,2.06,2.02,4440.84,8970.4968,2022-05-01 18:00:00
28,1651424400,1.94,2.09,1.94,2.06,26804.57,55217.4142,2022-05-01 17:00:00
29,1651420800,1.92,1.94,1.93,1.94,845.58,1640.4252000000001,2022-05-01 16:00:00
30,1651417200,1.91,1.94,1.92,1.93,2027.0,3912.1099999999997,2022-05-01 15:00:00
31,1651413600,1.92,1.96,1.95,1.92,755.66,1450.8672,2022-05-01 14:00:00
32,1651410000,1.93,1.95,1.94,1.95,293.78,572.871,2022-05-01 13:00:00
33,1651406400,1.92,1.95,1.92,1.93,963.05,1858.6864999999998,2022-05-01 12:00:00
34,1651402800,1.91,1.93,1.92,1.92,967.59,1857.7728,2022-05-01 11:00:00
35,1651399200,1.91,1.93,1.92,1.93,3401.67,6565.2231,2022-05-01 10:00:00
36,1651395600,1.91,1.92,1.91,1.91,187.91,358.9081,2022-05-01 09:00:00
37,1651392000,1.9,1.92,1.91,1.91,2532.37,4836.8267,2022-05-01 08:00:00
38,1651388400,1.92,1.96,1.96,1.92,959.96,1843.1232,2022-05-01 07:00:00
39,1651384800,1.94,1.96,1.95,1.94,677.35,1314.059,2022-05-01 06:00:00
40,1651381200,1.92,1.95,1.92,1.95,4018.3,7835.685,2022-05-01 05:00:00
41,1651377600,1.92,1.95,1.92,1.92,6866.24,13183.180799999998,2022-05-01 04:00:00
42,1651374000,1.9,1.96,1.96,1.93,2876.41,5551.471299999999,2022-05-01 03:00:00
43,1651370400,1.94,1.97,1.95,1.96,1321.13,2589.4148,2022-05-01 02:00:00
44,1651366800,1.82,1.99,1.82,1.95,25090.72,48926.904,2022-05-01 01:00:00
45,1651363200,1.72,1.97,1.72,1.82,24524.51,44634.608199999995,2022-05-01 00:00:00
46,1651359600,1.68,1.95,1.93,1.72,27303.34,46961.7448,2022-04-30 23:00:00
47,1651356000,1.9,2.0,1.9,1.93,7520.13,14513.8509,2022-04-30 22:00:00
48,1651352400,1.9,1.95,1.92,1.9,3317.59,6303.421,2022-04-30 21:00:00
49,1651348800,1.9,1.95,1.93,1.91,2606.15,4977.7465,2022-04-30 20:00:00
50,1651345200,1.92,1.99,1.94,1.93,5751.86,11101.0898,2022-04-30 19:00:00
51,1651341600,1.9,1.96,1.94,1.95,3018.38,5885.841,2022-04-30 18:00:00
52,1651338000,1.93,2.0,1.96,1.93,6101.39,11775.6827,2022-04-30 17:00:00
53,1651334400,1.93,1.97,1.96,1.96,1681.92,3296.5632,2022-04-30 16:00:00
54,1651330800,1.92,1.98,1.96,1.96,5584.19,10945.0124,2022-04-30 15:00:00
55,1651327200,1.91,1.98,1.95,1.96,5146.75,10087.63,2022-04-30 14:00:00
56,1651323600,1.93,2.03,1.95,1.95,12274.81,23935.8795,2022-04-30 13:00:00
57,1651320000,1.93,2.01,2.0,1.95,7177.35,13995.8325,2022-04-30 12:00:00
58,1651316400,1.97,2.0,1.98,2.0,565.58,1131.16,2022-04-30 11:00:00
59,1651312800,1.97,2.02,2.02,1.97,984.47,1939.4059,2022-04-30 10:00:00
60,1651309200,2.0,2.03,2.01,2.0,414.48,828.96,2022-04-30 09:00:00
61,1651305600,2.01,2.06,2.03,2.01,933.45,1876.2344999999998,2022-04-30 08:00:00
62,1651302000,2.02,2.04,2.03,2.04,280.26,571.7304,2022-04-30 07:00:00
63,1651298400,2.02,2.05,2.05,2.04,709.95,1448.2980000000002,2022-04-30 06:00:00
64,1651294800,1.98,2.11,1.98,2.05,12819.64,26280.261999999995,2022-04-30 05:00:00
65,1651291200,1.95,2.0,1.98,2.0,1024.46,2048.92,2022-04-30 04:00:00
66,1651287600,1.96,2.01,2.01,1.98,1303.15,2580.237,2022-04-30 03:00:00
67,1651284000,2.01,2.07,2.03,2.01,3520.8,7076.808,2022-04-30 02:00:00
68,1651280400,1.96,2.04,1.96,2.03,3348.75,6797.9625,2022-04-30 01:00:00
69,1651276800,1.93,1.98,1.97,1.97,3023.73,5956.7481,2022-04-30 00:00:00
70,1651273200,1.92,1.99,1.92,1.97,3158.39,6222.0283,2022-04-29 23:00:00
71,1651269600,1.89,2.03,2.02,1.92,5552.76,10661.2992,2022-04-29 22:00:00
72,1651266000,1.95,2.04,1.96,2.03,2084.64,4231.819199999999,2022-04-29 21:00:00
73,1651262400,1.86,2.0,1.96,1.98,15766.73,31218.125399999997,2022-04-29 20:00:00
74,1651258800,1.88,2.03,2.01,1.96,13645.68,26745.5328,2022-04-29 19:00:00
75,1651255200,1.98,2.11,1.98,1.99,8873.96,17659.180399999997,2022-04-29 18:00:00
76,1651251600,1.86,2.13,2.08,1.98,25744.67,50974.446599999996,2022-04-29 17:00:00
77,1651248000,2.07,2.12,2.12,2.07,1582.66,3276.1061999999997,2022-04-29 16:00:00
78,1651244400,2.0,2.12,2.09,2.12,5124.04,10862.9648,2022-04-29 15:00:00
