,unix,low,high,open,close,volume,vol_fiat,date
0,1651525200,29.88,30.43,29.92,30.43,1983.09,60345.4287,2022-05-02 21:00:00
1,1651521600,29.89,30.17,30.05,29.91,2994.242,89557.77822000001,2022-05-02 20:00:00
2,1651518000,29.88,30.11,29.96,30.03,15123.967,454172.72901,2022-05-02 19:00:00
3,1651514400,29.84,30.01,29.91,29.99,5120.803,153572.88197,2022-05-02 18:00:00
4,1651510800,29.85,30.05,29.95,29.93,5257.447,157355.38871,2022-05-02 17:00:00
5,1651507200,29.91,30.31,30.31,29.98,9268.642,277873.88716,2022-05-02 16:00:00
6,1651503600,30.25,30.97,30.86,30.29,3252.926,98531.12853999999,2022-05-02 15:00:00
7,1651500000,30.34,31.02,30.72,30.88,4036.357,124642.70416,2022-05-02 14:00:00
8,1651496400,30.03,31.0,30.14,30.76,8196.801,252133.59876,2022-05-02 13:00:00
9,1651492800,29.97,30.37,30.0,30.15,3053.052,92049.5178,2022-05-02 12:00:00
10,1651489200,29.9,30.15,30.09,30.0,2679.79,80393.7,2022-05-02 11:00:00
11,1651485600,29.99,30.48,30.27,30.08,2670.529,80329.51232,2022-05-02 10:00:00
12,1651482000,30.18,30.98,30.77,30.3,3909.456,118456.51680000001,2022-05-02 09:00:00
13,1651478400,30.63,31.21,31.09,30.73,1372.613,42180.39749,2022-05-02 08:00:00
14,1651474800,31.0,31.41,31.23,31.08,677.952,21070.74816,2022-05-02 07:00:00
15,1651471200,31.18,31.73,31.59,31.18,2361.234,73623.27612,2022-05-02 06:00:00
16,1651467600,31.3,31.64,31.41,31.61,4032.685,127473.17285,2022-05-02 05:00:00
17,1651464000,30.98,31.54,31.29,31.38,2178.521,68361.98898000001,2022-05-02 04:00:00
18,1651460400,31.21,31.5,31.28,31.21,2926.667,91341.27707,2022-05-02 03:00:00
19,1651456800,31.07,31.42,31.42,31.28,8322.317,260322.07575999998,2022-05-02 02:00:00
20,1651453200,31.37,31.98,31.68,31.42,3872.173,121663.67566,2022-05-02 01:00:00
21,1651449600,31.4,32.29,31.8,31.58,5351.167,168989.85386,2022-05-02 00:00:00
22,1651446000,31.4,32.29,31.67,31.79,9777.921,310840.10859,2022-05-01 23:00:00
23,1651442400,30.76,31.84,30.76,31.64,4342.763,137405.02132,2022-05-01 22:00:00
24,1651438800,30.58,31.3,31.24,30.78,1960.665,60349.2687,2022-05-01 21:00:00
25,1651435200,30.52,31.27,30.78,31.27,5379.201,168207.61527,2022-05-01 20:00:00
26,1651431600,30.35,31.1,30.57,30.72,5012.955,153997.97759999998,2022-05-01 19:00:00
27,1651428000,30.49,31.6,31.6,30.52,3302.045,100778.4134,2022-05-01 18:00:00
28,1651424400,31.47,32.3,31.99,31.56,8849.058,279276.27048,2022-05-01 17:00:00
29,1651420800,31.77,32.55,31.97,31.96,8731.285,279051.8686,2022-05-01 16:00:00
30,1651417200,30.44,32.29,30.44,31.92,5358.908,171056.34336000003,2022-05-01 15:00:00
31,1651413600,30.29,30.67,30.59,30.38,2351.279,71431.85601999999,2022-05-01 14:00:00
32,1651410000,30.62,30.9,30.82,30.65,2904.406,89020.04389999999,2022-05-01 13:00:00
33,1651406400,30.32,30.91,30.64,30.86,5336.661,164689.35846,2022-05-01 12:00:00
34,1651402800,30.53,31.27,31.27,30.67,3746.927,114918.25109,2022-05-01 11:00:00
35,1651399200,31.13,31.58,31.19,31.27,4262.636,133292.62772000002,2022-05-01 10:00:00
36,1651395600,30.91,31.76,31.65,31.19,2255.877,70360.80363,2022-05-01 09:00:00
37,1651392000,30.92,31.74,31.01,31.6,3205.991,101309.3156,2022-05-01 08:00:00
38,1651388400,30.73,31.12,30.9,31.02,2320.52,71982.5304,2022-05-01 07:00:00
39,1651384800,30.83,31.66,31.41,30.87,2971.4,91727.118,2022-05-01 06:00:00
40,1651381200,30.04,32.39,30.06,31.39,33669.082,1056872.48398,2022-05-01 05:00:00
41,1651377600,29.88,30.26,30.1,30.05,4776.968,143547.8884,2022-05-01 04:00:00
42,1651374000,29.94,30.34,29.94,30.12,4863.364,146484.52367999998,2022-05-01 03:00:00
43,1651370400,28.93,30.36,29.01,29.93,15618.978,467476.01154,2022-05-01 02:00:00
44,1651366800,27.81,29.29,28.65,29.06,10355.154,300920.77524,2022-05-01 01:00:00
45,1651363200,28.33,29.31,29.04,28.65,14691.297,420905.65905,2022-05-01 00:00:00
46,1651359600,26.53,30.49,30.29,29.08,71335.289,2074430.20412,2022-04-30 23:00:00
47,1651356000,30.22,31.02,31.02,30.33,14687.018,445457.25594,2022-04-30 22:00:00
48,1651352400,30.75,31.37,31.31,31.04,7298.025,226530.696,2022-04-30 21:00:00
49,1651348800,31.23,31.55,31.53,31.32,6133.757,192109.26924,2022-04-30 20:00:00
50,1651345200,31.21,31.7,31.38,31.61,10373.527,327907.18847,2022-04-30 19:00:00
51,1651341600,31.11,31.56,31.25,31.36,4098.837,128539.52832000001,2022-04-30 18:00:00
52,1651338000,31.06,32.0,32.0,31.26,11176.825,349387.5495,2022-04-30 17:00:00
53,1651334400,31.97,32.89,32.61,32.01,5604.391,179396.55590999997,2022-04-30 16:00:00
54,1651330800,32.33,33.03,32.72,32.64,4110.702,134173.31328,2022-04-30 15:00:00
55,1651327200,32.64,33.93,33.82,32.67,4025.136,131501.19312,2022-04-30 14:00:00
56,1651323600,33.71,34.23,33.92,33.77,2311.968,78075.15936,2022-04-30 13:00:00
57,1651320000,33.92,34.5,34.31,33.92,1881.315,63814.20480000001,2022-04-30 12:00:00
58,1651316400,34.13,34.44,34.13,34.29,2222.122,76196.56337999999,2022-04-30 11:00:00
59,1651312800,33.73,34.26,33.81,34.14,1972.4,67337.736,2022-04-30 10:00:00
60,1651309200,33.64,33.91,33.83,33.78,2057.208,69492.48624,2022-04-30 09:00:00
61,1651305600,33.56,34.26,34.26,33.83,2745.904,92893.93231999999,2022-04-30 08:00:00
62,1651302000,34.25,34.9,34.74,34.29,3846.64,131901.2856,2022-04-30 07:00:00
63,1651298400,34.15,34.87,34.32,34.73,6215.768,215873.62264,2022-04-30 06:00:00
64,1651294800,33.85,34.31,33.9,34.31,3219.442,110459.05502000001,2022-04-30 05:00:00
65,1651291200,33.69,34.08,33.83,33.89,3175.332,107612.00147999999,2022-04-30 04:00:00
66,1651287600,33.44,34.09,34.09,33.85,4132.106,139871.7881,2022-04-30 03:00:00
67,1651284000,33.97,34.51,34.36,34.04,9702.448,330271.32992,2022-04-30 02:00:00
68,1651280400,34.12,34.53,34.31,34.35,5369.448,184440.5388,2022-04-30 01:00:00
69,1651276800,34.06,34.43,34.35,34.31,5186.236,177939.75716,2022-04-30 00:00:00
70,1651273200,34.11,34.6,34.14,34.35,7942.303,272818.10805,2022-04-29 23:00:00
71,1651269600,33.74,34.26,34.1,34.18,2350.693,80346.68674,2022-04-29 22:00:00
72,1651266000,33.87,34.29,33.96,34.1,4454.198,151888.15180000002,2022-04-29 21:00:00
73,1651262400,33.64,33.97,33.68,33.95,6630.275,225097.83625,2022-04-29 20:00:00
74,1651258800,33.42,34.34,34.29,33.69,14897.348,501891.65411999996,2022-04-29 19:00:00
75,1651255200,33.9,34.61,34.55,34.29,4431.54,151957.5066,2022-04-29 18:00:00
76,1651251600,34.16,34.71,34.27,34.59,6759.413,233808.09567,2022-04-29 17:00:00
77,1651248000,34.12,35.29,35.05,34.3,10867.052,372739.88359999994,2022-04-29 16:00:00
78,1651244400,34.74,35.3,34.97,35.09,5581.742,195863.32678000003,2022-04-29 15:00:00
79,1651240800,34.84,35.6,35.59,34.93,9307.843,325122.95599000005,2022-04-29 14:00:00
80,1651237200,35.34,35.66,35.52,35.58,5406.9,192377.50199999998,2022-04-29 13:00:00
81,1651233600,35.32,35.79,35.48,35.53,8296.288,294767.11264,2022-04-29 12:00:00
82,1651230000,35.3,35.77,35.67,35.47,5012.509,177793.69423,2022-04-29 11:00:00
83,1651226400,35.24,36.37,36.3,35.72,6981.409,249375.92948,2022-04-29 10:00:00
84,1651222800,36.23,36.69,36.67,36.35,2371.202,86193.19270000001,2022-04-29 09:00:00
85,1651219200,36.63,37.25,37.19,36.73,1254.665,46083.84544999999,2022-04-29 08:00:00
86,1651215600,36.93,37.28,37.01,37.19,2754.951,102456.62769,2022-04-29 07:00:00
87,1651212000,36.79,37.11,36.94,36.98,1811.883,67003.43333999999,2022-04-29 06:00:00
88,1651208400,36.87,37.24,37.22,36.94,2127.42,78586.8948,2022-04-29 05:00:00
89,1651204800,36.72,37.22,37.21,37.18,1897.782,70559.53476,2022-04-29 04:00:00
90,1651201200,36.88,37.39,37.25,37.21,4277.596,159169.34715999998,2022-04-29 03:00:00
91,1651197600,37.14,38.38,38.33,37.27,5146.868,191823.77036000002,2022-04-29 02:00:00
