,unix,low,high,open,close,volume,vol_fiat,date
0,1651525200,12.48,12.76,12.49,12.73,639.628,8142.464440000001,2022-05-02 21:00:00
1,1651521600,12.48,12.72,12.72,12.49,2258.571,28209.551789999998,2022-05-02 20:00:00
2,1651518000,12.27,12.77,12.29,12.7,5603.566,71165.2882,2022-05-02 19:00:00
3,1651514400,12.23,12.52,12.38,12.27,9867.257,121071.24338999999,2022-05-02 18:00:00
4,1651510800,12.27,12.58,12.58,12.39,6605.765,81845.42835,2022-05-02 17:00:00
5,1651507200,12.58,12.8,12.69,12.58,2302.919,28970.721019999997,2022-05-02 16:00:00
6,1651503600,12.57,12.69,12.62,12.69,1084.064,13756.77216,2022-05-02 15:00:00
7,1651500000,12.53,12.75,12.71,12.62,2378.525,30016.9855,2022-05-02 14:00:00
8,1651496400,12.42,12.8,12.58,12.71,6337.058,80544.00718,2022-05-02 13:00:00
9,1651492800,12.43,12.74,12.43,12.56,4077.049,51207.735440000004,2022-05-02 12:00:00
10,1651489200,12.34,12.57,12.57,12.44,3400.697,42304.67068,2022-05-02 11:00:00
11,1651485600,12.44,12.59,12.49,12.58,2550.729,32088.17082,2022-05-02 10:00:00
12,1651482000,12.46,12.66,12.54,12.46,3608.258,44958.89468,2022-05-02 09:00:00
13,1651478400,12.52,12.98,12.98,12.54,4717.898,59162.44092,2022-05-02 08:00:00
14,1651474800,12.98,13.11,13.01,12.98,1691.35,21953.722999999998,2022-05-02 07:00:00
15,1651471200,13.01,13.13,13.01,13.03,509.989,6645.156669999999,2022-05-02 06:00:00
16,1651467600,12.95,13.07,13.0,13.03,1029.995,13420.834849999997,2022-05-02 05:00:00
17,1651464000,12.77,13.0,12.84,12.99,2065.275,26827.922250000003,2022-05-02 04:00:00
18,1651460400,12.83,12.9,12.89,12.84,1193.721,15327.37764,2022-05-02 03:00:00
19,1651456800,12.8,12.98,12.85,12.87,2955.755,38040.566849999996,2022-05-02 02:00:00
20,1651453200,12.9,13.03,12.96,12.9,2506.79,32337.591,2022-05-02 01:00:00
21,1651449600,12.78,13.01,12.79,12.97,3894.662,50513.76614,2022-05-02 00:00:00
22,1651446000,12.5,12.8,12.5,12.79,2777.859,35528.816609999994,2022-05-01 23:00:00
23,1651442400,12.48,12.6,12.49,12.49,717.795,8965.259549999999,2022-05-01 22:00:00
24,1651438800,12.39,12.65,12.65,12.47,1887.346,23535.20462,2022-05-01 21:00:00
25,1651435200,12.41,12.66,12.46,12.63,1973.231,24921.90753,2022-05-01 20:00:00
26,1651431600,12.31,12.59,12.37,12.46,3945.657,49162.88622000001,2022-05-01 19:00:00
27,1651428000,12.36,12.63,12.63,12.36,659.335,8149.3806,2022-05-01 18:00:00
28,1651424400,12.65,12.81,12.73,12.65,1225.985,15508.710249999998,2022-05-01 17:00:00
29,1651420800,12.68,12.89,12.76,12.74,3709.161,47254.71114,2022-05-01 16:00:00
30,1651417200,12.34,12.82,12.34,12.75,5557.676,70860.369,2022-05-01 15:00:00
31,1651413600,12.24,12.39,12.28,12.34,2958.907,36512.91238,2022-05-01 14:00:00
32,1651410000,12.23,12.39,12.35,12.27,8383.771,102868.87017000001,2022-05-01 13:00:00
33,1651406400,12.26,12.42,12.35,12.36,2631.386,32523.930959999998,2022-05-01 12:00:00
34,1651402800,12.41,12.71,12.68,12.45,1231.561,15332.934449999999,2022-05-01 11:00:00
35,1651399200,12.65,12.73,12.65,12.69,4154.091,52715.41479,2022-05-01 10:00:00
36,1651395600,12.56,12.72,12.7,12.65,1829.795,23146.906750000002,2022-05-01 09:00:00
37,1651392000,12.54,12.74,12.56,12.72,3353.372,42654.89184,2022-05-01 08:00:00
38,1651388400,12.51,12.56,12.51,12.56,975.859,12256.789040000001,2022-05-01 07:00:00
39,1651384800,12.5,12.64,12.57,12.5,3129.206,39115.075000000004,2022-05-01 06:00:00
40,1651381200,12.27,12.65,12.27,12.57,8270.058,103954.62906,2022-05-01 05:00:00
41,1651377600,12.21,12.37,12.3,12.29,1222.179,15020.57991,2022-05-01 04:00:00
42,1651374000,12.2,12.35,12.2,12.34,1967.173,24274.914819999998,2022-05-01 03:00:00
43,1651370400,12.17,12.28,12.18,12.21,3608.349,44057.94129,2022-05-01 02:00:00
44,1651366800,11.88,12.25,12.06,12.17,11436.99,139188.1683,2022-05-01 01:00:00
45,1651363200,11.9,12.16,12.12,12.08,12391.261,149686.43288,2022-05-01 00:00:00
46,1651359600,11.73,12.72,12.68,12.12,31541.572,382283.85264,2022-04-30 23:00:00
