,unix,low,high,open,close,volume,vol_fiat,date
0,1651525200,2.995,3.077,3.0,3.073,2488.02,7645.68546,2022-05-02 21:00:00
1,1651521600,2.999,3.051,3.034,2.999,11671.88,35003.96812,2022-05-02 20:00:00
2,1651518000,2.96,3.048,2.96,3.032,4585.35,13902.781200000001,2022-05-02 19:00:00
3,1651514400,2.91,2.965,2.914,2.96,8742.43,25877.592800000002,2022-05-02 18:00:00
4,1651510800,2.89,2.97,2.965,2.916,5826.4,16989.7824,2022-05-02 17:00:00
5,1651507200,2.967,3.015,3.007,2.968,8856.31,26285.52808,2022-05-02 16:00:00
6,1651503600,2.997,3.055,3.038,3.009,76013.11,228723.44799,2022-05-02 15:00:00
7,1651500000,2.98,3.053,3.026,3.037,16738.68,50835.37116,2022-05-02 14:00:00
8,1651496400,2.943,3.038,2.973,3.027,9060.3,27425.5281,2022-05-02 13:00:00
9,1651492800,2.961,3.007,2.97,2.972,2652.15,7882.1898,2022-05-02 12:00:00
10,1651489200,2.948,2.989,2.989,2.966,3549.27,10527.134820000001,2022-05-02 11:00:00
11,1651485600,2.977,3.015,3.007,2.984,931.63,2779.98392,2022-05-02 10:00:00
12,1651482000,3.0,3.052,3.05,3.007,8035.03,24161.33521,2022-05-02 09:00:00
13,1651478400,3.041,3.1,3.1,3.052,3576.17,10914.47084,2022-05-02 08:00:00
14,1651474800,3.1,3.131,3.101,3.11,7683.94,23897.053399999997,2022-05-02 07:00:00
15,1651471200,3.1,3.139,3.139,3.1,580.87,1800.6970000000001,2022-05-02 06:00:00
16,1651467600,3.107,3.136,3.127,3.136,9480.25,29730.064000000002,2022-05-02 05:00:00
17,1651464000,3.079,3.133,3.104,3.127,629.3,1967.8210999999997,2022-05-02 04:00:00
18,1651460400,3.089,3.132,3.128,3.094,2496.49,7724.140059999999,2022-05-02 03:00:00
19,1651456800,3.105,3.139,3.129,3.131,3442.27,10777.74737,2022-05-02 02:00:00
20,1651453200,3.132,3.177,3.152,3.134,3146.55,9861.2877,2022-05-02 01:00:00
21,1651449600,3.107,3.17,3.109,3.144,6279.63,19743.156720000003,2022-05-02 00:00:00
22,1651446000,3.053,3.136,3.053,3.109,3604.15,11205.30235,2022-05-01 23:00:00
23,1651442400,3.052,3.1,3.065,3.052,1559.62,4759.960239999999,2022-05-01 22:00:00
24,1651438800,3.026,3.072,3.072,3.062,3677.77,11261.33174,2022-05-01 21:00:00
25,1651435200,3.005,3.077,3.006,3.074,2566.19,7888.46806,2022-05-01 20:00:00
26,1651431600,2.999,3.044,3.029,3.022,3614.31,10922.444819999999,2022-05-01 19:00:00
27,1651428000,3.028,3.102,3.102,3.028,2759.54,8355.88712,2022-05-01 18:00:00
28,1651424400,3.111,3.143,3.126,3.114,5939.88,18496.78632,2022-05-01 17:00:00
29,1651420800,3.079,3.137,3.081,3.128,10035.46,31390.918879999997,2022-05-01 16:00:00
30,1651417200,2.975,3.093,2.978,3.079,5315.65,16366.88635,2022-05-01 15:00:00
31,1651413600,2.964,2.993,2.981,2.978,5986.81,17828.720180000004,2022-05-01 14:00:00
32,1651410000,2.968,2.993,2.973,2.977,5327.52,15860.02704,2022-05-01 13:00:00
33,1651406400,2.955,2.997,2.984,2.991,9883.57,29561.75787,2022-05-01 12:00:00
34,1651402800,2.974,3.018,3.01,2.983,5585.4,16661.248199999998,2022-05-01 11:00:00
