,unix,low,high,open,close,volume,vol_fiat,date
0,1651528800,0.586,0.594,0.59,0.586,140442.38,82299.23468,2022-05-02 22:00:00
1,1651525200,0.576,0.589,0.576,0.589,42236.98,24877.58122,2022-05-02 21:00:00
2,1651521600,0.576,0.582,0.581,0.576,57210.41,32953.19616,2022-05-02 20:00:00
3,1651518000,0.569,0.581,0.571,0.579,92937.82,53810.99778,2022-05-02 19:00:00
4,1651514400,0.566,0.58,0.57,0.571,248714.43,142015.93952999997,2022-05-02 18:00:00
5,1651510800,0.567,0.581,0.58,0.571,75679.59,43213.045889999994,2022-05-02 17:00:00
6,1651507200,0.58,0.587,0.586,0.581,123616.14,71820.97734,2022-05-02 16:00:00
7,1651503600,0.584,0.59,0.587,0.585,199313.01,116598.11085,2022-05-02 15:00:00
8,1651500000,0.578,0.59,0.583,0.587,134427.05,78908.67834999999,2022-05-02 14:00:00
9,1651496400,0.57,0.585,0.573,0.583,185990.41,108432.40903,2022-05-02 13:00:00
10,1651492800,0.572,0.581,0.572,0.573,81884.83,46920.007589999994,2022-05-02 12:00:00
11,1651489200,0.571,0.58,0.579,0.572,112798.62,64520.81063999999,2022-05-02 11:00:00
12,1651485600,0.577,0.587,0.586,0.579,143150.01,82883.85579,2022-05-02 10:00:00
13,1651482000,0.585,0.595,0.592,0.585,30854.39,18049.81815,2022-05-02 09:00:00
14,1651478400,0.591,0.602,0.6,0.592,52972.65,31359.8088,2022-05-02 08:00:00
15,1651474800,0.6,0.605,0.602,0.6,39197.07,23518.242,2022-05-02 07:00:00
16,1651471200,0.602,0.607,0.604,0.603,52077.03,31402.44909,2022-05-02 06:00:00
17,1651467600,0.6,0.604,0.602,0.604,42684.82,25781.631279999998,2022-05-02 05:00:00
18,1651464000,0.597,0.604,0.599,0.602,77902.25,46897.1545,2022-05-02 04:00:00
19,1651460400,0.598,0.6,0.599,0.598,32493.6,19431.172799999997,2022-05-02 03:00:00
20,1651456800,0.596,0.602,0.601,0.598,66294.78,39644.278439999995,2022-05-02 02:00:00
21,1651453200,0.602,0.613,0.61,0.602,92316.38,55574.46076,2022-05-02 01:00:00
22,1651449600,0.602,0.612,0.603,0.609,128640.08,78341.80872,2022-05-02 00:00:00
23,1651446000,0.591,0.606,0.592,0.602,113176.42,68132.20483999999,2022-05-01 23:00:00
24,1651442400,0.592,0.6,0.593,0.593,100136.02,59380.65986,2022-05-01 22:00:00
25,1651438800,0.591,0.599,0.597,0.594,51999.52,30887.714879999996,2022-05-01 21:00:00
26,1651435200,0.589,0.599,0.592,0.598,59062.94,35319.63812,2022-05-01 20:00:00
27,1651431600,0.587,0.596,0.593,0.593,112915.88,66959.11684,2022-05-01 19:00:00
28,1651428000,0.592,0.607,0.606,0.592,88205.64,52217.73888,2022-05-01 18:00:00
29,1651424400,0.607,0.612,0.608,0.607,112152.06,68076.30042,2022-05-01 17:00:00
30,1651420800,0.601,0.611,0.601,0.609,90143.9,54897.63509999999,2022-05-01 16:00:00
31,1651417200,0.581,0.603,0.581,0.601,143139.44,86026.80344,2022-05-01 15:00:00
32,1651413600,0.58,0.584,0.581,0.58,90389.26,52425.77079999999,2022-05-01 14:00:00
33,1651410000,0.577,0.584,0.579,0.582,27512.38,16012.20516,2022-05-01 13:00:00
34,1651406400,0.573,0.579,0.578,0.578,101178.21,58481.00538,2022-05-01 12:00:00
35,1651402800,0.576,0.583,0.581,0.578,37804.38,21850.931639999995,2022-05-01 11:00:00
36,1651399200,0.58,0.585,0.585,0.581,47189.8,27417.2738,2022-05-01 10:00:00
37,1651395600,0.581,0.592,0.592,0.584,49563.73,28945.21832,2022-05-01 09:00:00
38,1651392000,0.589,0.595,0.589,0.593,32071.84,19018.60112,2022-05-01 08:00:00
39,1651388400,0.587,0.592,0.59,0.59,24922.22,14704.1098,2022-05-01 07:00:00
40,1651384800,0.59,0.596,0.593,0.59,29549.05,17433.9395,2022-05-01 06:00:00
41,1651381200,0.577,0.597,0.577,0.593,81977.1,48612.4203,2022-05-01 05:00:00
42,1651377600,0.576,0.581,0.58,0.577,33140.58,19122.11466,2022-05-01 04:00:00
