,unix,low,high,open,close,volume,vol_fiat,date
0,1651528800,284.83,287.35,285.72,284.83,624.55130601,177890.94849082828,2022-05-02 22:00:00
1,1651525200,282.0,285.7,282.31,285.7,523.12297294,149456.23336895797,2022-05-02 21:00:00
2,1651521600,282.18,283.93,283.78,282.19,423.04770688,119379.8324044672,2022-05-02 20:00:00
3,1651518000,281.17,284.39,281.19,283.73,407.31802925,115568.34443910251,2022-05-02 19:00:00
4,1651514400,279.95,282.89,281.57,281.47,466.39795421,131277.0321714887,2022-05-02 18:00:00
5,1651510800,280.95,284.94,284.35,281.81,639.78393863,180297.51174532028,2022-05-02 17:00:00
6,1651507200,284.18,286.61,284.85,284.47,525.34736458,149445.5648020726,2022-05-02 16:00:00
7,1651503600,283.72,286.78,285.11,284.95,269.50277218,76794.814932691,2022-05-02 15:00:00
8,1651500000,283.52,287.7,284.68,285.19,502.47254713,143300.1457160047,2022-05-02 14:00:00
9,1651496400,281.48,286.84,281.59,284.68,582.25921778,165757.5541176104,2022-05-02 13:00:00
10,1651492800,279.81,282.59,280.79,281.49,284.10899506,79973.8410194394,2022-05-02 12:00:00
11,1651489200,279.74,283.0,282.7,280.9,836.1433976,234872.68038583998,2022-05-02 11:00:00
12,1651485600,282.38,284.53,283.5,282.77,334.22856616,94509.8116530632,2022-05-02 10:00:00
13,1651482000,283.31,286.6,285.08,283.53,712.48120415,202009.7958126495,2022-05-02 09:00:00
14,1651478400,284.02,286.76,286.02,285.05,413.7448575,117937.97163037502,2022-05-02 08:00:00
15,1651474800,285.23,288.15,285.71,286.02,410.69614846,117467.3123825292,2022-05-02 07:00:00
16,1651471200,285.6,287.45,287.19,285.69,645.58215664,184436.3663304816,2022-05-02 06:00:00
17,1651467600,285.55,289.26,288.07,287.19,1730.06955786,496858.67632181343,2022-05-02 05:00:00
18,1651464000,284.65,289.62,285.48,288.04,535.39451174,154215.0351615896,2022-05-02 04:00:00
19,1651460400,285.2,286.27,285.7,285.4,422.45090303,120567.48772476199,2022-05-02 03:00:00
20,1651456800,285.22,287.39,286.72,285.7,421.50834158,120424.93318940599,2022-05-02 02:00:00
21,1651453200,286.48,291.01,287.41,286.7,3009.83520203,862919.752422001,2022-05-02 01:00:00
22,1651449600,283.79,288.39,283.88,287.17,423.85695564,121719.00195113881,2022-05-02 00:00:00
23,1651446000,279.28,286.13,279.69,284.18,364.2580868,103514.863106824,2022-05-01 23:00:00
24,1651442400,279.54,284.05,281.52,279.54,438.1039302,122467.572648108,2022-05-01 22:00:00
25,1651438800,279.98,284.4,284.09,281.66,302.90130434,85315.18138040442,2022-05-01 21:00:00
26,1651435200,279.43,284.24,280.25,284.0,228.48409463,64889.482874919995,2022-05-01 20:00:00
27,1651431600,278.95,282.64,282.37,280.35,369.33759571,103543.79495729851,2022-05-01 19:00:00
28,1651428000,282.31,286.61,286.6,282.44,269.43097644,76098.08498571359,2022-05-01 18:00:00
29,1651424400,286.04,287.85,286.31,286.6,513.52481111,147176.210864126,2022-05-01 17:00:00
30,1651420800,282.87,286.93,283.31,286.19,933.90454963,267274.1430586097,2022-05-01 16:00:00
31,1651417200,277.03,284.35,277.12,283.39,884.26445414,250591.7036587346,2022-05-01 15:00:00
32,1651413600,276.01,277.72,276.97,277.03,335.01185017,92808.3328525951,2022-05-01 14:00:00
33,1651410000,277.02,278.48,278.27,277.02,396.78669803,109917.8510882706,2022-05-01 13:00:00
34,1651406400,276.49,278.96,276.97,278.2,428.31441303,119157.069704946,2022-05-01 12:00:00
35,1651402800,276.99,278.78,278.45,277.05,214.84324943,59522.3222545815,2022-05-01 11:00:00
36,1651399200,277.5,279.04,277.79,278.44,195.37547511,54400.3472896284,2022-05-01 10:00:00
37,1651395600,276.96,280.29,280.09,277.79,182.22059493,50619.059065604706,2022-05-01 09:00:00
38,1651392000,276.38,280.06,276.81,279.86,500.221459,139991.97751574,2022-05-01 08:00:00
39,1651388400,276.09,277.83,277.18,276.76,426.87328007,118141.4489921732,2022-05-01 07:00:00
40,1651384800,276.86,281.61,281.37,277.23,455.17869428,126189.18941524441,2022-05-01 06:00:00
41,1651381200,277.85,282.41,278.25,281.36,491.24783208,138217.4900340288,2022-05-01 05:00:00
42,1651377600,277.53,279.18,279.18,278.29,245.72008269,68381.4418118001,2022-05-01 04:00:00
43,1651374000,276.73,279.56,276.95,278.83,582.1841502,162330.406600266,2022-05-01 03:00:00
44,1651370400,276.2,278.8,278.09,276.58,546.57948504,151172.9539723632,2022-05-01 02:00:00
45,1651366800,272.53,278.39,276.4,278.0,1276.69356101,354920.80996077997,2022-05-01 01:00:00
46,1651363200,274.64,278.87,277.79,276.53,3691.51996632,1020816.0162864695,2022-05-01 00:00:00
47,1651359600,267.76,283.37,282.6,277.83,9346.94855323,2596862.716543891,2022-04-30 23:00:00
48,1651356000,282.21,285.3,285.3,282.57,637.42214969,180116.37683790328,2022-04-30 22:00:00
49,1651352400,285.12,286.04,285.44,285.29,240.12378558,68504.9147881182,2022-04-30 21:00:00
50,1651348800,285.28,287.97,287.36,285.55,300.30773976,85752.875088468,2022-04-30 20:00:00
51,1651345200,286.1,289.04,286.7,287.47,321.15906479,92323.5963551813,2022-04-30 19:00:00
52,1651341600,285.31,286.93,285.87,286.62,539.61429725,154664.24987779502,2022-04-30 18:00:00
53,1651338000,285.58,288.39,287.85,285.93,630.96675808,180412.3251378144,2022-04-30 17:00:00
54,1651334400,287.74,290.62,289.33,288.1,457.48884002,131802.534809762,2022-04-30 16:00:00
55,1651330800,287.22,290.23,288.53,289.23,1082.28344252,313028.84008005966,2022-04-30 15:00:00
56,1651327200,288.62,293.5,293.16,288.99,928.82435203,268420.9494931497,2022-04-30 14:00:00
57,1651323600,292.64,294.25,292.88,292.88,461.12351181,135053.8541389128,2022-04-30 13:00:00
58,1651320000,292.82,293.8,293.42,292.95,205.98605777,60343.6156237215,2022-04-30 12:00:00
