,unix,low,high,open,close,volume,vol_fiat,date
0,1651528800,1.042,1.051,1.044,1.043,66947.5,69826.2425,2022-05-02 22:00:00
1,1651525200,1.021,1.043,1.021,1.042,31841.86,33179.218120000005,2022-05-02 21:00:00
2,1651521600,1.017,1.037,1.037,1.017,45398.25,46170.020249999994,2022-05-02 20:00:00
3,1651518000,1.017,1.038,1.019,1.035,52532.76,54371.406599999995,2022-05-02 19:00:00
4,1651514400,1.009,1.033,1.024,1.021,92598.99,94543.56878999999,2022-05-02 18:00:00
5,1651510800,1.012,1.147,1.076,1.025,660305.82,676813.4654999999,2022-05-02 17:00:00
6,1651507200,1.035,1.099,1.047,1.076,503852.26,542145.03176,2022-05-02 16:00:00
7,1651503600,1.04,1.056,1.048,1.048,66223.17,69401.88216,2022-05-02 15:00:00
8,1651500000,1.047,1.08,1.06,1.048,279129.96,292528.19808000006,2022-05-02 14:00:00
9,1651496400,1.027,1.065,1.041,1.06,118370.79,125473.0374,2022-05-02 13:00:00
10,1651492800,1.039,1.062,1.048,1.04,102942.58,107060.2832,2022-05-02 12:00:00
11,1651489200,1.044,1.055,1.055,1.047,43448.97,45491.07159,2022-05-02 11:00:00
12,1651485600,1.053,1.061,1.057,1.055,29759.09,31395.839949999998,2022-05-02 10:00:00
13,1651482000,1.058,1.074,1.065,1.058,13115.69,13876.400020000001,2022-05-02 09:00:00
14,1651478400,1.065,1.079,1.077,1.069,27044.36,28910.42084,2022-05-02 08:00:00
15,1651474800,1.071,1.098,1.088,1.075,93806.26,100841.72949999999,2022-05-02 07:00:00
16,1651471200,1.086,1.1,1.094,1.086,44089.97,47881.707420000006,2022-05-02 06:00:00
17,1651467600,1.087,1.095,1.09,1.094,58654.84,64168.39496,2022-05-02 05:00:00
18,1651464000,1.077,1.094,1.082,1.091,17177.73,18740.90343,2022-05-02 04:00:00
19,1651460400,1.079,1.083,1.082,1.08,4337.43,4684.424400000001,2022-05-02 03:00:00
20,1651456800,1.069,1.082,1.078,1.082,23564.17,25496.43194,2022-05-02 02:00:00
21,1651453200,1.081,1.093,1.091,1.081,18074.87,19538.934469999997,2022-05-02 01:00:00
22,1651449600,1.071,1.093,1.072,1.091,31476.3,34340.643299999996,2022-05-02 00:00:00
23,1651446000,1.052,1.081,1.062,1.075,49781.03,53514.607249999994,2022-05-01 23:00:00
24,1651442400,1.055,1.069,1.063,1.062,25740.61,27336.527820000003,2022-05-01 22:00:00
25,1651438800,1.045,1.067,1.062,1.061,38772.22,41137.32542,2022-05-01 21:00:00
26,1651435200,1.04,1.067,1.05,1.066,68145.51,72643.11366,2022-05-01 20:00:00
27,1651431600,1.035,1.058,1.048,1.049,65501.3,68710.8637,2022-05-01 19:00:00
28,1651428000,1.043,1.084,1.083,1.043,141131.8,147200.46739999996,2022-05-01 18:00:00
29,1651424400,1.078,1.108,1.089,1.082,214292.75,231864.75550000003,2022-05-01 17:00:00
30,1651420800,1.08,1.102,1.089,1.088,164596.67,179081.17696000004,2022-05-01 16:00:00
31,1651417200,1.047,1.1,1.047,1.086,352355.62,382658.20332000003,2022-05-01 15:00:00
32,1651413600,1.033,1.066,1.045,1.046,170284.75,178117.8485,2022-05-01 14:00:00
33,1651410000,1.04,1.073,1.062,1.046,439427.35,459641.0081,2022-05-01 13:00:00
34,1651406400,1.035,1.064,1.054,1.064,115185.18,122557.03152,2022-05-01 12:00:00
35,1651402800,1.045,1.067,1.067,1.054,102311.92,107836.76368,2022-05-01 11:00:00
