,unix,low,high,open,close,volume,vol_fiat,date
0,1651528800,0.1267,0.128,0.1271,0.1271,39605.4,5033.84634,2022-05-02 22:00:00
1,1651525200,0.1242,0.1271,0.1246,0.1271,13865.5,1762.30505,2022-05-02 21:00:00
2,1651521600,0.1244,0.1261,0.1256,0.1247,7424.7,925.86009,2022-05-02 20:00:00
3,1651518000,0.1224,0.126,0.1224,0.126,72097.5,9084.285,2022-05-02 19:00:00
4,1651514400,0.1216,0.1228,0.1226,0.1227,32804.2,4025.07534,2022-05-02 18:00:00
5,1651510800,0.122,0.125,0.1248,0.1227,69834.9,8568.74223,2022-05-02 17:00:00
6,1651507200,0.1248,0.1263,0.1263,0.1248,17680.2,2206.48896,2022-05-02 16:00:00
7,1651503600,0.1257,0.1272,0.1264,0.1264,25548.5,3229.3304000000003,2022-05-02 15:00:00
8,1651500000,0.1247,0.1272,0.1256,0.1262,22296.8,2813.8561600000003,2022-05-02 14:00:00
9,1651496400,0.1231,0.1261,0.1246,0.1254,76119.7,9545.410380000001,2022-05-02 13:00:00
10,1651492800,0.1238,0.1253,0.1241,0.1241,23271.5,2887.9931500000002,2022-05-02 12:00:00
11,1651489200,0.1241,0.1257,0.1257,0.1243,5560.0,691.108,2022-05-02 11:00:00
12,1651485600,0.1252,0.1265,0.1259,0.1255,25977.6,3260.1888,2022-05-02 10:00:00
13,1651482000,0.1259,0.1275,0.127,0.1259,9547.8,1202.06802,2022-05-02 09:00:00
14,1651478400,0.1266,0.129,0.1283,0.1271,15722.1,1998.27891,2022-05-02 08:00:00
15,1651474800,0.1283,0.1295,0.129,0.1283,10809.7,1386.88451,2022-05-02 07:00:00
16,1651471200,0.1287,0.1299,0.1295,0.129,10724.6,1383.4734,2022-05-02 06:00:00
17,1651467600,0.1288,0.1297,0.1289,0.1297,12600.0,1634.22,2022-05-02 05:00:00
18,1651464000,0.1275,0.129,0.1281,0.1288,8907.2,1147.24736,2022-05-02 04:00:00
19,1651460400,0.1277,0.1286,0.1285,0.1281,64232.7,8228.208869999999,2022-05-02 03:00:00
20,1651456800,0.127,0.1285,0.1278,0.1282,18485.3,2369.8154600000003,2022-05-02 02:00:00
21,1651453200,0.128,0.1294,0.1293,0.1284,7248.4,930.6945599999999,2022-05-02 01:00:00
22,1651449600,0.1282,0.1299,0.1283,0.1292,47223.3,6101.250360000001,2022-05-02 00:00:00
23,1651446000,0.1264,0.1285,0.1266,0.1284,13420.4,1723.1793599999999,2022-05-01 23:00:00
24,1651442400,0.1261,0.1275,0.127,0.1261,32912.7,4150.291469999999,2022-05-01 22:00:00
25,1651438800,0.1256,0.1273,0.127,0.1267,90338.9,11445.93863,2022-05-01 21:00:00
26,1651435200,0.1244,0.1271,0.1251,0.127,31788.4,4037.1268000000005,2022-05-01 20:00:00
27,1651431600,0.124,0.1258,0.1255,0.1249,24657.5,3079.72175,2022-05-01 19:00:00
28,1651428000,0.1256,0.1289,0.1283,0.1256,49030.7,6158.255919999999,2022-05-01 18:00:00
29,1651424400,0.1285,0.133,0.1312,0.1285,160943.3,20681.21405,2022-05-01 17:00:00
30,1651420800,0.129,0.1325,0.1296,0.1312,67794.7,8894.66464,2022-05-01 16:00:00
31,1651417200,0.1244,0.1296,0.1247,0.1291,69244.2,8939.42622,2022-05-01 15:00:00
32,1651413600,0.124,0.1254,0.1244,0.1247,37345.0,4656.9215,2022-05-01 14:00:00
33,1651410000,0.1242,0.1253,0.1242,0.1242,15675.9,1946.94678,2022-05-01 13:00:00
34,1651406400,0.1234,0.1253,0.1245,0.1241,81112.7,10066.08607,2022-05-01 12:00:00
35,1651402800,0.1243,0.1275,0.1274,0.1243,34115.7,4240.581509999999,2022-05-01 11:00:00
36,1651399200,0.127,0.128,0.1272,0.1271,5618.3,714.08593,2022-05-01 10:00:00
37,1651395600,0.1264,0.129,0.1289,0.1275,55704.2,7102.2855,2022-05-01 09:00:00
38,1651392000,0.1262,0.1289,0.1269,0.1289,194132.1,25023.627689999998,2022-05-01 08:00:00
39,1651388400,0.1264,0.1278,0.1273,0.1269,26814.4,3402.7473600000008,2022-05-01 07:00:00
40,1651384800,0.1271,0.129,0.1272,0.1278,49610.5,6340.2219,2022-05-01 06:00:00
41,1651381200,0.1224,0.1272,0.1224,0.1272,103264.1,13135.19352,2022-05-01 05:00:00
42,1651377600,0.1214,0.1223,0.1221,0.1223,14672.6,1794.45898,2022-05-01 04:00:00
43,1651374000,0.1203,0.122,0.1206,0.122,14588.9,1779.8457999999998,2022-05-01 03:00:00
44,1651370400,0.1205,0.1219,0.121,0.1207,14786.5,1784.73055,2022-05-01 02:00:00
45,1651366800,0.1184,0.1222,0.1205,0.1209,192554.5,23279.83905,2022-05-01 01:00:00
46,1651363200,0.1191,0.1211,0.1199,0.1196,56025.6,6700.66176,2022-05-01 00:00:00
47,1651359600,0.1174,0.1248,0.1248,0.1199,192871.9,23125.34081,2022-04-30 23:00:00
48,1651356000,0.1237,0.1256,0.1251,0.1245,25437.4,3166.9563000000003,2022-04-30 22:00:00
49,1651352400,0.1252,0.1264,0.1264,0.1254,5209.5,653.2713000000001,2022-04-30 21:00:00
50,1651348800,0.126,0.1272,0.1266,0.1261,5262.3,663.57603,2022-04-30 20:00:00
51,1651345200,0.1248,0.1275,0.1254,0.1269,155495.6,19732.39164,2022-04-30 19:00:00
52,1651341600,0.1242,0.1255,0.1243,0.1251,14479.3,1811.3604299999997,2022-04-30 18:00:00
53,1651338000,0.1239,0.1261,0.1259,0.1246,68861.8,8580.18028,2022-04-30 17:00:00
54,1651334400,0.1259,0.1273,0.1265,0.1259,43834.5,5518.763550000001,2022-04-30 16:00:00
55,1651330800,0.1248,0.1271,0.1254,0.1265,26010.2,3290.2903,2022-04-30 15:00:00
56,1651327200,0.1251,0.1293,0.1291,0.1251,167902.3,21004.577729999997,2022-04-30 14:00:00
57,1651323600,0.1291,0.1306,0.13,0.1292,20659.8,2669.24616,2022-04-30 13:00:00
58,1651320000,0.1297,0.1304,0.1302,0.1299,8206.0,1065.9594,2022-04-30 12:00:00
59,1651316400,0.1303,0.1312,0.1303,0.1311,16979.0,2225.9469,2022-04-30 11:00:00
60,1651312800,0.1295,0.1305,0.1295,0.1302,3361.0,437.60220000000004,2022-04-30 10:00:00
61,1651309200,0.1292,0.1299,0.1292,0.1295,5154.5,667.50775,2022-04-30 09:00:00
62,1651305600,0.1291,0.1307,0.1302,0.1295,19087.3,2471.80535,2022-04-30 08:00:00
63,1651302000,0.1305,0.1317,0.1316,0.1305,416.6,54.3663,2022-04-30 07:00:00
64,1651298400,0.131,0.1318,0.1316,0.1318,15175.1,2000.07818,2022-04-30 06:00:00
65,1651294800,0.1304,0.1317,0.1308,0.1317,4859.9,640.04883,2022-04-30 05:00:00
66,1651291200,0.1299,0.1311,0.1304,0.1303,57090.4,7438.8791200000005,2022-04-30 04:00:00
67,1651287600,0.1299,0.1311,0.1311,0.1304,47564.1,6202.3586399999995,2022-04-30 03:00:00
68,1651284000,0.1308,0.1321,0.1311,0.1311,34414.7,4511.767169999999,2022-04-30 02:00:00
69,1651280400,0.1305,0.1315,0.131,0.1313,44172.9,5799.90177,2022-04-30 01:00:00
70,1651276800,0.1294,0.131,0.1297,0.131,26693.3,3496.8223000000003,2022-04-30 00:00:00
71,1651273200,0.1285,0.1297,0.1289,0.1297,47309.3,6136.016210000001,2022-04-29 23:00:00
72,1651269600,0.1276,0.1293,0.1289,0.1288,42913.0,5527.1944,2022-04-29 22:00:00
73,1651266000,0.1284,0.1298,0.1295,0.1289,18879.5,2433.5675499999998,2022-04-29 21:00:00
74,1651262400,0.1285,0.1298,0.1285,0.1294,52259.0,6762.3146,2022-04-29 20:00:00
75,1651258800,0.1275,0.1309,0.1309,0.1286,63078.5,8111.8951,2022-04-29 19:00:00
76,1651255200,0.1297,0.1325,0.1322,0.1305,77174.7,10071.29835,2022-04-29 18:00:00
77,1651251600,0.1314,0.133,0.1321,0.1323,34122.4,4514.3935200000005,2022-04-29 17:00:00
78,1651248000,0.1315,0.1348,0.1348,0.1321,60803.2,8032.102719999999,2022-04-29 16:00:00
79,1651244400,0.1341,0.1352,0.135,0.1348,26088.4,3516.7163200000005,2022-04-29 15:00:00
80,1651240800,0.1348,0.1368,0.1368,0.135,26157.9,3531.3165000000004,2022-04-29 14:00:00
81,1651237200,0.1352,0.137,0.1356,0.1366,25011.1,3416.51626,2022-04-29 13:00:00
82,1651233600,0.1339,0.1361,0.1346,0.1356,18227.3,2471.6218799999997,2022-04-29 12:00:00
83,1651230000,0.1343,0.1359,0.1352,0.1349,23198.9,3129.53161,2022-04-29 11:00:00
84,1651226400,0.1345,0.1392,0.139,0.1351,84639.0,11434.7289,2022-04-29 10:00:00
85,1651222800,0.1389,0.1403,0.1403,0.1391,53305.0,7414.7255000000005,2022-04-29 09:00:00
86,1651219200,0.1406,0.1421,0.1407,0.1409,23837.5,3358.70375,2022-04-29 08:00:00
87,1651215600,0.1398,0.1409,0.1404,0.1409,12100.4,1704.94636,2022-04-29 07:00:00
88,1651212000,0.1397,0.1409,0.1405,0.1404,10909.3,1531.66572,2022-04-29 06:00:00
89,1651208400,0.1399,0.1406,0.1403,0.1406,5263.5,740.0481,2022-04-29 05:00:00
90,1651204800,0.1383,0.1403,0.1395,0.1403,30907.0,4336.252100000001,2022-04-29 04:00:00
91,1651201200,0.1387,0.1398,0.1394,0.1391,15074.4,2096.84904,2022-04-29 03:00:00
92,1651197600,0.1389,0.1414,0.1411,0.1394,52983.9,7385.95566,2022-04-29 02:00:00
93,1651194000,0.1406,0.1418,0.1416,0.1408,14685.9,2067.77472,2022-04-29 01:00:00
94,1651190400,0.1401,0.1416,0.1403,0.1416,18827.3,2665.94568,2022-04-29 00:00:00
95,1651186800,0.1396,0.1411,0.1398,0.1406,24245.3,3408.88918,2022-04-28 23:00:00
0,1651183200,0.1393,0.1403,0.1398,0.14,39559.1,5538.274,2022-04-28 22:00:00
1,1651179600,0.139,0.1408,0.1404,0.1399,29258.0,4093.1942,2022-04-28 21:00:00
2,1651176000,0.1395,0.1412,0.1403,0.1403,25225.4,3539.1236200000003,2022-04-28 20:00:00
3,1651172400,0.1396,0.1418,0.1407,0.1404,48963.5,6874.4754,2022-04-28 19:00:00
4,1651168800,0.1408,0.1416,0.1414,0.1409,26271.3,3701.62617,2022-04-28 18:00:00
