,unix,low,high,open,close,volume,vol_fiat,date
0,1651528800,6.08,6.12,6.11,6.08,532.289,3236.31712,2022-05-02 22:00:00
1,1651525200,6.02,6.23,6.11,6.1,15435.831,94158.5691,2022-05-02 21:00:00
2,1651521600,6.06,6.17,6.06,6.1,5499.629,33547.736899999996,2022-05-02 20:00:00
3,1651518000,5.99,6.08,5.99,6.06,1580.115,9575.4969,2022-05-02 19:00:00
4,1651514400,5.98,6.02,5.99,6.01,756.743,4548.025430000001,2022-05-02 18:00:00
5,1651510800,5.99,6.03,6.02,5.99,1861.384,11149.69016,2022-05-02 17:00:00
6,1651507200,6.03,6.08,6.05,6.03,1136.818,6855.012540000001,2022-05-02 16:00:00
7,1651503600,6.04,6.07,6.07,6.06,351.973,2132.95638,2022-05-02 15:00:00
8,1651500000,5.98,6.08,6.04,6.06,1135.31,6879.9785999999995,2022-05-02 14:00:00
9,1651496400,5.98,6.06,5.98,6.06,4567.021,27676.147259999998,2022-05-02 13:00:00
10,1651492800,5.98,6.03,5.98,6.0,2643.837,15863.022,2022-05-02 12:00:00
11,1651489200,5.98,6.03,6.03,5.99,161.661,968.3493900000001,2022-05-02 11:00:00
12,1651485600,5.98,6.02,5.98,6.01,601.406,3614.4500599999997,2022-05-02 10:00:00
13,1651482000,5.99,6.07,6.04,6.0,1189.259,7135.554,2022-05-02 09:00:00
14,1651478400,6.04,6.11,6.11,6.05,933.952,5650.4096,2022-05-02 08:00:00
15,1651474800,6.11,6.15,6.13,6.11,667.396,4077.78956,2022-05-02 07:00:00
16,1651471200,6.13,6.16,6.13,6.13,255.937,1568.89381,2022-05-02 06:00:00
17,1651467600,6.11,6.14,6.14,6.13,437.944,2684.59672,2022-05-02 05:00:00
18,1651464000,6.06,6.14,6.08,6.13,2529.872,15508.115359999998,2022-05-02 04:00:00
19,1651460400,6.07,6.1,6.07,6.08,654.018,3976.4294400000003,2022-05-02 03:00:00
20,1651456800,6.05,6.09,6.06,6.09,538.877,3281.7609299999995,2022-05-02 02:00:00
21,1651453200,6.07,6.16,6.13,6.07,581.411,3529.16477,2022-05-02 01:00:00
22,1651449600,6.1,6.2,6.11,6.14,2441.802,14992.66428,2022-05-02 00:00:00
23,1651446000,6.08,6.21,6.1,6.13,7684.597,47106.57961,2022-05-01 23:00:00
24,1651442400,6.06,6.1,6.08,6.09,1491.591,9083.78919,2022-05-01 22:00:00
25,1651438800,6.06,6.11,6.11,6.08,678.465,4125.0672,2022-05-01 21:00:00
26,1651435200,5.99,6.12,6.01,6.1,4004.592,24428.0112,2022-05-01 20:00:00
27,1651431600,5.98,6.03,5.99,6.01,630.451,3789.01051,2022-05-01 19:00:00
28,1651428000,5.97,6.02,6.02,5.99,3296.86,19748.1914,2022-05-01 18:00:00
29,1651424400,6.02,6.1,6.08,6.02,1500.631,9033.79862,2022-05-01 17:00:00
30,1651420800,6.05,6.11,6.11,6.08,5101.361,31016.27488,2022-05-01 16:00:00
31,1651417200,6.0,6.11,6.0,6.1,5812.736,35457.6896,2022-05-01 15:00:00
32,1651413600,5.96,6.06,6.05,6.02,4160.571,25046.63742,2022-05-01 14:00:00
33,1651410000,5.99,6.05,6.0,6.04,1730.403,10451.63412,2022-05-01 13:00:00
34,1651406400,5.99,6.01,6.0,6.0,188.022,1128.132,2022-05-01 12:00:00
35,1651402800,5.99,6.02,6.01,5.99,63.428,379.93372,2022-05-01 11:00:00
36,1651399200,5.99,6.01,6.0,6.0,98.878,593.268,2022-05-01 10:00:00
37,1651395600,5.99,6.03,6.02,6.0,150.892,905.352,2022-05-01 09:00:00
38,1651392000,5.97,6.02,5.97,6.02,180.854,1088.74108,2022-05-01 08:00:00
39,1651388400,5.96,6.03,6.01,5.96,3693.809,22015.10164,2022-05-01 07:00:00
40,1651384800,5.98,6.02,6.01,6.0,1485.895,8915.369999999999,2022-05-01 06:00:00
41,1651381200,5.77,6.01,5.77,6.0,6807.592,40845.551999999996,2022-05-01 05:00:00
42,1651377600,5.76,5.79,5.79,5.76,322.643,1858.4236799999999,2022-05-01 04:00:00
43,1651374000,5.74,5.79,5.76,5.79,1436.876,8319.51204,2022-05-01 03:00:00
44,1651370400,5.76,5.79,5.78,5.76,279.097,1607.5987199999997,2022-05-01 02:00:00
45,1651366800,5.64,5.78,5.76,5.78,9166.194,52980.60132,2022-05-01 01:00:00
46,1651363200,5.75,5.9,5.84,5.75,25580.957,147090.50274999999,2022-05-01 00:00:00
47,1651359600,5.74,6.02,5.99,5.83,24658.042,143756.38486000002,2022-04-30 23:00:00
48,1651356000,5.99,6.04,6.02,6.0,690.485,4142.91,2022-04-30 22:00:00
49,1651352400,6.0,6.05,6.0,6.03,616.289,3716.22267,2022-04-30 21:00:00
50,1651348800,5.99,6.05,6.05,6.0,4239.05,25434.300000000003,2022-04-30 20:00:00
51,1651345200,6.01,6.05,6.05,6.05,969.629,5866.25545,2022-04-30 19:00:00
52,1651341600,6.01,6.08,6.01,6.04,7463.785,45081.261399999996,2022-04-30 18:00:00
53,1651338000,5.97,6.08,6.07,6.02,9975.268,60051.113359999996,2022-04-30 17:00:00
54,1651334400,6.07,6.09,6.08,6.07,762.329,4627.33703,2022-04-30 16:00:00
55,1651330800,6.05,6.09,6.08,6.08,1267.747,7707.901760000001,2022-04-30 15:00:00
56,1651327200,6.08,6.13,6.13,6.08,1241.483,7548.21664,2022-04-30 14:00:00
57,1651323600,6.12,6.2,6.17,6.13,1332.498,8168.21274,2022-04-30 13:00:00
58,1651320000,6.17,6.26,6.22,6.17,2510.249,15488.236329999998,2022-04-30 12:00:00
59,1651316400,6.2,6.24,6.22,6.21,285.957,1775.79297,2022-04-30 11:00:00
60,1651312800,6.19,6.23,6.22,6.21,1069.105,6639.14205,2022-04-30 10:00:00
61,1651309200,6.12,6.31,6.12,6.22,2657.404,16529.05288,2022-04-30 09:00:00
62,1651305600,6.08,6.17,6.17,6.13,1520.791,9322.44883,2022-04-30 08:00:00
63,1651302000,6.15,6.19,6.19,6.15,34.133,209.91795000000002,2022-04-30 07:00:00
64,1651298400,6.15,6.19,6.19,6.18,1906.92,11784.7656,2022-04-30 06:00:00
65,1651294800,6.13,6.21,6.13,6.18,822.574,5083.50732,2022-04-30 05:00:00
66,1651291200,6.11,6.2,6.17,6.14,3759.55,23083.637,2022-04-30 04:00:00
67,1651287600,6.09,6.23,6.14,6.17,4548.931,28066.904269999995,2022-04-30 03:00:00
68,1651284000,6.11,6.15,6.13,6.12,1132.705,6932.1546,2022-04-30 02:00:00
69,1651280400,6.08,6.14,6.11,6.14,1680.109,10315.86926,2022-04-30 01:00:00
70,1651276800,6.1,6.14,6.1,6.12,489.755,2997.3006,2022-04-30 00:00:00
71,1651273200,6.1,6.14,6.13,6.1,1138.517,6944.9537,2022-04-29 23:00:00
72,1651269600,6.1,6.12,6.1,6.12,1140.215,6978.1158,2022-04-29 22:00:00
73,1651266000,6.07,6.13,6.09,6.1,1805.996,11016.5756,2022-04-29 21:00:00
74,1651262400,6.06,6.13,6.13,6.08,7844.319,47693.459520000004,2022-04-29 20:00:00
75,1651258800,6.07,6.23,6.22,6.13,14598.409,89488.24717,2022-04-29 19:00:00
76,1651255200,6.2,6.3,6.27,6.21,1694.371,10522.04391,2022-04-29 18:00:00
77,1651251600,6.2,6.3,6.23,6.28,4453.632,27968.80896,2022-04-29 17:00:00
78,1651248000,6.22,6.32,6.27,6.22,8592.49,53445.2878,2022-04-29 16:00:00
79,1651244400,6.26,6.32,6.26,6.28,2468.867,15504.484760000001,2022-04-29 15:00:00
80,1651240800,6.26,6.35,6.32,6.26,735.069,4601.53194,2022-04-29 14:00:00
81,1651237200,6.27,6.34,6.27,6.32,2597.062,16413.43184,2022-04-29 13:00:00
82,1651233600,6.21,6.29,6.22,6.28,1557.031,9778.15468,2022-04-29 12:00:00
83,1651230000,6.2,6.28,6.27,6.22,3959.065,24625.384299999998,2022-04-29 11:00:00
84,1651226400,6.11,6.39,6.38,6.27,24706.051,154906.93977,2022-04-29 10:00:00
85,1651222800,6.38,6.47,6.44,6.38,4801.459,30633.308419999998,2022-04-29 09:00:00
86,1651219200,6.45,6.6,6.59,6.45,3738.92,24116.034,2022-04-29 08:00:00
87,1651215600,6.57,6.62,6.61,6.59,1013.638,6679.87442,2022-04-29 07:00:00
88,1651212000,6.61,6.68,6.67,6.62,2874.865,19031.6063,2022-04-29 06:00:00
89,1651208400,6.65,6.77,6.74,6.69,4899.294,32776.27686,2022-04-29 05:00:00
90,1651204800,6.73,6.75,6.75,6.75,168.363,1136.45025,2022-04-29 04:00:00
91,1651201200,6.72,6.76,6.74,6.76,2052.46,13874.6296,2022-04-29 03:00:00
92,1651197600,6.73,6.8,6.78,6.74,2110.599,14225.437260000002,2022-04-29 02:00:00
93,1651194000,6.78,6.82,6.82,6.78,287.778,1951.1348400000002,2022-04-29 01:00:00
94,1651190400,6.76,6.84,6.84,6.8,5974.077,40623.7236,2022-04-29 00:00:00
95,1651186800,6.8,6.84,6.81,6.83,3088.695,21095.78685,2022-04-28 23:00:00
0,1651183200,6.76,6.81,6.79,6.81,1196.221,8146.265009999999,2022-04-28 22:00:00
1,1651179600,6.78,6.84,6.81,6.79,568.498,3860.1014200000004,2022-04-28 21:00:00
2,1651176000,6.81,6.87,6.84,6.81,1595.923,10868.23563,2022-04-28 20:00:00
3,1651172400,6.84,6.93,6.9,6.84,2327.541,15920.38044,2022-04-28 19:00:00
4,1651168800,6.87,6.97,6.93,6.88,2443.052,16808.19776,2022-04-28 18:00:00
5,1651165200,6.83,6.99,6.83,6.94,5581.917,38738.50398,2022-04-28 17:00:00
6,1651161600,6.72,6.84,6.76,6.84,1676.719,11468.75796,2022-04-28 16:00:00
7,1651158000,6.73,6.86,6.79,6.75,9028.569,60942.840749999996,2022-04-28 15:00:00
8,1651154400,6.72,6.79,6.73,6.77,2149.868,14554.606359999998,2022-04-28 14:00:00
9,1651150800,6.72,6.8,6.8,6.73,5117.275,34439.26075,2022-04-28 13:00:00
10,1651147200,6.78,6.9,6.85,6.78,6965.74,47227.7172,2022-04-28 12:00:00
11,1651143600,6.83,6.86,6.85,6.85,557.821,3821.0738499999998,2022-04-28 11:00:00
12,1651140000,6.81,6.87,6.86,6.83,1094.742,7477.08786,2022-04-28 10:00:00
13,1651136400,6.84,6.91,6.85,6.86,5854.537,40162.12382,2022-04-28 09:00:00
14,1651132800,6.83,6.9,6.83,6.87,3108.656,21356.46672,2022-04-28 08:00:00
15,1651129200,6.77,6.86,6.79,6.84,1195.643,8178.19812,2022-04-28 07:00:00
16,1651125600,6.75,6.83,6.81,6.78,2553.838,17315.021640000003,2022-04-28 06:00:00
