,unix,low,high,open,close,volume,vol_fiat,date
0,1651528800,4.061,4.086,4.069,4.072,3453.23,14061.55256,2022-05-02 22:00:00
1,1651525200,4.026,4.146,4.058,4.069,34357.52,139800.74888,2022-05-02 21:00:00
2,1651521600,3.982,4.085,3.982,4.044,11922.55,48214.79219999999,2022-05-02 20:00:00
3,1651518000,3.953,4.089,4.063,3.989,22479.4,89670.3266,2022-05-02 19:00:00
4,1651514400,4.047,4.39,4.154,4.077,79864.23,325606.46570999996,2022-05-02 18:00:00
5,1651510800,3.929,4.191,3.955,4.154,48285.54,200578.13316,2022-05-02 17:00:00
6,1651507200,3.853,3.961,3.853,3.96,11971.4,47406.744,2022-05-02 16:00:00
7,1651503600,3.819,3.854,3.822,3.854,1673.79,6450.78666,2022-05-02 15:00:00
8,1651500000,3.803,3.822,3.818,3.822,1010.46,3861.97812,2022-05-02 14:00:00
9,1651496400,3.788,3.837,3.814,3.821,7426.9,28378.1849,2022-05-02 13:00:00
10,1651492800,3.786,3.816,3.802,3.815,1069.59,4080.4858499999996,2022-05-02 12:00:00
11,1651489200,3.776,3.801,3.784,3.79,2075.21,7865.0459,2022-05-02 11:00:00
12,1651485600,3.7,3.795,3.7,3.784,11773.98,44552.74032,2022-05-02 10:00:00
13,1651482000,3.685,3.695,3.685,3.695,321.43,1187.68385,2022-05-02 09:00:00
14,1651478400,3.681,3.685,3.684,3.684,13.02,47.96568,2022-05-02 08:00:00
15,1651474800,3.674,3.684,3.674,3.684,35.52,130.85568,2022-05-02 07:00:00
16,1651471200,3.668,3.684,3.668,3.675,502.76,1847.6429999999998,2022-05-02 06:00:00
17,1651467600,3.656,3.666,3.66,3.666,4640.94,17013.686039999997,2022-05-02 05:00:00
18,1651464000,3.659,3.66,3.659,3.66,864.24,3163.1184000000003,2022-05-02 04:00:00
19,1651460400,3.648,3.659,3.648,3.659,64.1,234.54189999999997,2022-05-02 03:00:00
20,1651456800,3.638,3.654,3.647,3.654,188.88,690.16752,2022-05-02 02:00:00
21,1651453200,3.622,3.647,3.623,3.647,3774.29,13764.83563,2022-05-02 01:00:00
22,1651449600,3.6,3.635,3.63,3.631,2887.89,10485.92859,2022-05-02 00:00:00
23,1651446000,3.627,3.637,3.632,3.627,39.28,142.46856,2022-05-01 23:00:00
24,1651442400,3.625,3.642,3.638,3.635,733.83,2667.47205,2022-05-01 22:00:00
25,1651438800,3.627,3.639,3.637,3.638,375.36,1365.55968,2022-05-01 21:00:00
26,1651435200,3.623,3.638,3.635,3.638,379.31,1379.92978,2022-05-01 20:00:00
27,1651431600,3.628,3.638,3.637,3.635,133.86,486.58110000000005,2022-05-01 19:00:00
28,1651428000,3.625,3.645,3.63,3.633,1603.44,5825.29752,2022-05-01 18:00:00
29,1651424400,3.621,3.66,3.629,3.637,3930.14,14293.919179999999,2022-05-01 17:00:00
30,1651420800,3.628,3.635,3.632,3.632,430.11,1562.1595200000002,2022-05-01 16:00:00
31,1651417200,3.628,3.633,3.629,3.633,172.2,625.6025999999999,2022-05-01 15:00:00
32,1651413600,3.624,3.631,3.629,3.629,363.14,1317.8350599999999,2022-05-01 14:00:00
33,1651410000,3.628,3.63,3.63,3.628,29.64,107.53392000000001,2022-05-01 13:00:00
34,1651406400,3.63,3.637,3.632,3.63,222.18,806.5134,2022-05-01 12:00:00
35,1651402800,3.627,3.632,3.629,3.632,149.6,543.3472,2022-05-01 11:00:00
36,1651399200,3.628,3.636,3.628,3.63,123.38,447.8694,2022-05-01 10:00:00
37,1651395600,3.622,3.639,3.629,3.628,668.4,2424.9552,2022-05-01 09:00:00
38,1651392000,3.63,3.643,3.634,3.631,1831.63,6650.64853,2022-05-01 08:00:00
39,1651388400,3.628,3.64,3.64,3.628,413.69,1500.86732,2022-05-01 07:00:00
40,1651384800,3.634,3.64,3.639,3.634,345.55,1255.7287000000001,2022-05-01 06:00:00
41,1651381200,3.633,3.643,3.64,3.633,436.2,1584.7146,2022-05-01 05:00:00
42,1651377600,3.64,3.643,3.643,3.64,134.77,490.56280000000004,2022-05-01 04:00:00
43,1651374000,3.638,3.643,3.641,3.643,313.78,1143.10054,2022-05-01 03:00:00
44,1651370400,3.641,3.648,3.642,3.642,343.35,1250.4807,2022-05-01 02:00:00
45,1651366800,3.632,3.646,3.644,3.646,826.9,3014.8774,2022-05-01 01:00:00
46,1651363200,3.6,3.659,3.659,3.643,5906.51,21517.41593,2022-05-01 00:00:00
47,1651359600,3.652,3.681,3.68,3.653,2718.19,9929.54807,2022-04-30 23:00:00
48,1651356000,3.667,3.681,3.675,3.675,2532.93,9308.517749999999,2022-04-30 22:00:00
49,1651352400,3.667,3.681,3.667,3.676,577.97,2124.61772,2022-04-30 21:00:00
50,1651348800,3.668,3.676,3.676,3.67,293.29,1076.3743,2022-04-30 20:00:00
51,1651345200,3.666,3.68,3.68,3.674,712.05,2616.0717,2022-04-30 19:00:00
52,1651341600,3.651,3.688,3.686,3.685,2965.89,10929.30465,2022-04-30 18:00:00
53,1651338000,3.675,3.7,3.7,3.687,1777.18,6552.46266,2022-04-30 17:00:00
54,1651334400,3.693,3.715,3.693,3.699,3487.98,12902.03802,2022-04-30 16:00:00
55,1651330800,3.655,3.734,3.734,3.688,12490.98,46066.73424,2022-04-30 15:00:00
56,1651327200,3.726,3.753,3.743,3.732,1759.22,6565.4090400000005,2022-04-30 14:00:00
57,1651323600,3.723,3.751,3.723,3.748,291.45,1092.3546000000001,2022-04-30 13:00:00
58,1651320000,3.721,3.726,3.724,3.723,280.11,1042.84953,2022-04-30 12:00:00
59,1651316400,3.723,3.736,3.733,3.728,640.42,2387.48576,2022-04-30 11:00:00
60,1651312800,3.727,3.739,3.738,3.728,910.25,3393.4120000000003,2022-04-30 10:00:00
61,1651309200,3.728,3.74,3.733,3.732,552.36,2061.40752,2022-04-30 09:00:00
62,1651305600,3.732,3.744,3.738,3.732,732.14,2732.34648,2022-04-30 08:00:00
63,1651302000,3.727,3.742,3.733,3.731,1350.77,5039.72287,2022-04-30 07:00:00
64,1651298400,3.723,3.744,3.737,3.732,673.19,2512.3450800000005,2022-04-30 06:00:00
65,1651294800,3.73,3.737,3.731,3.732,558.36,2083.79952,2022-04-30 05:00:00
66,1651291200,3.725,3.737,3.729,3.737,156.23,583.83151,2022-04-30 04:00:00
67,1651287600,3.726,3.736,3.732,3.731,211.74,790.00194,2022-04-30 03:00:00
68,1651284000,3.706,3.756,3.749,3.734,5750.84,21473.63656,2022-04-30 02:00:00
69,1651280400,3.746,3.755,3.749,3.75,1032.24,3870.9,2022-04-30 01:00:00
70,1651276800,3.735,3.754,3.75,3.746,1253.12,4694.1875199999995,2022-04-30 00:00:00
71,1651273200,3.733,3.748,3.745,3.74,3170.3,11856.922,2022-04-29 23:00:00
72,1651269600,3.71,3.771,3.753,3.756,5973.54,22436.61624,2022-04-29 22:00:00
73,1651266000,3.75,3.809,3.801,3.75,3000.75,11252.8125,2022-04-29 21:00:00
74,1651262400,3.8,3.862,3.862,3.804,3822.32,14540.10528,2022-04-29 20:00:00
75,1651258800,3.861,3.875,3.867,3.861,57.9,223.55190000000002,2022-04-29 19:00:00
76,1651255200,3.868,3.902,3.891,3.868,3440.52,13307.931359999999,2022-04-29 18:00:00
77,1651251600,3.891,3.9,3.893,3.891,166.83,649.13553,2022-04-29 17:00:00
78,1651248000,3.892,3.899,3.896,3.893,410.95,1599.8283499999998,2022-04-29 16:00:00
79,1651244400,3.894,3.898,3.895,3.898,31.68,123.48864,2022-04-29 15:00:00
80,1651240800,3.895,3.905,3.901,3.896,1636.89,6377.32344,2022-04-29 14:00:00
81,1651237200,3.9,3.911,3.911,3.906,995.11,3886.89966,2022-04-29 13:00:00
