,unix,low,high,open,close,volume,vol_fiat,date
0,1651528800,0.999,1.0,0.999,1.0,11254.68,11254.68,2022-05-02 22:00:00
1,1651525200,0.999,1.001,1.001,0.999,9924.53,9914.60547,2022-05-02 21:00:00
2,1651521600,1.0,1.001,1.001,1.001,10939.72,10950.659719999998,2022-05-02 20:00:00
3,1651518000,1.0,1.001,1.001,1.001,25798.53,25824.328529999995,2022-05-02 19:00:00
4,1651514400,1.0,1.001,1.0,1.001,11121.39,11132.511389999998,2022-05-02 18:00:00
5,1651510800,0.999,1.001,0.999,1.001,29288.48,29317.768479999995,2022-05-02 17:00:00
6,1651507200,0.999,1.0,1.0,1.0,11884.42,11884.42,2022-05-02 16:00:00
7,1651503600,0.996,1.0,1.0,1.0,124159.73,124159.73,2022-05-02 15:00:00
8,1651500000,0.999,1.001,1.001,0.999,9699.72,9690.020279999999,2022-05-02 14:00:00
9,1651496400,0.999,1.001,0.999,1.001,11548.02,11559.568019999999,2022-05-02 13:00:00
10,1651492800,0.999,1.001,0.999,1.001,17104.96,17122.064959999996,2022-05-02 12:00:00
11,1651489200,0.999,1.001,0.999,1.001,20250.47,20270.72047,2022-05-02 11:00:00
12,1651485600,0.999,1.001,0.999,1.001,6610.02,6616.63002,2022-05-02 10:00:00
13,1651482000,0.999,1.001,0.999,1.001,7022.25,7029.272249999999,2022-05-02 09:00:00
14,1651478400,0.999,1.001,1.001,1.001,13268.19,13281.45819,2022-05-02 08:00:00
15,1651474800,0.999,1.001,0.999,1.001,4270.61,4274.880609999999,2022-05-02 07:00:00
16,1651471200,0.999,1.001,1.001,0.999,3564.67,3561.10533,2022-05-02 06:00:00
17,1651467600,0.999,1.001,1.001,1.001,5670.94,5676.610939999999,2022-05-02 05:00:00
18,1651464000,0.999,1.001,1.001,1.001,5584.69,5590.274689999999,2022-05-02 04:00:00
19,1651460400,0.999,1.001,1.0,1.001,15162.13,15177.292129999998,2022-05-02 03:00:00
20,1651456800,0.999,1.0,1.0,0.999,5217.91,5212.69209,2022-05-02 02:00:00
21,1651453200,0.999,1.001,0.999,1.0,16076.75,16076.75,2022-05-02 01:00:00
22,1651449600,0.999,1.001,0.999,0.999,22357.62,22335.26238,2022-05-02 00:00:00
23,1651446000,0.999,1.001,1.001,1.001,11747.58,11759.32758,2022-05-01 23:00:00
24,1651442400,0.999,1.001,1.0,0.999,25182.56,25157.37744,2022-05-01 22:00:00
25,1651438800,0.999,1.0,1.0,1.0,12064.06,12064.06,2022-05-01 21:00:00
26,1651435200,0.999,1.001,1.0,1.0,20603.96,20603.96,2022-05-01 20:00:00
27,1651431600,0.999,1.001,1.001,1.001,26031.48,26057.511479999997,2022-05-01 19:00:00
28,1651428000,0.999,1.001,1.001,1.001,8902.68,8911.58268,2022-05-01 18:00:00
29,1651424400,0.999,1.001,0.999,1.001,8584.1,8592.684099999999,2022-05-01 17:00:00
30,1651420800,0.999,1.001,1.001,1.001,23446.43,23469.876429999997,2022-05-01 16:00:00
31,1651417200,0.999,1.001,1.0,1.0,16921.3,16921.3,2022-05-01 15:00:00
32,1651413600,0.999,1.001,1.001,1.0,21999.62,21999.62,2022-05-01 14:00:00
33,1651410000,0.999,1.001,1.001,1.001,15167.2,15182.367199999999,2022-05-01 13:00:00
34,1651406400,0.999,1.001,1.001,1.001,6537.05,6543.587049999999,2022-05-01 12:00:00
35,1651402800,0.999,1.001,1.001,0.999,15808.78,15792.971220000001,2022-05-01 11:00:00
36,1651399200,0.999,1.001,0.999,0.999,8692.24,8683.54776,2022-05-01 10:00:00
37,1651395600,0.999,1.001,1.001,1.001,10997.46,11008.457459999998,2022-05-01 09:00:00
38,1651392000,0.999,1.001,0.999,1.001,9007.96,9016.967959999998,2022-05-01 08:00:00
39,1651388400,0.999,1.001,1.001,0.999,10925.6,10914.6744,2022-05-01 07:00:00
40,1651384800,0.999,1.001,0.999,0.999,10127.59,10117.46241,2022-05-01 06:00:00
41,1651381200,0.999,1.001,1.001,0.999,14374.62,14360.24538,2022-05-01 05:00:00
42,1651377600,0.999,1.001,0.999,0.999,27427.43,27400.00257,2022-05-01 04:00:00
43,1651374000,0.999,1.001,1.0,0.999,11508.84,11497.33116,2022-05-01 03:00:00
44,1651370400,0.999,1.001,1.001,1.001,10996.93,11007.92693,2022-05-01 02:00:00
45,1651366800,0.999,1.001,1.001,0.999,30078.26,30048.18174,2022-05-01 01:00:00
46,1651363200,0.999,1.001,1.0,0.999,16383.74,16367.35626,2022-05-01 00:00:00
47,1651359600,0.999,1.002,1.001,1.0,38155.51,38155.51,2022-04-30 23:00:00
48,1651356000,0.999,1.001,1.0,1.001,6974.7,6981.674699999999,2022-04-30 22:00:00
49,1651352400,0.999,1.0,0.999,1.0,20263.36,20263.36,2022-04-30 21:00:00
50,1651348800,0.999,1.0,1.0,1.0,16414.13,16414.13,2022-04-30 20:00:00
51,1651345200,0.999,1.001,0.999,1.0,12663.43,12663.43,2022-04-30 19:00:00
52,1651341600,0.999,1.001,1.0,1.0,9334.47,9334.47,2022-04-30 18:00:00
53,1651338000,0.999,1.004,1.001,1.0,177771.51,177771.51,2022-04-30 17:00:00
54,1651334400,0.999,1.004,0.999,1.001,145536.13,145681.66613,2022-04-30 16:00:00
55,1651330800,0.999,1.001,0.999,1.0,13537.59,13537.59,2022-04-30 15:00:00
56,1651327200,0.999,1.0,1.0,0.999,40884.78,40843.89522,2022-04-30 14:00:00
57,1651323600,0.999,1.0,0.999,1.0,8776.75,8776.75,2022-04-30 13:00:00
58,1651320000,0.999,1.0,1.0,0.999,20882.81,20861.927190000002,2022-04-30 12:00:00
59,1651316400,0.999,1.0,1.0,1.0,8627.11,8627.11,2022-04-30 11:00:00
60,1651312800,0.999,1.0,0.999,0.999,3829.82,3825.9901800000002,2022-04-30 10:00:00
61,1651309200,0.999,1.0,0.999,1.0,11608.69,11608.69,2022-04-30 09:00:00
62,1651305600,0.999,1.0,1.0,1.0,6886.2,6886.2,2022-04-30 08:00:00
63,1651302000,0.999,1.0,1.0,1.0,8834.8,8834.8,2022-04-30 07:00:00
64,1651298400,0.999,1.0,1.0,1.0,6353.79,6353.79,2022-04-30 06:00:00
65,1651294800,0.999,1.0,1.0,0.999,7491.09,7483.59891,2022-04-30 05:00:00
66,1651291200,0.999,1.0,1.0,1.0,6129.13,6129.13,2022-04-30 04:00:00
67,1651287600,0.999,1.0,0.999,0.999,4992.27,4987.277730000001,2022-04-30 03:00:00
68,1651284000,0.999,1.0,0.999,1.0,21023.89,21023.89,2022-04-30 02:00:00
69,1651280400,0.999,1.001,1.0,1.0,8504.07,8504.07,2022-04-30 01:00:00
70,1651276800,1.0,1.001,1.001,1.0,35121.51,35121.51,2022-04-30 00:00:00
71,1651273200,1.0,1.001,1.001,1.001,23288.81,23312.09881,2022-04-29 23:00:00
72,1651269600,1.0,1.001,1.001,1.001,33456.37,33489.82637,2022-04-29 22:00:00
73,1651266000,1.0,1.001,1.001,1.0,19929.91,19929.91,2022-04-29 21:00:00
74,1651262400,0.999,1.001,1.001,1.001,41364.65,41406.01465,2022-04-29 20:00:00
75,1651258800,1.0,1.001,1.001,1.0,31108.66,31108.66,2022-04-29 19:00:00
76,1651255200,1.0,1.001,1.001,1.001,19570.39,19589.960389999997,2022-04-29 18:00:00
77,1651251600,1.0,1.001,1.0,1.001,38084.2,38122.284199999995,2022-04-29 17:00:00
78,1651248000,1.0,1.001,1.0,1.001,36647.98,36684.62798,2022-04-29 16:00:00
79,1651244400,1.0,1.002,1.001,1.001,36432.21,36468.64221,2022-04-29 15:00:00
80,1651240800,1.0,1.001,1.001,1.001,28333.5,28361.833499999997,2022-04-29 14:00:00
81,1651237200,1.0,1.001,1.001,1.0,25900.66,25900.66,2022-04-29 13:00:00
82,1651233600,1.0,1.002,1.0,1.0,12503.64,12503.64,2022-04-29 12:00:00
83,1651230000,1.0,1.002,1.0,1.001,10975.05,10986.025049999998,2022-04-29 11:00:00
84,1651226400,1.0,1.001,1.001,1.001,10832.96,10843.792959999997,2022-04-29 10:00:00
85,1651222800,1.0,1.001,1.0,1.001,8746.84,8755.58684,2022-04-29 09:00:00
86,1651219200,1.0,1.001,1.001,1.0,6585.37,6585.37,2022-04-29 08:00:00
87,1651215600,1.0,1.001,1.001,1.0,4760.06,4760.06,2022-04-29 07:00:00
88,1651212000,1.0,1.001,1.0,1.001,18806.66,18825.46666,2022-04-29 06:00:00
89,1651208400,1.0,1.001,1.001,1.0,3384.01,3384.01,2022-04-29 05:00:00
90,1651204800,1.0,1.002,1.001,1.001,23807.28,23831.087279999996,2022-04-29 04:00:00
91,1651201200,1.0,1.001,1.001,1.001,20660.53,20681.190529999996,2022-04-29 03:00:00
92,1651197600,1.0,1.001,1.001,1.001,16763.73,16780.49373,2022-04-29 02:00:00
93,1651194000,1.0,1.001,1.0,1.0,19128.06,19128.06,2022-04-29 01:00:00
