,unix,low,high,open,close,volume,vol_fiat,date
0,1651528800,2.44,2.47,2.45,2.46,42758.14,105185.0244,2022-05-02 22:00:00
1,1651525200,2.4,2.46,2.4,2.46,22003.56,54128.757600000004,2022-05-02 21:00:00
2,1651521600,2.4,2.45,2.42,2.4,25732.41,61757.784,2022-05-02 20:00:00
3,1651518000,2.38,2.44,2.39,2.43,35491.68,86244.78240000001,2022-05-02 19:00:00
4,1651514400,2.36,2.4,2.38,2.38,40364.62,96067.7956,2022-05-02 18:00:00
5,1651510800,2.36,2.4,2.39,2.38,18978.89,45169.7582,2022-05-02 17:00:00
6,1651507200,2.39,2.44,2.43,2.4,8552.38,20525.711999999996,2022-05-02 16:00:00
7,1651503600,2.4,2.44,2.42,2.42,34627.22,83797.87240000001,2022-05-02 15:00:00
8,1651500000,2.4,2.45,2.43,2.42,21798.3,52751.886,2022-05-02 14:00:00
9,1651496400,2.38,2.45,2.41,2.44,44212.67,107878.9148,2022-05-02 13:00:00
10,1651492800,2.4,2.45,2.42,2.42,36529.44,88401.2448,2022-05-02 12:00:00
11,1651489200,2.39,2.43,2.41,2.41,21134.2,50933.422000000006,2022-05-02 11:00:00
12,1651485600,2.4,2.43,2.42,2.4,16861.61,40467.864,2022-05-02 10:00:00
13,1651482000,2.41,2.47,2.44,2.41,8147.79,19636.1739,2022-05-02 09:00:00
14,1651478400,2.43,2.5,2.49,2.45,18357.9,44976.855,2022-05-02 08:00:00
15,1651474800,2.48,2.52,2.5,2.49,15365.34,38259.6966,2022-05-02 07:00:00
16,1651471200,2.49,2.53,2.51,2.49,6023.66,14998.913400000001,2022-05-02 06:00:00
17,1651467600,2.49,2.52,2.51,2.51,8707.19,21855.0469,2022-05-02 05:00:00
18,1651464000,2.47,2.51,2.48,2.51,5763.35,14466.0085,2022-05-02 04:00:00
19,1651460400,2.47,2.5,2.5,2.47,7314.47,18066.7409,2022-05-02 03:00:00
20,1651456800,2.45,2.49,2.49,2.48,7009.38,17383.2624,2022-05-02 02:00:00
21,1651453200,2.48,2.53,2.51,2.48,24572.76,60940.4448,2022-05-02 01:00:00
22,1651449600,2.46,2.54,2.47,2.52,30603.95,77121.954,2022-05-02 00:00:00
23,1651446000,2.42,2.49,2.42,2.47,33234.46,82089.1162,2022-05-01 23:00:00
24,1651442400,2.41,2.44,2.41,2.42,5613.18,13583.8956,2022-05-01 22:00:00
25,1651438800,2.38,2.43,2.42,2.41,3398.54,8190.481400000001,2022-05-01 21:00:00
26,1651435200,2.36,2.42,2.37,2.42,20484.36,49572.1512,2022-05-01 20:00:00
27,1651431600,2.36,2.39,2.39,2.39,41955.67,100274.0513,2022-05-01 19:00:00
28,1651428000,2.38,2.45,2.43,2.38,29904.12,71171.80559999999,2022-05-01 18:00:00
29,1651424400,2.43,2.47,2.46,2.44,38901.23,94919.0012,2022-05-01 17:00:00
30,1651420800,2.44,2.49,2.44,2.47,22458.85,55473.3595,2022-05-01 16:00:00
31,1651417200,2.37,2.46,2.38,2.44,20925.56,51058.3664,2022-05-01 15:00:00
32,1651413600,2.36,2.4,2.39,2.38,3307.04,7870.7552,2022-05-01 14:00:00
33,1651410000,2.37,2.4,2.39,2.38,4126.72,9821.5936,2022-05-01 13:00:00
34,1651406400,2.35,2.39,2.37,2.38,12615.01,30023.7238,2022-05-01 12:00:00
35,1651402800,2.35,2.39,2.39,2.36,12259.82,28933.175199999998,2022-05-01 11:00:00
36,1651399200,2.36,2.39,2.38,2.39,10293.71,24601.9669,2022-05-01 10:00:00
37,1651395600,2.37,2.41,2.41,2.38,13509.99,32153.776199999997,2022-05-01 09:00:00
38,1651392000,2.4,2.44,2.4,2.41,29333.57,70693.90370000001,2022-05-01 08:00:00
39,1651388400,2.39,2.44,2.44,2.41,7665.44,18473.7104,2022-05-01 07:00:00
40,1651384800,2.43,2.46,2.43,2.43,9795.84,23803.891200000002,2022-05-01 06:00:00
41,1651381200,2.38,2.46,2.4,2.43,19188.73,46628.613900000004,2022-05-01 05:00:00
42,1651377600,2.37,2.4,2.38,2.4,17627.88,42306.912000000004,2022-05-01 04:00:00
43,1651374000,2.36,2.4,2.36,2.38,12553.29,29876.8302,2022-05-01 03:00:00
44,1651370400,2.34,2.41,2.35,2.36,33824.33,79825.4188,2022-05-01 02:00:00
45,1651366800,2.28,2.37,2.34,2.36,41129.14,97064.7704,2022-05-01 01:00:00
46,1651363200,2.28,2.36,2.35,2.34,54001.59,126363.72059999999,2022-05-01 00:00:00
47,1651359600,2.27,2.44,2.44,2.35,211878.9,497915.415,2022-04-30 23:00:00
48,1651356000,2.43,2.46,2.44,2.43,21827.75,53041.4325,2022-04-30 22:00:00
49,1651352400,2.44,2.48,2.46,2.44,12059.68,29425.6192,2022-04-30 21:00:00
50,1651348800,2.46,2.49,2.47,2.46,48430.79,119139.7434,2022-04-30 20:00:00
51,1651345200,2.45,2.49,2.47,2.48,22169.35,54979.988,2022-04-30 19:00:00
52,1651341600,2.44,2.47,2.46,2.46,35254.61,86726.3406,2022-04-30 18:00:00
53,1651338000,2.44,2.5,2.49,2.46,80488.12,198000.77519999997,2022-04-30 17:00:00
54,1651334400,2.49,2.53,2.51,2.49,25775.0,64179.75000000001,2022-04-30 16:00:00
55,1651330800,2.47,2.54,2.5,2.52,57370.18,144572.8536,2022-04-30 15:00:00
56,1651327200,2.5,2.56,2.55,2.5,92170.11,230425.275,2022-04-30 14:00:00
57,1651323600,2.54,2.6,2.57,2.55,35482.42,90480.17099999999,2022-04-30 13:00:00
58,1651320000,2.57,2.61,2.58,2.57,39684.44,101989.0108,2022-04-30 12:00:00
59,1651316400,2.57,2.6,2.58,2.59,45321.38,117382.37419999999,2022-04-30 11:00:00
60,1651312800,2.56,2.59,2.58,2.57,7598.48,19528.093599999997,2022-04-30 10:00:00
61,1651309200,2.56,2.59,2.58,2.58,5142.99,13268.9142,2022-04-30 09:00:00
62,1651305600,2.55,2.59,2.59,2.57,31910.52,82010.0364,2022-04-30 08:00:00
63,1651302000,2.58,2.63,2.62,2.59,28173.49,72969.3391,2022-04-30 07:00:00
64,1651298400,2.61,2.64,2.64,2.63,14894.8,39173.32399999999,2022-04-30 06:00:00
65,1651294800,2.62,2.66,2.65,2.64,7523.78,19862.7792,2022-04-30 05:00:00
66,1651291200,2.62,2.65,2.64,2.65,11332.77,30031.8405,2022-04-30 04:00:00
67,1651287600,2.61,2.64,2.63,2.63,18498.14,48650.108199999995,2022-04-30 03:00:00
68,1651284000,2.63,2.66,2.66,2.63,11850.12,31165.8156,2022-04-30 02:00:00
69,1651280400,2.61,2.66,2.63,2.65,15320.7,40599.855,2022-04-30 01:00:00
70,1651276800,2.59,2.63,2.61,2.62,40816.44,106939.07280000001,2022-04-30 00:00:00
71,1651273200,2.58,2.62,2.6,2.61,17462.36,45576.7596,2022-04-29 23:00:00
72,1651269600,2.54,2.6,2.58,2.6,9028.12,23473.112000000005,2022-04-29 22:00:00
73,1651266000,2.56,2.59,2.58,2.57,10190.53,26189.6621,2022-04-29 21:00:00
74,1651262400,2.55,2.59,2.55,2.58,12887.62,33250.0596,2022-04-29 20:00:00
75,1651258800,2.52,2.62,2.6,2.57,63696.66,163700.4162,2022-04-29 19:00:00
76,1651255200,2.59,2.66,2.64,2.61,23086.98,60257.017799999994,2022-04-29 18:00:00
77,1651251600,2.63,2.66,2.65,2.65,18708.96,49578.744,2022-04-29 17:00:00
