,unix,low,high,open,close,volume,vol_fiat,date
0,1651528800,0.1779,0.1802,0.1792,0.1783,140551.0,25060.2433,2022-05-02 22:00:00
1,1651525200,0.1755,0.1791,0.1755,0.1791,80966.1,14501.028510000002,2022-05-02 21:00:00
2,1651521600,0.175,0.1771,0.177,0.1758,61318.1,10779.72198,2022-05-02 20:00:00
3,1651518000,0.1738,0.1773,0.1738,0.1773,124425.4,22060.62342,2022-05-02 19:00:00
4,1651514400,0.172,0.1746,0.1734,0.174,292623.8,50916.54119999999,2022-05-02 18:00:00
5,1651510800,0.1727,0.1775,0.177,0.1737,162088.4,28154.75508,2022-05-02 17:00:00
6,1651507200,0.177,0.1799,0.1793,0.177,118647.8,21000.6606,2022-05-02 16:00:00
7,1651503600,0.1784,0.18,0.1789,0.1797,196360.4,35285.963879999996,2022-05-02 15:00:00
8,1651500000,0.1764,0.1839,0.179,0.1789,1057106.7,189116.38863,2022-05-02 14:00:00
9,1651496400,0.1743,0.1798,0.1766,0.1784,300985.2,53695.75968,2022-05-02 13:00:00
10,1651492800,0.176,0.1788,0.1762,0.1769,117609.8,20805.17362,2022-05-02 12:00:00
11,1651489200,0.1753,0.1785,0.1781,0.1762,91428.4,16109.684079999999,2022-05-02 11:00:00
12,1651485600,0.1777,0.1796,0.1793,0.1783,80435.0,14341.5605,2022-05-02 10:00:00
13,1651482000,0.1794,0.1825,0.1801,0.1794,189763.4,34043.55396,2022-05-02 09:00:00
14,1651478400,0.1798,0.1828,0.1823,0.1804,70567.2,12730.32288,2022-05-02 08:00:00
15,1651474800,0.1822,0.184,0.184,0.1826,22239.1,4060.85966,2022-05-02 07:00:00
16,1651471200,0.1834,0.1855,0.1848,0.1834,10858.8,1991.5039199999999,2022-05-02 06:00:00
17,1651467600,0.1833,0.1849,0.1841,0.1848,18227.1,3368.3680799999997,2022-05-02 05:00:00
18,1651464000,0.1818,0.1846,0.183,0.184,44011.6,8098.1344,2022-05-02 04:00:00
19,1651460400,0.1822,0.1832,0.1823,0.1831,87402.4,16003.37944,2022-05-02 03:00:00
20,1651456800,0.1812,0.1823,0.1818,0.1823,85298.6,15549.93478,2022-05-02 02:00:00
21,1651453200,0.182,0.1845,0.1838,0.182,155307.6,28265.9832,2022-05-02 01:00:00
22,1651449600,0.1817,0.1849,0.1818,0.1833,202133.0,37050.978899999995,2022-05-02 00:00:00
23,1651446000,0.1799,0.1834,0.1799,0.1821,217806.9,39662.636490000004,2022-05-01 23:00:00
24,1651442400,0.1802,0.1819,0.1804,0.1807,155372.7,28075.84689,2022-05-01 22:00:00
25,1651438800,0.1785,0.1814,0.181,0.1801,663615.1,119517.07951,2022-05-01 21:00:00
26,1651435200,0.1772,0.1813,0.178,0.1813,137878.3,24997.335789999997,2022-05-01 20:00:00
27,1651431600,0.1763,0.1792,0.1782,0.1779,166389.5,29600.69205,2022-05-01 19:00:00
28,1651428000,0.1784,0.1827,0.1822,0.1785,63187.6,11278.986599999998,2022-05-01 18:00:00
29,1651424400,0.1824,0.1854,0.1847,0.1824,105429.5,19230.3408,2022-05-01 17:00:00
30,1651420800,0.1837,0.1857,0.1843,0.1847,282463.7,52171.04539000001,2022-05-01 16:00:00
31,1651417200,0.177,0.1844,0.177,0.1841,504059.0,92797.26190000001,2022-05-01 15:00:00
32,1651413600,0.1758,0.1783,0.1773,0.1771,138325.6,24497.463760000002,2022-05-01 14:00:00
33,1651410000,0.1773,0.179,0.1779,0.1775,57730.4,10247.146,2022-05-01 13:00:00
34,1651406400,0.1751,0.1779,0.177,0.1779,372443.9,66257.76981,2022-05-01 12:00:00
35,1651402800,0.1762,0.1795,0.1793,0.1768,628904.8,111190.36864000002,2022-05-01 11:00:00
36,1651399200,0.179,0.1807,0.1801,0.1793,157045.3,28158.222289999994,2022-05-01 10:00:00
37,1651395600,0.1793,0.1817,0.1817,0.1801,88608.2,15958.33682,2022-05-01 09:00:00
38,1651392000,0.1799,0.1817,0.1802,0.1816,112308.7,20395.25992,2022-05-01 08:00:00
39,1651388400,0.1782,0.1829,0.1787,0.1801,528501.4,95183.10214,2022-05-01 07:00:00
40,1651384800,0.1783,0.1808,0.1797,0.1786,58710.1,10485.62386,2022-05-01 06:00:00
41,1651381200,0.1735,0.1829,0.1736,0.1797,315445.7,56685.59229,2022-05-01 05:00:00
42,1651377600,0.1726,0.1741,0.1738,0.1734,174270.8,30218.556719999997,2022-05-01 04:00:00
43,1651374000,0.1719,0.1739,0.1719,0.1736,51948.8,9018.31168,2022-05-01 03:00:00
44,1651370400,0.1718,0.1741,0.1727,0.1719,250188.6,43007.42034,2022-05-01 02:00:00
45,1651366800,0.1677,0.1731,0.1701,0.1729,498122.5,86125.38025,2022-05-01 01:00:00
46,1651363200,0.1681,0.1723,0.1712,0.1703,1143139.1,194676.58873000002,2022-05-01 00:00:00
47,1651359600,0.1667,0.1799,0.1798,0.1712,1902780.9,325756.09008,2022-04-30 23:00:00
48,1651356000,0.1781,0.182,0.182,0.1787,629907.8,112564.52386,2022-04-30 22:00:00
49,1651352400,0.1821,0.1834,0.1828,0.1825,82321.8,15023.7285,2022-04-30 21:00:00
50,1651348800,0.1823,0.1837,0.1835,0.1826,44844.5,8188.605700000001,2022-04-30 20:00:00
51,1651345200,0.1814,0.1841,0.183,0.1833,117182.0,21479.4606,2022-04-30 19:00:00
52,1651341600,0.1815,0.1832,0.1817,0.1832,158791.5,29090.6028,2022-04-30 18:00:00
53,1651338000,0.1809,0.1847,0.1842,0.1817,479024.1,87038.67897,2022-04-30 17:00:00
54,1651334400,0.1844,0.1869,0.186,0.1844,100915.1,18608.744440000002,2022-04-30 16:00:00
55,1651330800,0.1833,0.1863,0.1839,0.1859,213532.2,39695.63598000001,2022-04-30 15:00:00
56,1651327200,0.1838,0.1898,0.1888,0.1841,399578.1,73562.32821,2022-04-30 14:00:00
57,1651323600,0.1879,0.1913,0.1905,0.1884,168171.8,31683.56712,2022-04-30 13:00:00
58,1651320000,0.1903,0.1918,0.1906,0.1904,60384.5,11497.2088,2022-04-30 12:00:00
59,1651316400,0.19,0.1922,0.1903,0.1906,91053.2,17354.73992,2022-04-30 11:00:00
60,1651312800,0.1885,0.1906,0.1893,0.1902,267480.3,50874.75306,2022-04-30 10:00:00
61,1651309200,0.1889,0.1898,0.1893,0.1892,66134.4,12512.62848,2022-04-30 09:00:00
62,1651305600,0.1878,0.1902,0.1901,0.1894,117313.8,22219.233720000004,2022-04-30 08:00:00
63,1651302000,0.19,0.1929,0.1927,0.1901,177823.2,33804.19032,2022-04-30 07:00:00
64,1651298400,0.1919,0.1928,0.1927,0.1928,32464.2,6259.097760000001,2022-04-30 06:00:00
65,1651294800,0.191,0.1927,0.191,0.1925,115549.5,22243.27875,2022-04-30 05:00:00
66,1651291200,0.1903,0.1915,0.1907,0.1909,119750.4,22860.351359999997,2022-04-30 04:00:00
67,1651287600,0.1897,0.1914,0.1914,0.1907,74404.2,14188.880940000001,2022-04-30 03:00:00
68,1651284000,0.191,0.1932,0.1926,0.1914,85317.0,16329.673799999999,2022-04-30 02:00:00
69,1651280400,0.1908,0.1928,0.1908,0.1927,79294.0,15279.953800000001,2022-04-30 01:00:00
70,1651276800,0.1897,0.1912,0.1902,0.191,147773.3,28224.700299999997,2022-04-30 00:00:00
71,1651273200,0.1892,0.191,0.1899,0.1901,212023.5,40305.667349999996,2022-04-29 23:00:00
72,1651269600,0.1872,0.19,0.1889,0.1896,384456.6,72892.97136,2022-04-29 22:00:00
73,1651266000,0.1883,0.1898,0.189,0.1891,160329.1,30318.23281,2022-04-29 21:00:00
74,1651262400,0.1876,0.1897,0.1876,0.1892,176831.5,33456.5198,2022-04-29 20:00:00
75,1651258800,0.1857,0.1911,0.1911,0.1881,503318.9,94674.28509,2022-04-29 19:00:00
76,1651255200,0.1885,0.1929,0.1927,0.1909,302233.1,57696.29878999999,2022-04-29 18:00:00
77,1651251600,0.19,0.1948,0.1941,0.1925,898785.8,173016.26650000003,2022-04-29 17:00:00
78,1651248000,0.1929,0.1975,0.1968,0.1939,158097.0,30655.008299999998,2022-04-29 16:00:00
79,1651244400,0.1955,0.1975,0.1963,0.1967,77146.1,15174.637870000002,2022-04-29 15:00:00
80,1651240800,0.1951,0.1987,0.1984,0.1964,202472.4,39765.579359999996,2022-04-29 14:00:00
81,1651237200,0.1964,0.1987,0.1973,0.1979,142488.1,28198.39499,2022-04-29 13:00:00
82,1651233600,0.1948,0.1981,0.1957,0.1972,211979.5,41802.35739999999,2022-04-29 12:00:00
83,1651230000,0.1945,0.1966,0.1963,0.1955,202091.0,39508.7905,2022-04-29 11:00:00
84,1651226400,0.1946,0.1998,0.1985,0.1963,268789.0,52763.2807,2022-04-29 10:00:00
85,1651222800,0.1982,0.2001,0.1998,0.1985,226361.9,44932.83715,2022-04-29 09:00:00
86,1651219200,0.2,0.2034,0.2027,0.2,122260.2,24452.04,2022-04-29 08:00:00
87,1651215600,0.2019,0.2034,0.2027,0.2023,196947.7,39842.51971,2022-04-29 07:00:00
88,1651212000,0.2,0.2033,0.2011,0.2025,94464.5,19129.061250000002,2022-04-29 06:00:00
89,1651208400,0.2005,0.2024,0.2012,0.2013,114328.1,23014.24653,2022-04-29 05:00:00
90,1651204800,0.1989,0.2017,0.2005,0.2011,102324.1,20577.376510000002,2022-04-29 04:00:00
91,1651201200,0.1996,0.2013,0.2006,0.2003,72161.5,14453.94845,2022-04-29 03:00:00
92,1651197600,0.1995,0.202,0.202,0.2005,145363.6,29145.401800000003,2022-04-29 02:00:00
93,1651194000,0.2012,0.2036,0.2034,0.202,77431.3,15641.122600000002,2022-04-29 01:00:00
94,1651190400,0.2019,0.2039,0.2022,0.2033,126808.8,25780.229040000002,2022-04-29 00:00:00
95,1651186800,0.2008,0.2025,0.2013,0.2021,131203.9,26516.30819,2022-04-28 23:00:00
0,1651183200,0.2004,0.2019,0.2017,0.2015,178968.3,36062.11245,2022-04-28 22:00:00
1,1651179600,0.2007,0.2039,0.2032,0.2016,366789.8,73944.82368,2022-04-28 21:00:00
2,1651176000,0.2012,0.204,0.2022,0.2032,66162.0,13444.1184,2022-04-28 20:00:00
3,1651172400,0.2023,0.2056,0.2039,0.2023,130565.2,26413.33996,2022-04-28 19:00:00
4,1651168800,0.2035,0.206,0.206,0.2037,101120.5,20598.24585,2022-04-28 18:00:00
5,1651165200,0.203,0.2062,0.2042,0.2062,192109.4,39612.95828,2022-04-28 17:00:00
6,1651161600,0.2004,0.2043,0.2017,0.2043,204487.1,41776.714530000005,2022-04-28 16:00:00
7,1651158000,0.2004,0.2065,0.2025,0.2021,332506.4,67199.54344000001,2022-04-28 15:00:00
8,1651154400,0.199,0.203,0.2019,0.2025,445973.3,90309.59325,2022-04-28 14:00:00
9,1651150800,0.2016,0.2057,0.2053,0.202,350673.1,70835.9662,2022-04-28 13:00:00
10,1651147200,0.2054,0.2096,0.2087,0.2058,147633.6,30382.994880000002,2022-04-28 12:00:00
11,1651143600,0.2071,0.2092,0.2076,0.2087,122927.3,25654.92751,2022-04-28 11:00:00
12,1651140000,0.2073,0.21,0.209,0.2073,57994.0,12022.156200000001,2022-04-28 10:00:00
13,1651136400,0.2071,0.2105,0.2074,0.209,428655.8,89589.0622,2022-04-28 09:00:00
14,1651132800,0.2043,0.208,0.2055,0.2072,100292.0,20780.5024,2022-04-28 08:00:00
15,1651129200,0.2048,0.2068,0.2053,0.2055,84984.6,17464.3353,2022-04-28 07:00:00
16,1651125600,0.2032,0.2059,0.2036,0.2053,108625.9,22300.89727,2022-04-28 06:00:00
17,1651122000,0.2028,0.2047,0.2046,0.2036,64296.7,13090.80812,2022-04-28 05:00:00
18,1651118400,0.2032,0.2047,0.2036,0.2047,39202.1,8024.66987,2022-04-28 04:00:00
19,1651114800,0.2034,0.207,0.2068,0.2037,68904.9,14035.928129999998,2022-04-28 03:00:00
20,1651111200,0.2044,0.2071,0.2047,0.2067,235071.4,48589.25838,2022-04-28 02:00:00
21,1651107600,0.2042,0.208,0.2067,0.205,302967.5,62108.337499999994,2022-04-28 01:00:00
22,1651104000,0.2046,0.2094,0.2094,0.2068,458199.5,94755.6566,2022-04-28 00:00:00
