,unix,low,high,open,close,volume,vol_fiat,date
0,1651532400,104.16,105.24,104.26,104.44,841.037,87837.90428,2022-05-02 23:00:00
1,1651528800,104.1,105.48,104.65,104.25,272.326,28389.985500000003,2022-05-02 22:00:00
2,1651525200,102.34,104.68,102.54,104.55,491.835,51421.34925,2022-05-02 21:00:00
3,1651521600,102.39,103.53,103.47,102.54,854.703,87641.24562,2022-05-02 20:00:00
4,1651518000,101.4,103.68,101.68,103.24,1020.9,105397.71599999999,2022-05-02 19:00:00
5,1651514400,100.77,102.23,101.55,101.62,808.901,82200.51961999999,2022-05-02 18:00:00
6,1651510800,101.13,103.82,103.58,101.7,1112.822,113173.9974,2022-05-02 17:00:00
7,1651507200,103.61,105.57,105.46,103.61,334.479,34655.36919,2022-05-02 16:00:00
8,1651503600,104.89,106.5,105.66,105.46,1346.978,142052.29988,2022-05-02 15:00:00
9,1651500000,104.25,106.27,105.29,105.59,1176.034,124177.43006000001,2022-05-02 14:00:00
10,1651496400,102.89,105.85,103.58,105.42,1291.631,136163.74002,2022-05-02 13:00:00
11,1651492800,102.9,104.6,103.18,103.38,456.737,47217.47106,2022-05-02 12:00:00
12,1651489200,102.86,104.18,104.15,103.0,332.026,34198.678,2022-05-02 11:00:00
13,1651485600,103.9,104.99,104.25,104.03,223.167,23216.06301,2022-05-02 10:00:00
14,1651482000,104.29,106.03,104.75,104.38,446.011,46554.62818,2022-05-02 09:00:00
15,1651478400,104.6,106.73,106.3,104.78,308.327,32306.50306,2022-05-02 08:00:00
16,1651474800,106.32,107.43,106.95,106.51,172.143,18334.950930000003,2022-05-02 07:00:00
17,1651471200,106.95,108.0,107.67,107.04,450.916,48266.04864,2022-05-02 06:00:00
18,1651467600,106.37,107.63,106.86,107.56,561.516,60396.660959999994,2022-05-02 05:00:00
19,1651464000,105.33,106.85,106.05,106.85,623.074,66575.45689999999,2022-05-02 04:00:00
20,1651460400,105.71,106.16,105.82,106.03,538.351,57081.35653,2022-05-02 03:00:00
21,1651456800,105.05,105.8,105.66,105.74,303.898,32134.17452,2022-05-02 02:00:00
22,1651453200,105.7,107.18,106.8,105.72,753.548,79665.09456,2022-05-02 01:00:00
23,1651449600,105.53,107.3,105.7,106.74,625.722,66789.56628,2022-05-02 00:00:00
24,1651446000,103.99,106.07,103.99,105.73,1246.126,131752.90198,2022-05-01 23:00:00
25,1651442400,104.0,105.76,104.4,104.07,914.076,95127.88932,2022-05-01 22:00:00
26,1651438800,103.74,105.83,105.78,104.41,803.057,83847.18137,2022-05-01 21:00:00
27,1651435200,103.03,105.91,103.75,105.87,292.202,30935.425740000002,2022-05-01 20:00:00
28,1651431600,102.32,103.92,103.73,103.62,552.595,57259.8939,2022-05-01 19:00:00
29,1651428000,103.68,105.88,105.88,103.68,831.821,86243.20128000001,2022-05-01 18:00:00
