,unix,low,high,open,close,volume,vol_fiat,date
0,1651532400,0.194,0.1959,0.1943,0.1946,244508.8,47581.41248,2022-05-02 23:00:00
1,1651528800,0.1939,0.1981,0.1971,0.1944,354634.4,68940.92736,2022-05-02 22:00:00
2,1651525200,0.1922,0.1973,0.1923,0.1973,456252.4,90018.59852,2022-05-02 21:00:00
3,1651521600,0.1915,0.194,0.1933,0.1921,318157.4,61118.03654,2022-05-02 20:00:00
4,1651518000,0.1879,0.1934,0.1879,0.1931,540632.9,104396.21299,2022-05-02 19:00:00
5,1651514400,0.1873,0.1909,0.1884,0.1879,414874.8,77954.97492000001,2022-05-02 18:00:00
6,1651510800,0.1866,0.1914,0.1913,0.1886,374375.9,70607.29474,2022-05-02 17:00:00
7,1651507200,0.191,0.1947,0.1931,0.1912,118630.4,22682.13248,2022-05-02 16:00:00
8,1651503600,0.1922,0.1979,0.1937,0.193,963086.0,185875.598,2022-05-02 15:00:00
9,1651500000,0.1891,0.1943,0.1908,0.1938,158625.9,30741.699419999997,2022-05-02 14:00:00
10,1651496400,0.1859,0.1922,0.1888,0.1908,333093.2,63554.18256,2022-05-02 13:00:00
11,1651492800,0.1877,0.1912,0.1883,0.1884,88755.0,16721.442000000003,2022-05-02 12:00:00
12,1651489200,0.1881,0.1908,0.1907,0.1881,246630.1,46391.12181,2022-05-02 11:00:00
13,1651485600,0.1901,0.1928,0.1923,0.1906,71545.8,13636.62948,2022-05-02 10:00:00
14,1651482000,0.1923,0.1951,0.1944,0.1927,63656.3,12266.569010000001,2022-05-02 09:00:00
15,1651478400,0.1929,0.1967,0.1967,0.194,117698.3,22833.4702,2022-05-02 08:00:00
16,1651474800,0.1959,0.1981,0.1962,0.1964,19736.7,3876.28788,2022-05-02 07:00:00
17,1651471200,0.1962,0.199,0.198,0.1963,26399.2,5182.162960000001,2022-05-02 06:00:00
18,1651467600,0.1977,0.2,0.1989,0.1979,210771.5,41711.67985,2022-05-02 05:00:00
19,1651464000,0.1947,0.1993,0.196,0.1989,148882.1,29612.64969,2022-05-02 04:00:00
20,1651460400,0.1949,0.1965,0.1955,0.1961,333683.3,65435.29513,2022-05-02 03:00:00
21,1651456800,0.1938,0.1955,0.195,0.1952,45426.2,8867.19424,2022-05-02 02:00:00
22,1651453200,0.195,0.1971,0.1968,0.195,93777.3,18286.573500000002,2022-05-02 01:00:00
23,1651449600,0.1949,0.1971,0.1957,0.1968,257821.6,50739.29088,2022-05-02 00:00:00
24,1651446000,0.192,0.1965,0.1925,0.1959,106476.0,20858.6484,2022-05-01 23:00:00
25,1651442400,0.192,0.1949,0.1922,0.193,297203.2,57360.2176,2022-05-01 22:00:00
26,1651438800,0.1903,0.1937,0.1928,0.1926,117310.6,22594.02156,2022-05-01 21:00:00
27,1651435200,0.1871,0.1932,0.1884,0.1927,372382.6,71758.12702,2022-05-01 20:00:00
28,1651431600,0.1863,0.1905,0.1904,0.1876,420764.3,78935.38268,2022-05-01 19:00:00
29,1651428000,0.1899,0.1955,0.1951,0.1904,445210.2,84768.02208000001,2022-05-01 18:00:00
30,1651424400,0.195,0.1986,0.1978,0.1957,160088.0,31329.2216,2022-05-01 17:00:00
31,1651420800,0.1952,0.1996,0.1959,0.1979,515716.7,102060.33493,2022-05-01 16:00:00
32,1651417200,0.1895,0.1972,0.1898,0.196,765316.5,150002.034,2022-05-01 15:00:00
33,1651413600,0.1873,0.1905,0.188,0.1896,80343.3,15233.08968,2022-05-01 14:00:00
34,1651410000,0.1876,0.1913,0.1901,0.1883,129999.5,24478.90585,2022-05-01 13:00:00
35,1651406400,0.1848,0.1899,0.1878,0.1899,216853.4,41180.460660000004,2022-05-01 12:00:00
36,1651402800,0.1865,0.1914,0.191,0.1876,223836.3,41991.68988,2022-05-01 11:00:00
37,1651399200,0.1903,0.1938,0.1919,0.191,201987.5,38579.6125,2022-05-01 10:00:00
38,1651395600,0.1889,0.1923,0.1901,0.1917,292018.6,55979.965619999995,2022-05-01 09:00:00
39,1651392000,0.1879,0.1917,0.1885,0.1905,843198.2,160629.2571,2022-05-01 08:00:00
40,1651388400,0.1873,0.1914,0.1903,0.1885,917246.6,172900.9841,2022-05-01 07:00:00
41,1651384800,0.19,0.1955,0.1908,0.19,927496.3,176224.29700000002,2022-05-01 06:00:00
