,unix,low,high,open,close,volume,vol_fiat,date
0,1651532400,0.02693,0.02707,0.027,0.02704,147369,3984.8577600000003,2022-05-02 23:00:00
1,1651528800,0.02686,0.02703,0.02698,0.027,318118,8589.186,2022-05-02 22:00:00
2,1651525200,0.02693,0.02706,0.02706,0.02698,170231,4592.83238,2022-05-02 21:00:00
3,1651521600,0.02689,0.02713,0.02692,0.02713,423182,11480.927660000001,2022-05-02 20:00:00
4,1651518000,0.02692,0.02705,0.02701,0.02692,221350,5958.742,2022-05-02 19:00:00
5,1651514400,0.02689,0.02714,0.02697,0.02704,743440,20102.6176,2022-05-02 18:00:00
6,1651510800,0.02693,0.0274,0.0274,0.02702,641564,17335.059279999998,2022-05-02 17:00:00
7,1651507200,0.02728,0.02775,0.02768,0.02728,866570,23640.029599999998,2022-05-02 16:00:00
8,1651503600,0.02752,0.02792,0.02782,0.02769,968315,26812.64235,2022-05-02 15:00:00
9,1651500000,0.02702,0.02791,0.02711,0.02787,1644497,45832.131389999995,2022-05-02 14:00:00
10,1651496400,0.02706,0.02717,0.02712,0.02711,248074,6725.286139999999,2022-05-02 13:00:00
11,1651492800,0.02702,0.02715,0.02703,0.02709,277647,7521.45723,2022-05-02 12:00:00
12,1651489200,0.02703,0.02713,0.0271,0.02703,67173,1815.68619,2022-05-02 11:00:00
13,1651485600,0.02714,0.02732,0.0272,0.02719,663043,18028.13917,2022-05-02 10:00:00
14,1651482000,0.02719,0.02788,0.02787,0.02725,1523316,41510.361,2022-05-02 09:00:00
15,1651478400,0.02782,0.02792,0.02792,0.02783,107106,2980.7599800000003,2022-05-02 08:00:00
16,1651474800,0.02781,0.02796,0.02785,0.02788,166531,4642.884279999999,2022-05-02 07:00:00
17,1651471200,0.02786,0.02798,0.02795,0.02792,201797,5634.17224,2022-05-02 06:00:00
18,1651467600,0.02737,0.02799,0.02741,0.02795,1735402,48504.4859,2022-05-02 05:00:00
19,1651464000,0.02735,0.0275,0.02743,0.02741,309594,8485.97154,2022-05-02 04:00:00
20,1651460400,0.02712,0.02746,0.02712,0.02744,553068,15176.18592,2022-05-02 03:00:00
21,1651456800,0.02706,0.02731,0.02731,0.02707,569880,15426.651600000001,2022-05-02 02:00:00
22,1651453200,0.02733,0.0275,0.0274,0.02743,378159,10372.90137,2022-05-02 01:00:00
23,1651449600,0.02717,0.02797,0.02717,0.0274,2172846,59535.9804,2022-05-02 00:00:00
24,1651446000,0.02696,0.02721,0.027,0.02717,528998,14372.87566,2022-05-01 23:00:00
25,1651442400,0.02693,0.0272,0.02701,0.027,814893,22002.111,2022-05-01 22:00:00
26,1651438800,0.02686,0.02718,0.02698,0.02701,759558,20515.66158,2022-05-01 21:00:00
27,1651435200,0.02689,0.02739,0.02739,0.02707,1717953,46504.98771,2022-05-01 20:00:00
28,1651431600,0.02728,0.02843,0.02838,0.02748,2667898,73313.83704,2022-05-01 19:00:00
29,1651428000,0.02837,0.02849,0.02841,0.02842,37360,1061.7712000000001,2022-05-01 18:00:00
30,1651424400,0.02826,0.02845,0.02827,0.02841,210378,5976.83898,2022-05-01 17:00:00
31,1651420800,0.02817,0.02834,0.02825,0.0283,92578,2619.9574,2022-05-01 16:00:00
32,1651417200,0.02816,0.02871,0.02825,0.0283,1303554,36890.578199999996,2022-05-01 15:00:00
