,unix,low,high,open,close,volume,vol_fiat,date
0,1651532400,0.2752,0.279,0.2755,0.2757,3065955.3,845283.8762099999,2022-05-02 23:00:00
1,1651528800,0.2734,0.2779,0.2746,0.2755,2926695.5,806304.61025,2022-05-02 22:00:00
2,1651525200,0.2696,0.2751,0.271,0.2749,2524464.4,693975.2635599999,2022-05-02 21:00:00
3,1651521600,0.2706,0.2784,0.276,0.2708,3199133.1,866325.24348,2022-05-02 20:00:00
4,1651518000,0.2703,0.2772,0.2705,0.276,7777986.9,2146724.3844000003,2022-05-02 19:00:00
5,1651514400,0.265,0.2735,0.2711,0.2705,8215838.5,2222384.3142500003,2022-05-02 18:00:00
6,1651510800,0.2696,0.279,0.2789,0.2711,8562673.2,2321340.7045199997,2022-05-02 17:00:00
7,1651507200,0.2776,0.2864,0.2844,0.279,6100712.2,1702098.7038000003,2022-05-02 16:00:00
8,1651503600,0.2842,0.2929,0.2923,0.2844,5219915.9,1484544.08196,2022-05-02 15:00:00
9,1651500000,0.2895,0.2953,0.2933,0.2923,4558352.4,1332406.4065200002,2022-05-02 14:00:00
10,1651496400,0.288,0.2963,0.2919,0.2934,5065228.1,1486137.9245399998,2022-05-02 13:00:00
11,1651492800,0.291,0.2974,0.2952,0.2918,3191241.0,931204.1238000001,2022-05-02 12:00:00
12,1651489200,0.2931,0.3,0.2991,0.2953,4990532.5,1473704.24725,2022-05-02 11:00:00
13,1651485600,0.2991,0.3076,0.3076,0.2991,2006172.9,600046.31439,2022-05-02 10:00:00
14,1651482000,0.3075,0.3124,0.3096,0.3076,1171325.6,360299.75456000003,2022-05-02 09:00:00
15,1651478400,0.309,0.3149,0.3143,0.3096,715245.4,221439.97584,2022-05-02 08:00:00
16,1651474800,0.314,0.3175,0.3167,0.3144,625544.1,196671.06504,2022-05-02 07:00:00
17,1651471200,0.3166,0.3212,0.3196,0.3166,965072.5,305541.9535,2022-05-02 06:00:00
18,1651467600,0.3172,0.3205,0.3187,0.3196,1197375.4,382681.17783999996,2022-05-02 05:00:00
19,1651464000,0.3149,0.3198,0.3162,0.3186,1592684.1,507429.15426000004,2022-05-02 04:00:00
20,1651460400,0.3138,0.3164,0.3144,0.3162,1092487.7,345444.61074,2022-05-02 03:00:00
21,1651456800,0.3104,0.3144,0.3112,0.3144,1338933.8,420960.78672000003,2022-05-02 02:00:00
22,1651453200,0.3108,0.3164,0.3144,0.3112,1765288.1,549357.65672,2022-05-02 01:00:00
23,1651449600,0.3123,0.3163,0.3133,0.3144,3255543.0,1023542.7192,2022-05-02 00:00:00
24,1651446000,0.3082,0.314,0.3088,0.3133,3619247.3,1133910.17909,2022-05-01 23:00:00
25,1651442400,0.3057,0.3106,0.3083,0.3085,2944511.1,908381.67435,2022-05-01 22:00:00
26,1651438800,0.3017,0.3086,0.3043,0.3083,3440151.1,1060598.58413,2022-05-01 21:00:00
27,1651435200,0.2983,0.3045,0.3014,0.3043,4617625.3,1405143.37879,2022-05-01 20:00:00
28,1651431600,0.2911,0.3057,0.294,0.3015,10760017.1,3244145.1556499996,2022-05-01 19:00:00
29,1651428000,0.2902,0.3128,0.3126,0.294,8167890.3,2401359.7482,2022-05-01 18:00:00
30,1651424400,0.3119,0.324,0.3233,0.3127,3694276.6,1155200.2928199999,2022-05-01 17:00:00
31,1651420800,0.3227,0.3341,0.3338,0.3233,3938944.5,1273460.75685,2022-05-01 16:00:00
32,1651417200,0.3061,0.3357,0.3167,0.3337,12613948.8,4209274.71456,2022-05-01 15:00:00
33,1651413600,0.3166,0.3461,0.346,0.317,4203133.4,1332393.2878,2022-05-01 14:00:00
34,1651410000,0.3461,0.3531,0.3526,0.3461,463519.0,160423.9259,2022-05-01 13:00:00
35,1651406400,0.3515,0.3551,0.3542,0.3525,502364.9,177083.62725,2022-05-01 12:00:00
36,1651402800,0.3539,0.3561,0.356,0.3542,181315.0,64221.773,2022-05-01 11:00:00
37,1651399200,0.3555,0.3572,0.3559,0.356,383358.5,136475.626,2022-05-01 10:00:00
38,1651395600,0.3547,0.3567,0.3565,0.3559,319321.5,113646.52185,2022-05-01 09:00:00
39,1651392000,0.3538,0.3572,0.3541,0.3565,480885.8,171435.7877,2022-05-01 08:00:00
40,1651388400,0.3536,0.3551,0.3542,0.3541,391799.7,138736.27377,2022-05-01 07:00:00
41,1651384800,0.3539,0.3562,0.3543,0.354,291414.7,103160.8038,2022-05-01 06:00:00
