,unix,low,high,open,close,volume,vol_fiat,date
0,1651532400,0.2953,0.3017,0.3017,0.2958,95701.6,28308.533280000003,2022-05-02 23:00:00
1,1651528800,0.2996,0.3184,0.3114,0.2996,116712.4,34967.035039999995,2022-05-02 22:00:00
2,1651525200,0.2976,0.3171,0.2992,0.3122,129308.6,40370.14492,2022-05-02 21:00:00
3,1651521600,0.2984,0.3156,0.3036,0.2984,138056.5,41196.0596,2022-05-02 20:00:00
4,1651518000,0.2844,0.3084,0.287,0.3047,239573.5,72998.04545,2022-05-02 19:00:00
5,1651514400,0.284,0.2949,0.2924,0.2854,173827.8,49610.454119999995,2022-05-02 18:00:00
6,1651510800,0.2914,0.308,0.3069,0.2943,255166.2,75095.41266,2022-05-02 17:00:00
7,1651507200,0.305,0.3221,0.3169,0.3074,235929.6,72524.75904,2022-05-02 16:00:00
8,1651503600,0.2982,0.3246,0.3009,0.3178,318873.2,101337.90296,2022-05-02 15:00:00
9,1651500000,0.2953,0.3036,0.2973,0.301,146127.6,43984.4076,2022-05-02 14:00:00
10,1651496400,0.2952,0.3029,0.3027,0.2973,88025.2,26169.89196,2022-05-02 13:00:00
11,1651492800,0.3008,0.3099,0.3077,0.3055,227942.9,69636.55595,2022-05-02 12:00:00
12,1651489200,0.3052,0.3172,0.3165,0.3068,88930.4,27283.84672,2022-05-02 11:00:00
13,1651485600,0.3118,0.3171,0.3128,0.3171,60439.0,19165.2069,2022-05-02 10:00:00
14,1651482000,0.3116,0.3189,0.3189,0.3133,75774.2,23740.05686,2022-05-02 09:00:00
15,1651478400,0.3157,0.3217,0.3208,0.3182,111632.8,35521.55696,2022-05-02 08:00:00
16,1651474800,0.3139,0.3207,0.3181,0.3203,66059.4,21158.82582,2022-05-02 07:00:00
17,1651471200,0.3159,0.3215,0.3205,0.316,66703.6,21078.337600000003,2022-05-02 06:00:00
18,1651467600,0.3134,0.3205,0.3201,0.3205,135965.6,43576.9748,2022-05-02 05:00:00
19,1651464000,0.3066,0.3233,0.3094,0.3201,186765.1,59783.50851,2022-05-02 04:00:00
20,1651460400,0.3067,0.3161,0.316,0.31,185326.4,57451.184,2022-05-02 03:00:00
21,1651456800,0.3109,0.3307,0.3306,0.3147,405697.8,127673.09765999998,2022-05-02 02:00:00
22,1651453200,0.3257,0.3447,0.3307,0.3305,481153.7,159021.29785,2022-05-02 01:00:00
23,1651449600,0.3238,0.3466,0.3361,0.3306,465510.8,153897.87048,2022-05-02 00:00:00
24,1651446000,0.3355,0.3772,0.3737,0.3368,823758.1,277441.72808,2022-05-01 23:00:00
25,1651442400,0.3237,0.3737,0.3249,0.3737,684743.4,255888.60858,2022-05-01 22:00:00
26,1651438800,0.32,0.3393,0.3354,0.3248,424733.9,137953.57072,2022-05-01 21:00:00
27,1651435200,0.33,0.3594,0.3567,0.3353,755949.5,253469.86735,2022-05-01 20:00:00
28,1651431600,0.33,0.3635,0.3507,0.3556,1518100.2,539836.4311200001,2022-05-01 19:00:00
29,1651428000,0.3241,0.3822,0.3347,0.3507,1712135.9,600446.06013,2022-05-01 18:00:00
30,1651424400,0.2957,0.3499,0.2959,0.3374,959204.1,323635.46333999996,2022-05-01 17:00:00
31,1651420800,0.2896,0.3006,0.2973,0.2955,262538.4,77580.0972,2022-05-01 16:00:00
32,1651417200,0.2951,0.3244,0.3244,0.2972,425134.9,126350.09228000001,2022-05-01 15:00:00
33,1651413600,0.2903,0.328,0.3054,0.3244,492254.9,159687.48956000002,2022-05-01 14:00:00
34,1651410000,0.3031,0.3361,0.3245,0.3039,551857.3,167709.43347000002,2022-05-01 13:00:00
35,1651406400,0.2986,0.3677,0.2992,0.3255,1767817.3,575424.53115,2022-05-01 12:00:00
36,1651402800,0.2764,0.2992,0.2779,0.2992,217497.9,65075.371680000004,2022-05-01 11:00:00
37,1651399200,0.2746,0.2779,0.2746,0.2779,7240.4,2012.1071599999998,2022-05-01 10:00:00
38,1651395600,0.2738,0.2769,0.2757,0.2749,9059.5,2490.45655,2022-05-01 09:00:00
39,1651392000,0.2724,0.276,0.2737,0.2733,24377.5,6662.37075,2022-05-01 08:00:00
40,1651388400,0.2724,0.2758,0.2742,0.2735,17002.5,4650.18375,2022-05-01 07:00:00
41,1651384800,0.2689,0.2756,0.2689,0.2738,114053.9,31227.957819999996,2022-05-01 06:00:00
42,1651381200,0.2657,0.27,0.266,0.2691,43915.6,11817.68796,2022-05-01 05:00:00
43,1651377600,0.2641,0.2732,0.2732,0.266,225409.2,59958.847200000004,2022-05-01 04:00:00
