,unix,low,high,open,close,volume,vol_fiat,date
0,1651532400,2.1,2.133,2.115,2.102,70865.28,148958.81855999999,2022-05-02 23:00:00
1,1651528800,2.106,2.141,2.108,2.117,59285.4,125507.1918,2022-05-02 22:00:00
2,1651525200,2.047,2.112,2.049,2.108,32826.0,69197.208,2022-05-02 21:00:00
3,1651521600,2.041,2.076,2.05,2.05,201831.47,413754.51349999994,2022-05-02 20:00:00
4,1651518000,2.007,2.049,2.011,2.045,97320.55,199020.52475,2022-05-02 19:00:00
5,1651514400,1.988,2.017,2.005,2.012,159264.11,320439.38931999996,2022-05-02 18:00:00
6,1651510800,2.002,2.063,2.057,2.005,191226.74,383409.6137,2022-05-02 17:00:00
7,1651507200,2.058,2.087,2.078,2.058,106905.42,220011.35435999997,2022-05-02 16:00:00
8,1651503600,2.069,2.092,2.075,2.078,108868.19,226228.09881999998,2022-05-02 15:00:00
9,1651500000,2.024,2.079,2.047,2.075,101743.81,211118.40575,2022-05-02 14:00:00
10,1651496400,2.005,2.07,2.033,2.047,234016.3,479031.3661,2022-05-02 13:00:00
11,1651492800,2.028,2.073,2.044,2.035,86295.71,175611.76985,2022-05-02 12:00:00
12,1651489200,2.032,2.051,2.047,2.041,59420.52,121277.28132,2022-05-02 11:00:00
13,1651485600,2.035,2.058,2.046,2.049,21268.3,43578.746699999996,2022-05-02 10:00:00
14,1651482000,2.047,2.092,2.067,2.048,39873.04,81659.98592,2022-05-02 09:00:00
15,1651478400,2.061,2.097,2.089,2.07,21616.09,44745.3063,2022-05-02 08:00:00
16,1651474800,2.081,2.107,2.093,2.09,53543.21,111905.30889999999,2022-05-02 07:00:00
17,1651471200,2.093,2.126,2.115,2.093,31393.37,65706.32341,2022-05-02 06:00:00
18,1651467600,2.095,2.122,2.111,2.114,36624.46,77424.10844,2022-05-02 05:00:00
19,1651464000,2.09,2.115,2.102,2.112,86324.96,182318.31552000003,2022-05-02 04:00:00
20,1651460400,2.1,2.122,2.102,2.101,108877.64,228751.92164,2022-05-02 03:00:00
21,1651456800,2.086,2.104,2.098,2.102,111299.92,233952.43183999998,2022-05-02 02:00:00
22,1651453200,2.052,2.101,2.076,2.099,147798.87,310229.82813000004,2022-05-02 01:00:00
23,1651449600,2.06,2.086,2.065,2.075,35330.74,73311.2855,2022-05-02 00:00:00
24,1651446000,2.036,2.087,2.04,2.067,88310.69,182538.19623000003,2022-05-01 23:00:00
25,1651442400,2.022,2.058,2.022,2.04,107304.22,218900.60880000002,2022-05-01 22:00:00
26,1651438800,2.008,2.044,2.039,2.025,23224.46,47029.5315,2022-05-01 21:00:00
27,1651435200,1.992,2.041,2.002,2.034,79497.41,161697.73194,2022-05-01 20:00:00
28,1651431600,1.979,2.008,2.0,2.0,150168.36,300336.72,2022-05-01 19:00:00
29,1651428000,1.999,2.055,2.055,1.999,61965.71,123869.45429000001,2022-05-01 18:00:00
30,1651424400,2.053,2.075,2.06,2.054,167875.78,344816.85212,2022-05-01 17:00:00
31,1651420800,2.055,2.085,2.065,2.061,68838.57,141876.29277,2022-05-01 16:00:00
32,1651417200,2.01,2.077,2.011,2.064,123737.62,255394.44767999998,2022-05-01 15:00:00
33,1651413600,1.996,2.023,2.009,2.011,20696.78,41621.22458,2022-05-01 14:00:00
34,1651410000,2.009,2.03,2.022,2.01,17322.76,34818.747599999995,2022-05-01 13:00:00
35,1651406400,1.99,2.022,2.0,2.016,52150.71,105135.83136,2022-05-01 12:00:00
36,1651402800,1.997,2.043,2.041,2.0,58292.0,116584.0,2022-05-01 11:00:00
37,1651399200,2.035,2.055,2.041,2.044,8777.61,17941.43484,2022-05-01 10:00:00
38,1651395600,2.031,2.067,2.067,2.043,24182.78,49405.41954,2022-05-01 09:00:00
39,1651392000,2.044,2.069,2.044,2.069,6077.62,12574.59578,2022-05-01 08:00:00
