,unix,low,high,open,close,volume,vol_fiat,date
0,1651532400,0.2736,0.2767,0.2736,0.2746,23445.2,6438.051920000001,2022-05-02 23:00:00
1,1651528800,0.2732,0.2779,0.2757,0.2737,50713.0,13880.1481,2022-05-02 22:00:00
2,1651525200,0.271,0.2758,0.2714,0.2757,13076.4,3605.1634799999997,2022-05-02 21:00:00
3,1651521600,0.2711,0.2752,0.2751,0.2714,24571.1,6668.596539999999,2022-05-02 20:00:00
4,1651518000,0.2701,0.2751,0.2706,0.275,45217.6,12434.84,2022-05-02 19:00:00
5,1651514400,0.2671,0.2714,0.2689,0.2707,80158.5,21698.90595,2022-05-02 18:00:00
6,1651510800,0.2672,0.2739,0.2735,0.269,136498.6,36718.123400000004,2022-05-02 17:00:00
7,1651507200,0.2731,0.2778,0.2771,0.2735,76089.5,20810.47825,2022-05-02 16:00:00
8,1651503600,0.2757,0.2807,0.2786,0.2771,51481.6,14265.55136,2022-05-02 15:00:00
9,1651500000,0.2738,0.2822,0.2768,0.2787,128396.6,35784.13242,2022-05-02 14:00:00
10,1651496400,0.2707,0.2794,0.2722,0.2769,114090.1,31591.54869,2022-05-02 13:00:00
11,1651492800,0.27,0.2761,0.2702,0.2717,31258.0,8492.7986,2022-05-02 12:00:00
12,1651489200,0.27,0.2735,0.273,0.2708,165754.6,44886.34568,2022-05-02 11:00:00
13,1651485600,0.2722,0.276,0.2751,0.273,58677.6,16018.9848,2022-05-02 10:00:00
14,1651482000,0.275,0.2807,0.2787,0.275,141738.0,38977.950000000004,2022-05-02 09:00:00
15,1651478400,0.2781,0.2831,0.2821,0.2789,156026.4,43515.76295999999,2022-05-02 08:00:00
16,1651474800,0.2814,0.2852,0.2835,0.2819,15146.3,4269.741969999999,2022-05-02 07:00:00
17,1651471200,0.2834,0.2881,0.2864,0.2834,49006.6,13888.47044,2022-05-02 06:00:00
18,1651467600,0.2832,0.2865,0.2853,0.2865,18915.4,5419.2621,2022-05-02 05:00:00
19,1651464000,0.2815,0.2856,0.2827,0.2855,26824.3,7658.3376499999995,2022-05-02 04:00:00
20,1651460400,0.2818,0.2838,0.2837,0.2835,11398.9,3231.5881499999996,2022-05-02 03:00:00
21,1651456800,0.2822,0.2845,0.2845,0.2835,26440.8,7495.966799999999,2022-05-02 02:00:00
22,1651453200,0.2847,0.2887,0.2867,0.2847,57248.3,16298.591010000002,2022-05-02 01:00:00
23,1651449600,0.2844,0.2879,0.2857,0.2862,50837.3,14549.635260000001,2022-05-02 00:00:00
24,1651446000,0.2796,0.2877,0.2797,0.2859,28867.3,8253.16107,2022-05-01 23:00:00
25,1651442400,0.279,0.2826,0.2797,0.28,10240.8,2867.424,2022-05-01 22:00:00
26,1651438800,0.2768,0.2819,0.2806,0.2797,40380.2,11294.34194,2022-05-01 21:00:00
27,1651435200,0.2747,0.2811,0.2786,0.2811,100601.0,28278.9411,2022-05-01 20:00:00
28,1651431600,0.2748,0.279,0.279,0.2781,63072.0,17540.323200000003,2022-05-01 19:00:00
