,unix,low,high,open,close,volume,vol_fiat,date
0,1651532400,0.2641,0.2671,0.2641,0.2657,67036.6,17811.624620000002,2022-05-02 23:00:00
1,1651528800,0.2633,0.2666,0.2639,0.2643,55294.6,14614.362779999998,2022-05-02 22:00:00
2,1651525200,0.2572,0.2637,0.2579,0.2637,51517.0,13585.0329,2022-05-02 21:00:00
3,1651521600,0.2575,0.2604,0.2602,0.2578,29882.6,7703.734279999999,2022-05-02 20:00:00
4,1651518000,0.256,0.2602,0.256,0.2602,122140.1,31780.85402,2022-05-02 19:00:00
5,1651514400,0.2534,0.2574,0.2551,0.2574,159194.4,40976.63856,2022-05-02 18:00:00
6,1651510800,0.2541,0.2603,0.2597,0.2556,218556.3,55862.99028,2022-05-02 17:00:00
7,1651507200,0.2597,0.2628,0.2619,0.2597,49771.7,12925.710489999998,2022-05-02 16:00:00
8,1651503600,0.2601,0.2633,0.2616,0.262,46587.9,12206.0298,2022-05-02 15:00:00
9,1651500000,0.2588,0.2632,0.2607,0.2616,97073.2,25394.34912,2022-05-02 14:00:00
10,1651496400,0.2548,0.2618,0.2567,0.2604,122859.1,31992.509640000004,2022-05-02 13:00:00
11,1651492800,0.2558,0.2591,0.2563,0.2574,39924.6,10276.59204,2022-05-02 12:00:00
12,1651489200,0.2556,0.259,0.2588,0.2556,46535.0,11894.346,2022-05-02 11:00:00
13,1651485600,0.2586,0.2609,0.2608,0.2594,36308.9,9418.528660000002,2022-05-02 10:00:00
14,1651482000,0.2607,0.264,0.2632,0.2607,17723.2,4620.43824,2022-05-02 09:00:00
15,1651478400,0.2633,0.2686,0.268,0.2638,15280.1,4030.89038,2022-05-02 08:00:00
16,1651474800,0.2682,0.2701,0.269,0.2682,2209.9,592.69518,2022-05-02 07:00:00
17,1651471200,0.2687,0.271,0.2701,0.2689,52946.1,14237.206289999998,2022-05-02 06:00:00
18,1651467600,0.268,0.2701,0.2684,0.2701,30837.5,8329.20875,2022-05-02 05:00:00
19,1651464000,0.2654,0.2683,0.2666,0.2683,4733.4,1269.97122,2022-05-02 04:00:00
20,1651460400,0.2655,0.2672,0.2668,0.2667,18583.7,4956.27279,2022-05-02 03:00:00
21,1651456800,0.2654,0.2674,0.2674,0.2665,70855.1,18882.88415,2022-05-02 02:00:00
22,1651453200,0.2676,0.2716,0.2708,0.2676,37800.1,10115.30676,2022-05-02 01:00:00
23,1651449600,0.2679,0.2711,0.2679,0.2705,90211.9,24402.31895,2022-05-02 00:00:00
24,1651446000,0.2651,0.2695,0.2651,0.268,19890.5,5330.654,2022-05-01 23:00:00
25,1651442400,0.2652,0.2676,0.2663,0.2652,36350.3,9640.09956,2022-05-01 22:00:00
26,1651438800,0.2649,0.2689,0.2684,0.2664,37145.7,9895.61448,2022-05-01 21:00:00
