,unix,low,high,open,close,volume,vol_fiat,date
0,1651532400,0.999975,1.000007,0.999975,0.999976,81573.41208,81571.45431811007,2022-05-02 23:00:00
1,1651528800,0.999748,1.00048,0.999922,0.999975,435517.94544,435507.05749136396,2022-05-02 22:00:00
2,1651525200,0.999782,0.99998,0.999789,0.999947,127293.7324,127286.98583218279,2022-05-02 21:00:00
3,1651521600,0.999748,0.999895,0.999844,0.999788,139426.89088,139397.33237913344,2022-05-02 20:00:00
4,1651518000,0.999751,0.9999,0.999898,0.999846,147489.12639,147466.41306453594,2022-05-02 19:00:00
5,1651514400,0.999857,0.999971,0.999897,0.999879,118387.49341,118373.16852329738,2022-05-02 18:00:00
6,1651510800,0.999814,0.999908,0.999866,0.999896,270060.80908,270032.72275585565,2022-05-02 17:00:00
7,1651507200,0.999755,0.999905,0.999821,0.999844,223289.49771,223254.66454835722,2022-05-02 16:00:00
8,1651503600,0.999808,0.999864,0.999821,0.999831,119152.57565,119132.43886471515,2022-05-02 15:00:00
9,1651500000,0.999355,0.999906,0.999873,0.999822,677296.07606,677175.5173584613,2022-05-02 14:00:00
10,1651496400,0.999808,0.999974,0.999868,0.999974,184034.47768,184029.69278358034,2022-05-02 13:00:00
11,1651492800,0.999796,0.99987,0.999868,0.999853,81613.98078,81601.98352482534,2022-05-02 12:00:00
12,1651489200,0.999857,0.999896,0.999869,0.999868,43740.21718,43734.44347133224,2022-05-02 11:00:00
13,1651485600,0.999867,0.999934,0.999898,0.999869,113475.45855,113460.59326492995,2022-05-02 10:00:00
14,1651482000,0.999872,0.999913,0.999898,0.999898,32960.20874,32956.84679870852,2022-05-02 09:00:00
15,1651478400,0.999794,0.9999,0.999871,0.999898,89311.54576,89302.43598233246,2022-05-02 08:00:00
16,1651474800,0.99979,0.999894,0.999872,0.999891,61744.64963,61737.91946319033,2022-05-02 07:00:00
17,1651471200,0.999806,0.999901,0.999894,0.999892,36376.19106,36372.26243136552,2022-05-02 06:00:00
18,1651467600,0.99985,0.999897,0.999869,0.999869,33723.5522,33719.1344146618,2022-05-02 05:00:00
19,1651464000,0.999863,0.999901,0.999899,0.999896,25213.9457,25211.3234496472,2022-05-02 04:00:00
20,1651460400,0.999869,0.999976,0.999869,0.999899,46175.27546,46170.611757178536,2022-05-02 03:00:00
21,1651456800,0.999852,0.999976,0.999872,0.999869,64072.42106,64064.02757284114,2022-05-02 02:00:00
22,1651453200,0.99987,0.999976,0.999976,0.999921,48201.24501,48197.437111644205,2022-05-02 01:00:00
23,1651449600,0.999921,1.000044,0.999958,0.999975,134655.95163,134652.58523120923,2022-05-02 00:00:00
24,1651446000,0.999869,1.000002,0.999896,0.99993,183045.4798,183032.666616414,2022-05-01 23:00:00
25,1651442400,0.999794,0.999907,0.999869,0.999869,152411.73664,152391.77070250016,2022-05-01 22:00:00
26,1651438800,0.999843,0.999921,0.999855,0.999888,150118.61013,150101.79684566543,2022-05-01 21:00:00
27,1651435200,0.999807,0.999919,0.999919,0.999894,111119.47689,111107.69822544965,2022-05-01 20:00:00
28,1651431600,0.999815,0.999936,0.999897,0.999895,190544.94164,190524.9344211278,2022-05-01 19:00:00
29,1651428000,0.999834,0.999968,0.999928,0.999929,136001.02666,135991.37058710714,2022-05-01 18:00:00
30,1651424400,0.999834,1.000061,1.0,0.999928,167463.60168,167451.54430067903,2022-05-01 17:00:00
31,1651420800,0.999994,1.000113,1.000108,1.0,168696.63333,168696.63333,2022-05-01 16:00:00
32,1651417200,1.000105,1.000112,1.000107,1.000105,60234.05603,60240.380605883154,2022-05-01 15:00:00
33,1651413600,1.000105,1.000113,1.000111,1.000112,50330.21446,50335.851444019514,2022-05-01 14:00:00
34,1651410000,1.000105,1.000138,1.000111,1.000112,136565.67667,136580.97202578702,2022-05-01 13:00:00
35,1651406400,0.99992,1.000603,0.999921,1.000111,318954.09162,318989.4955241698,2022-05-01 12:00:00
36,1651402800,0.999902,1.000018,0.999989,0.999921,125782.13401,125772.1972214132,2022-05-01 11:00:00
37,1651399200,0.999959,1.000028,0.999998,0.999989,52478.57519,52477.99792567291,2022-05-01 10:00:00
38,1651395600,0.999997,1.000105,1.000062,0.999998,35922.2761,35922.2042554478,2022-05-01 09:00:00
39,1651392000,1.000042,1.000106,1.00008,1.000062,28035.6921,28037.4303129102,2022-05-01 08:00:00
40,1651388400,1.000016,1.000143,1.000119,1.000081,108316.18394,108324.95755089914,2022-05-01 07:00:00
41,1651384800,1.000118,1.000183,1.000119,1.000118,55716.34504,55722.91956871472,2022-05-01 06:00:00
42,1651381200,1.000117,1.000143,1.000142,1.000119,32352.86849,32356.71848135031,2022-05-01 05:00:00
43,1651377600,0.999979,1.000303,1.000001,1.000142,324200.8544,324246.89092132484,2022-05-01 04:00:00
44,1651374000,0.999995,1.000111,1.00005,1.000001,64030.02303,64030.08706002302,2022-05-01 03:00:00
45,1651370400,0.999973,1.000083,1.000015,1.00005,75781.27525,75785.06431376252,2022-05-01 02:00:00
46,1651366800,0.999915,1.000028,0.999958,1.000015,126636.92246,126638.8220138369,2022-05-01 01:00:00
47,1651363200,0.999945,1.000143,1.000062,0.999958,257955.163,257944.328883154,2022-05-01 00:00:00
48,1651359600,0.999985,1.000143,1.00013,1.00006,315888.19843,315907.1517219058,2022-04-30 23:00:00
49,1651356000,1.00003,1.000143,1.000079,1.00013,148929.00835,148948.36912108547,2022-04-30 22:00:00
50,1651352400,0.999944,1.000079,0.999982,1.000078,191935.02839,191949.99932221443,2022-04-30 21:00:00
51,1651348800,0.999933,0.999983,0.999951,0.999982,103823.80525,103821.93642150551,2022-04-30 20:00:00
52,1651345200,0.999863,0.999961,0.999927,0.999952,79695.34758,79691.52220331616,2022-04-30 19:00:00
53,1651341600,0.999814,1.000016,1.0,0.999951,201680.2044,201670.3220699844,2022-04-30 18:00:00
54,1651338000,0.999917,1.000068,0.999986,1.000009,75679.82448,75680.5055984203,2022-04-30 17:00:00
55,1651334400,0.999942,1.000143,1.000142,0.99997,293150.88551,293142.0909834347,2022-04-30 16:00:00
56,1651330800,1.000073,1.001,1.000125,1.000142,622958.1732,623046.6332605944,2022-04-30 15:00:00
57,1651327200,0.999893,1.000443,0.999972,1.000125,585454.96224,585528.14411028,2022-04-30 14:00:00
