,unix,low,high,open,close,volume,vol_fiat,date
0,1651532400,89.1,90.0,89.13,89.28,294.56874606,26299.097648236802,2022-05-02 23:00:00
1,1651528800,89.07,89.95,89.36,89.07,171.29643202,15257.373200021399,2022-05-02 22:00:00
2,1651525200,87.48,89.31,87.63,89.31,252.20211774,22524.1711353594,2022-05-02 21:00:00
3,1651521600,87.61,88.42,88.41,87.75,278.80780251,24465.3846702525,2022-05-02 20:00:00
4,1651518000,86.93,88.48,86.93,88.48,328.59720362,29074.280576297602,2022-05-02 19:00:00
5,1651514400,86.36,87.27,86.97,86.85,399.2696636,34676.570283659996,2022-05-02 18:00:00
6,1651510800,86.55,88.68,88.39,87.09,477.66190568,41599.575365671204,2022-05-02 17:00:00
7,1651507200,88.28,89.18,89.18,88.34,177.18939321,15652.9109961714,2022-05-02 16:00:00
8,1651503600,88.79,89.88,89.68,89.07,251.54813782,22405.3926356274,2022-05-02 15:00:00
9,1651500000,89.12,90.31,89.75,89.69,522.31544617,46846.4723669873,2022-05-02 14:00:00
10,1651496400,87.73,90.05,88.29,89.73,280.03491162,25127.5326196626,2022-05-02 13:00:00
11,1651492800,87.41,88.67,87.54,88.16,429.42099432,37857.754859251196,2022-05-02 12:00:00
12,1651489200,87.36,88.48,88.25,87.55,203.72046358,17835.726586429,2022-05-02 11:00:00
13,1651485600,88.18,88.79,88.52,88.29,196.97854779,17391.235984379102,2022-05-02 10:00:00
14,1651482000,88.57,89.57,88.94,88.57,202.52369602,17937.5237564914,2022-05-02 09:00:00
15,1651478400,88.65,89.9,89.81,88.99,125.814,11196.187859999998,2022-05-02 08:00:00
16,1651474800,89.69,90.42,89.96,89.69,153.77103533,13791.724158747698,2022-05-02 07:00:00
17,1651471200,90.03,91.0,90.59,90.05,173.3528158,15610.42106279,2022-05-02 06:00:00
18,1651467600,90.12,90.7,90.46,90.56,24.83804194,2249.3330780864003,2022-05-02 05:00:00
19,1651464000,89.46,90.58,90.21,90.58,346.50007232,31385.9765507456,2022-05-02 04:00:00
20,1651460400,90.04,90.44,90.19,90.13,76.94015488,6934.6161593343995,2022-05-02 03:00:00
21,1651456800,89.6,90.29,89.69,90.19,98.59877608,8892.6236146552,2022-05-02 02:00:00
22,1651453200,89.77,90.99,90.79,89.87,234.46347662,21071.2326438394,2022-05-02 01:00:00
23,1651449600,89.74,90.87,89.92,90.82,344.65046397,31301.155137755395,2022-05-02 00:00:00
24,1651446000,88.65,90.36,88.81,89.89,311.646,28013.858940000002,2022-05-01 23:00:00
25,1651442400,88.83,89.98,89.28,88.94,365.3424614,32493.558516915997,2022-05-01 22:00:00
26,1651438800,88.46,89.42,89.35,89.14,164.31478198,14647.0196656972,2022-05-01 21:00:00
27,1651435200,88.16,89.58,88.23,89.37,297.89407629,26622.7935980373,2022-05-01 20:00:00
28,1651431600,87.45,88.64,88.61,88.31,405.12901152,35776.9430073312,2022-05-01 19:00:00
29,1651428000,88.54,90.21,90.2,88.54,131.929,11680.993660000002,2022-05-01 18:00:00
30,1651424400,90.07,90.57,90.11,90.27,355.39109666,32081.1542954982,2022-05-01 17:00:00
31,1651420800,89.28,90.58,89.54,90.15,645.22544576,58167.073935264,2022-05-01 16:00:00
32,1651417200,87.03,89.71,87.03,89.5,1599.94490987,143195.069433365,2022-05-01 15:00:00
33,1651413600,86.4,87.44,86.94,86.92,313.2326802,27226.184562984003,2022-05-01 14:00:00
34,1651410000,86.64,87.44,86.93,86.94,640.811,55712.10834,2022-05-01 13:00:00
35,1651406400,86.05,87.2,86.76,86.79,2132.04843108,185040.4833334332,2022-05-01 12:00:00
36,1651402800,86.31,87.04,86.88,86.7,452.18233972,39204.208853724005,2022-05-01 11:00:00
37,1651399200,86.65,87.33,86.71,86.87,365.41595479,31743.6839926073,2022-05-01 10:00:00
38,1651395600,86.33,87.31,87.23,86.73,127.14643628,11027.410418564401,2022-05-01 09:00:00
39,1651392000,86.52,87.37,86.58,87.19,136.64872828,11914.4026187332,2022-05-01 08:00:00
40,1651388400,86.37,87.02,86.53,86.58,150.12239958,12997.5973556364,2022-05-01 07:00:00
41,1651384800,86.59,87.48,87.31,86.59,75.67268961,6552.4981933299005,2022-05-01 06:00:00
42,1651381200,86.39,87.79,86.49,87.4,194.84001831,17029.017600294002,2022-05-01 05:00:00
43,1651377600,85.87,86.8,86.36,86.45,272.83176883,23586.306415353498,2022-05-01 04:00:00
44,1651374000,85.71,86.47,85.74,86.19,162.39689296,13996.9882042224,2022-05-01 03:00:00
45,1651370400,85.53,86.6,85.66,85.68,417.88640386,35804.5070827248,2022-05-01 02:00:00
46,1651366800,83.79,86.15,85.01,85.78,2123.90908823,182188.9215883694,2022-05-01 01:00:00
47,1651363200,84.09,85.96,84.76,85.04,1103.0082203,93799.819054312,2022-05-01 00:00:00
48,1651359600,80.75,89.37,88.85,84.6,5163.57940682,436838.817816972,2022-04-30 23:00:00
49,1651356000,88.68,90.54,90.42,88.76,2697.94921307,239469.97215209322,2022-04-30 22:00:00
