,unix,low,high,open,close,volume,vol_fiat,date
0,1651532400,2.01,2.03,2.03,2.02,3315.53,6697.3706,2022-05-02 23:00:00
1,1651528800,2.03,2.04,2.03,2.04,164.43,335.4372,2022-05-02 22:00:00
2,1651525200,2.01,2.04,2.01,2.04,860.24,1754.8896,2022-05-02 21:00:00
3,1651521600,2.0,2.01,2.01,2.01,62.23,125.08229999999998,2022-05-02 20:00:00
4,1651518000,2.0,2.01,2.0,2.01,358.62,720.8262,2022-05-02 19:00:00
5,1651514400,2.0,2.01,2.01,2.0,3608.25,7216.5,2022-05-02 18:00:00
6,1651510800,2.0,2.02,2.01,2.01,1555.36,3126.2735999999995,2022-05-02 17:00:00
7,1651507200,2.0,2.03,2.03,2.02,3135.01,6332.720200000001,2022-05-02 16:00:00
8,1651503600,2.01,2.04,2.04,2.02,1382.57,2792.7914,2022-05-02 15:00:00
9,1651500000,2.01,2.04,2.03,2.04,1366.11,2786.8644,2022-05-02 14:00:00
10,1651496400,2.02,2.04,2.02,2.04,1135.1,2315.604,2022-05-02 13:00:00
11,1651492800,2.01,2.02,2.01,2.02,2798.84,5653.656800000001,2022-05-02 12:00:00
12,1651489200,2.01,2.07,2.07,2.01,3930.29,7899.882899999999,2022-05-02 11:00:00
13,1651485600,2.05,2.09,2.09,2.07,290.15,600.6104999999999,2022-05-02 10:00:00
14,1651482000,2.08,2.08,2.08,2.08,63.35,131.768,2022-05-02 09:00:00
15,1651478400,2.06,2.09,2.06,2.08,2337.64,4862.2912,2022-05-02 08:00:00
16,1651474800,2.05,2.07,2.07,2.06,1761.49,3628.6694,2022-05-02 07:00:00
17,1651471200,2.06,2.07,2.07,2.06,89.23,183.81380000000001,2022-05-02 06:00:00
18,1651467600,2.04,2.07,2.04,2.07,2451.62,5074.853399999999,2022-05-02 05:00:00
19,1651464000,2.03,2.06,2.03,2.04,869.54,1773.8616,2022-05-02 04:00:00
20,1651460400,2.01,2.03,2.03,2.03,1496.82,3038.5445999999997,2022-05-02 03:00:00
21,1651456800,2.01,2.04,2.04,2.03,7176.51,14568.315299999998,2022-05-02 02:00:00
22,1651453200,2.04,2.05,2.04,2.04,2808.34,5729.0136,2022-05-02 01:00:00
23,1651449600,2.04,2.06,2.04,2.04,2635.76,5376.950400000001,2022-05-02 00:00:00
24,1651446000,2.03,2.04,2.04,2.04,723.0,1474.92,2022-05-01 23:00:00
25,1651442400,2.04,2.05,2.04,2.05,172.75,354.1375,2022-05-01 22:00:00
26,1651438800,2.04,2.04,2.04,2.04,291.61,594.8844,2022-05-01 21:00:00
27,1651435200,2.04,2.06,2.04,2.04,155.53,317.2812,2022-05-01 20:00:00
28,1651431600,2.04,2.06,2.05,2.04,3648.52,7442.9808,2022-05-01 19:00:00
29,1651428000,2.05,2.07,2.05,2.05,3266.07,6695.443499999999,2022-05-01 18:00:00
30,1651424400,2.04,2.05,2.04,2.05,197.0,403.84999999999997,2022-05-01 17:00:00
31,1651420800,2.04,2.05,2.04,2.05,1207.48,2475.334,2022-05-01 16:00:00
32,1651417200,2.04,2.06,2.04,2.05,370.54,759.607,2022-05-01 15:00:00
33,1651413600,2.04,2.06,2.05,2.04,5701.48,11631.019199999999,2022-05-01 14:00:00
34,1651410000,2.02,2.07,2.03,2.07,7265.04,15038.6328,2022-05-01 13:00:00
35,1651406400,2.03,2.04,2.03,2.03,103.73,210.5719,2022-05-01 12:00:00
36,1651402800,2.03,2.04,2.03,2.03,117.28,238.0784,2022-05-01 11:00:00
37,1651399200,2.03,2.04,2.04,2.03,3.35,6.8004999999999995,2022-05-01 10:00:00
38,1651395600,2.03,2.03,2.03,2.03,24.35,49.430499999999995,2022-05-01 09:00:00
39,1651392000,2.02,2.04,2.02,2.03,425.67,864.1101,2022-05-01 08:00:00
40,1651388400,2.02,2.03,2.03,2.02,165.67,334.6534,2022-05-01 07:00:00
41,1651384800,2.01,2.03,2.02,2.03,1825.66,3706.0897999999997,2022-05-01 06:00:00
42,1651381200,2.01,2.03,2.03,2.01,194.86,391.66859999999997,2022-05-01 05:00:00
43,1651377600,2.01,2.04,2.01,2.01,1214.0,2440.14,2022-05-01 04:00:00
44,1651374000,2.0,2.02,2.01,2.02,5164.71,10432.7142,2022-05-01 03:00:00
45,1651370400,2.0,2.02,2.02,2.02,482.09,973.8217999999999,2022-05-01 02:00:00
46,1651366800,2.01,2.04,2.01,2.01,2150.7,4322.906999999999,2022-05-01 01:00:00
47,1651363200,2.0,2.02,2.01,2.0,9583.2,19166.4,2022-05-01 00:00:00
48,1651359600,2.0,2.03,2.03,2.01,4333.64,8710.616399999999,2022-04-30 23:00:00
49,1651356000,2.03,2.05,2.04,2.03,533.51,1083.0252999999998,2022-04-30 22:00:00
50,1651352400,2.03,2.05,2.03,2.04,521.0,1062.84,2022-04-30 21:00:00
51,1651348800,2.02,2.04,2.04,2.02,4117.18,8316.7036,2022-04-30 20:00:00
52,1651345200,2.04,2.05,2.05,2.04,456.89,932.0556,2022-04-30 19:00:00
53,1651341600,2.04,2.06,2.05,2.04,262.03,534.5412,2022-04-30 18:00:00
54,1651338000,2.04,2.07,2.05,2.07,1506.46,3118.3722,2022-04-30 17:00:00
55,1651334400,2.05,2.08,2.07,2.06,2160.15,4449.909000000001,2022-04-30 16:00:00
