,unix,low,high,open,close,volume,vol_fiat,date
0,1651564800,26.54,27.25,26.64,26.97,1146.827,30929.924189999998,2022-05-03 08:00:00
1,1651561200,26.45,26.98,26.47,26.64,860.868,22933.523520000002,2022-05-03 07:00:00
2,1651557600,26.45,26.8,26.55,26.47,571.89,15137.9283,2022-05-03 06:00:00
3,1651554000,26.45,26.73,26.71,26.55,464.642,12336.2451,2022-05-03 05:00:00
4,1651550400,26.45,26.79,26.53,26.56,723.273,19210.13088,2022-05-03 04:00:00
5,1651546800,26.52,26.82,26.57,26.53,848.159,22501.65827,2022-05-03 03:00:00
6,1651543200,26.52,26.87,26.53,26.53,3286.439,87189.22667,2022-05-03 02:00:00
7,1651539600,26.52,26.79,26.77,26.53,1180.553,31320.071090000005,2022-05-03 01:00:00
8,1651536000,26.53,26.8,26.53,26.71,561.258,14991.201180000002,2022-05-03 00:00:00
9,1651532400,26.52,26.81,26.54,26.53,592.611,15721.96983,2022-05-02 23:00:00
10,1651528800,26.52,26.82,26.81,26.69,3126.833,83455.17277,2022-05-02 22:00:00
11,1651525200,26.67,27.61,27.13,26.81,1331.123,35687.40763,2022-05-02 21:00:00
12,1651521600,26.17,27.3,26.42,27.14,2017.507,54755.13998,2022-05-02 20:00:00
13,1651518000,25.9,26.86,26.44,26.31,1260.882,33173.80542,2022-05-02 19:00:00
14,1651514400,25.7,27.62,27.03,26.45,3670.194,97076.6313,2022-05-02 18:00:00
15,1651510800,26.07,27.3,27.18,27.03,2118.975,57275.89425,2022-05-02 17:00:00
16,1651507200,27.0,27.33,27.1,27.18,637.425,17325.211499999998,2022-05-02 16:00:00
17,1651503600,27.0,28.39,27.46,27.14,1547.129,41989.08106,2022-05-02 15:00:00
18,1651500000,27.01,28.7,27.25,27.45,1728.653,47451.52485,2022-05-02 14:00:00
19,1651496400,27.07,27.69,27.6,27.31,1074.079,29333.097489999996,2022-05-02 13:00:00
20,1651492800,27.55,28.02,27.72,27.6,587.72,16221.072000000002,2022-05-02 12:00:00
21,1651489200,27.55,28.57,28.3,27.68,723.496,20026.36928,2022-05-02 11:00:00
