,unix,low,high,open,close,volume,vol_fiat,date
0,1651564800,0.76,0.77,0.76,0.76,40.59,30.8484,2022-05-03 08:00:00
1,1651561200,0.76,0.77,0.76,0.77,290.97,224.04690000000002,2022-05-03 07:00:00
2,1651557600,0.76,0.77,0.76,0.76,3962.23,3011.2948,2022-05-03 06:00:00
3,1651554000,0.76,0.77,0.76,0.77,30472.69,23463.9713,2022-05-03 05:00:00
4,1651550400,0.76,0.77,0.77,0.76,150.18,114.13680000000001,2022-05-03 04:00:00
5,1651546800,0.76,0.77,0.76,0.76,495.65,376.69399999999996,2022-05-03 03:00:00
6,1651543200,0.76,0.77,0.77,0.77,145.9,112.343,2022-05-03 02:00:00
7,1651539600,0.76,0.77,0.77,0.76,431.45,327.902,2022-05-03 01:00:00
8,1651536000,0.76,0.77,0.76,0.76,13813.26,10498.0776,2022-05-03 00:00:00
9,1651532400,0.76,0.78,0.77,0.76,1032.54,784.7304,2022-05-02 23:00:00
10,1651528800,0.76,0.78,0.76,0.78,10036.88,7828.7663999999995,2022-05-02 22:00:00
11,1651525200,0.76,0.77,0.77,0.77,446.13,343.5201,2022-05-02 21:00:00
12,1651521600,0.76,0.77,0.76,0.76,600.31,456.2356,2022-05-02 20:00:00
13,1651518000,0.77,0.79,0.78,0.77,64039.72,49310.5844,2022-05-02 19:00:00
14,1651514400,0.77,0.78,0.78,0.77,32538.97,25055.0069,2022-05-02 18:00:00
15,1651510800,0.77,0.78,0.78,0.78,820.27,639.8106,2022-05-02 17:00:00
16,1651507200,0.77,0.78,0.78,0.77,487.57,375.4289,2022-05-02 16:00:00
17,1651503600,0.77,0.78,0.77,0.77,588.91,453.4607,2022-05-02 15:00:00
18,1651500000,0.77,0.78,0.78,0.77,621.35,478.4395,2022-05-02 14:00:00
19,1651496400,0.77,0.78,0.77,0.77,1590.18,1224.4386000000002,2022-05-02 13:00:00
20,1651492800,0.77,0.78,0.77,0.78,141.33,110.23740000000001,2022-05-02 12:00:00
21,1651489200,0.77,0.78,0.78,0.77,561.69,432.50130000000007,2022-05-02 11:00:00
22,1651485600,0.77,0.78,0.78,0.77,64.33,49.5341,2022-05-02 10:00:00
23,1651482000,0.77,0.78,0.77,0.78,2906.71,2267.2338,2022-05-02 09:00:00
24,1651478400,0.77,0.78,0.78,0.77,5349.23,4118.907099999999,2022-05-02 08:00:00
25,1651474800,0.77,0.78,0.77,0.78,1615.37,1259.9886,2022-05-02 07:00:00
26,1651471200,0.77,0.78,0.78,0.77,1049.07,807.7839,2022-05-02 06:00:00
27,1651467600,0.77,0.78,0.78,0.77,5930.53,4566.5081,2022-05-02 05:00:00
28,1651464000,0.78,0.78,0.78,0.78,38.07,29.6946,2022-05-02 04:00:00
29,1651460400,0.77,0.78,0.78,0.78,1227.36,957.3408,2022-05-02 03:00:00
30,1651456800,0.77,0.78,0.78,0.78,86.51,67.4778,2022-05-02 02:00:00
31,1651453200,0.77,0.78,0.77,0.78,510.06,397.84680000000003,2022-05-02 01:00:00
32,1651449600,0.77,0.78,0.77,0.78,565.27,440.9106,2022-05-02 00:00:00
33,1651446000,0.76,0.77,0.77,0.77,348.23,268.13710000000003,2022-05-01 23:00:00
34,1651442400,0.76,0.77,0.77,0.77,563.62,433.98740000000004,2022-05-01 22:00:00
35,1651438800,0.76,0.77,0.77,0.76,984.47,748.1972000000001,2022-05-01 21:00:00
36,1651435200,0.75,0.76,0.76,0.76,825.21,627.1596000000001,2022-05-01 20:00:00
37,1651431600,0.75,0.77,0.77,0.75,2604.67,1953.5025,2022-05-01 19:00:00
38,1651428000,0.76,0.77,0.77,0.76,1288.47,979.2372,2022-05-01 18:00:00
39,1651424400,0.77,0.78,0.77,0.78,5.42,4.2276,2022-05-01 17:00:00
40,1651420800,0.77,0.78,0.78,0.78,1905.55,1486.329,2022-05-01 16:00:00
41,1651417200,0.75,0.77,0.75,0.77,2851.22,2195.4393999999998,2022-05-01 15:00:00
