,unix,low,high,open,close,volume,vol_fiat,date
0,1651564800,0.0981,0.1006,0.1006,0.0992,363679.3,36076.98656,2022-05-03 08:00:00
1,1651561200,0.0997,0.1009,0.1004,0.1006,278734.0,28040.6404,2022-05-03 07:00:00
2,1651557600,0.0999,0.1021,0.1004,0.1007,594242.4,59840.20968,2022-05-03 06:00:00
3,1651554000,0.1003,0.1015,0.1014,0.1003,177493.1,17802.55793,2022-05-03 05:00:00
4,1651550400,0.0993,0.1013,0.1009,0.1013,475957.2,48214.46436,2022-05-03 04:00:00
5,1651546800,0.0997,0.102,0.1003,0.101,929979.7,93927.9497,2022-05-03 03:00:00
6,1651543200,0.0997,0.1017,0.101,0.1001,512252.1,51276.435209999996,2022-05-03 02:00:00
7,1651539600,0.1006,0.105,0.103,0.101,1027588.5,103786.4385,2022-05-03 01:00:00
8,1651536000,0.1,0.1031,0.1004,0.1028,488339.0,50201.2492,2022-05-03 00:00:00
9,1651532400,0.0993,0.102,0.1006,0.1002,633409.5,63467.6319,2022-05-02 23:00:00
10,1651528800,0.0985,0.102,0.1012,0.1005,1606469.2,161450.1546,2022-05-02 22:00:00
11,1651525200,0.0991,0.1045,0.0996,0.1014,1457374.8,147777.80472000001,2022-05-02 21:00:00
12,1651521600,0.0982,0.1014,0.0998,0.0996,1188577.6,118382.32896,2022-05-02 20:00:00
13,1651518000,0.0983,0.1026,0.1026,0.1,1231358.9,123135.89,2022-05-02 19:00:00
14,1651514400,0.0992,0.1051,0.1002,0.1022,3689403.9,377057.07858,2022-05-02 18:00:00
15,1651510800,0.0971,0.1039,0.0981,0.1002,2990641.7,299662.29834000004,2022-05-02 17:00:00
16,1651507200,0.098,0.102,0.1009,0.0981,728114.4,71428.02264000001,2022-05-02 16:00:00
17,1651503600,0.1,0.1017,0.1017,0.1008,408175.5,41144.0904,2022-05-02 15:00:00
18,1651500000,0.0992,0.1022,0.1022,0.1017,857063.9,87163.39863,2022-05-02 14:00:00
19,1651496400,0.1,0.1071,0.1068,0.1021,2019655.3,206206.80613,2022-05-02 13:00:00
20,1651492800,0.1007,0.1074,0.1012,0.1065,3818851.8,406707.7167,2022-05-02 12:00:00
21,1651489200,0.1003,0.1056,0.1043,0.1014,1321545.1,134004.67314000003,2022-05-02 11:00:00
22,1651485600,0.1043,0.1104,0.1098,0.1043,1669543.9,174133.42877,2022-05-02 10:00:00
23,1651482000,0.1072,0.116,0.1136,0.1098,4200031.1,461163.41477999993,2022-05-02 09:00:00
24,1651478400,0.0986,0.1187,0.0986,0.1134,7063721.1,801025.97274,2022-05-02 08:00:00
25,1651474800,0.0978,0.099,0.0981,0.0987,152717.2,15073.18764,2022-05-02 07:00:00
26,1651471200,0.0969,0.0981,0.0973,0.0979,626736.7,61357.52293,2022-05-02 06:00:00
27,1651467600,0.0969,0.0982,0.0977,0.0973,230875.5,22464.186149999998,2022-05-02 05:00:00
28,1651464000,0.096,0.0987,0.0983,0.0975,814323.6,79396.551,2022-05-02 04:00:00
29,1651460400,0.0977,0.0995,0.0984,0.0985,476916.7,46976.29495,2022-05-02 03:00:00
30,1651456800,0.097,0.0993,0.0971,0.0982,1065483.2,104630.45023999999,2022-05-02 02:00:00
31,1651453200,0.0966,0.0982,0.0976,0.0971,1111715.2,107947.54592,2022-05-02 01:00:00
32,1651449600,0.0956,0.1017,0.0965,0.0978,1739562.8,170129.24184,2022-05-02 00:00:00
33,1651446000,0.0951,0.0968,0.0951,0.0968,484972.1,46945.29928,2022-05-01 23:00:00
34,1651442400,0.094,0.0956,0.0942,0.0953,448438.4,42736.17952,2022-05-01 22:00:00
35,1651438800,0.0937,0.0967,0.0966,0.0944,1072751.8,101267.76992,2022-05-01 21:00:00
36,1651435200,0.0944,0.0967,0.096,0.0967,905674.0,87578.6758,2022-05-01 20:00:00
37,1651431600,0.093,0.0967,0.0946,0.0959,962338.0,92288.2142,2022-05-01 19:00:00
38,1651428000,0.0947,0.0977,0.0975,0.0949,1232434.3,116958.01507000001,2022-05-01 18:00:00
39,1651424400,0.0968,0.0986,0.0984,0.0972,931512.5,90543.015,2022-05-01 17:00:00
40,1651420800,0.0961,0.1003,0.0989,0.0983,2452495.5,241080.30765,2022-05-01 16:00:00
41,1651417200,0.095,0.0999,0.0966,0.0988,2455415.7,242595.07116000002,2022-05-01 15:00:00
