,unix,low,high,open,close,volume,vol_fiat,date
0,1651564800,0.1311,0.1316,0.1313,0.1312,1248102.0,163750.9824,2022-05-03 08:00:00
1,1651561200,0.1307,0.1314,0.131,0.1312,1095739.8,143761.06176,2022-05-03 07:00:00
2,1651557600,0.1307,0.1313,0.1309,0.1311,1214466.6,159216.57126,2022-05-03 06:00:00
3,1651554000,0.1307,0.1319,0.1319,0.1308,3055320.3,399635.89524,2022-05-03 05:00:00
4,1651550400,0.1313,0.132,0.1314,0.1317,2871971.1,378238.59387000004,2022-05-03 04:00:00
5,1651546800,0.1311,0.1319,0.1313,0.1314,2289660.3,300861.36341999995,2022-05-03 03:00:00
6,1651543200,0.1306,0.132,0.1313,0.1313,3681206.8,483342.45284,2022-05-03 02:00:00
7,1651539600,0.1302,0.1313,0.1305,0.1313,5328963.7,699692.9338100001,2022-05-03 01:00:00
8,1651536000,0.1303,0.131,0.1307,0.1305,4016906.9,524206.35045,2022-05-03 00:00:00
9,1651532400,0.1305,0.1314,0.131,0.1307,3754272.9,490683.46803000005,2022-05-02 23:00:00
10,1651528800,0.1309,0.1324,0.1313,0.131,4572004.0,598932.524,2022-05-02 22:00:00
11,1651525200,0.1302,0.1313,0.1304,0.1313,3860289.0,506855.9457,2022-05-02 21:00:00
12,1651521600,0.1302,0.131,0.1307,0.1305,3596590.1,469355.00805,2022-05-02 20:00:00
13,1651518000,0.1289,0.1311,0.1291,0.1307,5973483.9,780734.3457300001,2022-05-02 19:00:00
14,1651514400,0.1275,0.1292,0.1284,0.129,12594509.8,1624691.7642,2022-05-02 18:00:00
15,1651510800,0.1277,0.1301,0.13,0.1283,6937617.3,890096.29959,2022-05-02 17:00:00
16,1651507200,0.1299,0.1312,0.1305,0.1301,3623653.4,471437.30733999994,2022-05-02 16:00:00
17,1651503600,0.1299,0.1309,0.1306,0.1304,7315702.3,953967.5799199999,2022-05-02 15:00:00
18,1651500000,0.1296,0.1317,0.1308,0.1306,16572808.2,2164408.75092,2022-05-02 14:00:00
19,1651496400,0.1285,0.132,0.1296,0.1308,12737177.0,1666022.7516,2022-05-02 13:00:00
20,1651492800,0.1296,0.1309,0.13,0.1297,4485147.8,581723.66966,2022-05-02 12:00:00
21,1651489200,0.1297,0.1313,0.1312,0.1301,5932159.2,771773.91192,2022-05-02 11:00:00
22,1651485600,0.1305,0.1317,0.1306,0.1311,2079462.1,272617.48131,2022-05-02 10:00:00
23,1651482000,0.1305,0.1319,0.1313,0.1307,2973829.6,388679.52872000006,2022-05-02 09:00:00
24,1651478400,0.1308,0.1322,0.132,0.1314,3077884.4,404434.01015999995,2022-05-02 08:00:00
25,1651474800,0.1318,0.1328,0.1322,0.132,2886450.1,381011.4132,2022-05-02 07:00:00
26,1651471200,0.1322,0.1336,0.1335,0.1323,4586155.8,606748.4123399999,2022-05-02 06:00:00
27,1651467600,0.1326,0.1339,0.1331,0.1334,3285277.1,438255.96514,2022-05-02 05:00:00
28,1651464000,0.1316,0.1334,0.1321,0.133,8141061.0,1082761.1130000001,2022-05-02 04:00:00
29,1651460400,0.1319,0.1325,0.1323,0.1321,6035846.6,797335.3358599999,2022-05-02 03:00:00
30,1651456800,0.1313,0.1324,0.1318,0.1323,4707064.4,622744.6201200001,2022-05-02 02:00:00
31,1651453200,0.1315,0.1334,0.1331,0.1317,5766169.1,759404.4704700001,2022-05-02 01:00:00
32,1651449600,0.1326,0.134,0.1327,0.1331,11027421.9,1467749.85489,2022-05-02 00:00:00
33,1651446000,0.1311,0.1334,0.1316,0.1326,8705971.1,1154411.76786,2022-05-01 23:00:00
34,1651442400,0.1314,0.1328,0.1318,0.1315,4757016.4,625547.6566000001,2022-05-01 22:00:00
35,1651438800,0.1305,0.132,0.1312,0.1317,6038942.8,795328.76676,2022-05-01 21:00:00
36,1651435200,0.1295,0.1314,0.1304,0.1312,6083563.2,798163.4918400001,2022-05-01 20:00:00
37,1651431600,0.1296,0.1309,0.1307,0.1305,7905599.2,1031680.6956000001,2022-05-01 19:00:00
38,1651428000,0.1306,0.1331,0.1328,0.1308,8917710.9,1166436.58572,2022-05-01 18:00:00
39,1651424400,0.1327,0.1341,0.1331,0.1327,7452586.7,988958.2550900001,2022-05-01 17:00:00
40,1651420800,0.1331,0.1347,0.1337,0.1331,13683196.7,1821233.4807699998,2022-05-01 16:00:00
41,1651417200,0.1314,0.1343,0.1315,0.1337,7882626.3,1053907.13631,2022-05-01 15:00:00
42,1651413600,0.131,0.1323,0.1316,0.1313,3532959.9,463877.63487,2022-05-01 14:00:00
43,1651410000,0.1314,0.1324,0.1321,0.1317,3717463.7,489589.9692900001,2022-05-01 13:00:00
44,1651406400,0.1305,0.1321,0.131,0.1321,7276474.5,961222.28145,2022-05-01 12:00:00
45,1651402800,0.1307,0.1317,0.131,0.131,4200896.8,550317.4808,2022-05-01 11:00:00
46,1651399200,0.1309,0.1317,0.1311,0.131,1914022.1,250736.89510000002,2022-05-01 10:00:00
47,1651395600,0.1303,0.1324,0.1321,0.1311,4869920.7,638446.60377,2022-05-01 09:00:00
48,1651392000,0.1311,0.1327,0.1317,0.1321,2783931.4,367757.33794,2022-05-01 08:00:00
49,1651388400,0.1306,0.1318,0.1313,0.1318,3519047.2,463810.42096,2022-05-01 07:00:00
50,1651384800,0.1309,0.1333,0.1316,0.1312,9194578.7,1206328.72544,2022-05-01 06:00:00
51,1651381200,0.1291,0.1365,0.1293,0.1317,47486104.5,6253919.96265,2022-05-01 05:00:00
52,1651377600,0.1289,0.1304,0.1303,0.1293,3659888.2,473223.54426,2022-05-01 04:00:00
53,1651374000,0.1294,0.1304,0.1296,0.1301,4365337.2,567930.36972,2022-05-01 03:00:00
54,1651370400,0.1291,0.1309,0.1301,0.1295,6754583.9,874718.61505,2022-05-01 02:00:00
55,1651366800,0.1266,0.1304,0.1281,0.13,13206994.1,1716909.233,2022-05-01 01:00:00
56,1651363200,0.1262,0.1291,0.1275,0.1282,17353078.4,2224664.65088,2022-05-01 00:00:00
57,1651359600,0.124,0.1304,0.1298,0.1274,76229679.4,9711661.155560002,2022-04-30 23:00:00
58,1651356000,0.1295,0.1313,0.1313,0.1298,25442769.3,3302471.45514,2022-04-30 22:00:00
59,1651352400,0.1312,0.1326,0.1323,0.1313,6821261.0,895631.5693,2022-04-30 21:00:00
60,1651348800,0.1321,0.1327,0.1326,0.1323,3979995.3,526553.37819,2022-04-30 20:00:00
61,1651345200,0.1313,0.133,0.1316,0.1326,5828161.6,772814.2281599999,2022-04-30 19:00:00
62,1651341600,0.1308,0.1319,0.1312,0.1317,7392360.6,973573.89102,2022-04-30 18:00:00
63,1651338000,0.1309,0.133,0.1329,0.1312,10958927.7,1437811.31424,2022-04-30 17:00:00
64,1651334400,0.1327,0.1345,0.1332,0.1329,6492457.6,862847.61504,2022-04-30 16:00:00
65,1651330800,0.1312,0.1337,0.1319,0.1332,10616087.7,1414062.88164,2022-04-30 15:00:00
66,1651327200,0.1316,0.1341,0.1337,0.1319,13681108.1,1804538.1583899998,2022-04-30 14:00:00
67,1651323600,0.1335,0.1351,0.1344,0.1338,7735577.2,1035020.22936,2022-04-30 13:00:00
68,1651320000,0.1342,0.1353,0.1348,0.1343,9892735.5,1328594.37765,2022-04-30 12:00:00
69,1651316400,0.1348,0.1353,0.135,0.1349,2089571.9,281883.24931,2022-04-30 11:00:00
70,1651312800,0.1349,0.1355,0.1351,0.135,1671279.3,225622.7055,2022-04-30 10:00:00
71,1651309200,0.1349,0.1356,0.1353,0.1351,3131276.2,423035.41462,2022-04-30 09:00:00
72,1651305600,0.1346,0.1357,0.1354,0.1352,3001338.7,405780.99224,2022-04-30 08:00:00
73,1651302000,0.1352,0.1367,0.1365,0.1355,1606392.7,217666.21085,2022-04-30 07:00:00
74,1651298400,0.1358,0.1366,0.1366,0.1365,2528488.3,345138.65295,2022-04-30 06:00:00
75,1651294800,0.1353,0.1368,0.1357,0.1366,2638755.7,360454.02862,2022-04-30 05:00:00
76,1651291200,0.1351,0.1362,0.1358,0.1355,3443046.6,466532.8143,2022-04-30 04:00:00
77,1651287600,0.1346,0.1359,0.135,0.1358,3130530.4,425126.02832,2022-04-30 03:00:00
78,1651284000,0.135,0.1362,0.1357,0.1351,4723745.1,638177.96301,2022-04-30 02:00:00
79,1651280400,0.1351,0.1362,0.136,0.1357,8078327.3,1096229.01461,2022-04-30 01:00:00
80,1651276800,0.1345,0.1362,0.1349,0.1359,11853160.5,1610844.51195,2022-04-30 00:00:00
81,1651273200,0.1342,0.1361,0.1347,0.135,8721846.9,1177449.3315,2022-04-29 23:00:00
