,unix,low,high,open,close,volume,vol_fiat,date
0,1651564800,15.12,15.2,15.16,15.13,14203.082,214892.63066000002,2022-05-03 08:00:00
1,1651561200,15.08,15.18,15.11,15.16,10777.509,163387.03644,2022-05-03 07:00:00
2,1651557600,15.02,15.19,15.11,15.11,9759.336,147463.56696,2022-05-03 06:00:00
3,1651554000,15.01,15.17,15.15,15.11,20562.016,310692.06176,2022-05-03 05:00:00
4,1651550400,15.08,15.19,15.16,15.14,14587.988,220862.13832,2022-05-03 04:00:00
5,1651546800,15.05,15.24,15.05,15.16,26859.301,407187.00316,2022-05-03 03:00:00
6,1651543200,14.92,15.18,15.08,15.05,24079.184,362391.71920000005,2022-05-03 02:00:00
7,1651539600,14.89,15.08,14.93,15.08,19610.351,295724.09307999996,2022-05-03 01:00:00
8,1651536000,14.89,15.02,14.95,14.93,24562.113,366712.34709,2022-05-03 00:00:00
9,1651532400,14.92,15.08,15.0,14.95,17028.081,254569.81094999996,2022-05-02 23:00:00
10,1651528800,14.99,15.27,15.07,15.01,26556.205,398608.63705,2022-05-02 22:00:00
11,1651525200,14.76,15.09,14.82,15.07,23412.935,352832.93045000004,2022-05-02 21:00:00
12,1651521600,14.79,14.96,14.9,14.83,21945.991,325459.04653000005,2022-05-02 20:00:00
13,1651518000,14.65,14.93,14.69,14.91,60134.316,896602.65156,2022-05-02 19:00:00
14,1651514400,14.55,14.79,14.65,14.68,113992.796,1673414.24528,2022-05-02 18:00:00
15,1651510800,14.57,14.89,14.83,14.64,65243.837,955169.77368,2022-05-02 17:00:00
16,1651507200,14.81,15.07,14.96,14.83,60675.928,899824.01224,2022-05-02 16:00:00
17,1651503600,14.85,15.1,15.05,14.97,44929.615,672596.33655,2022-05-02 15:00:00
18,1651500000,14.77,15.08,14.95,15.04,118947.179,1788965.57216,2022-05-02 14:00:00
19,1651496400,14.66,15.09,14.78,14.95,114519.408,1712065.1496,2022-05-02 13:00:00
20,1651492800,14.7,14.95,14.83,14.79,34315.829,507531.11090999993,2022-05-02 12:00:00
21,1651489200,14.79,15.04,15.02,14.83,107091.279,1588163.66757,2022-05-02 11:00:00
22,1651485600,14.95,15.13,15.09,15.01,18150.511,272439.17010999995,2022-05-02 10:00:00
23,1651482000,15.06,15.31,15.18,15.1,12249.262,184963.8562,2022-05-02 09:00:00
24,1651478400,15.14,15.37,15.34,15.19,14471.007,219814.59633,2022-05-02 08:00:00
25,1651474800,15.31,15.45,15.38,15.34,8582.226,131651.34684,2022-05-02 07:00:00
26,1651471200,15.36,15.57,15.52,15.37,12802.082,196768.00034,2022-05-02 06:00:00
27,1651467600,15.43,15.58,15.48,15.52,11024.677,171102.98703999998,2022-05-02 05:00:00
28,1651464000,15.29,15.52,15.39,15.48,16286.768,252119.16864000002,2022-05-02 04:00:00
29,1651460400,15.33,15.44,15.39,15.39,16879.751,259779.36789000002,2022-05-02 03:00:00
30,1651456800,15.26,15.39,15.33,15.39,13357.204,205567.36956,2022-05-02 02:00:00
31,1651453200,15.32,15.59,15.5,15.34,22131.319,339494.43346,2022-05-02 01:00:00
32,1651449600,15.34,15.59,15.35,15.5,29944.995,464147.4225,2022-05-02 00:00:00
33,1651446000,15.19,15.48,15.23,15.36,37440.234,575081.9942399999,2022-05-01 23:00:00
34,1651442400,15.12,15.34,15.14,15.22,22004.746,334912.23412,2022-05-01 22:00:00
35,1651438800,15.03,15.31,15.28,15.14,23142.892,350383.38488,2022-05-01 21:00:00
36,1651435200,14.94,15.29,15.0,15.29,29543.745,451723.86104999995,2022-05-01 20:00:00
37,1651431600,14.88,15.07,15.01,15.0,19650.388,294755.82,2022-05-01 19:00:00
38,1651428000,14.99,15.37,15.36,15.01,29475.897,442433.21397,2022-05-01 18:00:00
39,1651424400,15.33,15.53,15.42,15.36,22560.533,346529.78687999997,2022-05-01 17:00:00
40,1651420800,15.26,15.52,15.33,15.43,51469.793,794178.90599,2022-05-01 16:00:00
41,1651417200,14.91,15.38,14.92,15.32,36922.262,565649.0538400001,2022-05-01 15:00:00
42,1651413600,14.88,15.03,14.94,14.94,27850.126,416080.88244,2022-05-01 14:00:00
43,1651410000,14.92,15.04,14.96,14.93,18119.79,270528.4647,2022-05-01 13:00:00
44,1651406400,14.86,15.03,14.91,14.96,59774.761,894230.4245600001,2022-05-01 12:00:00
45,1651402800,14.89,15.03,15.03,14.91,57131.52,851830.9632,2022-05-01 11:00:00
46,1651399200,14.96,15.07,15.01,15.03,18395.544,276485.02632,2022-05-01 10:00:00
47,1651395600,14.91,15.1,15.09,15.01,18155.134,272508.56133999996,2022-05-01 09:00:00
48,1651392000,14.91,15.1,14.91,15.1,9603.379,145011.0229,2022-05-01 08:00:00
49,1651388400,14.88,14.95,14.92,14.93,14301.838,213526.44134,2022-05-01 07:00:00
50,1651384800,14.9,15.03,14.97,14.91,18336.306,273394.32246,2022-05-01 06:00:00
51,1651381200,14.82,15.08,14.82,14.97,18969.179,283968.60963,2022-05-01 05:00:00
52,1651377600,14.75,14.97,14.9,14.83,28748.648,426342.44984,2022-05-01 04:00:00
53,1651374000,14.75,14.91,14.76,14.9,19041.117,283712.6433,2022-05-01 03:00:00
54,1651370400,14.74,14.95,14.9,14.74,37490.27,552606.5798,2022-05-01 02:00:00
55,1651366800,14.52,14.97,14.68,14.9,51611.447,769010.5603,2022-05-01 01:00:00
56,1651363200,14.49,14.83,14.5,14.69,83798.498,1230999.9356200001,2022-05-01 00:00:00
57,1651359600,14.18,15.21,15.12,14.51,216649.55,3143584.9705,2022-04-30 23:00:00
58,1651356000,15.09,15.48,15.48,15.13,84131.989,1272916.9935700002,2022-04-30 22:00:00
59,1651352400,15.43,15.57,15.52,15.49,36301.65,562312.5585,2022-04-30 21:00:00
60,1651348800,15.5,15.69,15.67,15.52,17418.736,270338.78272,2022-04-30 20:00:00
61,1651345200,15.54,15.7,15.63,15.68,13931.633,218448.00543999998,2022-04-30 19:00:00
62,1651341600,15.5,15.69,15.57,15.63,34187.597,534352.1411100001,2022-04-30 18:00:00
63,1651338000,15.53,15.72,15.71,15.57,85975.514,1338638.7529799999,2022-04-30 17:00:00
64,1651334400,15.71,15.9,15.79,15.72,18044.438,283658.56536,2022-04-30 16:00:00
65,1651330800,15.52,15.84,15.58,15.79,32588.606,514574.08874,2022-04-30 15:00:00
66,1651327200,15.56,15.95,15.92,15.58,79398.182,1237023.6755600001,2022-04-30 14:00:00
67,1651323600,15.88,16.13,16.06,15.92,29760.09,473780.6328,2022-04-30 13:00:00
68,1651320000,16.05,16.15,16.1,16.06,13570.659,217944.78353999997,2022-04-30 12:00:00
69,1651316400,16.03,16.14,16.03,16.1,12027.817,193647.8537,2022-04-30 11:00:00
70,1651312800,16.01,16.19,16.14,16.02,14549.987,233090.79174,2022-04-30 10:00:00
71,1651309200,16.07,16.15,16.11,16.15,9100.342,146970.5233,2022-04-30 09:00:00
72,1651305600,16.1,16.29,16.22,16.11,15287.922,246288.42342,2022-04-30 08:00:00
73,1651302000,16.22,16.37,16.36,16.22,10407.72,168813.21839999998,2022-04-30 07:00:00
74,1651298400,16.27,16.36,16.36,16.35,10071.973,164676.75855000003,2022-04-30 06:00:00
75,1651294800,16.26,16.38,16.29,16.36,12926.892,211483.95312,2022-04-30 05:00:00
76,1651291200,16.22,16.32,16.27,16.3,9935.28,161945.064,2022-04-30 04:00:00
77,1651287600,16.2,16.3,16.29,16.27,9219.848,150006.92695999998,2022-04-30 03:00:00
78,1651284000,16.27,16.39,16.31,16.28,15090.45,245672.52600000004,2022-04-30 02:00:00
79,1651280400,16.28,16.37,16.35,16.31,7540.448,122984.70688,2022-04-30 01:00:00
80,1651276800,16.17,16.45,16.19,16.35,36440.149,595796.43615,2022-04-30 00:00:00
81,1651273200,16.05,16.19,16.1,16.19,11648.313,188586.18747,2022-04-29 23:00:00
82,1651269600,16.0,16.17,16.09,16.12,20425.825,329264.29900000006,2022-04-29 22:00:00
83,1651266000,16.08,16.17,16.09,16.1,15222.298,245078.99780000004,2022-04-29 21:00:00
84,1651262400,16.06,16.22,16.13,16.09,33171.058,533722.3232199999,2022-04-29 20:00:00
85,1651258800,16.0,16.22,16.19,16.12,59738.558,962985.55496,2022-04-29 19:00:00
86,1651255200,16.06,16.4,16.38,16.2,51805.353,839246.7186,2022-04-29 18:00:00
87,1651251600,16.23,16.47,16.33,16.38,63663.856,1042813.9612799999,2022-04-29 17:00:00
88,1651248000,16.28,16.64,16.58,16.33,41167.124,672259.13492,2022-04-29 16:00:00
89,1651244400,16.49,16.67,16.56,16.59,24604.315,408185.58585,2022-04-29 15:00:00
90,1651240800,16.43,16.62,16.61,16.57,46510.262,770675.04134,2022-04-29 14:00:00
91,1651237200,16.4,16.65,16.46,16.6,39273.196,651935.0536000001,2022-04-29 13:00:00
92,1651233600,16.29,16.55,16.36,16.46,23592.213,388327.82598,2022-04-29 12:00:00
93,1651230000,16.27,16.44,16.36,16.36,26780.164,438123.48304,2022-04-29 11:00:00
94,1651226400,16.26,16.6,16.52,16.37,39248.694,642501.1207800001,2022-04-29 10:00:00
95,1651222800,16.5,16.74,16.74,16.52,31297.03,517026.93559999997,2022-04-29 09:00:00
0,1651219200,16.74,16.96,16.95,16.75,14738.115,246863.42625,2022-04-29 08:00:00
1,1651215600,16.84,16.98,16.9,16.95,9846.924,166905.3618,2022-04-29 07:00:00
2,1651212000,16.82,16.96,16.87,16.9,11251.361,190148.00089999998,2022-04-29 06:00:00
3,1651208400,16.83,16.94,16.88,16.87,19198.593,323880.26391000004,2022-04-29 05:00:00
4,1651204800,16.72,16.92,16.89,16.88,16361.028,276174.15264,2022-04-29 04:00:00
5,1651201200,16.77,16.92,16.84,16.9,13741.212,232226.48279999997,2022-04-29 03:00:00
6,1651197600,16.77,16.99,16.99,16.84,25928.007,436627.63788,2022-04-29 02:00:00
7,1651194000,16.93,17.06,16.99,16.98,17480.725,296822.7105,2022-04-29 01:00:00
8,1651190400,16.86,17.07,16.98,16.99,22765.22,386781.0878,2022-04-29 00:00:00
9,1651186800,16.91,17.05,16.99,16.97,17280.594,293251.68018,2022-04-28 23:00:00
10,1651183200,16.91,17.05,17.04,16.99,24358.41,413849.38589999994,2022-04-28 22:00:00
11,1651179600,16.97,17.15,17.08,17.03,35075.434,597334.6410200001,2022-04-28 21:00:00
12,1651176000,16.94,17.21,17.05,17.08,31674.628,541002.6462399999,2022-04-28 20:00:00
13,1651172400,17.02,17.26,17.17,17.05,31918.895,544217.15975,2022-04-28 19:00:00
14,1651168800,17.15,17.27,17.21,17.15,26657.095,457169.17925,2022-04-28 18:00:00
15,1651165200,16.97,17.21,17.06,17.19,51463.019,884649.2966100001,2022-04-28 17:00:00
16,1651161600,16.76,17.11,16.87,17.05,32272.718,550249.8419,2022-04-28 16:00:00
17,1651158000,16.76,17.32,16.98,16.88,156698.311,2645067.4896799996,2022-04-28 15:00:00
18,1651154400,16.76,17.03,16.88,16.98,33009.905,560508.1869,2022-04-28 14:00:00
