,unix,low,high,open,close,volume,vol_fiat,date
0,1651564800,1.101,1.108,1.105,1.101,30142.05,33186.39705,2022-05-03 08:00:00
1,1651561200,1.097,1.11,1.105,1.104,36550.55,40351.80720000001,2022-05-03 07:00:00
2,1651557600,1.097,1.112,1.104,1.106,39938.51,44171.992060000004,2022-05-03 06:00:00
3,1651554000,1.097,1.109,1.103,1.105,72033.62,79597.1501,2022-05-03 05:00:00
4,1651550400,1.085,1.113,1.087,1.104,169730.51,187382.48304000002,2022-05-03 04:00:00
5,1651546800,1.077,1.087,1.077,1.087,57623.69,62636.951030000004,2022-05-03 03:00:00
6,1651543200,1.069,1.089,1.086,1.077,148983.88,160455.63876,2022-05-03 02:00:00
7,1651539600,1.056,1.092,1.058,1.084,128328.51,139108.10484,2022-05-03 01:00:00
8,1651536000,1.056,1.073,1.071,1.056,81005.29,85541.58624,2022-05-03 00:00:00
9,1651532400,1.063,1.08,1.065,1.071,98457.35,105447.82185000001,2022-05-02 23:00:00
10,1651528800,1.061,1.077,1.069,1.064,84592.45,90006.3668,2022-05-02 22:00:00
11,1651525200,1.036,1.068,1.039,1.068,49904.72,53298.24096,2022-05-02 21:00:00
12,1651521600,1.038,1.052,1.052,1.039,61787.08,64196.776119999995,2022-05-02 20:00:00
13,1651518000,1.03,1.055,1.036,1.05,94983.91,99733.1055,2022-05-02 19:00:00
14,1651514400,1.019,1.046,1.026,1.035,319359.34,330536.9169,2022-05-02 18:00:00
15,1651510800,1.017,1.048,1.048,1.026,173219.22,177722.91972,2022-05-02 17:00:00
16,1651507200,1.048,1.066,1.063,1.048,126267.66,132328.50768,2022-05-02 16:00:00
17,1651503600,1.056,1.072,1.065,1.06,128966.44,136704.4264,2022-05-02 15:00:00
18,1651500000,1.048,1.075,1.06,1.063,154354.5,164078.83349999998,2022-05-02 14:00:00
19,1651496400,1.033,1.068,1.041,1.06,195133.82,206841.84920000003,2022-05-02 13:00:00
20,1651492800,1.039,1.06,1.04,1.04,161126.85,167571.924,2022-05-02 12:00:00
21,1651489200,1.038,1.063,1.061,1.042,281552.3,293377.4966,2022-05-02 11:00:00
22,1651485600,1.057,1.071,1.066,1.061,140227.8,148781.6958,2022-05-02 10:00:00
23,1651482000,1.065,1.084,1.077,1.066,61248.22,65290.60252000001,2022-05-02 09:00:00
24,1651478400,1.075,1.099,1.094,1.077,97420.13,104921.48001,2022-05-02 08:00:00
25,1651474800,1.092,1.106,1.1,1.094,57678.38,63100.14772,2022-05-02 07:00:00
26,1651471200,1.099,1.113,1.107,1.099,47164.89,51834.21411,2022-05-02 06:00:00
27,1651467600,1.097,1.108,1.103,1.107,79614.55,88133.30685000001,2022-05-02 05:00:00
28,1651464000,1.081,1.106,1.089,1.103,135272.6,149205.6778,2022-05-02 04:00:00
29,1651460400,1.085,1.094,1.089,1.087,75440.23,82003.53000999999,2022-05-02 03:00:00
30,1651456800,1.079,1.09,1.09,1.089,64362.0,70090.218,2022-05-02 02:00:00
31,1651453200,1.09,1.108,1.104,1.091,97096.44,105932.21604,2022-05-02 01:00:00
32,1651449600,1.093,1.117,1.095,1.103,244101.9,269244.3957,2022-05-02 00:00:00
33,1651446000,1.066,1.105,1.07,1.096,330810.93,362568.77928,2022-05-01 23:00:00
34,1651442400,1.069,1.09,1.072,1.069,80478.93,86031.97617,2022-05-01 22:00:00
35,1651438800,1.06,1.087,1.083,1.071,43471.51,46557.98721,2022-05-01 21:00:00
36,1651435200,1.056,1.085,1.064,1.085,70060.06,76015.1651,2022-05-01 20:00:00
37,1651431600,1.048,1.074,1.058,1.065,150608.91,160398.48915,2022-05-01 19:00:00
38,1651428000,1.058,1.101,1.101,1.059,302628.88,320483.98391999997,2022-05-01 18:00:00
39,1651424400,1.097,1.127,1.121,1.102,156172.21,172101.77542,2022-05-01 17:00:00
40,1651420800,1.106,1.125,1.11,1.12,241330.83,270290.5296,2022-05-01 16:00:00
41,1651417200,1.07,1.115,1.072,1.109,166233.69,184353.16221,2022-05-01 15:00:00
42,1651413600,1.058,1.073,1.066,1.07,76989.45,82378.7115,2022-05-01 14:00:00
43,1651410000,1.066,1.076,1.071,1.066,130174.22,138765.71852,2022-05-01 13:00:00
44,1651406400,1.061,1.078,1.074,1.073,106908.88,114713.22824,2022-05-01 12:00:00
45,1651402800,1.069,1.089,1.087,1.073,65862.16,70670.09768,2022-05-01 11:00:00
46,1651399200,1.082,1.099,1.085,1.085,112170.39,121704.87315,2022-05-01 10:00:00
47,1651395600,1.079,1.097,1.096,1.086,35966.95,39060.1077,2022-05-01 09:00:00
48,1651392000,1.077,1.096,1.077,1.096,105244.85,115348.35560000001,2022-05-01 08:00:00
49,1651388400,1.074,1.083,1.083,1.079,84633.06,91319.07174,2022-05-01 07:00:00
50,1651384800,1.081,1.094,1.086,1.081,47581.93,51436.06633,2022-05-01 06:00:00
51,1651381200,1.058,1.092,1.061,1.085,155066.09,168246.70765,2022-05-01 05:00:00
52,1651377600,1.053,1.066,1.064,1.06,328099.45,347785.417,2022-05-01 04:00:00
53,1651374000,1.05,1.067,1.052,1.064,63633.32,67705.85248,2022-05-01 03:00:00
54,1651370400,1.048,1.066,1.052,1.05,93106.55,97761.8775,2022-05-01 02:00:00
55,1651366800,1.021,1.058,1.049,1.055,424360.65,447700.48575,2022-05-01 01:00:00
56,1651363200,1.035,1.071,1.057,1.051,262354.34,275734.41134,2022-05-01 00:00:00
57,1651359600,1.006,1.097,1.09,1.059,1097292.32,1162032.56688,2022-04-30 23:00:00
58,1651356000,1.087,1.122,1.122,1.091,332491.98,362748.75018,2022-04-30 22:00:00
59,1651352400,1.12,1.13,1.128,1.12,64431.59,72163.3808,2022-04-30 21:00:00
60,1651348800,1.126,1.142,1.138,1.127,53576.74,60380.98598,2022-04-30 20:00:00
61,1651345200,1.124,1.14,1.131,1.138,79141.31,90062.81077999999,2022-04-30 19:00:00
62,1651341600,1.12,1.133,1.124,1.13,167510.25,189286.5825,2022-04-30 18:00:00
63,1651338000,1.118,1.147,1.146,1.125,234532.06,263848.5675,2022-04-30 17:00:00
64,1651334400,1.145,1.163,1.157,1.147,227545.94,260995.19318,2022-04-30 16:00:00
65,1651330800,1.137,1.159,1.144,1.156,147228.63,170196.29627999998,2022-04-30 15:00:00
66,1651327200,1.142,1.183,1.182,1.145,371113.67,424925.15215,2022-04-30 14:00:00
67,1651323600,1.179,1.2,1.188,1.181,73356.21,86633.68401000001,2022-04-30 13:00:00
68,1651320000,1.188,1.201,1.196,1.188,174574.96,207395.05247999998,2022-04-30 12:00:00
69,1651316400,1.196,1.208,1.197,1.197,164801.06,197266.86882,2022-04-30 11:00:00
70,1651312800,1.188,1.203,1.191,1.196,36564.24,43730.83104,2022-04-30 10:00:00
71,1651309200,1.187,1.199,1.195,1.19,79883.12,95060.91279999999,2022-04-30 09:00:00
72,1651305600,1.188,1.207,1.207,1.195,129593.68,154864.4476,2022-04-30 08:00:00
73,1651302000,1.205,1.225,1.222,1.207,134084.56,161840.06392000002,2022-04-30 07:00:00
74,1651298400,1.211,1.222,1.222,1.221,24224.88,29578.578480000004,2022-04-30 06:00:00
75,1651294800,1.212,1.223,1.215,1.22,38627.37,47125.3914,2022-04-30 05:00:00
76,1651291200,1.203,1.214,1.204,1.214,45803.29,55605.19406,2022-04-30 04:00:00
77,1651287600,1.198,1.213,1.212,1.203,61998.46,74584.14738000001,2022-04-30 03:00:00
78,1651284000,1.211,1.224,1.219,1.211,56166.2,68017.2682,2022-04-30 02:00:00
79,1651280400,1.213,1.222,1.218,1.219,60882.42,74215.66998,2022-04-30 01:00:00
80,1651276800,1.206,1.219,1.209,1.219,40851.25,49797.67375,2022-04-30 00:00:00
81,1651273200,1.201,1.217,1.203,1.209,153794.17,185937.15153000003,2022-04-29 23:00:00
82,1651269600,1.187,1.205,1.194,1.203,38690.02,46544.094059999996,2022-04-29 22:00:00
83,1651266000,1.188,1.199,1.193,1.192,59732.11,71200.67512,2022-04-29 21:00:00
84,1651262400,1.187,1.197,1.188,1.192,142444.82,169794.22544,2022-04-29 20:00:00
85,1651258800,1.177,1.208,1.205,1.19,309178.76,367922.7244,2022-04-29 19:00:00
86,1651255200,1.194,1.225,1.222,1.207,473301.01,571274.3190700001,2022-04-29 18:00:00
87,1651251600,1.213,1.228,1.222,1.225,122266.85,149776.89125000002,2022-04-29 17:00:00
88,1651248000,1.215,1.241,1.238,1.222,151548.49,185192.25478,2022-04-29 16:00:00
89,1651244400,1.232,1.244,1.237,1.238,138741.85,171762.41030000002,2022-04-29 15:00:00
90,1651240800,1.229,1.256,1.252,1.239,94731.78,117372.67542000001,2022-04-29 14:00:00
91,1651237200,1.243,1.256,1.247,1.253,105314.78,131959.41934,2022-04-29 13:00:00
92,1651233600,1.235,1.255,1.241,1.246,122410.91,152523.99386000002,2022-04-29 12:00:00
