,unix,low,high,open,close,volume,vol_fiat,date
0,1651564800,25.16,25.74,25.58,25.37,25489.066,646657.60442,2022-05-03 08:00:00
1,1651561200,24.71,25.98,25.08,25.58,21788.803,557357.58074,2022-05-03 07:00:00
2,1651557600,24.56,25.3,24.72,25.14,12992.748,326637.68472,2022-05-03 06:00:00
3,1651554000,24.61,25.09,24.77,24.75,16618.966,411319.4085,2022-05-03 05:00:00
4,1651550400,24.43,24.97,24.96,24.78,18495.569,458320.19982,2022-05-03 04:00:00
5,1651546800,24.96,25.68,25.35,24.98,19549.334,488342.36332,2022-05-03 03:00:00
6,1651543200,24.69,25.96,25.29,25.34,84643.558,2144867.75972,2022-05-03 02:00:00
7,1651539600,24.97,27.68,26.08,25.31,81415.868,2060635.6190799999,2022-05-03 01:00:00
8,1651536000,25.54,26.26,26.03,26.09,17536.199,457519.43191,2022-05-03 00:00:00
9,1651532400,25.59,26.41,26.35,26.04,24700.663,643205.26452,2022-05-02 23:00:00
10,1651528800,25.88,26.85,26.35,26.38,42235.705,1114177.8979,2022-05-02 22:00:00
11,1651525200,25.42,26.57,25.78,26.31,43946.555,1156233.8620499999,2022-05-02 21:00:00
12,1651521600,24.5,27.0,24.7,25.77,121040.853,3119222.78181,2022-05-02 20:00:00
13,1651518000,23.12,25.75,23.16,24.74,72008.174,1781482.22476,2022-05-02 19:00:00
14,1651514400,22.84,23.29,23.26,23.15,26698.015,618059.04725,2022-05-02 18:00:00
15,1651510800,22.94,23.67,23.02,23.29,22195.492,516933.00867999997,2022-05-02 17:00:00
16,1651507200,22.53,23.37,22.75,23.02,30388.613,699545.87126,2022-05-02 16:00:00
17,1651503600,22.7,23.68,23.54,22.75,35613.312,810202.848,2022-05-02 15:00:00
18,1651500000,23.44,24.13,24.03,23.56,22407.848,527928.89888,2022-05-02 14:00:00
19,1651496400,23.3,24.44,23.35,24.03,40232.037,966775.84911,2022-05-02 13:00:00
20,1651492800,22.93,23.91,23.08,23.41,27058.443,633438.1506299999,2022-05-02 12:00:00
21,1651489200,22.97,24.82,24.78,23.08,62305.906,1438020.31048,2022-05-02 11:00:00
22,1651485600,24.16,25.1,24.2,24.74,26409.129,653361.85146,2022-05-02 10:00:00
23,1651482000,23.91,24.59,24.08,24.21,15950.569,386163.27549,2022-05-02 09:00:00
24,1651478400,23.68,24.27,24.03,24.07,21077.726,507340.86481999996,2022-05-02 08:00:00
25,1651474800,23.9,25.35,24.26,24.01,57563.743,1382105.46943,2022-05-02 07:00:00
26,1651471200,23.63,24.6,23.96,24.23,45749.731,1108515.98213,2022-05-02 06:00:00
27,1651467600,23.48,24.31,24.11,23.91,17821.401,426109.69791000005,2022-05-02 05:00:00
28,1651464000,23.39,24.15,23.96,24.12,33483.693,807626.67516,2022-05-02 04:00:00
29,1651460400,23.84,24.45,23.97,23.94,23294.926,557680.52844,2022-05-02 03:00:00
30,1651456800,23.65,24.59,24.0,23.99,20917.135,501802.0686499999,2022-05-02 02:00:00
31,1651453200,23.85,25.26,25.26,23.95,46485.99,1113339.4604999998,2022-05-02 01:00:00
32,1651449600,23.67,25.35,24.28,25.22,89344.816,2253276.25952,2022-05-02 00:00:00
33,1651446000,23.44,24.87,23.81,24.28,127602.474,3098188.0687200003,2022-05-01 23:00:00
34,1651442400,22.65,24.49,22.75,23.82,119726.775,2851891.7805,2022-05-01 22:00:00
35,1651438800,21.37,23.23,21.6,22.79,45084.417,1027473.86343,2022-05-01 21:00:00
36,1651435200,20.87,21.93,21.92,21.61,31724.426,685564.84586,2022-05-01 20:00:00
37,1651431600,21.43,22.33,21.43,21.87,42759.187,935143.41969,2022-05-01 19:00:00
38,1651428000,21.3,22.53,22.42,21.45,52967.844,1136160.2537999998,2022-05-01 18:00:00
39,1651424400,21.61,22.74,21.79,22.4,50179.653,1124024.2271999998,2022-05-01 17:00:00
40,1651420800,19.58,22.37,19.59,21.75,85720.637,1864423.85475,2022-05-01 16:00:00
41,1651417200,18.87,19.7,18.96,19.59,21194.814,415206.40625999996,2022-05-01 15:00:00
42,1651413600,18.89,19.56,19.2,18.91,12314.391,232865.13381,2022-05-01 14:00:00
43,1651410000,19.02,19.78,19.1,19.21,39267.781,754334.07301,2022-05-01 13:00:00
44,1651406400,18.78,19.39,18.96,19.14,13901.321,266071.28394,2022-05-01 12:00:00
45,1651402800,18.66,19.55,19.54,18.93,16921.593,320325.75549,2022-05-01 11:00:00
46,1651399200,19.31,19.96,19.47,19.55,8393.682,164096.4831,2022-05-01 10:00:00
47,1651395600,19.36,20.07,19.75,19.48,6783.383,132140.30084,2022-05-01 09:00:00
48,1651392000,19.33,19.94,19.35,19.76,15627.992,308809.12192,2022-05-01 08:00:00
49,1651388400,19.21,19.53,19.38,19.35,4732.039,91564.95465,2022-05-01 07:00:00
50,1651384800,19.3,20.09,19.59,19.37,27310.28,529000.1236,2022-05-01 06:00:00
51,1651381200,18.99,19.84,19.14,19.59,56108.991,1099175.13369,2022-05-01 05:00:00
52,1651377600,18.93,20.44,20.23,19.12,35884.191,686105.73192,2022-05-01 04:00:00
53,1651374000,20.08,20.66,20.12,20.27,10462.22,212069.19939999998,2022-05-01 03:00:00
54,1651370400,19.84,20.8,20.08,20.17,22422.982,452271.54694000003,2022-05-01 02:00:00
55,1651366800,19.39,21.09,20.91,20.06,66500.852,1334007.09112,2022-05-01 01:00:00
56,1651363200,20.25,21.77,20.45,20.96,80588.012,1689124.7315200001,2022-05-01 00:00:00
57,1651359600,19.35,21.24,20.56,20.45,67084.627,1371880.6221499997,2022-04-30 23:00:00
58,1651356000,20.41,21.96,20.97,20.55,43427.893,892443.20115,2022-04-30 22:00:00
59,1651352400,20.62,21.35,21.25,20.94,12866.668,269428.02792,2022-04-30 21:00:00
60,1651348800,20.77,21.5,21.01,21.26,38294.412,814139.19912,2022-04-30 20:00:00
61,1651345200,20.54,21.22,20.92,21.03,18558.468,390284.58204,2022-04-30 19:00:00
62,1651341600,20.54,21.49,20.6,20.92,38799.535,811686.2722000001,2022-04-30 18:00:00
63,1651338000,20.4,21.62,21.26,20.57,65581.129,1349003.82353,2022-04-30 17:00:00
64,1651334400,21.13,23.24,21.73,21.24,142508.34,3026877.1415999997,2022-04-30 16:00:00
65,1651330800,20.82,22.29,20.87,21.76,64900.08,1412225.7408,2022-04-30 15:00:00
66,1651327200,20.73,21.97,21.04,20.84,76174.432,1587475.16288,2022-04-30 14:00:00
67,1651323600,19.85,22.04,19.96,21.08,109451.679,2307241.39332,2022-04-30 13:00:00
68,1651320000,18.82,20.15,18.87,19.94,89051.161,1775680.15034,2022-04-30 12:00:00
69,1651316400,17.46,19.02,17.46,18.9,83452.776,1577257.4663999998,2022-04-30 11:00:00
70,1651312800,16.8,17.71,16.8,17.48,17022.827,297559.01596000005,2022-04-30 10:00:00
71,1651309200,16.7,17.03,16.77,16.78,3777.108,63379.872240000004,2022-04-30 09:00:00
72,1651305600,16.42,16.89,16.59,16.77,14873.867,249434.74959,2022-04-30 08:00:00
73,1651302000,16.43,17.11,17.07,16.59,6394.745,106088.81955,2022-04-30 07:00:00
74,1651298400,16.9,17.24,17.24,17.05,8155.492,139051.1386,2022-04-30 06:00:00
75,1651294800,16.87,17.38,17.22,17.22,7362.743,126786.43446,2022-04-30 05:00:00
76,1651291200,17.05,17.65,17.29,17.22,18840.282,324429.65604,2022-04-30 04:00:00
77,1651287600,16.95,17.34,17.05,17.3,18977.683,328313.9159,2022-04-30 03:00:00
78,1651284000,16.78,17.45,16.82,17.05,17405.437,296762.70085,2022-04-30 02:00:00
79,1651280400,16.47,16.87,16.56,16.81,6288.298,105706.28937999999,2022-04-30 01:00:00
80,1651276800,16.22,16.66,16.3,16.58,6974.901,115643.85857999999,2022-04-30 00:00:00
81,1651273200,16.16,16.35,16.22,16.3,4881.117,79562.2071,2022-04-29 23:00:00
82,1651269600,16.08,16.34,16.25,16.23,6197.558,100586.36634000001,2022-04-29 22:00:00
83,1651266000,16.02,16.42,16.35,16.26,5391.35,87663.35100000001,2022-04-29 21:00:00
84,1651262400,16.23,16.88,16.57,16.35,12101.739,197863.43265,2022-04-29 20:00:00
85,1651258800,16.4,16.96,16.96,16.58,20108.921,333405.91017999995,2022-04-29 19:00:00
86,1651255200,16.66,17.24,17.17,16.95,14840.746,251550.64469999998,2022-04-29 18:00:00
87,1651251600,17.11,17.48,17.27,17.14,10584.23,181413.7022,2022-04-29 17:00:00
88,1651248000,16.82,17.53,17.37,17.27,42741.007,738137.19089,2022-04-29 16:00:00
89,1651244400,17.31,17.61,17.49,17.4,9053.727,157534.8498,2022-04-29 15:00:00
90,1651240800,17.35,18.18,18.05,17.45,33552.911,585498.29695,2022-04-29 14:00:00
91,1651237200,17.66,18.22,17.82,18.05,17681.813,319156.72465,2022-04-29 13:00:00
92,1651233600,17.32,18.68,17.38,17.85,58598.186,1045977.6201000001,2022-04-29 12:00:00
93,1651230000,17.2,17.88,17.62,17.35,20506.611,355789.70085,2022-04-29 11:00:00
94,1651226400,17.23,17.96,17.59,17.64,21045.347,371239.92108000006,2022-04-29 10:00:00
95,1651222800,17.27,17.76,17.49,17.61,12669.305,223106.46104999998,2022-04-29 09:00:00
0,1651219200,17.4,17.84,17.78,17.49,8125.625,142117.18125,2022-04-29 08:00:00
1,1651215600,17.62,17.97,17.96,17.76,8516.085,151245.6696,2022-04-29 07:00:00
2,1651212000,17.81,18.14,17.9,17.98,8747.854,157286.41491999998,2022-04-29 06:00:00
3,1651208400,17.77,18.09,17.81,17.93,11623.286,208405.51798,2022-04-29 05:00:00
4,1651204800,17.55,17.94,17.78,17.82,12346.202,220009.31964,2022-04-29 04:00:00
5,1651201200,17.62,18.19,17.96,17.74,18328.205,325142.3567,2022-04-29 03:00:00
6,1651197600,17.75,19.29,19.28,18.0,38411.489,691406.802,2022-04-29 02:00:00
7,1651194000,19.01,19.51,19.21,19.29,11343.856,218822.98223999998,2022-04-29 01:00:00
8,1651190400,18.74,19.54,18.74,19.31,22004.544,424907.74464,2022-04-29 00:00:00
9,1651186800,18.68,19.66,19.59,18.72,27707.447,518683.40783999994,2022-04-28 23:00:00
10,1651183200,19.35,19.86,19.79,19.6,17727.25,347454.10000000003,2022-04-28 22:00:00
11,1651179600,19.33,20.02,19.77,19.81,16736.532,331550.69891999994,2022-04-28 21:00:00
12,1651176000,19.72,20.42,20.4,19.76,28176.452,556766.6915200001,2022-04-28 20:00:00
13,1651172400,19.39,20.55,19.5,20.41,25606.765,522634.07365,2022-04-28 19:00:00
14,1651168800,19.31,19.76,19.48,19.51,10984.293,214303.55643,2022-04-28 18:00:00
15,1651165200,18.63,19.68,18.65,19.48,20738.893,403993.63564,2022-04-28 17:00:00
16,1651161600,18.52,19.42,19.38,18.59,26349.284,489833.18955999997,2022-04-28 16:00:00
17,1651158000,19.13,19.68,19.16,19.38,31077.381,602279.64378,2022-04-28 15:00:00
18,1651154400,19.05,19.9,19.83,19.13,29838.947,570819.05611,2022-04-28 14:00:00
19,1651150800,19.37,20.52,19.48,19.86,74275.6,1475113.416,2022-04-28 13:00:00
20,1651147200,18.78,19.86,19.7,19.48,60971.418,1187723.22264,2022-04-28 12:00:00
21,1651143600,19.04,19.75,19.04,19.7,13426.034,264492.8698,2022-04-28 11:00:00
22,1651140000,18.86,19.14,19.11,19.01,4478.99,85145.5999,2022-04-28 10:00:00
23,1651136400,18.71,19.09,18.73,19.09,8376.106,159899.86354,2022-04-28 09:00:00
24,1651132800,18.66,18.98,18.76,18.73,7230.368,135424.79264,2022-04-28 08:00:00
25,1651129200,18.69,19.25,19.19,18.76,11983.533,224811.07908,2022-04-28 07:00:00
26,1651125600,18.75,19.31,18.78,19.23,22131.828,425595.05244000006,2022-04-28 06:00:00
27,1651122000,18.58,18.87,18.81,18.82,14402.114,271047.78548,2022-04-28 05:00:00
28,1651118400,18.59,19.11,19.08,18.84,69890.894,1316744.44296,2022-04-28 04:00:00
29,1651114800,17.97,20.53,17.97,19.04,67295.879,1281313.53616,2022-04-28 03:00:00
30,1651111200,17.77,18.25,18.02,17.94,12815.804,229915.52376,2022-04-28 02:00:00
31,1651107600,17.85,18.67,18.49,17.97,16195.989,291041.92233,2022-04-28 01:00:00
32,1651104000,18.34,18.77,18.63,18.47,17557.243,324282.27820999996,2022-04-28 00:00:00
33,1651100400,17.6,19.32,18.49,18.63,92271.334,1719014.95242,2022-04-27 23:00:00
34,1651096800,18.43,18.89,18.76,18.54,13957.999,258781.30146,2022-04-27 22:00:00
35,1651093200,18.46,18.93,18.64,18.77,18771.048,352332.57096,2022-04-27 21:00:00
36,1651089600,18.44,18.96,18.5,18.65,21148.125,394412.53124999994,2022-04-27 20:00:00
37,1651086000,18.38,18.85,18.57,18.52,40022.152,741210.25504,2022-04-27 19:00:00
38,1651082400,18.53,19.26,18.86,18.6,87124.578,1620517.1508,2022-04-27 18:00:00
39,1651078800,17.8,19.04,17.95,18.84,54037.536,1018067.17824,2022-04-27 17:00:00
40,1651075200,17.43,18.43,17.59,17.95,71678.05,1286620.9975,2022-04-27 16:00:00
41,1651071600,16.99,17.85,17.19,17.63,58822.879,1037047.35677,2022-04-27 15:00:00
42,1651068000,16.8,17.29,17.03,17.17,15987.967,274513.39339000004,2022-04-27 14:00:00
43,1651064400,16.86,17.25,16.87,17.02,19568.986,333064.14172,2022-04-27 13:00:00
44,1651060800,16.73,17.18,16.93,16.86,14412.222,242990.06292,2022-04-27 12:00:00
45,1651057200,16.75,17.64,17.42,16.94,16408.167,277954.34898000007,2022-04-27 11:00:00
46,1651053600,16.68,17.45,17.02,17.4,32106.555,558654.0569999999,2022-04-27 10:00:00
47,1651050000,16.85,17.22,17.07,17.02,18081.924,307754.34647999995,2022-04-27 09:00:00
48,1651046400,16.43,17.47,16.53,17.1,81902.809,1400538.0339,2022-04-27 08:00:00
49,1651042800,15.73,16.53,15.8,16.52,26321.73,434834.97959999996,2022-04-27 07:00:00
50,1651039200,15.36,15.85,15.37,15.8,12650.73,199881.534,2022-04-27 06:00:00
51,1651035600,15.1,15.49,15.13,15.37,8000.337,122965.17969,2022-04-27 05:00:00
52,1651032000,15.04,15.24,15.1,15.1,2689.211,40607.08609999999,2022-04-27 04:00:00
53,1651028400,14.87,15.17,15.01,15.1,5595.65,84494.31499999999,2022-04-27 03:00:00
54,1651024800,14.94,15.18,15.02,15.0,7248.039,108720.58499999999,2022-04-27 02:00:00
55,1651021200,14.53,15.08,14.53,15.08,6149.985,92741.7738,2022-04-27 01:00:00
56,1651017600,14.24,14.52,14.35,14.52,5941.613,86272.22076,2022-04-27 00:00:00
57,1651014000,14.03,14.43,14.43,14.35,2896.55,41565.4925,2022-04-26 23:00:00
58,1651010400,14.41,14.65,14.52,14.43,2307.969,33303.99267,2022-04-26 22:00:00
59,1651006800,14.21,14.55,14.21,14.53,2627.253,38173.98609,2022-04-26 21:00:00
60,1651003200,14.16,14.41,14.33,14.21,5495.53,78091.4813,2022-04-26 20:00:00
61,1650999600,14.24,14.59,14.53,14.34,5408.028,77551.12152,2022-04-26 19:00:00
