,unix,low,high,open,close,volume,vol_fiat,date
0,1651564800,3.88,3.9,3.9,3.9,114.461,446.3979,2022-05-03 08:00:00
1,1651561200,3.88,3.9,3.89,3.9,62.325,243.0675,2022-05-03 07:00:00
2,1651557600,3.88,3.9,3.89,3.9,155.17,605.1629999999999,2022-05-03 06:00:00
3,1651554000,3.84,3.89,3.84,3.89,739.577,2876.95453,2022-05-03 05:00:00
4,1651550400,3.83,3.86,3.84,3.84,113.82,437.06879999999995,2022-05-03 04:00:00
5,1651546800,3.84,3.87,3.85,3.85,781.786,3009.8761,2022-05-03 03:00:00
6,1651543200,3.82,3.86,3.86,3.85,1319.892,5081.5842,2022-05-03 02:00:00
7,1651539600,3.83,3.86,3.83,3.85,315.977,1216.51145,2022-05-03 01:00:00
8,1651536000,3.8,3.84,3.84,3.81,261.082,994.7224199999999,2022-05-03 00:00:00
9,1651532400,3.84,3.86,3.85,3.84,482.71,1853.6064,2022-05-02 23:00:00
10,1651528800,3.85,3.87,3.86,3.86,308.669,1191.4623399999998,2022-05-02 22:00:00
11,1651525200,3.8,3.86,3.8,3.86,214.33,827.3138,2022-05-02 21:00:00
12,1651521600,3.8,3.89,3.89,3.81,920.69,3507.8289000000004,2022-05-02 20:00:00
13,1651518000,3.82,3.89,3.82,3.89,1638.912,6375.36768,2022-05-02 19:00:00
14,1651514400,3.78,3.83,3.83,3.82,1189.942,4545.57844,2022-05-02 18:00:00
15,1651510800,3.8,3.87,3.87,3.82,985.76,3765.6032,2022-05-02 17:00:00
16,1651507200,3.88,3.93,3.9,3.88,1432.361,5557.5606800000005,2022-05-02 16:00:00
17,1651503600,3.89,3.94,3.92,3.91,1511.426,5909.67566,2022-05-02 15:00:00
18,1651500000,3.87,3.95,3.9,3.91,2167.044,8473.14204,2022-05-02 14:00:00
19,1651496400,3.82,3.92,3.89,3.92,1502.034,5887.97328,2022-05-02 13:00:00
20,1651492800,3.84,3.87,3.85,3.87,619.679,2398.15773,2022-05-02 12:00:00
21,1651489200,3.83,3.87,3.84,3.86,295.635,1141.1510999999998,2022-05-02 11:00:00
22,1651485600,3.84,3.86,3.86,3.86,474.112,1830.07232,2022-05-02 10:00:00
23,1651482000,3.83,3.94,3.91,3.86,534.775,2064.2315,2022-05-02 09:00:00
24,1651478400,3.89,3.93,3.92,3.9,72.454,282.57059999999996,2022-05-02 08:00:00
25,1651474800,3.92,3.95,3.94,3.93,480.995,1890.3103500000002,2022-05-02 07:00:00
26,1651471200,3.93,3.96,3.96,3.94,447.848,1764.52112,2022-05-02 06:00:00
27,1651467600,3.92,3.95,3.95,3.95,438.543,1732.24485,2022-05-02 05:00:00
28,1651464000,3.89,3.96,3.9,3.95,771.42,3047.109,2022-05-02 04:00:00
29,1651460400,3.9,3.92,3.91,3.91,50.431,197.18520999999998,2022-05-02 03:00:00
30,1651456800,3.87,3.91,3.91,3.91,790.046,3089.0798600000003,2022-05-02 02:00:00
31,1651453200,3.9,3.96,3.95,3.9,473.88,1848.1319999999998,2022-05-02 01:00:00
32,1651449600,3.93,3.96,3.93,3.94,208.483,821.42302,2022-05-02 00:00:00
33,1651446000,3.87,3.93,3.87,3.92,604.832,2370.94144,2022-05-01 23:00:00
34,1651442400,3.88,3.93,3.88,3.88,1028.658,3991.1930399999997,2022-05-01 22:00:00
35,1651438800,3.87,3.94,3.94,3.9,960.652,3746.5428,2022-05-01 21:00:00
36,1651435200,3.82,3.93,3.83,3.93,390.995,1536.6103500000002,2022-05-01 20:00:00
37,1651431600,3.82,3.85,3.83,3.82,323.854,1237.1222799999998,2022-05-01 19:00:00
38,1651428000,3.84,3.91,3.91,3.84,107.108,411.29472,2022-05-01 18:00:00
39,1651424400,3.91,3.97,3.97,3.91,840.505,3286.37455,2022-05-01 17:00:00
40,1651420800,3.94,4.0,3.94,3.96,1399.75,5543.01,2022-05-01 16:00:00
41,1651417200,3.84,3.95,3.84,3.93,687.644,2702.44092,2022-05-01 15:00:00
42,1651413600,3.82,3.86,3.85,3.84,451.704,1734.54336,2022-05-01 14:00:00
43,1651410000,3.84,3.86,3.85,3.86,138.567,534.86862,2022-05-01 13:00:00
44,1651406400,3.8,3.85,3.8,3.82,957.592,3658.00144,2022-05-01 12:00:00
45,1651402800,3.8,3.88,3.88,3.8,570.477,2167.8125999999997,2022-05-01 11:00:00
46,1651399200,3.87,3.88,3.88,3.88,420.115,1630.0462,2022-05-01 10:00:00
47,1651395600,3.87,3.91,3.91,3.87,149.809,579.76083,2022-05-01 09:00:00
48,1651392000,3.92,3.95,3.94,3.92,855.992,3355.4886399999996,2022-05-01 08:00:00
49,1651388400,3.91,3.94,3.93,3.93,20.39,80.1327,2022-05-01 07:00:00
50,1651384800,3.93,3.97,3.96,3.93,566.771,2227.41003,2022-05-01 06:00:00
51,1651381200,3.89,3.98,3.89,3.97,675.652,2682.3384400000004,2022-05-01 05:00:00
52,1651377600,3.86,3.91,3.91,3.88,1665.09,6460.5491999999995,2022-05-01 04:00:00
53,1651374000,3.9,3.93,3.93,3.92,231.257,906.52744,2022-05-01 03:00:00
54,1651370400,3.89,3.92,3.92,3.91,94.861,370.90651,2022-05-01 02:00:00
55,1651366800,3.89,4.01,3.96,3.92,2634.283,10326.38936,2022-05-01 01:00:00
56,1651363200,3.91,4.0,4.0,3.95,1028.642,4063.1359,2022-05-01 00:00:00
57,1651359600,3.84,4.0,3.97,4.0,1801.893,7207.572,2022-04-30 23:00:00
58,1651356000,3.98,4.09,4.09,3.98,570.367,2270.0606599999996,2022-04-30 22:00:00
59,1651352400,4.07,4.11,4.11,4.1,473.739,1942.3298999999997,2022-04-30 21:00:00
60,1651348800,4.08,4.14,4.14,4.09,310.133,1268.4439699999998,2022-04-30 20:00:00
61,1651345200,4.07,4.15,4.08,4.14,654.656,2710.27584,2022-04-30 19:00:00
62,1651341600,4.03,4.09,4.09,4.08,3425.225,13974.918,2022-04-30 18:00:00
63,1651338000,4.07,4.12,4.11,4.1,1289.825,5288.282499999999,2022-04-30 17:00:00
64,1651334400,4.11,4.17,4.15,4.14,983.169,4070.3196599999997,2022-04-30 16:00:00
65,1651330800,4.09,4.17,4.09,4.15,1585.839,6581.23185,2022-04-30 15:00:00
66,1651327200,4.09,4.17,4.16,4.09,715.733,2927.34797,2022-04-30 14:00:00
67,1651323600,4.15,4.21,4.19,4.15,400.238,1660.9877000000001,2022-04-30 13:00:00
68,1651320000,4.19,4.23,4.22,4.19,144.59,605.8321000000001,2022-04-30 12:00:00
69,1651316400,4.21,4.23,4.23,4.21,19.809,83.39589000000001,2022-04-30 11:00:00
70,1651312800,4.23,4.27,4.24,4.23,1190.776,5036.982480000001,2022-04-30 10:00:00
71,1651309200,4.23,4.26,4.26,4.23,508.417,2150.6039100000003,2022-04-30 09:00:00
72,1651305600,4.27,4.3,4.3,4.27,520.314,2221.7407799999996,2022-04-30 08:00:00
73,1651302000,4.3,4.33,4.32,4.3,95.738,411.67339999999996,2022-04-30 07:00:00
74,1651298400,4.32,4.34,4.34,4.32,336.632,1454.25024,2022-04-30 06:00:00
75,1651294800,4.31,4.34,4.33,4.32,5.502,23.76864,2022-04-30 05:00:00
76,1651291200,4.3,4.33,4.31,4.3,430.372,1850.5996,2022-04-30 04:00:00
77,1651287600,4.29,4.32,4.3,4.31,687.807,2964.4481699999997,2022-04-30 03:00:00
78,1651284000,4.3,4.34,4.34,4.31,94.809,408.62678999999997,2022-04-30 02:00:00
79,1651280400,4.31,4.33,4.31,4.33,409.731,1774.13523,2022-04-30 01:00:00
80,1651276800,4.3,4.32,4.3,4.3,94.909,408.1087,2022-04-30 00:00:00
81,1651273200,4.27,4.3,4.28,4.3,190.194,817.8341999999999,2022-04-29 23:00:00
82,1651269600,4.26,4.28,4.27,4.27,65.192,278.36983999999995,2022-04-29 22:00:00
83,1651266000,4.27,4.33,4.32,4.27,6140.162,26218.491739999998,2022-04-29 21:00:00
84,1651262400,4.25,4.32,4.27,4.32,287.762,1243.13184,2022-04-29 20:00:00
85,1651258800,4.22,4.39,4.39,4.24,1231.549,5221.76776,2022-04-29 19:00:00
86,1651255200,4.35,4.43,4.4,4.38,383.063,1677.81594,2022-04-29 18:00:00
87,1651251600,4.37,4.43,4.37,4.43,1056.77,4681.491099999999,2022-04-29 17:00:00
88,1651248000,4.35,4.44,4.44,4.37,431.863,1887.24131,2022-04-29 16:00:00
89,1651244400,4.4,4.47,4.44,4.42,3902.601,17249.49642,2022-04-29 15:00:00
90,1651240800,4.42,4.48,4.48,4.43,183.236,811.7354799999999,2022-04-29 14:00:00
91,1651237200,4.47,4.54,4.49,4.48,509.915,2284.4192000000003,2022-04-29 13:00:00
92,1651233600,4.4,4.52,4.41,4.48,719.241,3222.19968,2022-04-29 12:00:00
93,1651230000,4.4,4.51,4.49,4.4,1473.522,6483.4968,2022-04-29 11:00:00
94,1651226400,4.46,4.55,4.51,4.47,4236.097,18935.35359,2022-04-29 10:00:00
95,1651222800,4.52,4.65,4.62,4.52,1619.95,7322.173999999999,2022-04-29 09:00:00
0,1651219200,4.63,4.76,4.76,4.63,545.283,2524.66029,2022-04-29 08:00:00
1,1651215600,4.73,4.77,4.75,4.77,1339.114,6387.57378,2022-04-29 07:00:00
2,1651212000,4.69,4.95,4.85,4.75,10352.206,49172.9785,2022-04-29 06:00:00
3,1651208400,4.73,4.87,4.82,4.82,5379.978,25931.493960000003,2022-04-29 05:00:00
4,1651204800,4.68,4.87,4.69,4.8,8376.214,40205.8272,2022-04-29 04:00:00
5,1651201200,4.66,4.72,4.67,4.69,2266.897,10631.746930000001,2022-04-29 03:00:00
6,1651197600,4.62,4.86,4.82,4.65,12697.719,59044.39335,2022-04-29 02:00:00
7,1651194000,4.82,5.0,4.84,4.82,18017.866,86846.11412000001,2022-04-29 01:00:00
8,1651190400,4.7,4.84,4.73,4.84,3418.253,16544.34452,2022-04-29 00:00:00
9,1651186800,4.61,4.75,4.61,4.72,3449.666,16282.42352,2022-04-28 23:00:00
10,1651183200,4.6,4.64,4.63,4.61,540.135,2490.02235,2022-04-28 22:00:00
11,1651179600,4.61,4.68,4.67,4.63,1065.444,4933.00572,2022-04-28 21:00:00
12,1651176000,4.68,4.72,4.7,4.7,1008.38,4739.386,2022-04-28 20:00:00
13,1651172400,4.67,4.79,4.77,4.69,2172.783,10190.352270000001,2022-04-28 19:00:00
14,1651168800,4.73,4.94,4.83,4.74,12227.378,57957.771720000004,2022-04-28 18:00:00
15,1651165200,4.7,4.93,4.72,4.81,8819.528,42421.92968,2022-04-28 17:00:00
16,1651161600,4.61,4.78,4.61,4.72,4236.026,19994.042719999998,2022-04-28 16:00:00
17,1651158000,4.55,4.92,4.58,4.63,18725.808,86700.49104000001,2022-04-28 15:00:00
18,1651154400,4.52,4.58,4.52,4.57,1137.134,5196.702380000001,2022-04-28 14:00:00
19,1651150800,4.45,4.55,4.51,4.48,29.444,131.90912,2022-04-28 13:00:00
20,1651147200,4.49,4.56,4.56,4.52,1056.751,4776.51452,2022-04-28 12:00:00
21,1651143600,4.46,4.64,4.47,4.57,2569.223,11741.349110000001,2022-04-28 11:00:00
22,1651140000,4.48,4.56,4.54,4.48,1135.619,5087.57312,2022-04-28 10:00:00
23,1651136400,4.49,4.65,4.61,4.54,2060.378,9354.11612,2022-04-28 09:00:00
24,1651132800,4.48,4.63,4.55,4.59,2307.051,10589.36409,2022-04-28 08:00:00
25,1651129200,4.53,4.78,4.63,4.55,26376.748,120014.2034,2022-04-28 07:00:00
26,1651125600,4.45,4.62,4.45,4.62,8931.856,41265.17472,2022-04-28 06:00:00
27,1651122000,4.34,4.49,4.36,4.45,4948.127,22019.165150000004,2022-04-28 05:00:00
28,1651118400,4.35,4.58,4.42,4.37,10624.963,46431.08831,2022-04-28 04:00:00
29,1651114800,4.29,4.42,4.29,4.42,2236.495,9885.3079,2022-04-28 03:00:00
30,1651111200,4.23,4.28,4.25,4.28,775.704,3320.01312,2022-04-28 02:00:00
31,1651107600,4.24,4.29,4.25,4.24,617.557,2618.4416800000004,2022-04-28 01:00:00
32,1651104000,4.24,4.27,4.25,4.25,395.756,1681.963,2022-04-28 00:00:00
33,1651100400,4.24,4.25,4.24,4.24,337.97,1432.9928000000002,2022-04-27 23:00:00
34,1651096800,4.23,4.25,4.23,4.23,184.872,782.0085600000001,2022-04-27 22:00:00
35,1651093200,4.22,4.25,4.23,4.25,201.066,854.5305,2022-04-27 21:00:00
36,1651089600,4.18,4.24,4.18,4.23,330.662,1398.70026,2022-04-27 20:00:00
37,1651086000,4.14,4.2,4.16,4.2,344.542,1447.0764,2022-04-27 19:00:00
38,1651082400,4.15,4.19,4.18,4.17,2017.774,8414.11758,2022-04-27 18:00:00
39,1651078800,4.15,4.18,4.18,4.18,1212.868,5069.788239999999,2022-04-27 17:00:00
40,1651075200,4.17,4.19,4.17,4.18,318.07,1329.5325999999998,2022-04-27 16:00:00
41,1651071600,4.16,4.18,4.16,4.18,1793.203,7495.58854,2022-04-27 15:00:00
42,1651068000,4.14,4.19,4.19,4.16,496.792,2066.65472,2022-04-27 14:00:00
43,1651064400,4.1,4.24,4.16,4.21,8272.931,34829.03951,2022-04-27 13:00:00
44,1651060800,4.18,4.18,4.18,4.18,7.763,32.44934,2022-04-27 12:00:00
45,1651057200,4.19,4.24,4.24,4.2,635.419,2668.7598,2022-04-27 11:00:00
46,1651053600,4.25,4.25,4.25,4.25,19.872,84.456,2022-04-27 10:00:00
47,1651050000,4.25,4.27,4.25,4.27,294.636,1258.09572,2022-04-27 09:00:00
48,1651046400,4.25,4.28,4.28,4.26,411.418,1752.64068,2022-04-27 08:00:00
49,1651042800,4.25,4.28,4.27,4.28,506.409,2167.43052,2022-04-27 07:00:00
50,1651039200,4.23,4.3,4.23,4.27,717.737,3064.7369899999994,2022-04-27 06:00:00
51,1651035600,4.22,4.25,4.22,4.24,1479.598,6273.49552,2022-04-27 05:00:00
52,1651032000,4.12,4.21,4.14,4.21,1871.654,7879.66334,2022-04-27 04:00:00
53,1651028400,4.12,4.16,4.15,4.14,801.613,3318.67782,2022-04-27 03:00:00
54,1651024800,4.09,4.15,4.09,4.15,679.917,2821.6555500000004,2022-04-27 02:00:00
55,1651021200,4.06,4.11,4.06,4.09,834.051,3411.26859,2022-04-27 01:00:00
56,1651017600,4.04,4.09,4.06,4.06,933.571,3790.2982599999996,2022-04-27 00:00:00
57,1651014000,4.02,4.1,4.1,4.08,395.15,1612.212,2022-04-26 23:00:00
58,1651010400,4.09,4.16,4.15,4.09,386.912,1582.4700799999998,2022-04-26 22:00:00
59,1651006800,4.12,4.16,4.12,4.13,35.469,146.48697,2022-04-26 21:00:00
60,1651003200,4.1,4.19,4.19,4.14,629.757,2607.1939799999996,2022-04-26 20:00:00
61,1650999600,4.15,4.22,4.22,4.21,2579.568,10859.98128,2022-04-26 19:00:00
62,1650996000,4.22,4.25,4.23,4.22,46.206,194.98932,2022-04-26 18:00:00
63,1650992400,4.21,4.3,4.3,4.24,1919.161,8137.24264,2022-04-26 17:00:00
64,1650988800,4.26,4.3,4.29,4.3,686.823,2953.3388999999997,2022-04-26 16:00:00
65,1650985200,4.26,4.32,4.31,4.27,1108.38,4732.7826,2022-04-26 15:00:00
