,unix,low,high,open,close,volume,vol_fiat,date
0,1651564800,27.61,27.82,27.64,27.74,993.73681433,27566.2592295142,2022-05-03 08:00:00
1,1651561200,27.46,27.68,27.57,27.63,703.80083532,19446.0170798916,2022-05-03 07:00:00
2,1651557600,27.46,27.65,27.6,27.6,565.24859496,15600.861220896,2022-05-03 06:00:00
3,1651554000,27.43,27.64,27.61,27.6,1675.12250678,46233.381187128005,2022-05-03 05:00:00
4,1651550400,27.48,27.65,27.62,27.6,2944.90054046,81279.254916696,2022-05-03 04:00:00
5,1651546800,27.49,27.73,27.54,27.57,2671.87110363,73663.48632707911,2022-05-03 03:00:00
6,1651543200,27.39,27.67,27.6,27.54,2341.0054023,64471.288779341994,2022-05-03 02:00:00
7,1651539600,27.18,27.6,27.27,27.6,1688.48692042,46602.239003592,2022-05-03 01:00:00
8,1651536000,27.18,27.42,27.39,27.22,2297.14609429,62528.316686573795,2022-05-03 00:00:00
9,1651532400,27.38,27.67,27.52,27.38,2883.09993595,78939.276246311,2022-05-02 23:00:00
10,1651528800,27.5,27.88,27.66,27.52,2916.04891567,80249.6661592384,2022-05-02 22:00:00
11,1651525200,27.0,27.65,27.07,27.65,4087.00048656,113005.56345338399,2022-05-02 21:00:00
12,1651521600,27.07,27.36,27.35,27.07,3879.74147028,105024.60160047961,2022-05-02 20:00:00
13,1651518000,26.78,27.37,26.8,27.35,4471.84518882,122304.965914227,2022-05-02 19:00:00
14,1651514400,26.58,26.97,26.78,26.8,8641.21609329,231584.59130017203,2022-05-02 18:00:00
15,1651510800,26.65,27.16,27.09,26.79,4249.73280941,113850.34196409391,2022-05-02 17:00:00
16,1651507200,27.09,27.49,27.42,27.14,2788.84639049,75689.2910378986,2022-05-02 16:00:00
17,1651503600,27.28,27.73,27.42,27.43,4507.47082725,123639.9247914675,2022-05-02 15:00:00
18,1651500000,27.08,27.63,27.33,27.43,11458.60577323,314309.5563596989,2022-05-02 14:00:00
19,1651496400,26.78,27.62,26.85,27.33,13755.2513432,375931.019209656,2022-05-02 13:00:00
20,1651492800,26.79,27.17,26.86,26.82,6769.95670454,181570.2388157628,2022-05-02 12:00:00
21,1651489200,26.57,27.3,27.25,26.85,106253.04999935,2852894.3924825476,2022-05-02 11:00:00
22,1651485600,27.16,27.52,27.46,27.23,2706.57184968,73699.9514667864,2022-05-02 10:00:00
23,1651482000,27.47,27.78,27.57,27.49,2736.71491983,75232.29314612669,2022-05-02 09:00:00
24,1651478400,27.53,27.79,27.66,27.58,2628.1754324,72485.07842559199,2022-05-02 08:00:00
25,1651474800,27.6,27.88,27.79,27.66,2473.98563716,68430.4427238456,2022-05-02 07:00:00
26,1651471200,27.78,28.34,28.03,27.78,6789.09624316,188601.0936349848,2022-05-02 06:00:00
27,1651467600,27.81,28.04,27.9,28.04,2505.98186818,70267.7315837672,2022-05-02 05:00:00
28,1651464000,27.55,27.92,27.75,27.87,4971.72979724,138562.10944907882,2022-05-02 04:00:00
29,1651460400,27.67,27.83,27.72,27.73,1133.31480714,31426.819601992203,2022-05-02 03:00:00
30,1651456800,27.55,27.71,27.69,27.68,3183.47242682,88118.5167743776,2022-05-02 02:00:00
31,1651453200,27.68,28.16,27.89,27.69,3073.07394929,85093.41765584011,2022-05-02 01:00:00
32,1651449600,27.55,28.03,27.65,27.89,5652.55164015,157649.6652437835,2022-05-02 00:00:00
33,1651446000,27.17,28.06,27.21,27.63,14757.80817553,407758.2398898939,2022-05-01 23:00:00
34,1651442400,27.19,27.61,27.3,27.19,4604.71031796,125202.0735453324,2022-05-01 22:00:00
35,1651438800,27.11,27.4,27.32,27.29,2609.53011427,71214.0768184283,2022-05-01 21:00:00
36,1651435200,26.77,27.34,26.85,27.34,4705.25463218,128641.6616438012,2022-05-01 20:00:00
37,1651431600,26.76,27.08,27.06,26.83,4484.7892846,120326.896505818,2022-05-01 19:00:00
38,1651428000,27.02,27.6,27.59,27.07,4693.50516506,127053.1848181742,2022-05-01 18:00:00
39,1651424400,27.6,27.91,27.64,27.61,2943.01467481,81256.6351715041,2022-05-01 17:00:00
40,1651420800,27.29,28.04,27.36,27.66,16288.54900564,450541.2654960024,2022-05-01 16:00:00
