,unix,low,high,open,close,volume,vol_fiat,date
0,1651564800,83.14,83.33,83.23,83.14,8.97,745.7658,2022-05-03 08:00:00
1,1651561200,82.77,83.2,82.86,83.2,10.867,904.1344000000001,2022-05-03 07:00:00
2,1651557600,82.86,83.31,83.04,82.86,24.082,1995.43452,2022-05-03 06:00:00
3,1651554000,82.6,83.09,82.86,83.0,36.13,2998.7900000000004,2022-05-03 05:00:00
4,1651550400,82.64,83.06,82.69,83.01,39.095,3245.27595,2022-05-03 04:00:00
5,1651546800,82.32,83.05,82.43,82.7,184.584,15265.096800000001,2022-05-03 03:00:00
6,1651543200,82.12,82.79,82.66,82.41,50.411,4154.37051,2022-05-03 02:00:00
7,1651539600,81.77,83.0,82.16,82.64,449.786,37170.31504,2022-05-03 01:00:00
8,1651536000,81.94,82.7,82.44,82.23,408.296,33574.18008,2022-05-03 00:00:00
9,1651532400,82.38,82.95,82.61,82.64,200.187,16543.453680000002,2022-05-02 23:00:00
10,1651528800,82.46,83.08,82.7,82.61,78.955,6522.4725499999995,2022-05-02 22:00:00
11,1651525200,81.64,82.74,82.17,82.74,135.762,11232.94788,2022-05-02 21:00:00
12,1651521600,82.03,82.83,82.26,82.21,443.094,36426.757739999994,2022-05-02 20:00:00
13,1651518000,81.52,82.45,81.52,82.26,92.331,7595.14806,2022-05-02 19:00:00
14,1651514400,81.18,82.01,81.73,81.57,488.247,39826.30779,2022-05-02 18:00:00
15,1651510800,81.28,81.9,81.74,81.84,492.636,40317.33024,2022-05-02 17:00:00
16,1651507200,81.84,82.93,82.61,81.86,751.261,61498.225459999994,2022-05-02 16:00:00
17,1651503600,82.24,83.45,83.07,82.61,317.171,26201.49631,2022-05-02 15:00:00
18,1651500000,82.67,84.14,83.3,83.09,608.728,50579.20952,2022-05-02 14:00:00
19,1651496400,82.18,83.94,82.51,83.43,406.92,33949.335600000006,2022-05-02 13:00:00
20,1651492800,82.37,82.98,82.37,82.53,115.341,9519.09273,2022-05-02 12:00:00
21,1651489200,81.89,83.57,82.29,82.43,532.738,43913.59334000001,2022-05-02 11:00:00
22,1651485600,81.76,82.24,82.09,82.24,323.425,26598.471999999998,2022-05-02 10:00:00
23,1651482000,82.1,82.91,82.58,82.15,92.438,7593.7817000000005,2022-05-02 09:00:00
24,1651478400,82.58,83.14,83.13,82.59,72.19,5962.1721,2022-05-02 08:00:00
25,1651474800,82.87,83.77,83.51,83.03,222.723,18492.690690000003,2022-05-02 07:00:00
26,1651471200,83.54,84.25,84.17,83.54,197.131,16468.32374,2022-05-02 06:00:00
27,1651467600,83.15,84.3,83.42,84.3,294.735,24846.1605,2022-05-02 05:00:00
28,1651464000,82.45,83.42,82.53,83.42,71.38,5954.5196,2022-05-02 04:00:00
29,1651460400,82.36,83.0,82.86,82.49,123.436,10182.23564,2022-05-02 03:00:00
30,1651456800,82.31,82.9,82.71,82.86,142.898,11840.52828,2022-05-02 02:00:00
31,1651453200,82.63,83.86,83.49,82.63,386.04,31898.4852,2022-05-02 01:00:00
32,1651449600,82.96,84.26,83.17,83.64,566.966,47421.03624,2022-05-02 00:00:00
