,unix,low,high,open,close,volume,vol_fiat,date
0,1651568400,0.2698,0.273,0.2698,0.271,86253.1,23374.590100000005,2022-05-03 09:00:00
1,1651564800,0.2688,0.2717,0.2693,0.2696,115710.4,31195.523839999998,2022-05-03 08:00:00
2,1651561200,0.2665,0.27,0.2674,0.2691,335285.4,90225.30114000001,2022-05-03 07:00:00
3,1651557600,0.2607,0.2692,0.2619,0.2677,247486.7,66252.18959,2022-05-03 06:00:00
4,1651554000,0.2595,0.2621,0.2615,0.262,44415.4,11636.8348,2022-05-03 05:00:00
5,1651550400,0.2603,0.2628,0.2605,0.2613,82845.9,21647.633669999996,2022-05-03 04:00:00
6,1651546800,0.2601,0.2619,0.2607,0.2607,40864.6,10653.40122,2022-05-03 03:00:00
7,1651543200,0.2597,0.2634,0.2626,0.2607,42865.2,11174.957639999999,2022-05-03 02:00:00
8,1651539600,0.2596,0.2629,0.2616,0.2626,102259.9,26853.44974,2022-05-03 01:00:00
9,1651536000,0.2611,0.2633,0.2632,0.2612,20841.3,5443.74756,2022-05-03 00:00:00
10,1651532400,0.263,0.2658,0.2649,0.2635,80782.4,21286.1624,2022-05-02 23:00:00
11,1651528800,0.2632,0.2671,0.2635,0.2649,230520.0,61064.74800000001,2022-05-02 22:00:00
12,1651525200,0.2575,0.2635,0.2583,0.2635,53643.0,14134.9305,2022-05-02 21:00:00
13,1651521600,0.2577,0.2616,0.2611,0.2583,187015.6,48306.129479999996,2022-05-02 20:00:00
14,1651518000,0.2561,0.2615,0.2566,0.2608,113618.3,29631.652639999997,2022-05-02 19:00:00
15,1651514400,0.2538,0.2587,0.2563,0.2563,235900.4,60461.27251999999,2022-05-02 18:00:00
16,1651510800,0.2558,0.263,0.263,0.2563,132338.4,33918.33192,2022-05-02 17:00:00
17,1651507200,0.2626,0.2681,0.2673,0.2626,100158.4,26301.595839999998,2022-05-02 16:00:00
18,1651503600,0.2664,0.2704,0.2687,0.2671,110570.2,29533.30042,2022-05-02 15:00:00
19,1651500000,0.2664,0.2723,0.2706,0.269,154260.6,41496.10140000001,2022-05-02 14:00:00
20,1651496400,0.2638,0.2746,0.264,0.2709,661951.8,179322.74262,2022-05-02 13:00:00
21,1651492800,0.2639,0.2692,0.2664,0.2644,98048.8,25924.102720000003,2022-05-02 12:00:00
22,1651489200,0.2654,0.2688,0.2665,0.2665,62649.8,16696.171700000003,2022-05-02 11:00:00
23,1651485600,0.2654,0.2702,0.2683,0.2668,46196.1,12325.11948,2022-05-02 10:00:00
24,1651482000,0.2676,0.2728,0.2726,0.2683,79881.0,21432.0723,2022-05-02 09:00:00
25,1651478400,0.2718,0.2753,0.2734,0.2718,51794.5,14077.7451,2022-05-02 08:00:00
26,1651474800,0.273,0.2768,0.2735,0.2737,43513.1,11909.535469999999,2022-05-02 07:00:00
27,1651471200,0.2732,0.277,0.2754,0.2735,21145.4,5783.2669000000005,2022-05-02 06:00:00
28,1651467600,0.2716,0.2764,0.2721,0.2748,99034.6,27214.70808,2022-05-02 05:00:00
29,1651464000,0.268,0.2735,0.2705,0.2723,67327.9,18333.387169999998,2022-05-02 04:00:00
30,1651460400,0.2696,0.2712,0.2696,0.2702,39515.8,10677.169160000001,2022-05-02 03:00:00
31,1651456800,0.2676,0.2739,0.2739,0.2696,125332.5,33789.642,2022-05-02 02:00:00
32,1651453200,0.2733,0.2781,0.2758,0.2741,155455.1,42610.24291,2022-05-02 01:00:00
33,1651449600,0.2704,0.2781,0.2704,0.2758,531023.3,146456.22614,2022-05-02 00:00:00
34,1651446000,0.2629,0.2742,0.2632,0.2701,323715.7,87435.61057,2022-05-01 23:00:00
35,1651442400,0.262,0.2669,0.2642,0.2634,59694.7,15723.583980000001,2022-05-01 22:00:00
36,1651438800,0.2623,0.2664,0.2661,0.2638,31885.6,8411.421279999999,2022-05-01 21:00:00
37,1651435200,0.2605,0.2661,0.2625,0.2656,112412.7,29856.81312,2022-05-01 20:00:00
38,1651431600,0.2592,0.2649,0.2644,0.2621,319145.5,83648.03555,2022-05-01 19:00:00
39,1651428000,0.2645,0.2702,0.2695,0.2645,199971.7,52892.514650000005,2022-05-01 18:00:00
40,1651424400,0.2685,0.2745,0.2701,0.2691,279628.9,75248.13699000001,2022-05-01 17:00:00
41,1651420800,0.2662,0.2711,0.2673,0.2703,566776.3,153199.63389,2022-05-01 16:00:00
42,1651417200,0.2586,0.2676,0.2586,0.2673,372416.4,99546.90372,2022-05-01 15:00:00
43,1651413600,0.2583,0.2608,0.2583,0.2585,164441.0,42507.9985,2022-05-01 14:00:00
44,1651410000,0.2584,0.2609,0.2601,0.2588,43775.6,11329.125279999998,2022-05-01 13:00:00
45,1651406400,0.2567,0.2602,0.2582,0.26,76352.8,19851.728000000003,2022-05-01 12:00:00
46,1651402800,0.2577,0.2612,0.2612,0.258,68881.7,17771.4786,2022-05-01 11:00:00
47,1651399200,0.2594,0.2639,0.2607,0.2608,172943.8,45103.743039999994,2022-05-01 10:00:00
48,1651395600,0.2582,0.2679,0.2613,0.2603,577530.9,150331.29327,2022-05-01 09:00:00
49,1651392000,0.2582,0.2613,0.2586,0.2609,52822.0,13781.259800000002,2022-05-01 08:00:00
50,1651388400,0.2578,0.2612,0.2612,0.2582,56485.1,14584.452819999999,2022-05-01 07:00:00
51,1651384800,0.2607,0.2629,0.2619,0.2611,100835.4,26328.122939999997,2022-05-01 06:00:00
52,1651381200,0.2561,0.2644,0.2561,0.2614,132638.1,34671.59934000001,2022-05-01 05:00:00
53,1651377600,0.2551,0.2586,0.2581,0.2561,49569.9,12694.85139,2022-05-01 04:00:00
54,1651374000,0.254,0.2587,0.2542,0.2586,160094.9,41400.54114,2022-05-01 03:00:00
55,1651370400,0.2542,0.2584,0.2575,0.2542,78203.3,19879.27886,2022-05-01 02:00:00
56,1651366800,0.2509,0.2607,0.2589,0.2575,434700.9,111935.48175,2022-05-01 01:00:00
57,1651363200,0.2581,0.2641,0.2584,0.2589,343340.3,88890.80367000001,2022-05-01 00:00:00
58,1651359600,0.2581,0.2694,0.268,0.2588,416099.0,107686.42119999998,2022-04-30 23:00:00
59,1651356000,0.2617,0.2711,0.2661,0.268,356160.9,95451.12120000001,2022-04-30 22:00:00
60,1651352400,0.2663,0.2713,0.2713,0.2664,291617.9,77687.00856000002,2022-04-30 21:00:00
61,1651348800,0.2706,0.2738,0.2729,0.2713,38916.7,10558.100709999999,2022-04-30 20:00:00
62,1651345200,0.2703,0.2744,0.2723,0.2729,226137.8,61713.00561999999,2022-04-30 19:00:00
63,1651341600,0.2719,0.2761,0.2743,0.2723,127023.4,34588.47182,2022-04-30 18:00:00
64,1651338000,0.274,0.277,0.2753,0.2748,197173.5,54183.277799999996,2022-04-30 17:00:00
65,1651334400,0.2746,0.2787,0.2774,0.2748,171531.0,47136.718799999995,2022-04-30 16:00:00
66,1651330800,0.2744,0.2789,0.2758,0.2773,232454.9,64459.743769999994,2022-04-30 15:00:00
67,1651327200,0.2751,0.2797,0.2783,0.2758,86476.8,23850.30144,2022-04-30 14:00:00
68,1651323600,0.2774,0.2809,0.2803,0.2783,64375.4,17915.67382,2022-04-30 13:00:00
69,1651320000,0.2795,0.2838,0.2834,0.2799,108719.2,30430.50408,2022-04-30 12:00:00
70,1651316400,0.2823,0.2842,0.2825,0.2834,15227.1,4315.36014,2022-04-30 11:00:00
71,1651312800,0.2819,0.2833,0.2832,0.2825,31393.5,8868.66375,2022-04-30 10:00:00
72,1651309200,0.2815,0.2843,0.2823,0.2832,77827.3,22040.69136,2022-04-30 09:00:00
73,1651305600,0.2811,0.2846,0.2829,0.2825,38027.9,10742.881749999999,2022-04-30 08:00:00
74,1651302000,0.2826,0.2845,0.284,0.2834,54822.1,15536.583139999999,2022-04-30 07:00:00
75,1651298400,0.2826,0.2851,0.284,0.284,24103.0,6845.2519999999995,2022-04-30 06:00:00
76,1651294800,0.2792,0.2854,0.2799,0.284,118967.4,33786.741599999994,2022-04-30 05:00:00
77,1651291200,0.279,0.281,0.2802,0.28,55000.2,15400.056,2022-04-30 04:00:00
78,1651287600,0.2787,0.2804,0.28,0.2802,54095.2,15157.47504,2022-04-30 03:00:00
79,1651284000,0.28,0.2868,0.2864,0.28,322124.6,90194.888,2022-04-30 02:00:00
80,1651280400,0.285,0.287,0.2865,0.2864,112270.2,32154.185279999998,2022-04-30 01:00:00
81,1651276800,0.2846,0.29,0.2851,0.2858,363851.0,103988.6158,2022-04-30 00:00:00
82,1651273200,0.2834,0.2856,0.2837,0.2854,45911.7,13103.199179999998,2022-04-29 23:00:00
83,1651269600,0.2805,0.2856,0.281,0.2836,273735.9,77631.50124000001,2022-04-29 22:00:00
84,1651266000,0.28,0.2826,0.2809,0.281,192407.3,54066.4513,2022-04-29 21:00:00
85,1651262400,0.2793,0.2819,0.2813,0.2811,349011.4,98107.10454000001,2022-04-29 20:00:00
86,1651258800,0.2778,0.2853,0.2844,0.2811,377256.4,106046.77404000002,2022-04-29 19:00:00
87,1651255200,0.2834,0.2895,0.2886,0.2844,223995.0,63704.178,2022-04-29 18:00:00
88,1651251600,0.2868,0.2895,0.2886,0.2886,425236.7,122723.31162000001,2022-04-29 17:00:00
89,1651248000,0.2879,0.2938,0.2906,0.2886,95444.3,27545.224980000003,2022-04-29 16:00:00
90,1651244400,0.2903,0.2924,0.2914,0.2906,68778.3,19986.973980000002,2022-04-29 15:00:00
91,1651240800,0.2895,0.2942,0.2938,0.2914,101200.6,29489.85484,2022-04-29 14:00:00
92,1651237200,0.2892,0.2945,0.2894,0.2939,189114.6,55580.780940000004,2022-04-29 13:00:00
93,1651233600,0.2859,0.2922,0.2877,0.2897,598270.0,173318.81900000002,2022-04-29 12:00:00
94,1651230000,0.2863,0.2919,0.2903,0.2875,630546.5,181282.11875,2022-04-29 11:00:00
95,1651226400,0.2889,0.3009,0.2993,0.2904,406276.8,117982.78271999999,2022-04-29 10:00:00
0,1651222800,0.299,0.3031,0.3016,0.2995,140602.2,42110.3589,2022-04-29 09:00:00
1,1651219200,0.3012,0.3033,0.3028,0.3018,59177.5,17859.769500000002,2022-04-29 08:00:00
2,1651215600,0.3015,0.3044,0.3043,0.3029,39600.8,11995.082320000001,2022-04-29 07:00:00
3,1651212000,0.2999,0.3062,0.3009,0.3043,167271.4,50900.68702,2022-04-29 06:00:00
4,1651208400,0.3005,0.3034,0.3023,0.3009,36940.4,11115.36636,2022-04-29 05:00:00
5,1651204800,0.3001,0.3029,0.3029,0.3025,102030.8,30864.317,2022-04-29 04:00:00
6,1651201200,0.3004,0.3041,0.302,0.3029,176898.9,53582.67681,2022-04-29 03:00:00
7,1651197600,0.3013,0.3077,0.3073,0.3019,94095.3,28407.37107,2022-04-29 02:00:00
8,1651194000,0.307,0.309,0.3081,0.3073,50207.5,15428.76475,2022-04-29 01:00:00
9,1651190400,0.3061,0.309,0.3084,0.308,86253.8,26566.1704,2022-04-29 00:00:00
10,1651186800,0.3069,0.3098,0.3077,0.3082,91551.1,28216.04902,2022-04-28 23:00:00
11,1651183200,0.3061,0.3076,0.3071,0.3073,35242.8,10830.11244,2022-04-28 22:00:00
12,1651179600,0.3065,0.3115,0.3108,0.3071,50693.6,15568.00456,2022-04-28 21:00:00
13,1651176000,0.3088,0.3138,0.3114,0.3108,130496.7,40558.37436,2022-04-28 20:00:00
14,1651172400,0.3106,0.315,0.3136,0.3113,126389.2,39344.95796,2022-04-28 19:00:00
15,1651168800,0.3121,0.315,0.3137,0.3137,69824.2,21903.851539999996,2022-04-28 18:00:00
16,1651165200,0.3104,0.3137,0.3109,0.3133,180264.0,56476.711200000005,2022-04-28 17:00:00
17,1651161600,0.3065,0.3111,0.3096,0.3102,341053.4,105794.76468,2022-04-28 16:00:00
18,1651158000,0.3038,0.3123,0.3085,0.3092,218304.6,67499.78232,2022-04-28 15:00:00
19,1651154400,0.303,0.3098,0.3068,0.3085,233610.5,72068.83925,2022-04-28 14:00:00
20,1651150800,0.3062,0.3124,0.312,0.3069,189966.8,58300.810919999996,2022-04-28 13:00:00
21,1651147200,0.3121,0.3189,0.3185,0.3124,168204.5,52547.0858,2022-04-28 12:00:00
22,1651143600,0.3156,0.3196,0.3156,0.3188,201509.6,64241.26048,2022-04-28 11:00:00
23,1651140000,0.3148,0.32,0.3197,0.3158,47915.0,15131.557,2022-04-28 10:00:00
24,1651136400,0.319,0.3208,0.3195,0.3195,23319.4,7450.5483,2022-04-28 09:00:00
