,unix,low,high,open,close,volume,vol_fiat,date
0,1651568400,14.75,14.9,14.89,14.75,15538.467,229192.38825000002,2022-05-03 09:00:00
1,1651564800,14.89,14.93,14.89,14.89,12484.901,185900.17589,2022-05-03 08:00:00
2,1651561200,14.82,14.95,14.84,14.9,29244.861,435748.4289,2022-05-03 07:00:00
3,1651557600,14.83,14.97,14.96,14.84,15020.907,222910.25988,2022-05-03 06:00:00
4,1651554000,14.68,14.95,14.79,14.95,19460.219,290930.27405,2022-05-03 05:00:00
5,1651550400,14.74,14.82,14.79,14.79,14431.002,213434.51958,2022-05-03 04:00:00
6,1651546800,14.74,14.86,14.78,14.78,17753.533,262397.21774,2022-05-03 03:00:00
7,1651543200,14.72,14.87,14.82,14.77,25253.957,373000.94489,2022-05-03 02:00:00
8,1651539600,14.68,14.85,14.79,14.81,18090.784,267924.51104,2022-05-03 01:00:00
9,1651536000,14.51,14.83,14.63,14.8,16061.146,237704.96080000003,2022-05-03 00:00:00
10,1651532400,14.58,14.78,14.66,14.65,10974.123,160770.90195,2022-05-02 23:00:00
11,1651528800,14.62,14.81,14.77,14.66,6574.826,96386.94916,2022-05-02 22:00:00
12,1651525200,14.47,14.78,14.48,14.78,4769.005,70485.8939,2022-05-02 21:00:00
13,1651521600,14.46,14.63,14.62,14.47,14333.681,207408.36407,2022-05-02 20:00:00
14,1651518000,14.31,14.65,14.33,14.63,15977.516,233751.05908,2022-05-02 19:00:00
15,1651514400,14.1,14.59,14.48,14.33,29608.737,424293.20121,2022-05-02 18:00:00
16,1651510800,14.38,14.63,14.6,14.48,13767.038,199346.71024000001,2022-05-02 17:00:00
17,1651507200,14.6,14.85,14.84,14.63,19050.726,278712.12137999997,2022-05-02 16:00:00
18,1651503600,14.8,15.02,14.92,14.84,12127.169,179967.18796,2022-05-02 15:00:00
19,1651500000,14.8,15.07,14.98,14.94,8483.983,126750.70602,2022-05-02 14:00:00
20,1651496400,14.62,15.11,14.86,15.0,27341.249,410118.735,2022-05-02 13:00:00
