,unix,low,high,open,close,volume,vol_fiat,date
0,1651568400,4.37,4.41,4.4,4.37,1978.937,8647.95469,2022-05-03 09:00:00
1,1651564800,4.36,4.4,4.36,4.38,2839.155,12435.4989,2022-05-03 08:00:00
2,1651561200,4.34,4.38,4.38,4.37,2125.921,9290.27477,2022-05-03 07:00:00
3,1651557600,4.35,4.39,4.37,4.36,1510.959,6587.781240000001,2022-05-03 06:00:00
4,1651554000,4.35,4.38,4.35,4.38,785.614,3440.98932,2022-05-03 05:00:00
5,1651550400,4.33,4.38,4.34,4.36,3755.557,16374.22852,2022-05-03 04:00:00
6,1651546800,4.33,4.38,4.35,4.34,6087.006,26417.60604,2022-05-03 03:00:00
7,1651543200,4.31,4.36,4.36,4.33,5117.359,22158.164470000003,2022-05-03 02:00:00
8,1651539600,4.33,4.37,4.35,4.36,5514.591,24043.616760000004,2022-05-03 01:00:00
9,1651536000,4.35,4.39,4.37,4.37,2463.326,10764.734620000001,2022-05-03 00:00:00
10,1651532400,4.33,4.46,4.35,4.37,7880.426,34437.46162,2022-05-02 23:00:00
11,1651528800,4.31,4.37,4.33,4.35,2852.276,12407.400599999999,2022-05-02 22:00:00
12,1651525200,4.22,4.32,4.23,4.32,11980.802,51757.064640000004,2022-05-02 21:00:00
13,1651521600,4.23,4.38,4.37,4.25,27643.717,117485.79725,2022-05-02 20:00:00
14,1651518000,4.26,4.37,4.26,4.37,16912.896,73909.35552,2022-05-02 19:00:00
15,1651514400,4.22,4.3,4.29,4.26,15609.191,66495.15366,2022-05-02 18:00:00
16,1651510800,4.25,4.39,4.39,4.28,17224.731,73721.84868000001,2022-05-02 17:00:00
17,1651507200,4.38,4.48,4.46,4.38,7453.906,32648.10828,2022-05-02 16:00:00
18,1651503600,4.45,4.5,4.48,4.47,3449.895,15421.030649999999,2022-05-02 15:00:00
19,1651500000,4.46,4.55,4.51,4.48,4299.232,19260.559360000003,2022-05-02 14:00:00
20,1651496400,4.46,4.52,4.49,4.51,2710.058,12222.361579999999,2022-05-02 13:00:00
21,1651492800,4.46,4.51,4.47,4.48,409.573,1834.88704,2022-05-02 12:00:00
22,1651489200,4.45,4.54,4.53,4.47,716.18,3201.3245999999995,2022-05-02 11:00:00
23,1651485600,4.53,4.55,4.55,4.53,1671.968,7574.015040000001,2022-05-02 10:00:00
24,1651482000,4.55,4.57,4.56,4.55,532.951,2424.92705,2022-05-02 09:00:00
25,1651478400,4.55,4.59,4.59,4.55,348.288,1584.7104,2022-05-02 08:00:00
26,1651474800,4.57,4.62,4.57,4.59,1304.861,5989.31199,2022-05-02 07:00:00
27,1651471200,4.57,4.63,4.63,4.58,209.471,959.3771800000001,2022-05-02 06:00:00
28,1651467600,4.6,4.63,4.62,4.62,640.751,2960.26962,2022-05-02 05:00:00
29,1651464000,4.56,4.61,4.58,4.6,639.893,2943.5078,2022-05-02 04:00:00
30,1651460400,4.56,4.57,4.56,4.56,216.754,988.3982399999999,2022-05-02 03:00:00
31,1651456800,4.56,4.58,4.57,4.57,47.678,217.88846,2022-05-02 02:00:00
32,1651453200,4.57,4.63,4.62,4.57,382.267,1746.96019,2022-05-02 01:00:00
33,1651449600,4.61,4.66,4.63,4.62,3050.418,14092.93116,2022-05-02 00:00:00
34,1651446000,4.56,4.64,4.6,4.61,5864.398,27034.874780000002,2022-05-01 23:00:00
35,1651442400,4.56,4.68,4.58,4.6,4305.835,19806.841,2022-05-01 22:00:00
36,1651438800,4.56,4.61,4.61,4.58,1443.56,6611.5048,2022-05-01 21:00:00
37,1651435200,4.51,4.64,4.54,4.64,2925.711,13575.299039999998,2022-05-01 20:00:00
38,1651431600,4.53,4.55,4.54,4.54,199.594,906.15676,2022-05-01 19:00:00
