,unix,low,high,open,close,volume,vol_fiat,date
0,1651568400,0.2568,0.2587,0.258,0.2574,3900.5,1003.9887000000001,2022-05-03 09:00:00
1,1651564800,0.257,0.2598,0.2596,0.2582,6160.8,1590.71856,2022-05-03 08:00:00
2,1651561200,0.2588,0.2633,0.2613,0.2595,13718.7,3560.0026500000004,2022-05-03 07:00:00
3,1651557600,0.2573,0.2652,0.2582,0.2615,33737.5,8822.35625,2022-05-03 06:00:00
4,1651554000,0.2576,0.259,0.2581,0.2576,2264.1,583.23216,2022-05-03 05:00:00
5,1651550400,0.2555,0.2584,0.2579,0.2575,1085.4,279.49050000000005,2022-05-03 04:00:00
6,1651546800,0.2526,0.2578,0.2531,0.2578,7731.0,1993.0517999999997,2022-05-03 03:00:00
7,1651543200,0.2531,0.2543,0.2538,0.2531,4713.1,1192.88561,2022-05-03 02:00:00
8,1651539600,0.2538,0.2544,0.2544,0.2538,2886.4,732.5683200000001,2022-05-03 01:00:00
9,1651536000,0.2528,0.2566,0.2558,0.2543,24240.8,6164.43544,2022-05-03 00:00:00
10,1651532400,0.2518,0.2564,0.2546,0.2558,16901.1,4323.30138,2022-05-02 23:00:00
11,1651528800,0.2547,0.2579,0.2551,0.2551,11088.7,2828.72737,2022-05-02 22:00:00
12,1651525200,0.255,0.2565,0.256,0.2551,7619.8,1943.81098,2022-05-02 21:00:00
13,1651521600,0.255,0.2565,0.2551,0.256,8769.5,2244.992,2022-05-02 20:00:00
14,1651518000,0.2544,0.2565,0.2544,0.2554,969.5,247.61030000000002,2022-05-02 19:00:00
15,1651514400,0.2534,0.2562,0.2534,0.254,22344.6,5675.5284,2022-05-02 18:00:00
16,1651510800,0.2526,0.2564,0.2564,0.2539,22310.4,5664.610560000001,2022-05-02 17:00:00
17,1651507200,0.2564,0.2574,0.2574,0.2564,2090.8,536.08112,2022-05-02 16:00:00
18,1651503600,0.2565,0.2597,0.2597,0.2565,15125.2,3879.6138,2022-05-02 15:00:00
19,1651500000,0.2554,0.2594,0.2572,0.2594,3930.9,1019.67546,2022-05-02 14:00:00
20,1651496400,0.2483,0.2594,0.2485,0.2594,38601.9,10013.33286,2022-05-02 13:00:00
21,1651492800,0.2434,0.2512,0.2503,0.2486,128583.8,31965.932679999998,2022-05-02 12:00:00
22,1651489200,0.2504,0.2594,0.2575,0.2516,20878.1,5252.9299599999995,2022-05-02 11:00:00
23,1651485600,0.2557,0.2606,0.2605,0.2573,10192.2,2622.45306,2022-05-02 10:00:00
24,1651482000,0.2581,0.2611,0.2596,0.2605,6014.0,1566.6470000000002,2022-05-02 09:00:00
25,1651478400,0.2578,0.2607,0.2594,0.2596,9447.7,2452.6229200000002,2022-05-02 08:00:00
26,1651474800,0.2534,0.2612,0.2545,0.2595,41894.9,10871.726550000001,2022-05-02 07:00:00
27,1651471200,0.2528,0.26,0.2567,0.2549,47080.9,12000.92141,2022-05-02 06:00:00
28,1651467600,0.2555,0.2619,0.2604,0.2567,87783.9,22534.127129999997,2022-05-02 05:00:00
29,1651464000,0.2595,0.261,0.261,0.2604,915.7,238.44828000000004,2022-05-02 04:00:00
30,1651460400,0.2594,0.2612,0.2612,0.2607,2026.7,528.36069,2022-05-02 03:00:00
31,1651456800,0.2611,0.2656,0.2642,0.2615,8258.3,2159.54545,2022-05-02 02:00:00
32,1651453200,0.261,0.2665,0.2646,0.2655,31711.1,8419.29705,2022-05-02 01:00:00
33,1651449600,0.2559,0.2836,0.2565,0.2641,236887.3,62561.93593,2022-05-02 00:00:00
34,1651446000,0.2493,0.2608,0.2545,0.2559,55478.0,14196.8202,2022-05-01 23:00:00
35,1651442400,0.2529,0.2571,0.2558,0.2543,2652.7,674.5816100000001,2022-05-01 22:00:00
36,1651438800,0.2532,0.2585,0.2565,0.2564,7673.4,1967.45976,2022-05-01 21:00:00
37,1651435200,0.2524,0.2561,0.2537,0.2561,4029.4,1031.92934,2022-05-01 20:00:00
38,1651431600,0.2526,0.2586,0.2586,0.2536,30534.3,7743.498479999999,2022-05-01 19:00:00
39,1651428000,0.2566,0.2595,0.2595,0.2592,3155.6,817.93152,2022-05-01 18:00:00
40,1651424400,0.2538,0.2605,0.2547,0.2588,43706.2,11311.164559999997,2022-05-01 17:00:00
41,1651420800,0.2541,0.2575,0.2556,0.2553,13178.6,3364.4965800000004,2022-05-01 16:00:00
42,1651417200,0.2501,0.2563,0.2543,0.2552,44052.0,11242.070399999999,2022-05-01 15:00:00
43,1651413600,0.2501,0.2585,0.2525,0.2538,46792.3,11875.885740000002,2022-05-01 14:00:00
44,1651410000,0.252,0.2545,0.2533,0.252,6638.3,1672.8516,2022-05-01 13:00:00
45,1651406400,0.2521,0.2536,0.2531,0.2526,9078.3,2293.17858,2022-05-01 12:00:00
46,1651402800,0.2531,0.2554,0.2544,0.2553,2671.7,682.08501,2022-05-01 11:00:00
47,1651399200,0.2541,0.2577,0.2543,0.2541,5145.8,1307.54778,2022-05-01 10:00:00
48,1651395600,0.2534,0.2572,0.2563,0.2543,9821.0,2497.4803,2022-05-01 09:00:00
49,1651392000,0.2542,0.2571,0.255,0.2557,6931.6,1772.41012,2022-05-01 08:00:00
50,1651388400,0.2541,0.257,0.257,0.2553,3172.2,809.86266,2022-05-01 07:00:00
51,1651384800,0.2567,0.2598,0.2595,0.2567,4214.4,1081.83648,2022-05-01 06:00:00
52,1651381200,0.258,0.2626,0.2608,0.259,10188.4,2638.7956,2022-05-01 05:00:00
53,1651377600,0.2556,0.2612,0.2591,0.2612,10205.0,2665.546,2022-05-01 04:00:00
54,1651374000,0.2558,0.2592,0.2578,0.2592,7671.4,1988.4268799999998,2022-05-01 03:00:00
55,1651370400,0.2515,0.2579,0.254,0.2578,20835.1,5371.288779999999,2022-05-01 02:00:00
56,1651366800,0.2514,0.2564,0.2532,0.2537,14695.1,3728.14687,2022-05-01 01:00:00
57,1651363200,0.2511,0.2565,0.2543,0.2532,13494.4,3416.7820799999995,2022-05-01 00:00:00
58,1651359600,0.2505,0.2588,0.2588,0.2543,66727.4,16968.77782,2022-04-30 23:00:00
59,1651356000,0.2574,0.2613,0.2588,0.2608,9640.1,2514.1380799999997,2022-04-30 22:00:00
60,1651352400,0.2567,0.2603,0.2588,0.2568,11103.1,2851.2760799999996,2022-04-30 21:00:00
61,1651348800,0.2583,0.2655,0.2636,0.2583,17624.3,4552.35669,2022-04-30 20:00:00
62,1651345200,0.2601,0.2706,0.2601,0.2643,61830.6,16341.82758,2022-04-30 19:00:00
63,1651341600,0.2551,0.2605,0.2593,0.2601,59935.0,15589.093499999999,2022-04-30 18:00:00
64,1651338000,0.2574,0.2646,0.2644,0.2591,126550.2,32789.15682,2022-04-30 17:00:00
65,1651334400,0.2644,0.2669,0.2652,0.2644,4786.9,1265.65636,2022-04-30 16:00:00
66,1651330800,0.2546,0.2677,0.2592,0.2626,76407.2,20064.53072,2022-04-30 15:00:00
67,1651327200,0.2405,0.2678,0.2535,0.258,235800.3,60836.477399999996,2022-04-30 14:00:00
68,1651323600,0.2522,0.2594,0.2585,0.2537,26660.3,6763.718109999999,2022-04-30 13:00:00
69,1651320000,0.2533,0.2631,0.2586,0.2584,74208.3,19175.424720000003,2022-04-30 12:00:00
70,1651316400,0.2566,0.2596,0.2579,0.2584,5516.0,1425.3344000000002,2022-04-30 11:00:00
71,1651312800,0.2531,0.2638,0.2633,0.2571,78354.3,20144.89053,2022-04-30 10:00:00
72,1651309200,0.2621,0.2663,0.2663,0.2642,10315.2,2725.2758400000002,2022-04-30 09:00:00
73,1651305600,0.2623,0.2671,0.2652,0.2663,25008.8,6659.84344,2022-04-30 08:00:00
74,1651302000,0.2635,0.2662,0.2651,0.2652,7052.8,1870.40256,2022-04-30 07:00:00
75,1651298400,0.2638,0.2651,0.2641,0.2638,2875.7,758.6096599999998,2022-04-30 06:00:00
76,1651294800,0.2642,0.2681,0.2681,0.2651,11950.2,3167.99802,2022-04-30 05:00:00
77,1651291200,0.2668,0.2683,0.2677,0.2675,3919.7,1048.51975,2022-04-30 04:00:00
78,1651287600,0.2659,0.2683,0.2683,0.2682,2500.3,670.58046,2022-04-30 03:00:00
79,1651284000,0.2633,0.2691,0.2645,0.2675,15484.8,4142.184,2022-04-30 02:00:00
80,1651280400,0.2644,0.2671,0.266,0.2647,3084.2,816.3877399999999,2022-04-30 01:00:00
81,1651276800,0.2642,0.27,0.2644,0.266,83346.2,22170.089200000002,2022-04-30 00:00:00
82,1651273200,0.2625,0.2653,0.2637,0.2645,4677.7,1237.25165,2022-04-29 23:00:00
83,1651269600,0.2621,0.2674,0.2654,0.2637,18884.9,4979.94813,2022-04-29 22:00:00
84,1651266000,0.2647,0.2688,0.2654,0.2651,11046.8,2928.50668,2022-04-29 21:00:00
85,1651262400,0.2633,0.2717,0.2657,0.2658,33689.3,8954.61594,2022-04-29 20:00:00
86,1651258800,0.2614,0.2721,0.2658,0.2657,71448.6,18983.89302,2022-04-29 19:00:00
87,1651255200,0.2655,0.2681,0.2656,0.2662,4459.3,1187.06566,2022-04-29 18:00:00
88,1651251600,0.2655,0.2674,0.266,0.2663,8238.7,2193.96581,2022-04-29 17:00:00
89,1651248000,0.2655,0.2668,0.2667,0.266,12525.3,3331.7298,2022-04-29 16:00:00
90,1651244400,0.266,0.2756,0.2736,0.2683,28301.3,7593.238789999999,2022-04-29 15:00:00
91,1651240800,0.2726,0.2761,0.2761,0.2744,8470.4,2324.2777599999995,2022-04-29 14:00:00
92,1651237200,0.2714,0.2781,0.2723,0.2753,20370.3,5607.94359,2022-04-29 13:00:00
93,1651233600,0.2655,0.2728,0.269,0.2714,35319.2,9585.630879999999,2022-04-29 12:00:00
94,1651230000,0.2655,0.2702,0.2688,0.2692,29087.3,7830.30116,2022-04-29 11:00:00
95,1651226400,0.2682,0.2703,0.2701,0.2682,4604.9,1235.0341799999999,2022-04-29 10:00:00
0,1651222800,0.2698,0.276,0.2753,0.2701,15723.4,4246.89034,2022-04-29 09:00:00
1,1651219200,0.2753,0.2762,0.2758,0.2762,1971.9,544.63878,2022-04-29 08:00:00
2,1651215600,0.2756,0.2768,0.2759,0.2756,13661.6,3765.1369600000003,2022-04-29 07:00:00
3,1651212000,0.2743,0.2764,0.2752,0.276,3221.0,888.9960000000001,2022-04-29 06:00:00
4,1651208400,0.2701,0.2773,0.2701,0.2752,25088.9,6904.46528,2022-04-29 05:00:00
5,1651204800,0.2681,0.2749,0.2748,0.2711,33965.5,9208.047050000001,2022-04-29 04:00:00
6,1651201200,0.2733,0.2819,0.2798,0.2749,31252.9,8591.422209999999,2022-04-29 03:00:00
7,1651197600,0.2778,0.2815,0.2794,0.2798,19403.7,5429.15526,2022-04-29 02:00:00
8,1651194000,0.2745,0.2818,0.2745,0.2802,23424.9,6563.656980000001,2022-04-29 01:00:00
9,1651190400,0.2738,0.2779,0.2774,0.2743,15576.1,4272.52423,2022-04-29 00:00:00
10,1651186800,0.2716,0.2781,0.276,0.2774,44975.6,12476.23144,2022-04-28 23:00:00
11,1651183200,0.2756,0.2851,0.2847,0.2766,31856.2,8811.424920000001,2022-04-28 22:00:00
12,1651179600,0.2816,0.2856,0.2832,0.2856,6930.0,1979.208,2022-04-28 21:00:00
13,1651176000,0.2818,0.2835,0.2831,0.2831,8788.1,2487.9111100000005,2022-04-28 20:00:00
14,1651172400,0.2817,0.285,0.2849,0.2828,20183.9,5708.006920000001,2022-04-28 19:00:00
15,1651168800,0.2785,0.2859,0.2846,0.2849,45508.8,12965.457120000001,2022-04-28 18:00:00
16,1651165200,0.2804,0.2854,0.282,0.2847,45796.8,13038.348960000001,2022-04-28 17:00:00
17,1651161600,0.2797,0.2832,0.2804,0.2809,16445.7,4619.59713,2022-04-28 16:00:00
18,1651158000,0.2761,0.29,0.2761,0.2802,106221.0,29763.124200000002,2022-04-28 15:00:00
19,1651154400,0.2752,0.2775,0.2774,0.2761,29912.2,8258.75842,2022-04-28 14:00:00
20,1651150800,0.2763,0.2854,0.2848,0.278,84864.5,23592.331000000002,2022-04-28 13:00:00
21,1651147200,0.2837,0.2866,0.2854,0.2848,8090.9,2304.2883199999997,2022-04-28 12:00:00
22,1651143600,0.2821,0.2867,0.2856,0.2852,16317.6,4653.77952,2022-04-28 11:00:00
23,1651140000,0.2842,0.2879,0.2858,0.2862,13536.0,3874.0032,2022-04-28 10:00:00
24,1651136400,0.2829,0.286,0.2839,0.2858,32947.4,9416.36692,2022-04-28 09:00:00
25,1651132800,0.2818,0.2849,0.2818,0.2837,13437.2,3812.1336400000005,2022-04-28 08:00:00
26,1651129200,0.2803,0.2839,0.2823,0.2819,18823.6,5306.372839999999,2022-04-28 07:00:00
27,1651125600,0.2796,0.2828,0.2796,0.2828,41043.4,11607.07352,2022-04-28 06:00:00
28,1651122000,0.2759,0.2808,0.2782,0.28,30770.7,8615.796,2022-04-28 05:00:00
29,1651118400,0.2746,0.2807,0.2784,0.2781,24155.9,6717.755790000001,2022-04-28 04:00:00
30,1651114800,0.2749,0.2807,0.2784,0.279,60919.2,16996.4568,2022-04-28 03:00:00
31,1651111200,0.2718,0.2823,0.2823,0.2782,159713.5,44432.2957,2022-04-28 02:00:00
32,1651107600,0.281,0.2854,0.2844,0.282,13346.0,3763.5719999999997,2022-04-28 01:00:00
