,unix,low,high,open,close,volume,vol_fiat,date
0,1651568400,0.1383,0.1394,0.1393,0.1386,1534667,212704.8462,2022-05-03 09:00:00
1,1651564800,0.1388,0.1405,0.1388,0.1393,1080467,150509.05310000002,2022-05-03 08:00:00
2,1651561200,0.1385,0.1399,0.1399,0.1388,1975521,274202.3148,2022-05-03 07:00:00
3,1651557600,0.1394,0.1408,0.1406,0.1398,1457965,203823.507,2022-05-03 06:00:00
4,1651554000,0.1383,0.1408,0.139,0.1407,3504650,493104.25499999995,2022-05-03 05:00:00
5,1651550400,0.1381,0.1393,0.139,0.1389,2021508,280787.4612,2022-05-03 04:00:00
6,1651546800,0.1387,0.1399,0.1395,0.1389,2162977,300437.5053,2022-05-03 03:00:00
7,1651543200,0.138,0.1407,0.1386,0.1396,7014543,979230.2028,2022-05-03 02:00:00
8,1651539600,0.1351,0.1396,0.1351,0.1386,6165674,854562.4164,2022-05-03 01:00:00
9,1651536000,0.1344,0.1363,0.1357,0.1351,2548875,344353.0125,2022-05-03 00:00:00
10,1651532400,0.1353,0.1371,0.1358,0.1356,2552254,346085.6424,2022-05-02 23:00:00
11,1651528800,0.1357,0.1381,0.1368,0.1359,3630092,493329.50279999996,2022-05-02 22:00:00
12,1651525200,0.1334,0.1369,0.1338,0.1368,2148803,293956.2504,2022-05-02 21:00:00
13,1651521600,0.1334,0.1352,0.1349,0.1337,2010593,268816.28410000005,2022-05-02 20:00:00
14,1651518000,0.1327,0.1355,0.1348,0.1349,6915953,932962.0597,2022-05-02 19:00:00
15,1651514400,0.133,0.1369,0.134,0.1351,7309833,987558.4383,2022-05-02 18:00:00
16,1651510800,0.1323,0.1366,0.1364,0.1341,6208138,832511.3058,2022-05-02 17:00:00
17,1651507200,0.1363,0.1382,0.1379,0.1367,3971976,542969.1192,2022-05-02 16:00:00
18,1651503600,0.1372,0.1394,0.139,0.1378,3781490,521089.32200000004,2022-05-02 15:00:00
19,1651500000,0.1374,0.1401,0.1386,0.1389,7392360,1026798.804,2022-05-02 14:00:00
20,1651496400,0.1355,0.1404,0.1364,0.1386,12452759,1725952.3974,2022-05-02 13:00:00
21,1651492800,0.1356,0.1386,0.136,0.1364,4290186,585181.3704,2022-05-02 12:00:00
22,1651489200,0.1345,0.1367,0.1364,0.136,4314843,586818.648,2022-05-02 11:00:00
23,1651485600,0.1359,0.138,0.1373,0.1366,3495498,477485.0268,2022-05-02 10:00:00
24,1651482000,0.1371,0.1403,0.1391,0.1373,3445220,473028.706,2022-05-02 09:00:00
25,1651478400,0.1386,0.1407,0.1405,0.1392,2220556,309101.39519999997,2022-05-02 08:00:00
26,1651474800,0.1401,0.1419,0.1413,0.1404,2173228,305121.2112,2022-05-02 07:00:00
27,1651471200,0.1412,0.1437,0.143,0.1413,1784456,252143.63280000002,2022-05-02 06:00:00
28,1651467600,0.1417,0.1432,0.1419,0.1429,2016879,288212.0091,2022-05-02 05:00:00
29,1651464000,0.1395,0.1423,0.1402,0.1418,3048893,432333.0274,2022-05-02 04:00:00
30,1651460400,0.1401,0.1417,0.1404,0.1402,1447109,202884.6818,2022-05-02 03:00:00
31,1651456800,0.1386,0.1403,0.1394,0.1403,1924340,269984.902,2022-05-02 02:00:00
32,1651453200,0.1394,0.1427,0.142,0.1396,4004332,559004.7472,2022-05-02 01:00:00
33,1651449600,0.1415,0.1435,0.1427,0.142,8860938,1258253.196,2022-05-02 00:00:00
34,1651446000,0.1383,0.1444,0.1392,0.1427,11850969,1691133.2763,2022-05-01 23:00:00
35,1651442400,0.1386,0.1406,0.1388,0.1392,3325750,462944.39999999997,2022-05-01 22:00:00
36,1651438800,0.1368,0.1419,0.1416,0.1389,4004116,556171.7124,2022-05-01 21:00:00
37,1651435200,0.1376,0.1416,0.1391,0.1415,3969764,561721.6059999999,2022-05-01 20:00:00
38,1651431600,0.1362,0.1425,0.1373,0.139,6812317,946912.0630000001,2022-05-01 19:00:00
39,1651428000,0.1373,0.1426,0.1425,0.1373,4634668,636339.9164,2022-05-01 18:00:00
40,1651424400,0.1421,0.1447,0.143,0.1425,4469194,636860.1449999999,2022-05-01 17:00:00
41,1651420800,0.1414,0.1437,0.142,0.1429,5976491,854040.5639,2022-05-01 16:00:00
42,1651417200,0.137,0.1426,0.1371,0.142,10167436,1443775.9119999998,2022-05-01 15:00:00
43,1651413600,0.1359,0.1383,0.1371,0.1371,2915281,399685.0251,2022-05-01 14:00:00
44,1651410000,0.137,0.1388,0.1381,0.1374,1611033,221355.9342,2022-05-01 13:00:00
45,1651406400,0.1359,0.1386,0.1375,0.138,2450417,338157.54600000003,2022-05-01 12:00:00
46,1651402800,0.1372,0.139,0.1383,0.1374,1636452,224848.5048,2022-05-01 11:00:00
