,unix,low,high,open,close,volume,vol_fiat,date
0,1651568400,2.31,2.33,2.32,2.32,131.02,303.9664,2022-05-03 09:00:00
1,1651564800,2.31,2.32,2.31,2.32,428.11,993.2152,2022-05-03 08:00:00
2,1651561200,2.31,2.37,2.35,2.32,706.49,1639.0567999999998,2022-05-03 07:00:00
3,1651557600,2.35,2.38,2.38,2.37,748.62,1774.2294000000002,2022-05-03 06:00:00
4,1651554000,2.36,2.38,2.37,2.38,106.29,252.9702,2022-05-03 05:00:00
5,1651550400,2.36,2.38,2.37,2.37,479.67,1136.8179,2022-05-03 04:00:00
6,1651546800,2.36,2.38,2.36,2.36,897.24,2117.4864,2022-05-03 03:00:00
7,1651543200,2.35,2.4,2.38,2.37,5754.15,13637.3355,2022-05-03 02:00:00
8,1651539600,2.38,2.44,2.42,2.38,5208.89,12397.1582,2022-05-03 01:00:00
9,1651536000,2.42,2.46,2.46,2.42,3182.88,7702.5696,2022-05-03 00:00:00
10,1651532400,2.43,2.48,2.43,2.45,8393.07,20563.021500000003,2022-05-02 23:00:00
11,1651528800,2.41,2.45,2.42,2.43,4437.14,10782.250200000002,2022-05-02 22:00:00
12,1651525200,2.39,2.46,2.46,2.41,6011.93,14488.751300000002,2022-05-02 21:00:00
13,1651521600,2.43,2.48,2.43,2.46,3842.63,9452.8698,2022-05-02 20:00:00
14,1651518000,2.39,2.43,2.39,2.41,4069.37,9807.181700000001,2022-05-02 19:00:00
15,1651514400,2.36,2.43,2.38,2.41,4495.94,10835.2154,2022-05-02 18:00:00
16,1651510800,2.35,2.4,2.38,2.37,4545.9,10773.783,2022-05-02 17:00:00
17,1651507200,2.36,2.4,2.4,2.36,1753.85,4139.085999999999,2022-05-02 16:00:00
18,1651503600,2.4,2.43,2.43,2.4,1355.54,3253.296,2022-05-02 15:00:00
19,1651500000,2.4,2.44,2.43,2.41,7070.76,17040.531600000002,2022-05-02 14:00:00
20,1651496400,2.39,2.46,2.43,2.44,8911.11,21743.1084,2022-05-02 13:00:00
21,1651492800,2.37,2.43,2.4,2.41,5528.61,13323.9501,2022-05-02 12:00:00
22,1651489200,2.38,2.42,2.38,2.42,5604.27,13562.333400000001,2022-05-02 11:00:00
23,1651485600,2.38,2.39,2.38,2.39,422.66,1010.1574000000002,2022-05-02 10:00:00
24,1651482000,2.39,2.39,2.39,2.39,20.54,49.0906,2022-05-02 09:00:00
25,1651478400,2.38,2.4,2.4,2.38,49.65,118.16699999999999,2022-05-02 08:00:00
26,1651474800,2.38,2.4,2.38,2.38,194.68,463.3384,2022-05-02 07:00:00
27,1651471200,2.38,2.4,2.4,2.38,4.9,11.662,2022-05-02 06:00:00
28,1651467600,2.38,2.41,2.4,2.39,5543.81,13249.7059,2022-05-02 05:00:00
29,1651464000,2.38,2.43,2.38,2.4,3154.31,7570.343999999999,2022-05-02 04:00:00
30,1651460400,2.38,2.4,2.38,2.38,2760.51,6570.013800000001,2022-05-02 03:00:00
31,1651456800,2.38,2.39,2.39,2.38,61.96,147.4648,2022-05-02 02:00:00
32,1651453200,2.35,2.39,2.35,2.38,1555.82,3702.8515999999995,2022-05-02 01:00:00
33,1651449600,2.35,2.38,2.35,2.35,1071.09,2517.0615,2022-05-02 00:00:00
34,1651446000,2.35,2.41,2.39,2.35,2542.3,5974.405000000001,2022-05-01 23:00:00
35,1651442400,2.39,2.45,2.43,2.39,5102.34,12194.592600000002,2022-05-01 22:00:00
36,1651438800,2.4,2.47,2.4,2.43,9412.28,22871.840400000005,2022-05-01 21:00:00
37,1651435200,2.35,2.42,2.35,2.4,3719.96,8927.904,2022-05-01 20:00:00
38,1651431600,2.35,2.36,2.35,2.36,723.8,1708.168,2022-05-01 19:00:00
39,1651428000,2.35,2.36,2.36,2.36,561.99,1326.2964,2022-05-01 18:00:00
40,1651424400,2.34,2.36,2.34,2.35,3051.29,7170.5315,2022-05-01 17:00:00
41,1651420800,2.28,2.35,2.28,2.35,1529.36,3593.996,2022-05-01 16:00:00
42,1651417200,2.26,2.28,2.28,2.27,2768.73,6285.0171,2022-05-01 15:00:00
43,1651413600,2.26,2.29,2.29,2.28,4520.42,10306.5576,2022-05-01 14:00:00
44,1651410000,2.28,2.35,2.3,2.29,6429.62,14723.8298,2022-05-01 13:00:00
45,1651406400,2.28,2.33,2.33,2.29,1362.95,3121.1555000000003,2022-05-01 12:00:00
46,1651402800,2.32,2.34,2.34,2.32,88.57,205.48239999999998,2022-05-01 11:00:00
47,1651399200,2.32,2.35,2.34,2.32,294.63,683.5415999999999,2022-05-01 10:00:00
