,unix,low,high,open,close,volume,vol_fiat,date
0,1651568400,0.3496,0.3543,0.3507,0.3509,3629.4,1273.55646,2022-05-03 09:00:00
1,1651564800,0.349,0.352,0.349,0.352,12402.8,4365.785599999999,2022-05-03 08:00:00
2,1651561200,0.3487,0.3519,0.3505,0.3487,8952.8,3121.84136,2022-05-03 07:00:00
3,1651557600,0.3466,0.3538,0.3466,0.35,18731.3,6555.954999999999,2022-05-03 06:00:00
4,1651554000,0.3456,0.3481,0.3476,0.3467,8562.6,2968.65342,2022-05-03 05:00:00
5,1651550400,0.346,0.3481,0.3463,0.3461,6452.1,2233.0718100000004,2022-05-03 04:00:00
6,1651546800,0.3457,0.3482,0.3457,0.3462,4719.9,1634.02938,2022-05-03 03:00:00
7,1651543200,0.3444,0.35,0.3456,0.3456,21720.8,7506.70848,2022-05-03 02:00:00
8,1651539600,0.3422,0.3456,0.3428,0.344,5115.1,1759.5944,2022-05-03 01:00:00
9,1651536000,0.3416,0.3558,0.3499,0.3437,42695.5,14674.44335,2022-05-03 00:00:00
10,1651532400,0.3493,0.3557,0.35,0.35,10335.7,3617.495,2022-05-02 23:00:00
11,1651528800,0.3447,0.35,0.3447,0.3491,2390.7,834.5933699999999,2022-05-02 22:00:00
12,1651525200,0.3398,0.3457,0.3398,0.3441,4966.5,1708.9726500000002,2022-05-02 21:00:00
13,1651521600,0.3401,0.3424,0.3404,0.3402,4726.6,1607.9893200000001,2022-05-02 20:00:00
14,1651518000,0.3382,0.3415,0.3387,0.3401,15676.1,5331.441610000001,2022-05-02 19:00:00
15,1651514400,0.3369,0.341,0.3393,0.3391,3334.5,1130.72895,2022-05-02 18:00:00
16,1651510800,0.339,0.3427,0.3418,0.3402,20137.5,6850.7775,2022-05-02 17:00:00
17,1651507200,0.3406,0.3443,0.3437,0.3406,6669.6,2271.6657600000003,2022-05-02 16:00:00
18,1651503600,0.3414,0.3443,0.3419,0.3436,2108.4,724.4462400000001,2022-05-02 15:00:00
19,1651500000,0.3391,0.3434,0.3433,0.342,9753.3,3335.6286,2022-05-02 14:00:00
20,1651496400,0.3366,0.3438,0.3405,0.3422,19150.1,6553.16422,2022-05-02 13:00:00
21,1651492800,0.3382,0.3403,0.3382,0.3385,3423.3,1158.7870500000001,2022-05-02 12:00:00
22,1651489200,0.336,0.3396,0.3386,0.3366,9170.4,3086.75664,2022-05-02 11:00:00
23,1651485600,0.3382,0.3456,0.3456,0.3382,9803.4,3315.50988,2022-05-02 10:00:00
24,1651482000,0.346,0.3513,0.3508,0.346,9123.6,3156.7655999999997,2022-05-02 09:00:00
25,1651478400,0.3507,0.3564,0.3549,0.3507,1779.3,624.00051,2022-05-02 08:00:00
26,1651474800,0.3547,0.3566,0.3559,0.3551,2731.8,970.0621800000001,2022-05-02 07:00:00
27,1651471200,0.3545,0.357,0.3568,0.3557,8811.6,3134.28612,2022-05-02 06:00:00
28,1651467600,0.3526,0.3591,0.3532,0.356,19183.5,6829.326,2022-05-02 05:00:00
29,1651464000,0.3494,0.3535,0.3515,0.3534,6331.6,2237.5874400000002,2022-05-02 04:00:00
30,1651460400,0.3499,0.3521,0.3512,0.3515,6724.3,2363.59145,2022-05-02 03:00:00
31,1651456800,0.3485,0.3511,0.3511,0.3497,9603.7,3358.4138900000003,2022-05-02 02:00:00
32,1651453200,0.3511,0.3554,0.3554,0.3511,3159.9,1109.44089,2022-05-02 01:00:00
33,1651449600,0.3504,0.3561,0.3529,0.3553,26193.7,9306.62161,2022-05-02 00:00:00
34,1651446000,0.3477,0.3546,0.3477,0.3523,17700.2,6235.78046,2022-05-01 23:00:00
35,1651442400,0.3425,0.3475,0.3432,0.3475,26866.6,9336.143499999998,2022-05-01 22:00:00
36,1651438800,0.3418,0.3445,0.3418,0.3422,8476.5,2900.6583,2022-05-01 21:00:00
37,1651435200,0.3372,0.3419,0.3383,0.3419,4971.7,1699.82423,2022-05-01 20:00:00
38,1651431600,0.3363,0.3418,0.3418,0.3386,21575.2,7305.36272,2022-05-01 19:00:00
39,1651428000,0.3423,0.347,0.3469,0.3423,4516.8,1546.10064,2022-05-01 18:00:00
40,1651424400,0.3454,0.3493,0.3454,0.3464,8455.8,2929.0891199999996,2022-05-01 17:00:00
41,1651420800,0.3424,0.3467,0.3424,0.3462,19738.2,6833.36484,2022-05-01 16:00:00
42,1651417200,0.332,0.3418,0.334,0.3418,16233.2,5548.50776,2022-05-01 15:00:00
43,1651413600,0.3323,0.3344,0.3342,0.334,5571.0,1860.7140000000002,2022-05-01 14:00:00
44,1651410000,0.3338,0.3363,0.3343,0.3342,2476.2,827.54604,2022-05-01 13:00:00
45,1651406400,0.332,0.3367,0.3329,0.3342,8923.6,2982.26712,2022-05-01 12:00:00
46,1651402800,0.3329,0.3383,0.3374,0.334,4313.1,1440.5754000000002,2022-05-01 11:00:00
47,1651399200,0.3373,0.339,0.3386,0.3389,8675.0,2939.9575,2022-05-01 10:00:00
48,1651395600,0.3366,0.3394,0.3389,0.3384,633.3,214.30871999999997,2022-05-01 09:00:00
49,1651392000,0.3369,0.3392,0.3389,0.3369,5176.7,1744.0302299999998,2022-05-01 08:00:00
50,1651388400,0.3358,0.3389,0.3376,0.3389,10482.1,3552.38369,2022-05-01 07:00:00
51,1651384800,0.3371,0.3416,0.3397,0.3371,19279.6,6499.15316,2022-05-01 06:00:00
52,1651381200,0.3372,0.3401,0.3372,0.3393,2783.4,944.40762,2022-05-01 05:00:00
53,1651377600,0.3323,0.3362,0.3359,0.3362,5138.7,1727.63094,2022-05-01 04:00:00
54,1651374000,0.3308,0.3359,0.3313,0.3359,7639.4,2566.07446,2022-05-01 03:00:00
55,1651370400,0.3296,0.3352,0.3322,0.3314,35192.3,11662.72822,2022-05-01 02:00:00
56,1651366800,0.3223,0.3333,0.3332,0.3322,56415.0,18741.063,2022-05-01 01:00:00
57,1651363200,0.3305,0.362,0.344,0.3327,131362.9,43704.43683,2022-05-01 00:00:00
58,1651359600,0.3434,0.3584,0.3584,0.344,49065.4,16878.4976,2022-04-30 23:00:00
59,1651356000,0.3585,0.3606,0.3598,0.3587,7764.7,2785.19789,2022-04-30 22:00:00
60,1651352400,0.3587,0.3619,0.3614,0.3611,5950.8,2148.83388,2022-04-30 21:00:00
61,1651348800,0.3597,0.3622,0.3604,0.3622,8567.5,3103.1485000000002,2022-04-30 20:00:00
62,1651345200,0.3587,0.3615,0.3596,0.3615,9532.5,3445.9987499999997,2022-04-30 19:00:00
