,unix,low,high,open,close,volume,vol_fiat,date
0,1651568400,3.264,3.328,3.301,3.285,15128.59,49697.418150000005,2022-05-03 09:00:00
1,1651564800,3.294,3.36,3.323,3.302,14680.86,48476.199720000004,2022-05-03 08:00:00
2,1651561200,3.316,3.347,3.333,3.323,11697.92,38872.18816,2022-05-03 07:00:00
3,1651557600,3.289,3.349,3.312,3.333,10784.82,35945.80506,2022-05-03 06:00:00
4,1651554000,3.292,3.327,3.32,3.318,13841.31,45925.46658,2022-05-03 05:00:00
5,1651550400,3.277,3.334,3.278,3.316,24051.04,79753.24864,2022-05-03 04:00:00
6,1651546800,3.264,3.32,3.283,3.274,10051.64,32909.06936,2022-05-03 03:00:00
7,1651543200,3.262,3.356,3.344,3.28,34713.62,113860.6736,2022-05-03 02:00:00
8,1651539600,3.186,3.402,3.207,3.334,181281.22,604391.58748,2022-05-03 01:00:00
9,1651536000,3.198,3.266,3.243,3.205,20830.49,66761.72045000001,2022-05-03 00:00:00
10,1651532400,3.233,3.284,3.237,3.248,18297.36,59429.825280000005,2022-05-02 23:00:00
11,1651528800,3.232,3.268,3.245,3.236,24179.19,78243.85884,2022-05-02 22:00:00
12,1651525200,3.175,3.264,3.18,3.247,21812.38,70824.79786,2022-05-02 21:00:00
13,1651521600,3.171,3.225,3.222,3.18,28702.04,91272.4872,2022-05-02 20:00:00
14,1651518000,3.178,3.232,3.182,3.22,72258.82,232673.40040000004,2022-05-02 19:00:00
15,1651514400,3.146,3.21,3.187,3.183,80858.98,257374.13333999997,2022-05-02 18:00:00
16,1651510800,3.136,3.255,3.215,3.181,101071.44,321508.25064,2022-05-02 17:00:00
17,1651507200,3.167,3.402,3.387,3.218,86117.41,277125.82538,2022-05-02 16:00:00
18,1651503600,3.383,3.434,3.423,3.389,39218.77,132912.41152999998,2022-05-02 15:00:00
19,1651500000,3.391,3.442,3.42,3.424,49203.45,168472.61279999997,2022-05-02 14:00:00
20,1651496400,3.362,3.453,3.376,3.423,32177.12,110142.28176,2022-05-02 13:00:00
21,1651492800,3.349,3.418,3.359,3.375,17949.88,60580.845,2022-05-02 12:00:00
22,1651489200,3.356,3.442,3.424,3.361,24891.61,83660.70121000001,2022-05-02 11:00:00
23,1651485600,3.4,3.448,3.431,3.426,35111.75,120292.8555,2022-05-02 10:00:00
24,1651482000,3.41,3.482,3.444,3.42,7205.76,24643.6992,2022-05-02 09:00:00
25,1651478400,3.44,3.513,3.505,3.447,13212.48,45543.41856,2022-05-02 08:00:00
26,1651474800,3.474,3.549,3.486,3.507,27442.32,96240.21624000001,2022-05-02 07:00:00
27,1651471200,3.469,3.552,3.484,3.49,48952.5,170844.225,2022-05-02 06:00:00
28,1651467600,3.451,3.49,3.469,3.486,20457.15,71313.62490000001,2022-05-02 05:00:00
29,1651464000,3.417,3.49,3.417,3.468,30034.41,104159.33388,2022-05-02 04:00:00
30,1651460400,3.408,3.437,3.409,3.417,17446.77,59615.61309,2022-05-02 03:00:00
31,1651456800,3.368,3.451,3.445,3.406,51772.65,176337.6459,2022-05-02 02:00:00
32,1651453200,3.429,3.473,3.43,3.445,53891.81,185657.28545,2022-05-02 01:00:00
33,1651449600,3.405,3.472,3.442,3.427,30376.67,104100.84809,2022-05-02 00:00:00
34,1651446000,3.376,3.475,3.397,3.443,47296.7,162842.5381,2022-05-01 23:00:00
35,1651442400,3.376,3.452,3.401,3.401,34928.01,118790.16201,2022-05-01 22:00:00
36,1651438800,3.364,3.413,3.395,3.393,20928.86,71011.62198,2022-05-01 21:00:00
37,1651435200,3.339,3.4,3.389,3.396,36232.39,123045.19644,2022-05-01 20:00:00
38,1651431600,3.353,3.411,3.386,3.381,26456.62,89449.83222,2022-05-01 19:00:00
39,1651428000,3.382,3.491,3.452,3.388,29474.89,99860.92731999999,2022-05-01 18:00:00
40,1651424400,3.441,3.541,3.535,3.453,50336.51,173811.96903,2022-05-01 17:00:00
41,1651420800,3.46,3.596,3.467,3.536,92231.48,326130.51328,2022-05-01 16:00:00
42,1651417200,3.332,3.532,3.332,3.467,97404.59,337701.71353,2022-05-01 15:00:00
43,1651413600,3.332,3.46,3.446,3.335,39492.73,131708.25455,2022-05-01 14:00:00
44,1651410000,3.446,3.487,3.468,3.447,17054.13,58785.586110000004,2022-05-01 13:00:00
45,1651406400,3.39,3.502,3.46,3.465,61606.16,213465.3444,2022-05-01 12:00:00
46,1651402800,3.439,3.499,3.489,3.455,32764.8,113202.384,2022-05-01 11:00:00
47,1651399200,3.472,3.534,3.523,3.484,21537.02,75034.97768,2022-05-01 10:00:00
48,1651395600,3.491,3.567,3.558,3.524,24250.43,85458.51532,2022-05-01 09:00:00
49,1651392000,3.51,3.565,3.51,3.551,16472.48,58493.77648,2022-05-01 08:00:00
50,1651388400,3.425,3.512,3.475,3.507,23464.33,82289.40531,2022-05-01 07:00:00
51,1651384800,3.453,3.606,3.468,3.479,51550.22,179343.21538,2022-05-01 06:00:00
52,1651381200,3.381,3.492,3.392,3.471,152406.87,529004.24577,2022-05-01 05:00:00
53,1651377600,3.359,3.525,3.522,3.391,34578.03,117254.09973,2022-05-01 04:00:00
54,1651374000,3.408,3.54,3.425,3.515,80450.67,282784.10505,2022-05-01 03:00:00
55,1651370400,3.417,3.503,3.467,3.425,37379.63,128025.23274999998,2022-05-01 02:00:00
56,1651366800,3.317,3.517,3.426,3.471,125674.19,436215.11349,2022-05-01 01:00:00
57,1651363200,3.303,3.532,3.505,3.432,68440.59,234888.10487999997,2022-05-01 00:00:00
58,1651359600,3.444,3.618,3.515,3.51,158752.96,557222.8896,2022-04-30 23:00:00
59,1651356000,3.498,3.589,3.58,3.521,130841.47,460692.81587,2022-04-30 22:00:00
60,1651352400,3.511,3.636,3.624,3.581,107676.34,385588.97354,2022-04-30 21:00:00
61,1651348800,3.607,3.67,3.645,3.625,98366.18,356577.40249999997,2022-04-30 20:00:00
62,1651345200,3.568,3.663,3.612,3.645,67024.46,244304.15670000002,2022-04-30 19:00:00
63,1651341600,3.575,3.637,3.603,3.61,75727.97,273377.9717,2022-04-30 18:00:00
64,1651338000,3.572,3.678,3.641,3.609,160279.94,578450.30346,2022-04-30 17:00:00
65,1651334400,3.618,3.863,3.863,3.641,157220.35,572439.29435,2022-04-30 16:00:00
66,1651330800,3.697,3.9,3.713,3.863,103433.53,399563.72638999997,2022-04-30 15:00:00
67,1651327200,3.679,3.798,3.752,3.714,146543.5,544262.559,2022-04-30 14:00:00
68,1651323600,3.739,4.031,3.902,3.751,219655.93,823929.3934299999,2022-04-30 13:00:00
69,1651320000,3.891,4.017,3.944,3.895,111523.53,434384.14935,2022-04-30 12:00:00
70,1651316400,3.848,4.02,3.856,3.94,87144.85,343350.70900000003,2022-04-30 11:00:00
71,1651312800,3.852,3.94,3.911,3.862,79031.41,305219.30542000005,2022-04-30 10:00:00
72,1651309200,3.866,4.05,3.966,3.919,74577.59,292269.57521,2022-04-30 09:00:00
73,1651305600,3.85,3.994,3.938,3.968,95200.1,377753.9968,2022-04-30 08:00:00
74,1651302000,3.932,4.178,4.021,3.944,138448.55,546041.0811999999,2022-04-30 07:00:00
75,1651298400,3.993,4.423,4.166,4.029,261964.61,1055455.4136899998,2022-04-30 06:00:00
76,1651294800,3.935,4.179,4.024,4.163,295866.8,1231693.4884,2022-04-30 05:00:00
77,1651291200,3.927,4.606,4.293,4.025,835759.72,3363932.873,2022-04-30 04:00:00
78,1651287600,4.011,4.5,4.017,4.299,281447.3,1209941.9427,2022-04-30 03:00:00
79,1651284000,3.91,4.16,4.027,4.021,233429.25,938619.01425,2022-04-30 02:00:00
80,1651280400,3.96,4.081,4.081,4.027,275797.17,1110635.20359,2022-04-30 01:00:00
81,1651276800,3.95,4.3,4.056,4.07,438326.44,1783988.6108000001,2022-04-30 00:00:00
82,1651273200,3.816,4.898,3.848,4.082,331243.6,1352136.3752,2022-04-29 23:00:00
83,1651269600,3.754,3.854,3.773,3.848,62708.83,241303.57784,2022-04-29 22:00:00
84,1651266000,3.724,3.876,3.875,3.771,120825.12,455631.52751999995,2022-04-29 21:00:00
85,1651262400,3.763,3.912,3.816,3.866,202606.49,783276.69034,2022-04-29 20:00:00
86,1651258800,3.718,3.862,3.762,3.82,200069.22,764264.4204,2022-04-29 19:00:00
87,1651255200,3.672,3.775,3.73,3.757,112763.95,423654.16015,2022-04-29 18:00:00
88,1651251600,3.674,3.827,3.783,3.729,250359.78,933591.61962,2022-04-29 17:00:00
89,1651248000,3.733,4.037,3.852,3.784,252607.41,955866.43944,2022-04-29 16:00:00
90,1651244400,3.747,3.911,3.879,3.853,177248.32,682937.77696,2022-04-29 15:00:00
91,1651240800,3.77,4.15,3.962,3.88,591383.12,2294566.5056,2022-04-29 14:00:00
92,1651237200,3.775,3.968,3.832,3.962,330732.21,1310361.0160200002,2022-04-29 13:00:00
93,1651233600,3.476,3.845,3.486,3.826,170987.78,654199.24628,2022-04-29 12:00:00
94,1651230000,3.424,3.527,3.505,3.487,50613.82,176490.39034,2022-04-29 11:00:00
95,1651226400,3.448,3.648,3.63,3.506,59360.99,208119.63093999997,2022-04-29 10:00:00
0,1651222800,3.563,3.669,3.598,3.631,46654.14,169401.18234,2022-04-29 09:00:00
1,1651219200,3.552,3.61,3.572,3.597,43497.97,156462.19809,2022-04-29 08:00:00
2,1651215600,3.531,3.589,3.589,3.57,46913.61,167481.5877,2022-04-29 07:00:00
