,unix,low,high,open,close,volume,vol_fiat,date
0,1651568400,0.76,0.78,0.77,0.77,3371.25,2595.8625,2022-05-03 09:00:00
1,1651564800,0.77,0.78,0.78,0.77,5601.55,4313.1935,2022-05-03 08:00:00
2,1651561200,0.77,0.78,0.78,0.77,4130.91,3180.8007,2022-05-03 07:00:00
3,1651557600,0.77,0.79,0.78,0.78,13354.17,10416.2526,2022-05-03 06:00:00
4,1651554000,0.77,0.79,0.77,0.78,13331.62,10398.663600000002,2022-05-03 05:00:00
5,1651550400,0.77,0.81,0.78,0.78,105055.83,81943.54740000001,2022-05-03 04:00:00
6,1651546800,0.74,0.78,0.75,0.78,53727.07,41907.1146,2022-05-03 03:00:00
7,1651543200,0.74,0.75,0.75,0.74,3530.71,2612.7254,2022-05-03 02:00:00
8,1651539600,0.72,0.75,0.73,0.74,15268.54,11298.7196,2022-05-03 01:00:00
9,1651536000,0.72,0.74,0.73,0.73,8522.45,6221.3885,2022-05-03 00:00:00
10,1651532400,0.72,0.75,0.75,0.74,38488.7,28481.638,2022-05-02 23:00:00
11,1651528800,0.74,0.75,0.75,0.74,6945.15,5139.411,2022-05-02 22:00:00
12,1651525200,0.72,0.74,0.73,0.74,28977.66,21443.468399999998,2022-05-02 21:00:00
13,1651521600,0.72,0.74,0.73,0.73,16676.38,12173.7574,2022-05-02 20:00:00
14,1651518000,0.71,0.74,0.72,0.73,16646.09,12151.6457,2022-05-02 19:00:00
15,1651514400,0.7,0.72,0.7,0.71,62038.34,44047.221399999995,2022-05-02 18:00:00
16,1651510800,0.7,0.74,0.74,0.71,92369.85,65582.5935,2022-05-02 17:00:00
17,1651507200,0.73,0.75,0.75,0.74,9049.15,6696.371,2022-05-02 16:00:00
18,1651503600,0.74,0.76,0.76,0.74,14880.96,11011.910399999999,2022-05-02 15:00:00
19,1651500000,0.74,0.76,0.74,0.76,17069.03,12972.4628,2022-05-02 14:00:00
20,1651496400,0.71,0.76,0.72,0.75,37689.61,28267.2075,2022-05-02 13:00:00
21,1651492800,0.72,0.73,0.73,0.72,20316.72,14628.0384,2022-05-02 12:00:00
22,1651489200,0.72,0.73,0.73,0.72,7858.58,5658.1776,2022-05-02 11:00:00
23,1651485600,0.73,0.74,0.73,0.73,10436.1,7618.353,2022-05-02 10:00:00
24,1651482000,0.73,0.75,0.74,0.73,3937.55,2874.4115,2022-05-02 09:00:00
25,1651478400,0.74,0.76,0.76,0.75,6219.51,4664.6325,2022-05-02 08:00:00
26,1651474800,0.76,0.77,0.77,0.77,1724.8,1328.096,2022-05-02 07:00:00
27,1651471200,0.76,0.78,0.76,0.76,18254.9,13873.724000000002,2022-05-02 06:00:00
28,1651467600,0.75,0.77,0.76,0.76,19145.75,14550.77,2022-05-02 05:00:00
29,1651464000,0.73,0.76,0.74,0.75,21203.55,15902.662499999999,2022-05-02 04:00:00
30,1651460400,0.74,0.75,0.75,0.75,12071.97,9053.977499999999,2022-05-02 03:00:00
31,1651456800,0.74,0.75,0.74,0.75,27926.97,20945.2275,2022-05-02 02:00:00
32,1651453200,0.74,0.76,0.74,0.75,51600.53,38700.3975,2022-05-02 01:00:00
33,1651449600,0.73,0.75,0.74,0.74,34328.4,25403.016,2022-05-02 00:00:00
34,1651446000,0.72,0.74,0.73,0.74,13221.09,9783.6066,2022-05-01 23:00:00
35,1651442400,0.72,0.73,0.73,0.73,16282.33,11886.1009,2022-05-01 22:00:00
36,1651438800,0.72,0.73,0.73,0.73,10757.96,7853.310799999999,2022-05-01 21:00:00
37,1651435200,0.7,0.73,0.72,0.72,22286.85,16046.532,2022-05-01 20:00:00
38,1651431600,0.7,0.72,0.71,0.72,59289.15,42688.188,2022-05-01 19:00:00
39,1651428000,0.71,0.73,0.73,0.71,72905.01,51762.55709999999,2022-05-01 18:00:00
40,1651424400,0.73,0.75,0.74,0.73,20674.23,15092.187899999999,2022-05-01 17:00:00
41,1651420800,0.73,0.75,0.74,0.73,54122.98,39509.7754,2022-05-01 16:00:00
42,1651417200,0.7,0.74,0.71,0.73,50594.79,36934.1967,2022-05-01 15:00:00
43,1651413600,0.7,0.71,0.71,0.7,6958.55,4870.985,2022-05-01 14:00:00
