,unix,low,high,open,close,volume,vol_fiat,date
0,1651568400,0.3256,0.3312,0.328,0.3262,587284.15,191572.08973,2022-05-03 09:00:00
1,1651564800,0.327,0.3358,0.3356,0.3282,829242.99,272157.549318,2022-05-03 08:00:00
2,1651561200,0.321,0.3385,0.3249,0.3357,1647760.87,553153.324059,2022-05-03 07:00:00
3,1651557600,0.3195,0.3269,0.3196,0.3247,1660118.37,539040.434739,2022-05-03 06:00:00
4,1651554000,0.3172,0.3237,0.3226,0.3194,1369202.28,437323.208232,2022-05-03 05:00:00
5,1651550400,0.3147,0.3235,0.3155,0.3225,1447263.89,466742.604525,2022-05-03 04:00:00
6,1651546800,0.31,0.316,0.3103,0.3155,864118.7,272629.44985,2022-05-03 03:00:00
7,1651543200,0.3076,0.3126,0.3096,0.3103,1059040.02,328620.118206,2022-05-03 02:00:00
8,1651539600,0.3032,0.3094,0.3042,0.3094,426269.73,131887.854462,2022-05-03 01:00:00
9,1651536000,0.3037,0.3078,0.3077,0.304,216941.23,65950.13392000001,2022-05-03 00:00:00
10,1651532400,0.3062,0.3095,0.3062,0.3077,245337.69,75490.407213,2022-05-02 23:00:00
11,1651528800,0.3055,0.3102,0.3076,0.3061,523096.91,160119.964151,2022-05-02 22:00:00
12,1651525200,0.3005,0.3078,0.3012,0.3077,755693.55,232526.905335,2022-05-02 21:00:00
13,1651521600,0.3007,0.3082,0.3076,0.301,662312.14,199355.95414,2022-05-02 20:00:00
14,1651518000,0.3009,0.3087,0.3019,0.3074,652843.75,200684.16875,2022-05-02 19:00:00
15,1651514400,0.299,0.3031,0.3013,0.3019,1032326.54,311659.382426,2022-05-02 18:00:00
16,1651510800,0.298,0.3044,0.3044,0.3016,1329159.32,400874.450912,2022-05-02 17:00:00
17,1651507200,0.304,0.308,0.3067,0.3046,438835.12,133669.17755199998,2022-05-02 16:00:00
18,1651503600,0.3047,0.3102,0.308,0.3067,507263.96,155577.856532,2022-05-02 15:00:00
19,1651500000,0.3027,0.3105,0.3069,0.3081,960629.85,295970.05678499996,2022-05-02 14:00:00
20,1651496400,0.2972,0.3092,0.3017,0.3069,1279138.01,392567.455269,2022-05-02 13:00:00
21,1651492800,0.2999,0.3058,0.3003,0.3018,679014.54,204926.58817200002,2022-05-02 12:00:00
22,1651489200,0.2973,0.3031,0.3017,0.3005,1025302.84,308103.50341999996,2022-05-02 11:00:00
23,1651485600,0.3009,0.3066,0.3051,0.3019,428608.81,129396.999739,2022-05-02 10:00:00
24,1651482000,0.3054,0.3116,0.3109,0.3054,236271.43,72157.294722,2022-05-02 09:00:00
25,1651478400,0.3077,0.3132,0.3127,0.3109,530273.22,164861.944098,2022-05-02 08:00:00
26,1651474800,0.3119,0.3158,0.3142,0.3132,580453.81,181798.133292,2022-05-02 07:00:00
27,1651471200,0.3139,0.319,0.3175,0.3141,389330.97,122288.85767699999,2022-05-02 06:00:00
28,1651467600,0.3147,0.318,0.3166,0.3172,289028.86,91679.95439199999,2022-05-02 05:00:00
29,1651464000,0.3113,0.3169,0.3135,0.3166,995776.59,315262.868394,2022-05-02 04:00:00
30,1651460400,0.3119,0.3144,0.312,0.3136,107369.23,33670.990527999995,2022-05-02 03:00:00
31,1651456800,0.3106,0.3132,0.3126,0.3122,229908.45,71777.41808999999,2022-05-02 02:00:00
32,1651453200,0.3126,0.3194,0.3189,0.3126,528795.95,165301.61396999998,2022-05-02 01:00:00
33,1651449600,0.3151,0.3203,0.3156,0.3187,1015034.17,323491.38997899997,2022-05-02 00:00:00
34,1651446000,0.31,0.3168,0.3102,0.3153,587851.41,185349.54957300003,2022-05-01 23:00:00
35,1651442400,0.3096,0.3147,0.31,0.3105,563650.65,175013.526825,2022-05-01 22:00:00
36,1651438800,0.3071,0.3127,0.3115,0.3103,2008097.01,623112.502203,2022-05-01 21:00:00
37,1651435200,0.3052,0.3114,0.3069,0.3114,1252558.69,390046.776066,2022-05-01 20:00:00
