,unix,low,high,open,close,volume,vol_fiat,date
0,1651568400,6.429,6.549,6.473,6.495,14116.82,91688.7459,2022-05-03 09:00:00
1,1651564800,6.273,6.544,6.365,6.473,12621.37,81698.12801,2022-05-03 08:00:00
2,1651561200,6.205,6.427,6.418,6.365,14462.2,92051.903,2022-05-03 07:00:00
3,1651557600,6.209,6.84,6.52,6.379,54305.84,346416.9533599999,2022-05-03 06:00:00
4,1651554000,6.316,6.596,6.399,6.506,17989.04,117036.69424000001,2022-05-03 05:00:00
5,1651550400,6.012,6.4,6.304,6.342,24127.43,153016.16105999998,2022-05-03 04:00:00
6,1651546800,6.036,6.316,6.054,6.29,9314.41,58587.6389,2022-05-03 03:00:00
7,1651543200,5.902,6.127,6.097,6.027,23220.61,139950.61647,2022-05-03 02:00:00
8,1651539600,6.054,6.39,6.182,6.098,24415.48,148885.59704,2022-05-03 01:00:00
9,1651536000,6.108,6.49,6.295,6.182,38002.03,234928.54946,2022-05-03 00:00:00
10,1651532400,5.996,6.522,6.104,6.348,45721.46,290239.82808,2022-05-02 23:00:00
11,1651528800,6.006,6.36,6.037,6.122,31207.23,191050.66206,2022-05-02 22:00:00
12,1651525200,5.785,6.198,5.824,6.075,37634.43,228629.16225,2022-05-02 21:00:00
13,1651521600,5.732,5.873,5.873,5.825,36174.41,210715.93825000004,2022-05-02 20:00:00
14,1651518000,5.78,5.982,5.832,5.873,29165.26,171287.57198,2022-05-02 19:00:00
15,1651514400,5.743,6.05,5.89,5.832,65957.56,384664.48991999996,2022-05-02 18:00:00
16,1651510800,5.888,6.679,6.389,5.888,130473.12,768225.7305599999,2022-05-02 17:00:00
17,1651507200,5.91,6.667,5.969,6.389,77340.26,494126.92114,2022-05-02 16:00:00
18,1651503600,5.677,6.136,5.724,5.969,36429.61,217448.34209000002,2022-05-02 15:00:00
19,1651500000,5.632,5.987,5.96,5.733,22165.7,127075.9581,2022-05-02 14:00:00
20,1651496400,5.7,5.991,5.946,5.941,44540.45,264614.81344999996,2022-05-02 13:00:00
21,1651492800,5.876,5.991,5.91,5.991,18815.42,112723.18121999998,2022-05-02 12:00:00
22,1651489200,5.808,6.09,6.018,5.947,23049.85,137077.45794999998,2022-05-02 11:00:00
23,1651485600,5.742,6.056,6.038,5.966,22437.14,133859.97724,2022-05-02 10:00:00
24,1651482000,5.81,6.201,5.902,5.992,22281.24,133509.19008,2022-05-02 09:00:00
25,1651478400,5.69,6.13,5.84,5.883,13510.62,79482.97746000001,2022-05-02 08:00:00
26,1651474800,5.818,6.2,5.988,5.838,34350.23,200536.64274,2022-05-02 07:00:00
27,1651471200,5.665,5.989,5.797,5.97,10486.7,62605.599,2022-05-02 06:00:00
28,1651467600,5.445,5.863,5.597,5.762,38065.11,219331.16382,2022-05-02 05:00:00
29,1651464000,5.501,5.688,5.595,5.597,13898.85,77791.86345,2022-05-02 04:00:00
30,1651460400,5.429,5.64,5.6,5.595,16461.61,92102.70795,2022-05-02 03:00:00
31,1651456800,5.511,5.869,5.737,5.558,28888.54,160562.50532,2022-05-02 02:00:00
32,1651453200,5.34,5.89,5.373,5.718,26655.32,152415.11976,2022-05-02 01:00:00
33,1651449600,5.341,5.6,5.6,5.377,15174.03,81590.75931,2022-05-02 00:00:00
34,1651446000,5.352,5.68,5.392,5.6,26489.6,148341.75999999998,2022-05-01 23:00:00
35,1651442400,5.264,5.428,5.315,5.369,10523.72,56501.852679999996,2022-05-01 22:00:00
36,1651438800,5.173,5.426,5.386,5.27,24054.27,126766.00289999999,2022-05-01 21:00:00
37,1651435200,5.295,5.63,5.432,5.413,18822.92,101888.46596,2022-05-01 20:00:00
38,1651431600,5.237,5.563,5.504,5.447,19974.65,108801.91855,2022-05-01 19:00:00
39,1651428000,5.346,5.81,5.749,5.401,34610.05,186928.88005,2022-05-01 18:00:00
40,1651424400,5.39,5.813,5.47,5.749,43757.86,251563.93714,2022-05-01 17:00:00
41,1651420800,5.205,5.5,5.409,5.47,28815.61,157621.3867,2022-05-01 16:00:00
42,1651417200,5.18,5.439,5.283,5.41,17144.96,92754.23359999999,2022-05-01 15:00:00
43,1651413600,5.127,5.534,5.201,5.28,28626.71,151149.0288,2022-05-01 14:00:00
44,1651410000,5.111,5.47,5.32,5.245,18976.51,99531.79495,2022-05-01 13:00:00
45,1651406400,5.04,5.308,5.283,5.308,20889.51,110881.51907999998,2022-05-01 12:00:00
46,1651402800,5.178,5.651,5.495,5.282,13920.66,73528.92612,2022-05-01 11:00:00
47,1651399200,5.244,5.566,5.302,5.496,13669.93,75129.93528,2022-05-01 10:00:00
48,1651395600,5.078,5.404,5.116,5.302,8518.08,45162.86016,2022-05-01 09:00:00
49,1651392000,4.996,5.372,5.314,5.137,21149.83,108646.67671,2022-05-01 08:00:00
50,1651388400,5.098,5.569,5.427,5.316,14430.73,76713.76067999999,2022-05-01 07:00:00
51,1651384800,5.267,5.93,5.779,5.425,33422.71,181318.20174999998,2022-05-01 06:00:00
52,1651381200,5.259,5.78,5.321,5.64,42147.31,237710.82839999997,2022-05-01 05:00:00
53,1651377600,5.185,5.78,5.428,5.32,63262.28,336555.3296,2022-05-01 04:00:00
54,1651374000,4.782,5.641,4.819,5.407,60271.53,325888.16271,2022-05-01 03:00:00
55,1651370400,4.732,4.98,4.795,4.819,27835.78,134140.62381999998,2022-05-01 02:00:00
56,1651366800,4.6,5.14,4.858,4.75,47539.58,225813.005,2022-05-01 01:00:00
57,1651363200,4.534,5.119,4.945,4.85,53248.93,258257.3105,2022-05-01 00:00:00
58,1651359600,4.7,5.332,5.244,4.996,60541.92,302467.43232,2022-04-30 23:00:00
59,1651356000,4.65,5.421,5.352,5.25,135568.66,711735.465,2022-04-30 22:00:00
60,1651352400,5.016,6.124,6.094,5.361,97938.91,525050.49651,2022-04-30 21:00:00
61,1651348800,5.665,6.287,6.207,6.094,91855.83,559769.42802,2022-04-30 20:00:00
62,1651345200,5.555,6.29,5.671,6.288,73483.31,462063.05328,2022-04-30 19:00:00
63,1651341600,5.353,5.81,5.59,5.753,60514.89,348142.16217,2022-04-30 18:00:00
64,1651338000,5.444,5.95,5.623,5.59,120176.91,671788.9269,2022-04-30 17:00:00
65,1651334400,5.13,5.669,5.488,5.623,81668.2,459220.2886,2022-04-30 16:00:00
66,1651330800,5.081,5.899,5.326,5.47,170816.6,934366.802,2022-04-30 15:00:00
67,1651327200,4.609,5.541,4.8,5.326,307661.19,1638603.49794,2022-04-30 14:00:00
68,1651323600,3.802,4.942,3.947,4.788,147485.43,706160.23884,2022-04-30 13:00:00
69,1651320000,3.753,4.188,3.994,3.948,34880.18,137706.95064,2022-04-30 12:00:00
70,1651316400,3.925,4.231,4.199,3.995,16957.16,67743.8542,2022-04-30 11:00:00
71,1651312800,3.77,4.23,4.106,4.209,32231.57,135662.67813,2022-04-30 10:00:00
72,1651309200,4.093,4.231,4.209,4.106,34547.36,141851.46016,2022-04-30 09:00:00
73,1651305600,4.171,4.391,4.242,4.221,13302.33,56149.13493,2022-04-30 08:00:00
74,1651302000,4.166,4.414,4.167,4.235,30755.12,130247.9332,2022-04-30 07:00:00
75,1651298400,4.123,4.455,4.372,4.181,27041.39,113060.05159,2022-04-30 06:00:00
76,1651294800,4.269,4.558,4.296,4.368,55209.99,241157.23632,2022-04-30 05:00:00
