,unix,low,high,open,close,volume,vol_fiat,date
0,1651568400,5.09,5.3,5.27,5.13,4031.06,20679.337799999998,2022-05-03 09:00:00
1,1651564800,5.17,5.36,5.24,5.27,15551.87,81958.35489999999,2022-05-03 08:00:00
2,1651561200,4.99,5.41,5.18,5.25,13609.99,71452.4475,2022-05-03 07:00:00
3,1651557600,5.11,5.29,5.23,5.19,21821.22,113252.13180000002,2022-05-03 06:00:00
4,1651554000,4.74,5.29,4.82,5.21,17049.3,88826.853,2022-05-03 05:00:00
5,1651550400,4.71,4.83,4.76,4.83,1182.48,5711.3784000000005,2022-05-03 04:00:00
6,1651546800,4.68,4.77,4.69,4.74,592.12,2806.6488,2022-05-03 03:00:00
7,1651543200,4.65,4.75,4.75,4.69,4534.62,21267.3678,2022-05-03 02:00:00
8,1651539600,4.63,4.76,4.64,4.74,3528.86,16726.796400000003,2022-05-03 01:00:00
9,1651536000,4.63,4.68,4.66,4.64,747.69,3469.2816,2022-05-03 00:00:00
10,1651532400,4.65,4.7,4.65,4.67,4736.66,22120.2022,2022-05-02 23:00:00
11,1651528800,4.62,4.71,4.67,4.65,3130.86,14558.499000000002,2022-05-02 22:00:00
12,1651525200,4.54,4.66,4.56,4.66,7971.5,37147.19,2022-05-02 21:00:00
13,1651521600,4.54,4.61,4.58,4.55,2181.82,9927.281,2022-05-02 20:00:00
14,1651518000,4.45,4.59,4.48,4.57,2057.85,9404.3745,2022-05-02 19:00:00
15,1651514400,4.44,4.5,4.48,4.49,9748.36,43770.1364,2022-05-02 18:00:00
16,1651510800,4.45,4.59,4.59,4.48,9259.2,41481.21600000001,2022-05-02 17:00:00
17,1651507200,4.58,4.68,4.67,4.58,1592.14,7292.001200000001,2022-05-02 16:00:00
18,1651503600,4.63,4.71,4.66,4.65,436.98,2031.9570000000003,2022-05-02 15:00:00
19,1651500000,4.64,4.73,4.69,4.67,8635.34,40327.0378,2022-05-02 14:00:00
20,1651496400,4.57,4.72,4.68,4.67,1413.03,6598.8501,2022-05-02 13:00:00
21,1651492800,4.63,4.76,4.66,4.65,12770.99,59385.103500000005,2022-05-02 12:00:00
22,1651489200,4.6,4.67,4.65,4.65,1733.1,8058.915,2022-05-02 11:00:00
23,1651485600,4.64,4.7,4.7,4.66,2118.53,9872.349800000002,2022-05-02 10:00:00
24,1651482000,4.69,4.79,4.73,4.7,292.89,1376.583,2022-05-02 09:00:00
25,1651478400,4.72,4.84,4.84,4.74,689.25,3267.045,2022-05-02 08:00:00
26,1651474800,4.8,4.92,4.89,4.82,3558.47,17151.8254,2022-05-02 07:00:00
27,1651471200,4.85,4.99,4.86,4.88,1515.53,7395.7864,2022-05-02 06:00:00
28,1651467600,4.81,4.86,4.83,4.84,62.68,303.3712,2022-05-02 05:00:00
29,1651464000,4.77,4.85,4.81,4.83,782.28,3778.4123999999997,2022-05-02 04:00:00
30,1651460400,4.75,4.8,4.77,4.8,1826.18,8765.664,2022-05-02 03:00:00
31,1651456800,4.71,4.78,4.77,4.77,752.39,3588.9003,2022-05-02 02:00:00
