,unix,low,high,open,close,volume,vol_fiat,date
0,1651568400,3.902,3.935,3.924,3.916,4400.5,17232.358,2022-05-03 09:00:00
1,1651564800,3.9,3.934,3.934,3.918,2127.49,8335.50582,2022-05-03 08:00:00
2,1651561200,3.898,3.925,3.906,3.923,1683.45,6604.17435,2022-05-03 07:00:00
3,1651557600,3.879,3.922,3.892,3.906,4301.49,16801.61994,2022-05-03 06:00:00
4,1651554000,3.861,3.957,3.869,3.896,9590.23,37363.53608,2022-05-03 05:00:00
5,1651550400,3.806,4.124,3.806,3.884,77683.37,301722.20908,2022-05-03 04:00:00
6,1651546800,3.785,3.829,3.824,3.814,6875.82,26224.37748,2022-05-03 03:00:00
7,1651543200,3.814,3.846,3.835,3.835,1372.9,5265.0715,2022-05-03 02:00:00
8,1651539600,3.776,3.844,3.798,3.844,3778.5,14524.554,2022-05-03 01:00:00
9,1651536000,3.798,3.854,3.833,3.798,5579.52,21191.01696,2022-05-03 00:00:00
10,1651532400,3.833,3.886,3.844,3.833,2844.74,10903.88842,2022-05-02 23:00:00
11,1651528800,3.824,3.875,3.848,3.835,6067.31,23268.133850000002,2022-05-02 22:00:00
12,1651525200,3.752,3.872,3.775,3.854,13044.94,50275.19876000001,2022-05-02 21:00:00
13,1651521600,3.773,3.85,3.85,3.773,6642.99,25064.00127,2022-05-02 20:00:00
14,1651518000,3.788,3.872,3.788,3.85,15000.71,57752.733499999995,2022-05-02 19:00:00
15,1651514400,3.75,4.0,3.755,3.775,45644.86,172309.34649999999,2022-05-02 18:00:00
16,1651510800,3.725,4.058,3.75,3.75,67281.7,252306.375,2022-05-02 17:00:00
17,1651507200,3.752,3.83,3.792,3.752,4375.05,16415.1876,2022-05-02 16:00:00
18,1651503600,3.792,3.829,3.823,3.794,4557.35,17290.585900000002,2022-05-02 15:00:00
19,1651500000,3.8,3.869,3.839,3.823,5609.73,21445.997789999998,2022-05-02 14:00:00
20,1651496400,3.722,3.854,3.775,3.854,6177.81,23809.27974,2022-05-02 13:00:00
21,1651492800,3.762,3.825,3.784,3.775,3304.73,12475.35575,2022-05-02 12:00:00
22,1651489200,3.761,3.842,3.834,3.773,11118.11,41948.629030000004,2022-05-02 11:00:00
23,1651485600,3.815,4.051,3.864,3.833,27769.13,106439.07529000001,2022-05-02 10:00:00
24,1651482000,3.856,4.011,3.994,3.864,31226.07,120657.53448,2022-05-02 09:00:00
25,1651478400,3.931,4.142,3.945,3.988,32133.45,128148.1986,2022-05-02 08:00:00
26,1651474800,3.931,4.006,3.949,3.931,8262.46,32479.730259999997,2022-05-02 07:00:00
27,1651471200,3.946,3.961,3.955,3.948,958.32,3783.44736,2022-05-02 06:00:00
28,1651467600,3.952,4.033,4.011,3.958,9043.45,35793.9751,2022-05-02 05:00:00
29,1651464000,3.891,4.079,3.917,4.01,45335.88,181796.87879999998,2022-05-02 04:00:00
30,1651460400,3.886,4.014,3.904,3.917,28877.41,113112.81496999999,2022-05-02 03:00:00
31,1651456800,3.88,3.919,3.919,3.9,5013.03,19550.817,2022-05-02 02:00:00
32,1651453200,3.903,3.951,3.935,3.914,6791.91,26583.53574,2022-05-02 01:00:00
33,1651449600,3.912,3.99,3.915,3.944,19186.45,75671.3588,2022-05-02 00:00:00
34,1651446000,3.875,3.964,3.902,3.915,18267.1,71515.69649999999,2022-05-01 23:00:00
35,1651442400,3.875,3.937,3.894,3.886,6263.73,24340.854779999998,2022-05-01 22:00:00
36,1651438800,3.835,3.96,3.89,3.879,17197.61,66709.52919,2022-05-01 21:00:00
37,1651435200,3.788,3.89,3.807,3.888,6281.33,24421.81104,2022-05-01 20:00:00
38,1651431600,3.759,3.831,3.83,3.816,9547.11,36431.77176,2022-05-01 19:00:00
39,1651428000,3.815,3.897,3.871,3.837,14334.17,55000.21029,2022-05-01 18:00:00
40,1651424400,3.871,3.955,3.918,3.871,9572.21,37054.02491,2022-05-01 17:00:00
41,1651420800,3.898,3.996,3.898,3.91,20426.95,79869.3745,2022-05-01 16:00:00
42,1651417200,3.735,3.894,3.737,3.894,11352.09,44205.03846,2022-05-01 15:00:00
43,1651413600,3.734,3.769,3.762,3.735,8501.5,31753.102499999997,2022-05-01 14:00:00
44,1651410000,3.754,3.779,3.755,3.762,3136.86,11800.867320000001,2022-05-01 13:00:00
